,mgv200GLB_cluster1,mgv200GLB_cluster2,mgv200GLB_cluster3,mgv200GLB_cluster4,mgv200GLB_cluster5,mgv200GLB_cluster6,mgv200GLB_cluster7,mgv200GLB_cluster8,mgv200GLB_cluster9,mgv200GLB_cluster10,mgv200GLB_cluster11,mgv200GLB_cluster12
1980-01-01,0.053223275,-0.76062125,-0.21194991,-0.22623272,1.3432477,0.34116793,0.16276893,-0.3635352,-0.16761965,0.13218231,-0.64622486,0.47523665
1980-02-01,0.26207405,-0.62291443,-0.051336862,-0.012935281,1.4483469,0.049719978,0.30438328,-0.4198575,-0.57103854,-0.13191287,-0.5758893,0.5330413
1980-03-01,0.21033296,-0.83984977,-0.12692742,-0.20885083,1.3455383,0.24698296,0.1262537,0.23040958,0.039075326,-0.101191565,-0.86598986,-0.0751863
1980-04-01,0.48574662,-0.9403677,0.2836329,-0.7003914,0.48089582,0.45866337,0.21680064,-0.6289779,0.42807692,-0.31192884,-0.36838588,-0.13083497
1980-05-01,-0.03462882,-0.62965155,-0.01872921,-0.081923425,0.527921,0.041500665,-0.030856038,-0.3597624,0.57076913,-0.1294875,-0.0018863678,-0.5602592
1980-06-01,0.23162237,-0.2107372,0.34979144,0.33874258,0.80468196,0.12315464,0.3150278,-0.6997177,0.20332642,0.16937128,0.015495395,-0.17408714
1980-07-01,0.68476105,-0.31206354,0.29939777,-0.27864742,-0.112240456,-0.43009776,0.14579125,-0.38064742,0.9972291,0.022097766,0.47415876,-0.23862891
1980-08-01,0.51781523,-0.37849158,0.33739513,0.21019825,0.20898557,-0.14713879,-0.13002643,-0.57373345,0.51121294,0.15428014,0.4663437,-0.4252472
1980-09-01,0.25574118,-0.40678754,0.34763557,0.09755354,0.71292245,0.16991024,-0.35086936,-0.79336363,0.34022468,0.010779393,0.18729205,0.09890099
1980-10-01,0.2496778,-0.52872944,0.18904372,-0.3368562,0.8990018,0.111027814,0.019537736,-0.19079533,-0.6432606,-0.2826897,-0.38159066,0.04217434
1980-11-01,0.44222468,-0.8875486,0.1709882,-0.39762503,1.038056,0.65686953,-0.23337397,-0.15037258,-0.090277456,-0.56079817,-1.1812873,-0.24550077
1980-12-01,0.3024969,-0.8420056,-0.58895934,-0.702143,1.530405,0.4100213,0.18163285,-0.68314433,0.6041852,-0.58532125,-0.5428774,0.17503047
1981-01-01,0.43204468,-0.58719206,-0.14204225,-0.26703352,2.2332177,0.57169133,0.68047774,-0.018741656,-0.24561444,-0.5804281,-0.7006284,0.3951251
1981-02-01,0.41879892,-0.8349203,-0.106813334,-0.67639107,0.35524625,0.5081388,0.4323267,0.11808662,-0.24124613,-1.017123,-0.42514,-0.059466027
1981-03-01,0.479815,-0.80236894,0.27013358,-0.148806,0.21559963,0.38554293,0.20954037,-0.5347717,-0.20108537,0.019728089,-0.46417332,0.10329051
1981-04-01,0.23800512,-0.58536017,-0.33213624,0.07609396,0.6823095,0.12076402,0.23124123,-1.067148,-0.21179485,-0.04805193,-0.086098865,-0.0149369715
1981-05-01,0.36525115,-0.21390863,0.3625738,0.17191605,0.2991621,-0.25223747,-0.06665273,-0.0097230915,-0.6086109,-0.055661343,-0.48136503,-0.31057626
1981-06-01,0.25590128,0.23617324,0.37920174,-0.24279618,0.4354269,0.0019728183,0.06580696,-0.5769052,-1.2377956,0.28352055,0.30057126,-0.27774295
1981-07-01,0.3976617,-0.3446776,0.80913275,-0.03663788,0.7254294,-0.37018317,0.15697908,-0.17177515,-0.05382948,-0.08271704,0.32452685,-0.42570361
1981-08-01,0.36116457,-0.31268996,0.5367445,-0.21729068,0.75234413,0.13851929,0.05608406,-0.20587654,0.537731,-0.35087785,0.46346885,-0.14500122
1981-09-01,0.46910542,-0.5563317,0.24307808,-0.31311268,0.82984734,0.28549337,-0.057070542,-0.6714591,-0.16374302,-0.105968,0.09807672,-0.27351564
1981-10-01,0.4785467,-0.2492783,0.33002248,-0.1217504,1.2744335,0.26097426,0.17910281,-0.13217811,-0.33678642,-0.3073352,-0.019728089,-0.66976815
1981-11-01,0.23391858,-0.2577332,0.20432648,0.07059832,1.5190618,0.53223526,-0.043401767,-0.14091477,-0.45374584,-0.5880375,-0.5526679,0.23730059
1981-12-01,0.5818372,-0.6486309,-0.25378752,-0.24237347,0.552527,0.5736642,0.1519062,-0.4392315,0.25731045,-0.41273946,-0.6886506,0.037342407
1982-01-01,0.3460905,-0.3699084,-0.0441761,-0.29805568,1.3074532,0.46770787,0.34356242,-0.676746,-0.053756334,-0.29512826,-0.7217205,0.5263876
1982-02-01,0.25494394,-0.5857326,0.01649952,-0.13864918,0.27822962,0.35899734,0.6818024,-0.114299014,-0.6076876,-0.30763602,-0.87008303,0.34821948
1982-03-01,0.27184272,0.5058962,0.08436038,-0.058546662,1.1109226,0.1170933,0.558056,0.25507712,-0.53490347,-0.29752344,-0.4625185,-0.25121832
1982-04-01,0.007052183,-0.6216589,-0.20491323,-0.6382915,0.90254974,0.3293249,0.14410457,-0.12228279,0.65000075,-0.44854718,0.01955986,-0.39239565
1982-05-01,0.36046106,-0.08808608,0.38680702,0.11802473,0.019160653,0.125343,0.32040977,-0.21555814,-0.6947092,0.022886466,0.053490352,-0.17736979
1982-06-01,0.09753342,-0.22580376,0.45386958,0.03233371,0.07491312,-0.14610052,0.074380875,-0.500973,-0.6216589,0.12241574,-0.02168889,-0.2003893
1982-07-01,0.19213939,-0.30430952,0.44202718,-0.002128935,0.52319413,-0.0981987,-0.24576283,-0.16872081,0.97746295,0.003858757,-0.14317313,-0.15049152
1982-08-01,0.25760514,-0.2693146,0.29100347,-0.4192738,1.1702676,-0.13066559,-0.3245348,-0.98438203,0.83229387,-0.45719606,0.42858806,-0.06759481
1982-09-01,0.3824161,-0.42273337,0.17736974,-0.08755386,0.28634638,0.597575,-0.30444258,-0.6747501,-0.45347038,0.10937576,0.10990801,-0.05215969
1982-10-01,0.26958066,-0.1983933,0.31056333,-0.18455501,0.5585882,0.19134112,0.14210863,0.077840425,-0.99382937,-0.2267352,-0.5218636,0.0883522
1982-11-01,0.35167903,-0.1591404,-0.053889513,-0.2291303,0.20398185,0.8646275,-0.35300964,0.0061208247,-0.92477095,-0.3379738,-0.6490694,-0.44655123
1982-12-01,0.47249803,0.47462702,-0.1832244,-0.27104434,0.68007255,0.53783077,-0.06320377,-0.38201684,-0.07970333,-0.2730403,-0.51454526,0.3184139
1983-01-01,0.42226774,0.07283716,0.109591104,-0.3865871,1.573176,0.6533885,-0.12099294,-0.30637228,-1.2977898,-0.40348855,-0.9274333,0.0038900138
1983-02-01,0.7117386,0.5003365,0.1298461,-0.029242206,1.6248194,0.66653407,-0.27015495,-0.6929593,-0.03970499,-0.09429936,-0.68263066,0.030851841
1983-03-01,0.6449377,0.1459426,0.13843088,-0.122200154,1.5852485,0.71683604,-0.36056432,-0.03581498,-0.6651927,-0.12005393,-0.76445514,0.7958435
1983-04-01,0.46009493,0.3730391,0.20000048,0.043192595,0.8119402,0.47833776,-0.4480225,-0.22562094,-0.6368896,-0.11012769,-0.88974047,0.51039684
1983-05-01,0.21287775,0.18752559,0.7861856,-0.3556011,0.24319306,0.1331995,0.1314557,-0.3928916,-0.52233523,-0.117371164,-0.13574813,-0.58833134
1983-06-01,0.38296536,-0.115090825,0.51925004,-0.037290495,0.42307273,-0.02307186,0.103420734,-0.56807643,-0.15372276,0.068410635,0.13628471,-0.6138176
1983-07-01,0.07753201,-0.16499034,0.3427238,0.06706923,0.8289758,-0.06304507,0.36230803,-0.364186,1.007246,0.2812884,0.23675442,-0.31455478
1983-08-01,0.5016779,-0.6350115,0.6613027,-0.28571495,0.48745924,-0.055667497,-0.01153593,-0.88236284,1.0069777,-0.16847792,0.16458789,-0.42092648
1983-09-01,0.24788785,-0.61703694,0.13601641,0.07847102,0.1446013,-0.11053009,0.15546647,-1.0029533,-0.07243462,0.24453442,0.24668069,-0.44520554
1983-10-01,0.39047712,-0.22575502,0.3158961,-0.032863904,0.7817591,0.42213374,-0.08477545,-0.3606983,-0.72193307,-0.24533924,-0.26706973,-0.66398543
1983-11-01,0.5943676,-0.40281782,0.09336037,-0.25405827,0.5911482,0.5959772,-0.086251035,-0.7242136,-0.6061718,-0.64091367,-0.81770813,0.28021526
1983-12-01,0.23970547,-0.8740463,-0.41475612,-0.5411146,1.4701577,0.38806263,0.10503044,-0.5778686,-0.14567442,-0.19463491,-0.8686808,-0.112005614
1984-01-01,0.31863308,-1.0721029,-0.15639801,0.04735718,1.7373588,0.54348016,0.11302052,0.23028597,-0.031836748,0.13344899,-1.2038276,0.5028882
1984-02-01,0.3649288,-0.8453987,-0.2812248,-0.15148993,1.2202767,0.37249017,0.22259216,0.5961434,0.24646965,-0.6302354,-1.0609602,0.039000057
1984-03-01,0.13835725,-0.3803166,-0.49413309,-0.4466433,1.1096439,0.009683704,0.7313169,0.2791023,-0.16289806,-0.48272496,-0.87590885,0.40445954
1984-04-01,0.34012276,-0.6071537,0.039265323,-0.3072248,0.44093913,0.23267369,0.26517373,-0.39689842,-0.18093891,-0.34649014,-0.5750516,0.030112267
1984-05-01,0.04324498,-0.24275534,0.36134726,-0.10373478,0.5954801,0.09763274,0.0051734806,-0.92857236,0.16661242,-0.3772657,-0.59256184,-0.43311268
1984-06-01,0.016846944,-0.708368,0.5834087,-0.036479615,0.5692148,-0.3062962,-0.19990845,-0.68727624,1.093195,-0.23453085,-0.19791855,-0.19951041
1984-07-01,0.4813985,-0.29594928,0.47755146,-0.031438805,-0.15401034,-0.18651028,0.11089802,-0.46746984,1.4476442,-0.091795996,0.2825513,-0.4816637
1984-08-01,0.40392894,-0.26411253,0.5857965,-0.20415325,0.58619446,0.0120716095,0.19500026,-0.4628269,2.0195122,-0.04802046,0.18093893,-0.19831657
1984-09-01,0.35909215,-0.25177577,0.40870446,0.0932552,0.9349397,-0.062479686,0.26185742,-0.33203086,0.10545931,-0.25734717,0.2714084,-0.3092146
1984-10-01,0.377531,-0.5774393,-0.09219396,-0.07866335,0.18597977,0.49545965,0.28692895,-1.041858,-0.48935762,-0.3296432,-0.1683369,-0.25376558
1984-11-01,0.46627602,-0.08290825,-0.088745,-0.05345924,0.30324516,0.33680648,0.10174499,-0.75784767,-0.79008234,-0.29409212,-0.33375543,-0.038602065
1984-12-01,0.014857292,-0.3287146,-0.15109201,-0.29236764,0.5137658,0.5648373,0.2179492,-0.2127757,-0.62121487,-0.6063577,-0.7264088,0.1607757
1985-01-01,0.33553296,-0.85768116,-0.45236796,-0.26749066,1.2732875,0.543804,0.50370044,0.024329519,0.39274734,-0.45036277,-0.7777413,-0.040103532
1985-02-01,0.5007598,-0.3501039,-0.07833557,-0.34342012,0.6047614,0.76076424,0.36012983,-0.08555422,-0.693925,-0.10520496,-0.20466173,0.6166588
1985-03-01,0.22752085,-0.411596,-0.30866364,-0.33138895,1.0241108,0.31454545,0.12111273,0.14009504,-0.3815184,-0.6540888,-0.26267824,0.09651585
1985-04-01,0.30358383,-0.36547697,0.09304023,-0.20305762,0.93521464,0.3136097,0.28486884,-0.41934943,0.023126412,-0.40143648,-0.27965537,-0.26428232
1985-05-01,0.033152293,-0.71384305,0.34101382,-0.10052621,0.50797826,0.29569682,0.1521261,-0.13982773,-0.7592939,-0.12846503,-0.6023552,-0.5827044
1985-06-01,0.471083,-0.23701195,0.5712082,0.19049184,0.457314,0.11990967,0.23233318,-1.1946846,0.15453224,0.20907314,-0.04879265,-0.9062064
1985-07-01,0.49942285,-0.36373916,0.40237227,-0.30692577,0.11616659,-0.46092337,0.3630708,-0.8062148,0.6725365,-0.20613222,0.4907337,-0.3780427
1985-08-01,0.4613245,-0.4237608,0.4567794,-0.35692152,0.1632214,-0.28620568,-0.03783102,-0.7892378,-0.23567517,-0.6794877,0.5629201,-0.4161412
1985-09-01,0.39448518,-0.27831858,0.39862925,-0.056144953,0.030612374,0.24222545,0.21762857,-0.6147873,0.50998354,-0.2098752,0.07459259,-0.38953915
1985-10-01,0.3384739,-0.31655064,-0.046119083,-0.23273425,0.5828382,0.7428514,0.2263176,-0.8353567,-0.73429596,-0.4094572,-0.26067305,-0.44314417
1985-11-01,0.40745202,-0.4630623,-0.21174672,-0.31708533,0.26642132,0.50289845,-0.0065502524,-0.53631806,-0.4210872,-0.3144118,-0.30612373,-0.47255343
1985-12-01,0.54540837,-0.7190565,-0.18207006,-0.31855577,1.3994801,0.7098327,0.4447483,-0.5125233,0.057882786,-0.25091457,-0.90032464,0.24877568
1986-01-01,0.20347977,-0.32906708,-0.3428053,-0.23393711,1.7749407,0.6748532,0.29848033,-0.13841815,0.3698927,-0.5232155,-1.0814241,0.2047759
1986-02-01,0.6497099,-1.0039203,-0.2800764,-0.10860898,0.825195,0.40747815,0.8210478,-0.52982527,0.66604006,-0.135178,-1.0609466,0.3784466
1986-03-01,0.1445096,-0.20140609,-0.029031515,-0.07322683,1.1048826,0.2904448,0.68107426,-0.39918342,-0.14736089,-0.18779764,-0.8100313,-0.18028054
1986-04-01,-0.1995917,-0.7369339,-0.38272357,-0.20270224,0.3549881,0.15448916,0.13738129,0.10731296,0.13660374,-0.016589403,-0.05508213,-0.33969468
1986-05-01,0.3009428,-0.2830573,0.14386158,0.08359523,0.22227268,0.07918868,-0.297962,-0.25311857,-1.1210835,0.4273077,-0.023976922,-0.48874044
1986-06-01,0.23497388,-0.21812522,0.6013672,0.044972945,0.5011827,-0.10588727,-0.003240204,-0.36859664,0.50442255,-0.011275649,-0.572595,-0.09603729
1986-07-01,0.6406374,-0.5947574,0.57363176,-0.32025397,1.2510772,-0.4183649,0.091630556,-0.042251207,0.51012534,-0.43417674,0.36639333,-0.407867
1986-08-01,0.20931211,-0.43845373,0.20011011,-0.41058865,-0.14852731,-0.03214202,-0.022032738,-0.70142233,0.06143278,-0.27126327,0.40825576,-0.46618924
1986-09-01,0.39620247,-0.5353983,0.28305733,-0.3625052,0.37481767,0.2833166,-0.12260647,-0.44959974,0.45659852,-0.24780479,0.13025303,-0.08203993
1986-10-01,0.3836308,-0.052101184,0.060007095,-0.34319407,1.1731845,0.48770356,0.31429213,-0.039918326,-0.88442457,-0.45491356,-0.14412077,-0.6184751
1986-11-01,0.69079465,-0.45491347,-0.07672615,-0.3367138,0.7790556,0.7126979,0.28551984,-0.81042016,-0.6891099,-0.35563612,-0.56585544,-0.42199397
1986-12-01,0.4361208,-0.9900528,0.16343188,-0.19479632,0.8883127,0.71049464,-0.06259923,-0.03577099,-0.35667297,-0.4870556,-1.1742214,-0.044713687
1987-01-01,0.32323226,-0.7033308,0.024201583,-0.012175036,1.1774148,0.5285746,0.39672774,0.10363624,0.0031179904,-0.28655863,-0.7897438,0.27928334
1987-02-01,0.4823985,-0.3857407,0.17520161,0.031773876,1.3012438,0.37594128,0.47571737,0.34030703,0.18321939,-0.036525153,-1.0261177,-0.14045835
1987-03-01,0.665024,-0.35010642,0.14699125,-0.14491257,0.352779,0.47126284,0.06636878,0.09190674,-0.21321163,-0.00534513,-0.7763809,-0.3893041
1987-04-01,0.44275546,-0.10749664,0.15337572,-0.204006,0.6705176,0.44839755,-0.070377626,-0.8102336,-0.75173414,-0.35604545,-0.5184782,-0.23592837
1987-05-01,0.40890294,0.2807681,0.39940047,0.041573286,0.10749664,0.3486216,0.26413885,-0.25463635,0.101260565,0.080770925,0.06132059,-0.20727253
1987-06-01,-0.071120024,0.012917399,0.47586566,0.35604545,0.027022649,-0.2982883,0.18633747,-0.35678786,0.037861444,0.25656655,0.43013495,-0.559606
1987-07-01,0.5852924,-0.08522525,0.22419874,0.0693383,0.60207015,0.24691562,0.07334709,-0.87571156,0.32649875,0.36272687,0.3446128,-0.18024978
1987-08-01,0.21915054,0.031625368,0.30600905,-0.2004426,0.4296896,-0.24543075,0.0054935454,-0.4164753,0.87749326,-0.40771514,0.60489124,-0.09992437
1987-09-01,0.29769439,-0.693086,0.3083847,-0.20519385,0.15248485,0.19598827,0.12650147,-0.38737386,-0.5042244,-0.1701535,0.20742097,-0.3753473
1987-10-01,0.48046836,-0.13288602,0.2933886,-0.038603734,0.6617576,0.5080849,0.18203154,-0.26532665,-0.75856394,-0.0693383,-0.6308745,-0.09383683
1987-11-01,0.4619089,-0.32887435,0.019153405,-0.073198654,1.2259665,0.3658449,0.020341206,-0.37490192,-0.50006723,-0.29249778,-0.8301293,-0.072901726
1987-12-01,0.11699915,-0.54312533,0.026428724,0.17252907,0.8864018,0.4559698,0.2665144,-0.10185452,-0.45953313,-0.40608191,-0.7321352,0.26740536
1988-01-01,0.13382483,-0.5907545,-0.1335537,-0.21693993,0.78410214,0.24514207,0.062099077,-0.21965167,-0.13545187,-0.21680431,-0.7180711,0.11755433
1988-02-01,0.11375789,-0.8569126,0.19253416,-0.1241981,1.6880636,0.57814485,0.4310325,0.24026099,-0.4025591,-0.11091051,-0.3631031,0.032812167
1988-03-01,0.3795093,-0.315512,-0.28636068,-0.113757834,0.8319646,0.28459805,0.019660186,0.048133563,0.05965843,-0.34968,-0.69217384,0.7523747
1988-04-01,0.45231968,-0.94233274,0.03945594,-0.26480228,0.49584326,0.4898774,-0.3209355,-0.39822036,0.32093555,-0.012745214,-0.47008172,-0.17911105
1988-05-01,0.2820219,-0.67576784,0.29002154,-0.0017626286,0.7980677,-0.19158506,0.061149932,-0.79210186,-1.0025337,0.04786239,-0.66058207,-0.45774326
1988-06-01,0.40188116,-0.17558566,0.25544673,-0.03389686,1.3882799,0.070776656,0.033354472,-0.83169335,-0.55658644,-0.016812842,-0.2448709,-0.14724794
1988-07-01,0.34100237,-0.5235031,0.40689793,0.07430191,0.17843309,-0.30235997,0.22236338,-0.47997957,0.49421626,0.15307823,0.17206046,-0.183043
1988-08-01,0.2384983,-0.026846314,0.27673402,-0.2957162,-0.057353497,-0.3225626,0.16961995,-0.4112367,0.37422138,-0.17924662,0.26656494,-0.40133888
1988-09-01,0.31442723,-0.43157488,0.39903387,0.31781697,0.54357004,-0.028337765,-0.13328242,-0.65800583,0.24080324,0.1297572,0.2121944,-0.52445227
1988-10-01,0.2897504,-0.118910216,0.056404375,-0.2409389,1.1952034,0.34493446,0.005287933,-0.6878351,-0.4749628,-0.37611955,0.09409771,-0.48201337
1988-11-01,0.28066602,0.14019737,-0.0059658466,-0.52974015,0.6376678,0.23592214,-0.021422815,-0.18046689,-0.16094227,-0.29300448,-0.6718358,0.20772
1988-12-01,0.21232995,-0.5804499,-0.44594708,-0.49611443,1.7996521,0.581399,0.5182152,-0.064539626,0.25015885,-0.6463454,-0.45530266,0.051116467
1989-01-01,0.21344872,-0.39175943,-0.120303154,-0.05896034,0.7593391,0.35221422,0.53886276,0.27312383,-1.5525061,0.2022522,-0.63045996,-0.19951262
1989-02-01,0.14079037,-0.6766754,-0.021082878,-0.32184067,1.3011796,0.724082,0.39997807,-0.741115,-0.96171033,-0.5074172,-0.57757413,0.4769245
1989-03-01,0.48085517,-0.6112828,-0.05157547,-0.3648401,0.14912824,0.49622065,0.48788276,-0.28015146,-0.06956144,-0.22285858,-0.28956127,-0.21392517
1989-04-01,0.09850563,-0.18200314,-0.19927439,-0.1360259,0.91668606,0.14579311,0.2388196,-0.25859216,-0.30075783,-0.0913589,-0.07504062,-0.47811565
1989-05-01,0.19689217,-0.20618287,0.16306433,-0.23071997,0.48931217,0.03644829,-0.014174318,-0.64284754,-0.41450977,-0.18402806,-0.46644264,-0.28217635
