,r700GLB_cluster1,r700GLB_cluster2,r700GLB_cluster3,r700GLB_cluster4,r700GLB_cluster5,r700GLB_cluster6,r700GLB_cluster7,r700GLB_cluster8,r700GLB_cluster9,r700GLB_cluster10,r700GLB_cluster11,r700GLB_cluster12
1980-01-01,25.562592,52.280914,35.008118,13.340118,34.931522,71.691826,70.17461,36.455257,56.60441,60.50582,22.109335,36.49437
1980-02-01,29.992014,49.218777,43.28517,13.154339,48.32246,73.75009,76.54822,38.140327,58.253628,62.5869,20.448708,38.0344
1980-03-01,23.447289,46.83621,43.88652,23.113207,35.433456,71.7065,73.02815,35.56057,62.846016,60.91324,22.280449,42.413303
1980-04-01,31.214262,48.019344,37.605797,15.597202,37.10875,75.46938,70.03772,27.617596,64.18397,58.68712,21.045166,53.45753
1980-05-01,43.9403,50.382355,30.286983,15.541794,42.57627,71.58264,71.72279,28.597023,66.53883,38.595005,23.232172,60.259743
1980-06-01,57.2742,37.64817,32.4414,18.874454,39.38539,74.19499,51.57201,21.996887,66.39705,25.753262,25.389847,60.89694
1980-07-01,42.168854,43.21673,22.784016,14.357029,31.787903,73.08356,58.167255,20.680122,69.7509,30.523285,29.845345,72.62236
1980-08-01,52.702995,52.233654,42.73435,17.661987,27.770784,74.88922,55.44246,23.893816,65.88208,35.57524,35.118935,71.180115
1980-09-01,47.99653,47.551632,37.64328,10.805992,37.245644,69.537415,57.153603,24.325676,63.724403,34.61863,40.49682,58.57956
1980-10-01,46.932358,40.0177,28.32487,10.57621,33.98632,69.550446,61.682438,30.127275,66.35631,44.432457,39.1002,61.081093
1980-11-01,37.617207,38.053955,48.43654,22.42875,46.78243,67.966415,71.328415,23.708035,71.96398,40.824383,33.44364,54.741703
1980-12-01,37.51291,43.74311,40.754307,17.48761,36.950676,68.90184,72.80814,28.605171,65.70282,59.622543,14.536293,50.866364
1981-01-01,32.322662,42.593147,38.38188,16.239788,37.172707,70.32914,79.3521,41.469032,63.789585,61.59639,10.07716,46.170643
1981-02-01,33.108208,50.325203,45.755352,7.225174,29.564072,68.94818,69.76875,37.659714,53.93105,66.49981,11.901764,31.173525
1981-03-01,19.905674,40.416634,37.27945,18.691494,44.164246,73.7065,67.27368,35.883476,64.97541,50.320198,14.978909,35.177982
1981-04-01,24.88581,42.634846,36.18535,13.959866,37.454567,74.26355,69.281746,32.381035,55.932446,56.537865,19.697197,44.154236
1981-05-01,44.414417,48.56731,46.652645,26.328484,35.898483,70.662704,68.753044,34.12058,68.68466,43.91407,31.366993,57.129944
1981-06-01,45.403442,46.889477,25.414513,17.157093,40.198147,71.24478,48.09865,24.237026,68.09091,33.01314,31.622171,59.688393
1981-07-01,41.105446,50.91895,22.777676,16.201427,35.474854,71.62004,50.53535,9.65353,70.63769,19.994068,30.109451,74.93902
1981-08-01,52.411655,52.44835,42.58314,16.156395,41.25055,64.481735,49.082672,20.893028,70.06062,26.41521,33.89709,66.785
1981-09-01,45.815395,39.124065,27.109028,11.988491,33.78201,72.30885,58.342457,21.03646,67.45714,43.09183,29.500694,62.00334
1981-10-01,44.694614,37.698074,33.341705,16.600037,39.369236,72.40225,64.46672,22.040497,65.42573,54.841682,31.086798,54.451412
1981-11-01,32.796326,37.124336,33.088196,14.737072,31.859003,70.56097,73.449646,33.508484,69.61698,58.74607,17.043682,50.300186
1981-12-01,25.43119,39.692795,38.595364,16.810184,40.975357,70.47591,70.73609,33.86207,65.724266,71.840195,10.502457,35.438164
