,mgu850GLB_cluster1,mgu850GLB_cluster2,mgu850GLB_cluster3,mgu850GLB_cluster4,mgu850GLB_cluster5,mgu850GLB_cluster6,mgu850GLB_cluster7,mgu850GLB_cluster8,mgu850GLB_cluster9,mgu850GLB_cluster10,mgu850GLB_cluster11,mgu850GLB_cluster12,mgu850GLB_cluster13,mgu850GLB_cluster14,mgu850GLB_cluster15,mgu850GLB_cluster16,mgu850GLB_cluster17,mgu850GLB_cluster18
1980-01-01,0.3180542,-0.63914716,-0.8761681,-0.328183,-0.020258332,-1.2472312,0.23026848,-0.41529387,0.75799525,0.19549179,1.0807766,0.16780548,-1.0227028,-0.42204627,0.05706062,-0.16780548,0.87515527,0.968681
1980-02-01,0.19245338,-0.79378474,-0.6999214,-0.23769645,-0.11918564,-0.78466874,0.2775379,-0.13809356,0.92985266,0.3494545,1.505524,0.22520408,-1.0318187,-0.58782655,0.5955917,-0.13573036,0.8579361,0.9399818
1980-03-01,0.2886799,-0.75056726,-0.5115204,-0.13167877,-0.02802391,-0.5662174,0.10399246,-0.4770813,0.88292086,0.26572037,1.5831802,0.26943436,-1.1986119,-0.52637637,0.41799507,-0.11513443,0.6080845,1.095295
1980-04-01,0.3558693,-0.33324775,-0.5121956,-0.16375427,-0.3538437,0.09285049,0.24681282,-0.41630667,0.5378559,0.18401222,1.2222462,0.29779586,-0.9700314,-0.6594055,0.49193725,-0.0955513,0.61855125,0.972057
1980-05-01,0.1019661,0.060774613,-0.40550232,0.17894784,-0.62462884,1.2874104,-0.19853058,-0.63070565,0.029374313,-0.21980171,1.2202202,0.3514801,-0.78230554,0.026673507,0.7282833,-0.007765961,-0.43082505,0.68405306
1980-06-01,0.10466766,-0.052671432,-0.5071308,0.25153962,-0.5841125,1.1449273,-0.39435998,-0.6901306,0.16071549,-1.0493762,1.1695751,0.59187776,-0.9983929,1.7530117,0.705999,0.015193557,-0.27551192,0.8957512
1980-07-01,-0.053684235,0.109732054,-0.6570419,0.30421105,-0.62766725,0.9875889,-0.23060608,-0.75428164,-0.090148926,-1.3589897,1.0497139,0.37342644,-1.2192078,1.3900521,0.8700905,0.009453583,-0.11243324,0.83565176
1980-08-01,-0.037477873,0.019245148,-0.5547382,0.3254822,-0.6104477,1.0817894,-0.38862038,-0.5159092,-0.00810318,-1.1786915,0.8106667,0.34168893,-1.4467747,1.2813327,0.8268734,-0.01215477,-0.30927545,0.8370026
1980-09-01,0.006414795,-0.11716004,-0.4014511,0.2859787,-0.40077513,0.6033573,-0.6796635,-0.7870323,0.19414139,-0.5736454,0.99771804,0.6492764,-0.9382938,0.8164066,0.88596,-0.034776688,-0.84645617,0.6783131
1980-10-01,0.21372452,-0.02768631,-0.38119203,0.1620659,-0.3477661,0.71984214,-0.3143402,-0.7802795,0.09285011,0.10838127,1.2917995,0.51152,-1.3471721,-0.18299942,0.9200611,-0.11682244,-0.17861024,0.67223585
1980-11-01,0.3197422,-0.20089416,-0.5483227,-0.16814347,-0.32885855,0.11344604,0.32818335,-0.72119296,0.25727957,0.46999055,1.4082844,0.2913807,-0.56182826,-0.9031795,0.59154016,-0.11277084,0.73942566,0.6874291
1980-12-01,0.42474785,-0.43859062,-0.6921562,-0.30083466,-0.23195687,-0.6732483,-0.07495575,-0.81100464,0.53177834,0.36937484,0.91195774,0.11749764,-1.1800419,-0.63475764,0.38490638,-0.15193672,0.81167984,0.8559101
