,cluster,nodes_lat,nodes_lon
0,14,40.0,-180.0
1,14,40.0,-177.5
2,14,40.0,-175.0
3,10,40.0,-172.5
4,10,40.0,-170.0
5,10,40.0,-167.5
6,10,40.0,-165.0
7,10,40.0,-162.5
8,10,40.0,-160.0
9,2,40.0,-157.5
10,2,40.0,-155.0
11,2,40.0,-152.5
12,2,40.0,-150.0
13,2,40.0,-147.5
14,2,40.0,-145.0
15,3,40.0,-142.5
16,17,40.0,-140.0
17,17,40.0,-137.5
18,17,40.0,-135.0
19,17,40.0,-132.5
20,17,40.0,-130.0
21,17,40.0,-127.5
22,17,40.0,-125.0
23,5,40.0,-122.5
24,15,40.0,-120.0
25,15,40.0,-117.5
26,15,40.0,-115.0
27,15,40.0,-112.5
28,8,40.0,-110.0
29,16,40.0,-107.5
30,8,40.0,-105.0
31,10,40.0,-102.5
32,10,40.0,-100.0
33,10,40.0,-97.5
34,10,40.0,-95.0
35,10,40.0,-92.5
36,10,40.0,-90.0
37,10,40.0,-87.5
38,5,40.0,-85.0
39,5,40.0,-82.5
40,12,40.0,-80.0
41,12,40.0,-77.5
42,12,40.0,-75.0
43,12,40.0,-72.5
44,12,40.0,-70.0
45,12,40.0,-67.5
46,12,40.0,-65.0
47,10,40.0,-62.5
48,10,40.0,-60.0
49,1,40.0,-57.5
50,1,40.0,-55.0
51,1,40.0,-52.5
52,1,40.0,-50.0
53,1,40.0,-47.5
54,1,40.0,-45.0
55,3,40.0,-42.5
56,3,40.0,-40.0
57,3,40.0,-37.5
58,3,40.0,-35.0
59,3,40.0,-32.5
60,3,40.0,-30.0
61,3,40.0,-27.5
62,3,40.0,-25.0
63,3,40.0,-22.5
64,3,40.0,-20.0
65,18,40.0,-17.5
66,18,40.0,-15.0
67,18,40.0,-12.5
68,18,40.0,-10.0
69,18,40.0,-7.5
70,1,40.0,-5.0
71,8,40.0,-2.5
72,8,40.0,0.0
73,8,40.0,2.5
74,8,40.0,5.0
75,8,40.0,7.5
76,4,40.0,10.0
77,4,40.0,12.5
78,4,40.0,15.0
79,10,40.0,17.5
80,5,40.0,20.0
81,5,40.0,22.5
82,5,40.0,25.0
83,9,40.0,27.5
84,9,40.0,30.0
85,9,40.0,32.5
86,9,40.0,35.0
87,9,40.0,37.5
88,9,40.0,40.0
89,14,40.0,42.5
90,3,40.0,45.0
91,4,40.0,47.5
92,8,40.0,50.0
93,8,40.0,52.5
94,8,40.0,55.0
95,8,40.0,57.5
96,10,40.0,60.0
97,12,40.0,62.5
98,7,40.0,65.0
99,7,40.0,67.5
100,5,40.0,70.0
101,16,40.0,72.5
102,16,40.0,75.0
103,3,40.0,77.5
104,1,40.0,80.0
105,1,40.0,82.5
106,1,40.0,85.0
107,1,40.0,87.5
108,3,40.0,90.0
109,3,40.0,92.5
110,1,40.0,95.0
111,3,40.0,97.5
112,16,40.0,100.0
113,3,40.0,102.5
114,3,40.0,105.0
115,1,40.0,107.5
116,1,40.0,110.0
117,14,40.0,112.5
118,14,40.0,115.0
119,5,40.0,117.5
120,12,40.0,120.0
121,12,40.0,122.5
122,12,40.0,125.0
123,12,40.0,127.5
124,12,40.0,130.0
125,12,40.0,132.5
126,12,40.0,135.0
127,12,40.0,137.5
128,12,40.0,140.0
