,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6,abs_vo500_cluster7,abs_vo500_cluster8,abs_vo500_cluster9,abs_vo500_cluster10,abs_vo500_cluster11
1965-01-01,1.3237288362913682e-05,-7.309142468496106e-05,7.482242337596823e-05,-8.402601934551279e-05,-3.6631220517438784e-05,4.902247052417475e-05,0.00011076134137563964,-1.4331085400335372e-05,-5.9179429984981686e-05,0.00602666441409383,2.2751552619882563e-05
1965-02-01,9.970286501442443e-06,-7.236806064020027e-05,7.540051915200311e-05,-8.18282851654732e-05,-3.715842592720182e-05,4.676560158920686e-05,0.00011371446261616611,-1.3690028390115675e-05,-5.7382690957929565e-05,0.006422369187930599,2.1793790517182533e-05
1965-03-01,1.1784354187917001e-05,-7.317848981207796e-05,7.43349179263606e-05,-8.364024361814087e-05,-3.560409750470949e-05,4.6909565505550496e-05,0.0001146038288645672,-1.2968899730611853e-05,-6.078760963517371e-05,0.005313037763698958,2.2884801502341876e-05
1965-04-01,8.742428357130273e-06,-7.675084950030271e-05,7.54837768955597e-05,-8.981268049921003e-05,-3.059470448836995e-05,5.198525534731081e-05,0.00010718852733392138,-1.3383919450036671e-05,-5.651407326203896e-05,0.0052065690397284925,2.422246836315853e-05
1965-05-01,9.08780865495711e-06,-7.743788877834249e-05,7.273541499814911e-05,-9.200129745889226e-05,-2.791783091210612e-05,5.203998543121005e-05,0.0001041786773683881,-1.2344735868773525e-05,-5.60097960304938e-05,0.0042814590415218845,2.8755848354291647e-05
1965-06-01,7.019702630570086e-06,-8.260835999881526e-05,6.901602148324616e-05,-8.988305088845365e-05,-2.492257652298524e-05,5.191134236652446e-05,0.0001025371772339155,-1.07962122418792e-05,-6.182087300126704e-05,0.003309574822196737,3.222339850053017e-05
1965-07-01,5.946023435117781e-06,-7.917594095496524e-05,6.946800971033373e-05,-9.360782147565742e-05,-2.3352709251702293e-05,5.718998595098541e-05,9.603260511300138e-05,-1.4003389944845571e-05,-5.634563751171473e-05,0.0019861061446135864,3.194538939196809e-05
1965-08-01,7.163872725310411e-06,-7.763731899896204e-05,6.977441828143892e-05,-9.348712373306327e-05,-2.3806872680628054e-05,5.629099177895113e-05,9.696657688244048e-05,-1.2740788879983588e-05,-5.8267490098920075e-05,0.0023772299755364656,3.257864317671788e-05
1965-09-01,6.143931463301138e-06,-7.952292201174403e-05,7.01025554372657e-05,-9.005543465811606e-05,-2.5387138837528337e-05,5.436178898063107e-05,0.00010004885909082433,-1.1763187559345765e-05,-5.795149739449138e-05,0.003274603295722045,3.21483530204807e-05
1965-10-01,8.547525336586777e-06,-7.757617467614921e-05,7.049356369293733e-05,-8.774196226577445e-05,-2.81625143147919e-05,5.309251553791744e-05,0.00010102578275457093,-1.3520248301499737e-05,-5.927382619547132e-05,0.0038267327909125015,2.9849821432897768e-05
