,r700_cluster1,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster5
1965-01-01,28.247728,68.56123,38.324875,38.464108,64.07468
1965-02-01,32.450905,67.23607,26.049496,42.69841,55.484856
1965-03-01,30.947199,69.17222,25.504032,40.852352,52.21535
1965-04-01,18.845448,64.49237,20.627625,33.756416,61.55375
1965-05-01,27.011017,61.932133,19.058392,40.143085,43.74675
1965-06-01,20.683315,62.926414,41.03745,34.59017,42.79178
1965-07-01,23.951181,70.06494,62.30069,46.23819,31.948032
1965-08-01,26.580215,66.670944,64.69712,32.534447,31.51068
1965-09-01,24.085499,67.83395,62.086105,30.457428,34.449303
1965-10-01,21.250072,71.707886,46.434753,39.312607,57.031155
1965-11-01,15.947777,76.94466,15.171352,33.243713,41.564896
1965-12-01,21.595695,72.04695,8.689674,40.008766,53.358696
1966-01-01,15.586983,72.4207,18.94733,32.603775,58.24059
1966-02-01,22.068008,69.126015,13.122948,34.85276,52.888985
1966-03-01,21.097824,61.794647,17.615997,37.546623,53.14015
1966-04-01,33.214447,64.2554,24.006733,30.372845,55.901314
1966-05-01,27.483635,65.31915,32.183525,39.196426,48.62904
1966-06-01,28.78378,65.16813,34.384907,40.839664,31.934002
1966-07-01,20.928738,66.87703,56.229633,41.37975,31.748503
1966-08-01,16.243622,68.09017,65.913414,37.40052,30.24644
1966-09-01,19.344597,71.75585,56.088455,38.173714,45.62656
1966-10-01,25.830545,70.633,52.178173,33.278473,54.973812
1966-11-01,18.735565,72.515915,25.746824,30.597742,44.035854
1966-12-01,28.644243,72.57337,39.283432,32.651382,59.028557
1967-01-01,18.25597,70.9231,25.08998,36.950684,59.018482
1967-02-01,23.873844,67.10916,10.308861,37.19391,67.39631
1967-03-01,21.485489,69.600555,24.993702,37.78002,63.722565
1967-04-01,16.784786,65.12788,21.237194,44.671455,56.11496
1967-05-01,29.381926,64.15159,29.316051,40.315327,57.52027
1967-06-01,22.129025,64.6448,43.98569,40.54504,47.586807
1967-07-01,23.914383,70.380905,59.04382,38.21411,44.438366
1967-08-01,18.850525,70.58022,65.86769,32.168903,44.72213
1967-09-01,24.20997,68.443535,58.89856,27.21484,41.413227
1967-10-01,22.845196,72.46861,30.153835,36.06054,60.150166
1967-11-01,27.148966,73.45165,16.788162,33.609688,57.3615
1967-12-01,20.823368,65.85418,27.996881,31.60982,59.303936
1968-01-01,24.564741,69.776215,23.924128,45.3927,65.91162
1968-02-01,24.56957,64.94104,10.067261,37.451035,55.92257
1968-03-01,23.336632,64.77203,20.869148,36.086113,56.1125
1968-04-01,24.34101,64.145905,32.26819,38.833664,59.84833
1968-05-01,25.433914,64.746284,40.977623,39.297222,66.07741
1968-06-01,22.602663,68.868416,57.005814,46.136326,49.556683
1968-07-01,32.38408,69.07927,64.765594,36.76857,32.660927
1968-08-01,27.341265,67.43911,63.658207,43.216545,37.38021
1968-09-01,23.64889,68.31472,52.53923,31.756342,36.583473
1968-10-01,20.743599,67.8914,52.85632,33.702324,54.45624
1968-11-01,32.52572,69.40923,52.489334,41.280224,63.18821
1968-12-01,27.835407,67.36024,28.213657,40.233997,70.637344
1969-01-01,30.50123,69.549324,27.371168,37.4599,73.05205
1969-02-01,28.733154,66.12681,16.119316,34.440132,55.413063
1969-03-01,22.424564,67.37181,39.373367,35.277378,66.15521
1969-04-01,20.245384,65.07064,51.175026,35.937485,61.066563
1969-05-01,14.635334,65.47673,52.085804,41.64613,45.27754
1969-06-01,26.739473,67.46373,52.996582,50.50657,39.33159
1969-07-01,22.718685,70.42166,62.550545,35.6467,28.136555
1969-08-01,26.478773,66.20702,65.150856,37.073864,31.853191
1969-09-01,20.686565,69.28528,55.252632,29.445065,38.9021
1969-10-01,22.641811,67.46039,45.19231,39.816223,56.375645
1969-11-01,18.124695,68.44804,24.495117,31.649311,37.51839
1969-12-01,14.653717,68.190674,21.497074,36.699524,53.731888
1970-01-01,21.433441,67.04531,26.485981,31.677534,61.78921
1970-02-01,15.947308,67.38788,23.437576,30.017628,57.76108
1970-03-01,22.03584,71.005585,26.696157,35.41605,56.60593
1970-04-01,21.923306,66.169846,35.263794,35.94894,40.48845
1970-05-01,23.104933,64.15412,43.578224,44.16573,43.72055
1970-06-01,23.935715,65.07593,51.17772,35.13471,33.66843
1970-07-01,21.883587,66.88644,70.05565,37.50293,38.077194
1970-08-01,19.445854,68.65556,70.48262,35.1827,37.115677
1970-09-01,25.205055,65.476425,56.715157,39.492172,34.959286
1970-10-01,19.601421,69.03124,48.45534,30.659744,43.849636
1970-11-01,25.60555,68.979935,44.468582,35.0983,62.67626
1970-12-01,29.387094,70.90794,18.270847,40.69035,61.653507
1971-01-01,28.479786,64.38486,27.663263,30.699446,38.256096
1971-02-01,16.919975,62.273388,19.849655,34.073734,67.15732
1971-03-01,25.205238,63.213318,25.140999,38.480934,50.378853
1971-04-01,21.433678,64.30371,33.789726,35.803143,67.749
1971-05-01,20.662796,63.02229,48.02395,37.710052,61.24724
1971-06-01,29.068089,67.07786,55.55524,38.005898,42.729225
1971-07-01,23.009247,70.13602,64.91737,36.362705,34.200523
1971-08-01,21.076977,66.19034,68.16148,41.505283,47.368027
1971-09-01,25.384434,67.01531,55.14106,35.53604,36.69574
1971-10-01,23.191822,70.60599,46.71379,29.81023,44.28958
1971-11-01,14.585358,70.96776,35.502228,34.334076,54.49697
1971-12-01,25.984571,67.427795,24.288975,36.239296,65.769394
1972-01-01,21.059666,68.123375,32.368477,34.583755,50.809093
1972-02-01,20.49406,59.39066,29.486828,36.174923,57.950645
1972-03-01,22.714216,64.646866,27.99318,30.577402,61.696953
1972-04-01,21.90157,65.496895,42.854893,42.52333,65.82846
1972-05-01,23.864927,63.876476,47.483734,40.698124,70.19075
1972-06-01,28.401129,70.662094,55.514328,29.774506,61.18336
1972-07-01,21.979582,70.124115,57.250145,43.19133,43.500134
1972-08-01,24.711706,67.8487,61.83998,30.071934,43.76018
1972-09-01,24.679201,68.33141,54.225468,39.128086,48.85061
1972-10-01,20.48756,71.547874,52.936607,33.67684,53.500584
1972-11-01,23.50086,73.77615,31.073116,28.635172,52.980488
1972-12-01,24.698704,72.880615,25.290312,38.226048,49.653507
1973-01-01,28.853588,66.62503,29.139338,34.786987,54.5743
1973-02-01,21.333786,60.96424,26.986364,31.489378,50.628006
1973-03-01,28.016047,64.22736,29.173824,40.672768,57.267567
1973-04-01,27.007713,65.109245,41.19828,33.351677,59.762123
1973-05-01,16.99664,67.10785,42.93084,36.68213,50.554104
1973-06-01,23.217432,73.024826,55.80926,30.382511,41.607197
1973-07-01,31.811256,66.39512,65.83019,26.431288,32.61595
1973-08-01,18.197113,67.4675,60.6243,31.336649,29.131126
1973-09-01,18.607674,67.92076,54.423214,33.831207,37.38501
1973-10-01,21.634315,68.30669,48.545647,33.238358,44.620705
1973-11-01,13.603779,73.10858,42.728844,29.07529,52.22262
1973-12-01,30.479403,66.0404,23.69368,41.336227,50.54425
1974-01-01,25.00314,68.47716,44.752937,34.84251,60.52171
1974-02-01,17.27079,64.80516,34.19966,33.31554,54.769135
1974-03-01,22.3359,65.72564,28.756113,48.590195,73.044846
1974-04-01,27.757965,63.30298,35.078827,34.293858,57.537178
1974-05-01,23.322481,68.78288,46.64843,44.311707,47.251617
1974-06-01,31.443184,73.20184,52.566265,35.090393,38.635147
1974-07-01,25.48734,73.481125,72.68624,31.933996,26.497059
1974-08-01,31.07962,69.32327,64.18379,44.35467,41.907223
1974-09-01,22.355732,68.42262,55.233505,32.988335,46.76411
1974-10-01,18.34,70.29167,48.063026,35.903458,43.89691
1974-11-01,29.080017,71.24025,50.54683,30.863134,53.397507
1974-12-01,20.379265,76.34502,32.89579,23.537315,65.38521
1975-01-01,21.371494,67.28373,39.52468,37.61174,55.825836
1975-02-01,19.274174,66.88204,51.820515,29.500671,68.23197
1975-03-01,13.890942,68.24514,30.704079,36.052742,45.89402
1975-04-01,19.656105,65.257195,38.772346,32.829388,55.67109
1975-05-01,22.074444,64.86375,47.489235,31.258865,60.82714
1975-06-01,19.302158,67.87144,53.94582,29.098988,38.833256
1975-07-01,21.417591,66.60712,67.9307,43.14149,35.874947
1975-08-01,17.420498,70.6322,69.27075,33.593246,26.77613
1975-09-01,16.86242,69.36953,58.77262,32.050713,40.258907
1975-10-01,14.639984,69.667496,44.851944,32.501785,46.51136
1975-11-01,23.113226,68.64682,40.263847,32.449104,56.74115
1975-12-01,13.976543,72.42167,21.569046,26.865026,54.70968
1976-01-01,21.64989,68.49622,36.62025,27.03417,59.205353
1976-02-01,17.308685,67.86481,36.10692,25.28588,61.271812
1976-03-01,18.017185,66.41336,39.872467,30.44383,57.09789
1976-04-01,16.252495,66.79385,42.214455,29.223635,64.54535
1976-05-01,21.677773,64.82252,45.297745,28.375729,63.21527
1976-06-01,25.469564,67.29079,57.945793,41.36163,43.552734
1976-07-01,21.013554,65.31945,63.26447,37.31399,33.46972
1976-08-01,14.277878,70.041145,58.8101,32.17736,23.345701
1976-09-01,23.396544,64.71263,59.75477,42.325977,38.27998
1976-10-01,18.13527,70.11003,57.014248,32.58573,50.805027
1976-11-01,22.182907,70.03459,46.47694,43.296886,39.413254
1976-12-01,22.94553,71.44175,40.156193,35.90191,53.08961
1977-01-01,22.37649,71.91423,28.252333,29.951569,58.37558
1977-02-01,16.079899,64.90448,24.951334,28.494385,38.43962
1977-03-01,17.0546,69.17043,40.346794,28.076887,56.135384
1977-04-01,35.19223,66.08387,37.33983,41.860832,55.105446
1977-05-01,23.70696,62.62854,53.8497,46.963413,56.15975
1977-06-01,26.46375,66.637825,55.95019,42.487892,42.146748
1977-07-01,18.783077,65.36096,60.697002,31.922096,30.979881
1977-08-01,24.031862,67.65964,69.220795,32.043934,28.382294
1977-09-01,21.577232,68.351685,52.98059,31.005875,38.769394
1977-10-01,28.616222,71.63969,37.627365,35.98824,34.32312
1977-11-01,16.775185,69.765,36.20105,27.812092,45.85875
1977-12-01,19.99821,72.49742,43.01261,33.637577,59.439632
1978-01-01,16.907013,68.25978,28.459366,26.891172,59.259304
1978-02-01,15.112305,65.704735,38.608265,28.369076,60.984314
1978-03-01,20.862343,64.53255,33.246315,34.32029,47.103436
1978-04-01,15.039436,66.065895,45.663548,33.045143,52.446377
1978-05-01,18.505302,65.213684,49.351177,36.683666,43.483917
1978-06-01,20.965305,70.65642,59.248215,34.093773,38.879135
1978-07-01,29.492155,70.578804,69.03596,23.213049,24.928556
1978-08-01,21.16331,67.47252,65.55583,34.809753,29.370186
1978-09-01,19.2197,66.32884,51.765244,32.96119,27.276093
1978-10-01,16.867413,69.7361,53.734196,27.695862,45.646126
1978-11-01,20.732452,74.1112,33.596386,28.73974,40.637413
1978-12-01,20.334862,69.23396,35.402184,30.279419,60.9463
1979-01-01,19.89133,69.36519,52.44299,37.595005,61.39676
1979-02-01,19.889713,68.41707,31.362638,32.943382,57.494247
1979-03-01,23.175781,68.300575,33.72,36.606434,56.499203
1979-04-01,25.681995,66.95929,43.526432,30.38701,43.919594
1979-05-01,23.577034,68.963936,52.52874,39.258263,58.905106
1979-06-01,19.493313,71.949066,56.987827,32.57772,51.528843
1979-07-01,13.649254,66.773224,62.611843,33.592182,30.568222
1979-08-01,18.074364,66.08398,67.94786,34.59046,32.72172
1979-09-01,21.028751,61.485744,57.418205,35.01113,31.19437
1979-10-01,23.709705,67.38481,44.678417,40.56072,61.08449
1979-11-01,29.175161,67.993164,39.777626,35.428562,47.57294
1979-12-01,21.175987,76.362854,38.5496,36.287697,56.73219
1980-01-01,16.633667,65.69793,32.08939,31.504341,58.32207
1980-02-01,22.86224,67.53455,32.214874,40.30289,60.005516
1980-03-01,23.807444,63.69181,36.83497,35.09612,61.583027
1980-04-01,19.43343,66.229195,45.139732,37.468906,55.690166
1980-05-01,23.83026,66.48831,51.055405,34.718037,44.062523
1980-06-01,19.399204,66.46061,54.47118,30.916033,33.736977
1980-07-01,18.894009,71.21271,64.555534,29.250517,30.49069
1980-08-01,24.125229,64.24264,65.3557,31.034998,34.778336
1980-09-01,17.60006,68.114716,51.189037,31.51412,30.872032
1980-10-01,17.476204,67.90123,52.63292,37.723137,42.995094
1980-11-01,23.77648,70.14365,45.364624,37.439575,48.9124
1980-12-01,23.509216,67.881676,42.313896,33.836388,52.303726
1981-01-01,20.632847,67.79237,40.45666,38.95395,64.076454
1981-02-01,10.554157,62.698826,25.27108,25.653013,62.86394
1981-03-01,24.252037,67.01183,44.612892,38.948944,67.153595
1981-04-01,15.202396,64.56846,30.137804,35.278053,58.71605
1981-05-01,30.851635,68.81475,47.11463,35.88681,57.833767
1981-06-01,26.375183,65.430725,56.991516,33.04316,51.51103
1981-07-01,24.0102,68.783066,68.28105,27.92793,32.87471
1981-08-01,21.425068,69.186676,60.26713,34.901123,37.5513
1981-09-01,17.41227,68.18098,54.886715,29.574078,32.149208
1981-10-01,15.460911,68.94318,46.84111,32.319324,47.913525
1981-11-01,15.932907,68.357765,35.00286,28.600065,55.21194
1981-12-01,21.36169,69.10496,20.06245,35.58493,53.547447
1982-01-01,23.151148,67.723305,40.354916,30.521664,54.02302
1982-02-01,20.923264,65.73992,31.277697,35.278236,62.79783
1982-03-01,14.976345,65.29113,37.747406,38.406925,57.294876
1982-04-01,18.68573,62.289516,29.87984,40.60907,64.13456
1982-05-01,20.450344,65.91204,54.40908,33.01014,58.142597
1982-06-01,32.019253,67.99515,53.461628,33.34794,38.14151
1982-07-01,23.513079,67.885765,59.744743,28.55437,43.473953
1982-08-01,22.20852,67.42089,61.04287,31.374212,41.86537
1982-09-01,21.877153,67.84073,54.006935,36.55706,47.67074
1982-10-01,21.399405,71.38282,50.937767,34.34687,59.37316
1982-11-01,25.86965,72.58926,25.518978,37.218185,56.27986
1982-12-01,27.711473,72.09703,19.92273,31.515766,50.545273
1983-01-01,29.43082,74.03715,31.465725,32.64955,57.921085
1983-02-01,23.151731,66.102295,34.001358,29.736376,62.37164
1983-03-01,19.630642,68.55314,35.34996,27.800655,67.702065
1983-04-01,25.743355,63.04674,31.21616,35.813896,60.613495
1983-05-01,33.267063,62.78118,44.84458,35.965874,59.183304
1983-06-01,30.059528,67.63007,50.162212,35.054,48.51285
1983-07-01,23.458887,69.01067,61.003838,32.16162,36.490593
1983-08-01,14.576977,69.79776,58.687374,29.71238,33.222267
1983-09-01,28.334978,64.27216,53.95846,32.727943,37.247284
1983-10-01,17.739716,70.35448,49.96544,32.46878,43.270412
1983-11-01,21.294401,66.85419,42.52012,33.206272,63.291504
1983-12-01,20.235355,65.19683,30.977795,34.047752,45.91163
1984-01-01,18.512066,67.83506,23.768238,29.237808,58.269875
1984-02-01,22.865396,61.904217,32.581604,32.277916,46.175095
1984-03-01,21.033451,64.33861,35.800636,36.337418,60.082123
1984-04-01,25.570635,63.59171,40.332897,30.810392,54.33185
1984-05-01,25.838203,62.21611,51.991028,43.277798,56.818764
1984-06-01,18.448044,67.08324,53.831184,30.048723,32.479828
1984-07-01,17.272709,68.48511,60.070633,35.260574,29.311678
1984-08-01,19.918854,64.14162,59.258076,36.92016,33.72082
1984-09-01,30.56088,65.044464,57.83487,38.427086,32.578316
1984-10-01,17.502525,68.0977,53.061306,39.75836,37.333824
1984-11-01,21.089264,71.219894,36.409645,32.506092,63.81824
1984-12-01,22.939266,71.74354,35.186707,42.240353,47.73783
1985-01-01,20.93779,63.435005,38.206383,25.26068,57.522408
1985-02-01,22.291256,59.42382,21.81549,30.126598,65.10346
1985-03-01,25.093342,66.096,39.8207,30.157768,42.859028
1985-04-01,22.0747,70.36311,39.61727,40.442474,51.367004
1985-05-01,22.27977,68.67333,52.451416,39.26783,55.41592
1985-06-01,24.010569,69.61665,56.159096,31.908253,38.723164
1985-07-01,22.036968,68.696304,66.57669,35.868576,33.27484
1985-08-01,23.520039,67.746414,60.500034,33.60296,29.714815
1985-09-01,14.378807,69.12777,56.02293,36.729874,35.456795
1985-10-01,18.350616,70.36475,53.053505,31.880363,48.59609
1985-11-01,18.974033,69.32136,44.612793,35.08111,57.000706
1985-12-01,25.546139,70.5928,44.030396,38.181778,55.988476
1986-01-01,23.165802,67.842514,27.113848,34.086487,56.213253
1986-02-01,19.31781,67.14706,33.748596,33.809288,63.053032
1986-03-01,26.743155,67.64077,37.947598,34.585114,56.15584
1986-04-01,24.9717,63.74521,28.652388,37.373516,56.12632
1986-05-01,28.442438,64.429184,49.863903,41.38553,63.74849
1986-06-01,29.985899,68.267334,52.690025,40.68351,49.63263
1986-07-01,23.336386,70.56695,65.69217,35.789047,29.152658
1986-08-01,32.65128,63.54838,57.848564,43.184868,32.37736
1986-09-01,14.162552,68.45596,55.91637,35.30026,35.621742
1986-10-01,15.88644,70.735886,48.7141,27.929045,55.79007
1986-11-01,16.071789,70.61451,37.18817,26.905537,56.319866
1986-12-01,21.161434,76.004326,37.777016,33.254887,54.3237
1987-01-01,28.954012,69.85744,19.262299,37.542095,58.55928
1987-02-01,19.601261,67.08471,31.74281,37.91479,56.17531
1987-03-01,24.468805,65.9875,33.402275,33.39906,59.92637
1987-04-01,32.142815,63.44128,33.73481,36.097893,55.143967
1987-05-01,27.281698,62.51757,41.555008,40.62166,42.171883
1987-06-01,21.477594,70.85505,57.23717,36.356537,33.975777
1987-07-01,26.406183,66.43249,59.74002,33.036003,39.519634
1987-08-01,22.717773,66.94495,63.87663,31.514694,38.581467
1987-09-01,22.070375,68.67027,51.903755,37.01518,37.33486
1987-10-01,20.385208,70.44058,46.01451,27.48893,60.854897
1987-11-01,25.704165,70.32813,45.78479,29.445587,39.257782
1987-12-01,23.916185,69.73856,24.274424,34.237625,67.873474
1988-01-01,26.504301,68.295364,34.347557,37.277374,58.98964
1988-02-01,32.502373,66.14726,32.157112,32.039856,63.028526
1988-03-01,26.80396,64.197845,28.307142,32.210854,63.061096
1988-04-01,22.177156,63.331444,32.52517,42.513268,50.698524
1988-05-01,22.683647,67.2661,53.38569,37.676376,54.83187
1988-06-01,19.704967,65.92577,57.76006,32.49423,49.306087
1988-07-01,17.937958,69.57706,68.39471,33.09029,38.645386
1988-08-01,24.3106,67.441986,71.6193,34.761215,42.905758
1988-09-01,18.291359,67.96965,57.61023,32.233658,40.404255
1988-10-01,20.973633,70.51512,49.907036,39.405933,56.46371
1988-11-01,20.107227,70.11612,44.689056,30.57413,50.22298
