,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5
1970-01-01,0.14235854,0.025538111,-0.13895346,-0.077138186,-0.0017025232
1970-02-01,0.042170573,0.027764488,0.045706652,-0.04898076,0.08709148
1970-03-01,0.10031891,0.016501546,-0.03588431,-0.028419305,0.0388965
1970-04-01,0.11564176,0.014929962,-0.05670768,-0.008119822,0.016632508
1970-05-01,0.04269447,0.014537096,0.016632508,-0.071899556,0.10136662
1970-06-01,-0.002488327,-0.011393929,0.007988835,0.017287338,0.14458494
1970-07-01,-0.048194993,0.028812218,0.016239608,-0.010346198,0.07320921
1970-08-01,-0.022525907,0.0020954371,0.018596983,0.03378887,0.20600733
1970-09-01,-0.030645728,0.002488327,-0.003797972,0.014013219,0.11734428
1970-10-01,0.015060902,0.010739088,-0.005893397,0.013489341,0.05002848
1970-11-01,0.11603465,0.0015715838,-0.06076758,-0.05893407,0.032479227
1970-12-01,0.04662342,-0.010739088,-0.07635236,-0.011132002,0.036277197
1971-01-01,-0.01756289,0.013244176,-0.051537048,-0.04174789,0.04779414
1971-02-01,-0.047074318,0.06391744,-0.024616862,-0.044195175,0.04707434
1971-03-01,0.21795277,-0.007917714,-0.03224665,-0.031382896,0.037717056
1971-04-01,0.02144978,0.005326462,-0.081768274,0.0010077239,0.025624562
1971-05-01,-0.013100195,0.025624562,-0.046786427,0.017994786,0.0017275095
1971-06-01,-0.05038538,0.023321247,0.029367482,-0.038868714,0.083927654
1971-07-01,-0.00043187142,0.05643163,0.056143712,-0.13373725,0.016843116
1971-08-01,-0.021161865,0.04995351,0.05196892,0.023609161,0.029655397
1971-09-01,-0.024041032,0.037141204,-0.020442069,0.021449756,-0.020154167
1971-10-01,-0.0558558,0.003455019,-0.027783941,0.021017885,-0.014395809
1971-11-01,0.14942865,0.0011516571,-0.030231237,-0.07975288,-0.043331433
1971-12-01,0.089110136,-0.037861012,-0.06406142,-0.012236452,-0.057583284
1972-01-01,0.13691688,-0.060106613,-0.025647258,0.0051294565,0.010916519
1972-02-01,0.14888558,-0.065630674,-0.08207121,-0.03288107,0.008943653
1972-03-01,0.04392915,-0.027225543,0.017624283,-0.0057870867,-0.05155759
1972-04-01,0.11021745,0.04208784,-0.10166836,-0.030908203,-0.093513824
1972-05-01,0.0055240155,-0.00986433,-0.015782928,0.02222762,0.004340315
1972-06-01,-0.0599751,-0.0124948025,-0.03459091,-0.11955569,0.03077669
1972-07-01,-0.04445524,-0.007233858,0.009601283,0.022096062,0.02472658
1972-08-01,-0.05103147,0.048269413,0.010390425,-0.12731561,-0.0003945589
1972-09-01,-0.01236329,0.022622203,-0.003288102,-0.031171322,-0.036432266
1972-10-01,0.016835118,-0.018939544,-0.078257,-0.04287696,-0.017361213
1972-11-01,0.0885159,-0.0027620315,-0.06260562,0.00854907,-0.063657805
1972-12-01,0.13152441,0.003945732,-0.052609753,-0.04406066,-0.016045999
1973-01-01,0.117184006,-0.0019392148,-0.008310923,-0.0162063,-0.0074798316
1973-02-01,0.027149022,-0.0062331916,0.052081786,-0.025486827,-0.011358262
1973-03-01,0.06690293,-0.012881932,-0.121477984,-0.016344815,0.020915825
1973-04-01,0.2052798,0.0015236676,0.020500278,0.026179409,-0.0070642857
1973-05-01,0.057068337,0.008310926,-0.014959658,-0.055544663,0.040307976
1973-06-01,-0.017868483,-0.01662184,0.02188543,0.019115126,0.009142006
1973-07-01,-0.011912322,0.00013850928,0.040169466,-0.09820745,0.07950784
1973-08-01,0.017868485,0.049034454,0.04626415,0.010111618,0.04183165
1973-09-01,-0.009419046,-0.018284028,0.017452931,-0.010250139,0.021331368
1973-10-01,0.011358261,-0.001246643,0.030473387,0.016483337,0.015929267
1973-11-01,0.074105725,-0.02548683,-0.035182904,0.002216246,-0.010250138
1973-12-01,0.07064285,-0.05249734,-0.04100056,0.014267087,-0.014821142
1974-01-01,0.030590057,-0.0033677102,-0.03171263,-0.009541845,-0.006033814
1974-02-01,0.20276436,-0.023994958,-0.049814083,-0.021749806,0.0029467582
1974-03-01,0.032414235,-0.033536803,-0.044060897,0.011366034,0.06089946
1974-04-01,0.17385815,0.0037886738,0.008840239,0.03985126,-0.047007643
1974-05-01,0.007717681,-0.013049888,-0.0143127795,0.022451412,0.03971095
1974-06-01,0.016417604,0.0025257827,0.02974813,-0.021188522,0.12502632
