,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6,abs_vo500_cluster7
1970-01-01,1.9951178e-05,-3.7006314e-05,8.975857e-05,-8.9035144e-05,1.3253302e-05,-4.788791e-05,5.0288083e-05
1970-02-01,1.6718077e-05,-2.8084909e-05,9.575479e-05,-8.236637e-05,7.678438e-06,-6.106339e-05,6.506796e-05
1970-03-01,1.8160412e-05,-3.0053936e-05,8.909412e-05,-8.6190994e-05,8.124101e-06,-5.7101024e-05,6.937876e-05
1970-04-01,3.2705302e-05,-3.0070143e-05,8.381097e-05,-8.672579e-05,1.8604806e-06,-5.9321246e-05,6.876293e-05
1970-05-01,3.3701974e-05,-2.1002883e-05,8.518038e-05,-7.7885416e-05,2.8328395e-06,-4.7466554e-05,8.012334e-05
1970-06-01,3.1465544e-05,-3.0029627e-05,7.565935e-05,-0.000100136254,2.7842216e-06,-5.7506175e-05,5.3432046e-05
1970-07-01,3.8401715e-05,-1.7761682e-05,6.719171e-05,-8.025959e-05,1.6173908e-06,-5.8510945e-05,6.78878e-05
1970-08-01,3.158709e-05,-2.2615382e-05,7.245866e-05,-7.9676174e-05,1.1231059e-06,-5.914298e-05,6.199692e-05
1970-09-01,3.6408375e-05,-2.7979568e-05,8.1736594e-05,-0.00010292369,1.7632447e-06,-5.0335017e-05,5.378858e-05
1970-10-01,4.036264e-05,-2.3052944e-05,8.5674656e-05,-7.538969e-05,2.5978552e-06,-4.851994e-05,4.7605987e-05
1970-11-01,2.616618e-05,-2.1318901e-05,9.665423e-05,-8.234206e-05,9.987794e-06,-5.411912e-05,5.3869608e-05
1970-12-01,4.0046623e-05,-2.1529577e-05,9.79345e-05,-8.294979e-05,5.1421957e-06,-4.715864e-05,5.4266657e-05
1971-01-01,2.6059737e-05,-3.4045683e-05,9.0209636e-05,-8.282275e-05,1.956494e-06,-4.851805e-05,6.603811e-05
1971-02-01,2.0661686e-05,-3.2312666e-05,9.080666e-05,-7.589898e-05,7.6198885e-06,-4.7166464e-05,6.1295126e-05
1971-03-01,2.794201e-05,-3.0073843e-05,8.186794e-05,-8.051759e-05,5.8003207e-07,-5.049153e-05,6.1261955e-05
1971-04-01,2.5728059e-05,-2.5015761e-05,8.9330686e-05,-8.856907e-05,-8.010418e-06,-5.0193023e-05,6.0540555e-05
1971-05-01,3.0039868e-05,-2.6757069e-05,8.025102e-05,-7.923234e-05,-2.2428503e-07,-6.186807e-05,7.042455e-05
1971-06-01,3.261037e-05,-1.989134e-05,8.588124e-05,-7.187739e-05,1.6579834e-06,-6.0615992e-05,6.448752e-05
1971-07-01,3.7195812e-05,-2.2387216e-05,8.815323e-05,-7.634674e-05,1.7657803e-06,-6.477855e-05,6.141121e-05
1971-08-01,3.1267075e-05,-2.9360737e-05,7.9869584e-05,-8.3826075e-05,2.566485e-07,-5.8791764e-05,5.4951786e-05
1971-09-01,4.1681753e-05,-3.4949506e-05,9.083153e-05,-0.00010443154,1.7823622e-06,-4.992768e-05,6.563181e-05
1971-10-01,3.2966924e-05,-2.4675792e-05,8.432235e-05,-9.249115e-05,3.457335e-06,-5.5367193e-05,6.4247055e-05
1971-11-01,3.4650187e-05,-2.8763716e-05,8.302882e-05,-8.923242e-05,1.0613279e-05,-6.3062114e-05,5.543272e-05
1971-12-01,3.2660122e-05,-2.8888095e-05,8.8202985e-05,-7.510295e-05,2.18867e-06,-5.4280947e-05,5.872462e-05
1972-01-01,2.6434183e-05,-3.6314344e-05,8.957469e-05,-7.4283605e-05,3.848043e-06,-5.619123e-05,7.955524e-05
1972-02-01,1.9237817e-05,-2.6576516e-05,8.726508e-05,-7.817161e-05,1.2275013e-05,-5.7555597e-05,6.6161265e-05
1972-03-01,1.8515504e-05,-2.7379083e-05,9.0225665e-05,-7.571931e-05,6.2735853e-06,-5.1143965e-05,5.9152168e-05
1972-04-01,2.9519611e-05,-2.9822459e-05,7.973877e-05,-7.696776e-05,-1.3068318e-05,-5.8393838e-05,6.825686e-05
1972-05-01,3.2399945e-05,-2.2394244e-05,8.524974e-05,-7.9295205e-05,4.6833884e-07,-5.7082972e-05,7.9831676e-05
1972-06-01,3.53962e-05,-2.6647856e-05,7.8383324e-05,-8.294243e-05,6.8621375e-06,-5.0760522e-05,6.427077e-05
1972-07-01,2.7682621e-05,-1.8773764e-05,6.4338376e-05,-7.810027e-05,4.231493e-06,-6.805141e-05,6.212167e-05
1972-08-01,3.6894326e-05,-3.767871e-05,7.614505e-05,-9.089678e-05,3.2149037e-06,-5.473769e-05,4.907547e-05
1972-09-01,3.5039502e-05,-2.1484662e-05,9.0983645e-05,-8.3031606e-05,7.0910755e-07,-5.2436997e-05,5.068061e-05
1972-10-01,3.5512126e-05,-3.5101573e-05,9.765389e-05,-8.352206e-05,-4.285539e-09,-5.4336408e-05,5.8224752e-05
1972-11-01,2.9956569e-05,-2.6942133e-05,8.969062e-05,-7.608493e-05,1.0981988e-05,-4.8227972e-05,5.167936e-05
1972-12-01,2.3036639e-05,-3.0919302e-05,9.437227e-05,-6.659678e-05,1.440334e-06,-5.003821e-05,7.587234e-05
1973-01-01,1.9426694e-05,-3.390163e-05,9.865855e-05,-6.864498e-05,1.8317951e-06,-3.9293893e-05,5.551288e-05
1973-02-01,1.3029541e-05,-3.112334e-05,9.913635e-05,-8.061641e-05,7.4768577e-06,-4.0479536e-05,5.4955453e-05
1973-03-01,1.4330213e-05,-2.2116015e-05,9.5933356e-05,-8.250104e-05,2.8847135e-06,-5.761823e-05,6.7634726e-05
1973-04-01,2.2921678e-05,-2.2620352e-05,8.508563e-05,-8.459804e-05,-5.306356e-07,-5.3671996e-05,6.674107e-05
