,cluster,nodes_lat,nodes_lon
0,1,40.0,-180.0
1,2,40.0,-177.5
2,1,40.0,-175.0
3,1,40.0,-172.5
4,1,40.0,-170.0
5,1,40.0,-167.5
6,1,40.0,-165.0
7,1,40.0,-162.5
8,1,40.0,-160.0
9,1,40.0,-157.5
10,1,40.0,-155.0
11,1,40.0,-152.5
12,1,40.0,-150.0
13,1,40.0,-147.5
14,1,40.0,-145.0
15,1,40.0,-142.5
16,1,40.0,-140.0
17,1,40.0,-137.5
18,1,40.0,-135.0
19,1,40.0,-132.5
20,1,40.0,-130.0
21,1,40.0,-127.5
22,5,40.0,-125.0
23,1,40.0,-122.5
24,1,40.0,-120.0
25,2,40.0,-117.5
26,7,40.0,-115.0
27,1,40.0,-112.5
28,2,40.0,-110.0
29,1,40.0,-107.5
30,2,40.0,-105.0
31,2,40.0,-102.5
32,2,40.0,-100.0
33,1,40.0,-97.5
34,2,40.0,-95.0
35,1,40.0,-92.5
36,2,40.0,-90.0
37,1,40.0,-87.5
38,1,40.0,-85.0
39,1,40.0,-82.5
40,2,40.0,-80.0
41,1,40.0,-77.5
42,2,40.0,-75.0
43,1,40.0,-72.5
44,2,40.0,-70.0
45,2,40.0,-67.5
46,2,40.0,-65.0
47,2,40.0,-62.5
48,2,40.0,-60.0
49,2,40.0,-57.5
50,2,40.0,-55.0
51,2,40.0,-52.5
52,2,40.0,-50.0
53,2,40.0,-47.5
54,1,40.0,-45.0
55,1,40.0,-42.5
56,1,40.0,-40.0
57,1,40.0,-37.5
58,1,40.0,-35.0
59,1,40.0,-32.5
60,1,40.0,-30.0
61,1,40.0,-27.5
62,1,40.0,-25.0
63,1,40.0,-22.5
64,1,40.0,-20.0
65,1,40.0,-17.5
66,1,40.0,-15.0
67,1,40.0,-12.5
68,2,40.0,-10.0
69,2,40.0,-7.5
70,2,40.0,-5.0
71,1,40.0,-2.5
72,5,40.0,0.0
73,2,40.0,2.5
74,1,40.0,5.0
75,2,40.0,7.5
76,1,40.0,10.0
77,5,40.0,12.5
78,3,40.0,15.0
79,5,40.0,17.5
80,2,40.0,20.0
81,7,40.0,22.5
82,5,40.0,25.0
83,2,40.0,27.5
84,2,40.0,30.0
85,2,40.0,32.5
86,1,40.0,35.0
87,2,40.0,37.5
88,2,40.0,40.0
89,1,40.0,42.5
90,2,40.0,45.0
91,1,40.0,47.5
92,7,40.0,50.0
93,2,40.0,52.5
94,1,40.0,55.0
95,1,40.0,57.5
96,1,40.0,60.0
97,1,40.0,62.5
98,3,40.0,65.0
99,1,40.0,67.5
100,5,40.0,70.0
101,2,40.0,72.5
102,1,40.0,75.0
103,1,40.0,77.5
104,2,40.0,80.0
105,7,40.0,82.5
106,1,40.0,85.0
107,1,40.0,87.5
108,1,40.0,90.0
109,3,40.0,92.5
110,2,40.0,95.0
111,1,40.0,97.5
112,1,40.0,100.0
113,1,40.0,102.5
114,7,40.0,105.0
115,1,40.0,107.5
116,1,40.0,110.0
117,1,40.0,112.5
118,1,40.0,115.0
119,5,40.0,117.5
120,3,40.0,120.0
121,5,40.0,122.5
122,5,40.0,125.0
123,5,40.0,127.5
124,2,40.0,130.0
125,1,40.0,132.5
126,1,40.0,135.0
127,2,40.0,137.5
128,5,40.0,140.0
129,7,40.0,142.5
130,1,40.0,145.0
131,1,40.0,147.5
132,1,40.0,150.0
133,1,40.0,152.5
134,2,40.0,155.0
135,2,40.0,157.5
136,2,40.0,160.0
137,2,40.0,162.5
138,2,40.0,165.0
139,2,40.0,167.5
140,2,40.0,170.0
141,2,40.0,172.5
142,2,40.0,175.0
143,2,40.0,177.5
144,1,37.5,-180.0
145,1,37.5,-177.5
146,1,37.5,-175.0
147,1,37.5,-172.5
148,1,37.5,-170.0
149,1,37.5,-167.5
150,1,37.5,-165.0
151,1,37.5,-162.5
152,1,37.5,-160.0
153,1,37.5,-157.5
154,1,37.5,-155.0
155,1,37.5,-152.5
156,1,37.5,-150.0
157,1,37.5,-147.5
158,1,37.5,-145.0
159,1,37.5,-142.5
160,1,37.5,-140.0
161,1,37.5,-137.5
162,1,37.5,-135.0
163,1,37.5,-132.5
164,1,37.5,-130.0
165,1,37.5,-127.5
166,1,37.5,-125.0
167,6,37.5,-122.5
168,3,37.5,-120.0
169,1,37.5,-117.5
170,2,37.5,-115.0
171,1,37.5,-112.5
172,1,37.5,-110.0
173,1,37.5,-107.5
174,2,37.5,-105.0
175,2,37.5,-102.5
176,1,37.5,-100.0
177,2,37.5,-97.5
178,1,37.5,-95.0
179,1,37.5,-92.5
180,1,37.5,-90.0
181,1,37.5,-87.5
182,1,37.5,-85.0
183,2,37.5,-82.5
184,2,37.5,-80.0
185,2,37.5,-77.5
186,1,37.5,-75.0
187,2,37.5,-72.5
188,2,37.5,-70.0
189,2,37.5,-67.5
190,2,37.5,-65.0
191,2,37.5,-62.5
192,2,37.5,-60.0
193,2,37.5,-57.5
194,2,37.5,-55.0
195,1,37.5,-52.5
196,1,37.5,-50.0
197,1,37.5,-47.5
198,1,37.5,-45.0
199,1,37.5,-42.5
200,1,37.5,-40.0
201,1,37.5,-37.5
202,1,37.5,-35.0
203,1,37.5,-32.5
204,1,37.5,-30.0
205,1,37.5,-27.5
206,5,37.5,-25.0
207,1,37.5,-22.5
208,1,37.5,-20.0
209,1,37.5,-17.5
210,1,37.5,-15.0
211,1,37.5,-12.5
212,1,37.5,-10.0
213,1,37.5,-7.5
214,5,37.5,-5.0
215,1,37.5,-2.5
216,2,37.5,0.0
217,1,37.5,2.5
218,2,37.5,5.0
219,2,37.5,7.5
220,1,37.5,10.0
221,2,37.5,12.5
222,3,37.5,15.0
223,1,37.5,17.5
224,2,37.5,20.0
225,1,37.5,22.5
226,2,37.5,25.0
227,3,37.5,27.5
228,2,37.5,30.0
229,5,37.5,32.5
230,2,37.5,35.0
231,2,37.5,37.5
232,1,37.5,40.0
233,2,37.5,42.5
234,5,37.5,45.0
235,5,37.5,47.5
236,3,37.5,50.0
237,1,37.5,52.5
238,3,37.5,55.0
239,2,37.5,57.5
240,3,37.5,60.0
241,5,37.5,62.5
242,2,37.5,65.0
243,3,37.5,67.5
244,1,37.5,70.0
245,2,37.5,72.5
246,1,37.5,75.0
247,1,37.5,77.5
248,3,37.5,80.0
249,3,37.5,82.5
250,3,37.5,85.0
251,2,37.5,87.5
252,2,37.5,90.0
253,5,37.5,92.5
254,2,37.5,95.0
255,1,37.5,97.5
256,1,37.5,100.0
257,2,37.5,102.5
258,2,37.5,105.0
259,1,37.5,107.5
260,1,37.5,110.0
261,3,37.5,112.5
262,2,37.5,115.0
263,1,37.5,117.5
264,1,37.5,120.0
265,2,37.5,122.5
266,2,37.5,125.0
267,2,37.5,127.5
268,1,37.5,130.0
269,1,37.5,132.5
270,1,37.5,135.0
271,2,37.5,137.5
272,2,37.5,140.0
273,1,37.5,142.5
274,1,37.5,145.0
275,1,37.5,147.5
276,2,37.5,150.0
277,2,37.5,152.5
278,2,37.5,155.0
279,2,37.5,157.5
280,2,37.5,160.0
281,2,37.5,162.5
282,2,37.5,165.0
283,2,37.5,167.5
284,1,37.5,170.0
285,1,37.5,172.5
286,1,37.5,175.0
287,1,37.5,177.5
288,1,35.0,-180.0
289,1,35.0,-177.5
290,1,35.0,-175.0
291,1,35.0,-172.5
292,1,35.0,-170.0
293,1,35.0,-167.5
294,1,35.0,-165.0
295,1,35.0,-162.5
296,1,35.0,-160.0
297,1,35.0,-157.5
298,1,35.0,-155.0
299,1,35.0,-152.5
300,1,35.0,-150.0
301,1,35.0,-147.5
302,1,35.0,-145.0
303,1,35.0,-142.5
304,1,35.0,-140.0
305,1,35.0,-137.5
306,1,35.0,-135.0
307,1,35.0,-132.5
308,1,35.0,-130.0
309,1,35.0,-127.5
310,1,35.0,-125.0
311,1,35.0,-122.5
312,1,35.0,-120.0
313,3,35.0,-117.5
314,2,35.0,-115.0
315,5,35.0,-112.5
316,2,35.0,-110.0
317,2,35.0,-107.5
318,3,35.0,-105.0
319,1,35.0,-102.5
320,2,35.0,-100.0
321,1,35.0,-97.5
322,2,35.0,-95.0
323,2,35.0,-92.5
324,1,35.0,-90.0
325,1,35.0,-87.5
326,1,35.0,-85.0
327,1,35.0,-82.5
328,2,35.0,-80.0
329,1,35.0,-77.5
330,2,35.0,-75.0
331,2,35.0,-72.5
332,1,35.0,-70.0
333,1,35.0,-67.5
334,1,35.0,-65.0
335,1,35.0,-62.5
336,1,35.0,-60.0
337,1,35.0,-57.5
338,1,35.0,-55.0
339,1,35.0,-52.5
340,1,35.0,-50.0
341,1,35.0,-47.5
342,1,35.0,-45.0
343,1,35.0,-42.5
344,1,35.0,-40.0
345,1,35.0,-37.5
346,1,35.0,-35.0
347,1,35.0,-32.5
348,1,35.0,-30.0
349,1,35.0,-27.5
350,1,35.0,-25.0
351,1,35.0,-22.5
352,1,35.0,-20.0
353,1,35.0,-17.5
354,1,35.0,-15.0
355,1,35.0,-12.5
356,1,35.0,-10.0
357,3,35.0,-7.5
358,2,35.0,-5.0
359,1,35.0,-2.5
360,1,35.0,0.0
361,2,35.0,2.5
362,7,35.0,5.0
363,7,35.0,7.5
364,5,35.0,10.0
365,1,35.0,12.5
366,1,35.0,15.0
367,1,35.0,17.5
368,1,35.0,20.0
369,1,35.0,22.5
370,6,35.0,25.0
371,2,35.0,27.5
372,2,35.0,30.0
373,5,35.0,32.5
374,2,35.0,35.0
375,7,35.0,37.5
376,2,35.0,40.0
377,1,35.0,42.5
378,1,35.0,45.0
379,1,35.0,47.5
380,7,35.0,50.0
381,5,35.0,52.5
382,7,35.0,55.0
383,5,35.0,57.5
384,1,35.0,60.0
385,3,35.0,62.5
386,1,35.0,65.0
387,7,35.0,67.5
388,2,35.0,70.0
389,1,35.0,72.5
390,1,35.0,75.0
391,1,35.0,77.5
392,2,35.0,80.0
393,7,35.0,82.5
394,2,35.0,85.0
395,2,35.0,87.5
396,2,35.0,90.0
397,1,35.0,92.5
398,1,35.0,95.0
399,1,35.0,97.5
400,1,35.0,100.0
401,5,35.0,102.5
402,3,35.0,105.0
403,1,35.0,107.5
404,2,35.0,110.0
405,5,35.0,112.5
406,1,35.0,115.0
407,7,35.0,117.5
408,1,35.0,120.0
409,1,35.0,122.5
410,1,35.0,125.0
411,5,35.0,127.5
412,1,35.0,130.0
413,1,35.0,132.5
414,5,35.0,135.0
415,5,35.0,137.5
416,5,35.0,140.0
417,2,35.0,142.5
418,2,35.0,145.0
419,2,35.0,147.5
420,2,35.0,150.0
421,2,35.0,152.5
422,2,35.0,155.0
423,2,35.0,157.5
424,1,35.0,160.0
425,1,35.0,162.5
426,1,35.0,165.0
427,1,35.0,167.5
428,1,35.0,170.0
429,1,35.0,172.5
430,1,35.0,175.0
431,1,35.0,177.5
432,1,32.5,-180.0
433,1,32.5,-177.5
434,1,32.5,-175.0
435,1,32.5,-172.5
436,1,32.5,-170.0
437,1,32.5,-167.5
438,1,32.5,-165.0
439,1,32.5,-162.5
440,1,32.5,-160.0
441,1,32.5,-157.5
442,1,32.5,-155.0
443,1,32.5,-152.5
444,1,32.5,-150.0
445,1,32.5,-147.5
446,1,32.5,-145.0
447,1,32.5,-142.5
448,1,32.5,-140.0
449,1,32.5,-137.5
450,1,32.5,-135.0
451,1,32.5,-132.5
452,1,32.5,-130.0
453,1,32.5,-127.5
454,1,32.5,-125.0
455,1,32.5,-122.5
456,2,32.5,-120.0
457,5,32.5,-117.5
458,7,32.5,-115.0
459,1,32.5,-112.5
460,2,32.5,-110.0
461,2,32.5,-107.5
462,1,32.5,-105.0
463,1,32.5,-102.5
464,1,32.5,-100.0
465,1,32.5,-97.5
466,2,32.5,-95.0
467,2,32.5,-92.5
468,1,32.5,-90.0
469,2,32.5,-87.5
470,1,32.5,-85.0
471,2,32.5,-82.5
472,2,32.5,-80.0
473,2,32.5,-77.5
474,1,32.5,-75.0
475,1,32.5,-72.5
476,1,32.5,-70.0
477,1,32.5,-67.5
478,1,32.5,-65.0
479,1,32.5,-62.5
480,1,32.5,-60.0
481,1,32.5,-57.5
482,1,32.5,-55.0
483,1,32.5,-52.5
484,1,32.5,-50.0
485,1,32.5,-47.5
486,1,32.5,-45.0
487,1,32.5,-42.5
488,1,32.5,-40.0
489,1,32.5,-37.5
490,1,32.5,-35.0
491,1,32.5,-32.5
492,1,32.5,-30.0
493,1,32.5,-27.5
494,1,32.5,-25.0
495,1,32.5,-22.5
496,1,32.5,-20.0
497,6,32.5,-17.5
498,1,32.5,-15.0
499,1,32.5,-12.5
500,2,32.5,-10.0
501,3,32.5,-7.5
502,7,32.5,-5.0
503,1,32.5,-2.5
504,1,32.5,0.0
505,1,32.5,2.5
506,1,32.5,5.0
507,2,32.5,7.5
508,7,32.5,10.0
509,3,32.5,12.5
510,1,32.5,15.0
511,1,32.5,17.5
512,1,32.5,20.0
513,5,32.5,22.5
514,1,32.5,25.0
515,1,32.5,27.5
516,1,32.5,30.0
517,2,32.5,32.5
518,2,32.5,35.0
519,2,32.5,37.5
520,1,32.5,40.0
521,1,32.5,42.5
522,2,32.5,45.0
523,3,32.5,47.5
524,2,32.5,50.0
525,5,32.5,52.5
526,5,32.5,55.0
527,7,32.5,57.5
528,5,32.5,60.0
529,3,32.5,62.5
530,2,32.5,65.0
531,3,32.5,67.5
532,1,32.5,70.0
533,1,32.5,72.5
534,5,32.5,75.0
535,2,32.5,77.5
536,2,32.5,80.0
537,2,32.5,82.5
538,1,32.5,85.0
539,7,32.5,87.5
540,1,32.5,90.0
541,7,32.5,92.5
542,7,32.5,95.0
543,2,32.5,97.5
544,2,32.5,100.0
545,1,32.5,102.5
546,1,32.5,105.0
547,1,32.5,107.5
548,1,32.5,110.0
549,2,32.5,112.5
550,2,32.5,115.0
551,1,32.5,117.5
552,1,32.5,120.0
553,1,32.5,122.5
554,1,32.5,125.0
555,1,32.5,127.5
556,5,32.5,130.0
557,2,32.5,132.5
558,2,32.5,135.0
559,2,32.5,137.5
560,2,32.5,140.0
561,2,32.5,142.5
562,2,32.5,145.0
563,1,32.5,147.5
564,1,32.5,150.0
565,1,32.5,152.5
566,1,32.5,155.0
567,1,32.5,157.5
568,1,32.5,160.0
569,1,32.5,162.5
570,1,32.5,165.0
571,1,32.5,167.5
572,1,32.5,170.0
573,1,32.5,172.5
