,r50_cluster1,r50_cluster2,r50_cluster3,r50_cluster4,r50_cluster5,r50_cluster6,r50_cluster7,r50_cluster8,r50_cluster9
1965-01-01,3.6625671,6.8747406,6.750252,2.5700035,4.51598,6.029518,1.9524689,6.067192,5.326805
1965-02-01,3.4201393,6.504547,6.8255997,2.4831886,4.6322823,6.2244453,1.7296944,5.77071,5.0925674
1965-03-01,4.15889,6.257206,6.291603,2.0098,4.330883,5.664238,2.6355247,5.7789,4.6437454
1965-04-01,2.868126,5.9197693,6.280136,1.523304,3.1564178,4.163803,2.2325706,5.007389,4.6666794
1965-05-01,2.9647675,4.8386726,5.847698,1.5102005,2.796051,4.045868,2.306282,4.281742,3.8312836
1965-06-01,2.887783,3.9410324,5.159725,1.65271,2.72398,3.6379967,2.058941,3.8607712,2.6879425
1965-07-01,2.7649307,3.475834,4.86652,1.8672905,2.701046,3.202282,2.1146317,3.734642,2.4537048
1965-08-01,2.1015282,3.1629715,4.425888,1.7755585,2.3242989,2.9680443,1.7509918,3.5364418,2.283348
1965-09-01,2.2211037,3.4774704,5.1908493,1.762455,2.3799934,3.000805,1.5364075,3.8820648,2.7944145
1965-10-01,2.36689,4.239155,6.1376266,1.6969337,2.4635315,3.4185028,1.3873482,4.650299,3.3628082
1965-11-01,2.5126724,5.3055115,8.0180855,2.3308525,3.3955688,4.619175,1.6264992,5.7723465,3.9574127
1965-12-01,3.3955688,7.457878,10.810921,4.1015587,5.2596474,6.4947166,1.9590187,8.170422,5.6658783
1966-01-01,4.171318,7.891178,10.622795,2.8317757,4.4241257,6.4350815,2.1258888,8.556023,6.1560097
1966-02-01,4.012085,9.004181,10.6884575,3.5442314,5.2941704,6.99815,2.0667915,9.496658,6.7010193
1966-03-01,3.2815742,7.0670967,8.61348,2.8137207,3.923439,5.220299,2.0224686,6.88488,5.2317924
1966-04-01,3.5212479,5.8112755,6.2774887,2.0405273,2.968029,4.0728226,2.1094742,5.093899,4.2583237
1966-05-01,4.158188,5.1365776,4.184452,1.6252022,2.6971664,3.529457,2.94833,4.076107,4.5308304
1966-06-01,3.6788406,4.356819,2.9122162,1.5874481,2.6035957,3.025486,2.5641975,3.350521,4.0481987
1966-07-01,4.082672,3.769127,2.4755516,1.828762,2.5067406,2.7776031,2.8104362,2.636425,4.126995
1966-08-01,3.2602348,2.6988068,2.3048248,1.6859436,2.2178192,2.4345093,2.7168655,2.388546,2.9450455
1966-09-01,2.2851257,3.0747337,2.4000359,1.4216461,2.127533,2.477192,1.9830704,2.4509277,3.4293175
1966-10-01,2.8252106,3.9086647,3.127266,2.2473679,2.8334198,3.3258972,1.3970222,3.127266,3.554081
1966-11-01,3.7921104,6.0410995,4.7869186,2.3392982,4.6654396,5.458332,1.7910042,4.603058,5.9557343
1966-12-01,3.476925,6.438366,5.3073044,2.84655,4.4044266,6.4547806,2.037243,5.2892456,5.891712
1967-01-01,4.679165,6.824295,6.005089,2.307701,4.255207,7.1148148,2.1624374,5.32946,5.986511
1967-02-01,4.160618,6.550663,5.258518,2.6083565,4.848072,5.364929,2.0543365,4.4730988,6.0811005
1967-03-01,3.211357,5.0811653,4.4883003,2.0627823,3.7907104,4.4815407,2.1506157,4.118389,4.4089127
1967-04-01,2.6168022,4.442692,4.221424,2.2958755,3.1505508,3.6623383,1.8448906,3.768753,3.8616524
1967-05-01,2.9157677,4.596401,4.4528275,1.895565,2.659027,3.6640282,1.8212433,3.7332802,3.321144
1967-06-01,2.626934,4.050827,3.843071,1.7418594,2.7012558,3.216423,1.2756729,3.2248688,3.322834
1967-07-01,2.5087013,3.3380356,3.2603378,2.0830536,2.7080116,2.941105,1.9732628,2.9275894,2.7451706
1967-08-01,2.4394493,3.282299,3.569439,1.8938751,2.5644379,3.0981865,1.898941,3.2687836,2.522213
1967-09-01,2.762062,4.054207,4.8261147,2.0746078,2.7705078,3.4089775,1.4175568,4.0238037,3.3498611
1967-10-01,3.324524,6.270275,6.8479385,2.1303444,2.9360352,4.3058777,1.6084213,5.094677,4.822735
