,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9,abs_vo850_cluster10
1965-01-01,-5.536586575788006e-05,3.365051358238543e-05,8.684088243171571e-05,-0.00010030713666889896,-3.848848550980222e-06,0.00010488590406667854,-3.072308457059405e-05,-6.609829828538168e-05,1.7146684554147978e-05,5.715779052136877e-05
1965-02-01,-5.528840558426262e-05,3.190209481206465e-05,8.854678691766986e-05,-9.80100580109963e-05,-3.815847121613203e-06,0.00010791727550827932,-2.96427373966836e-05,-6.587259599282483e-05,1.7486349945864456e-05,5.7499608348075236e-05
1965-03-01,-5.503870595488592e-05,3.2300325146503586e-05,8.8581367559858e-05,-9.950850345148417e-05,-5.452106899284104e-06,0.00011152211098103887,-3.007084927434152e-05,-6.579645637653722e-05,1.6768490602660662e-05,5.711771266579233e-05
1965-04-01,-5.247450091441122e-05,3.2209238713503184e-05,8.717952368897385e-05,-0.00010014562332576519,-6.125808627022167e-06,0.00010865777396786682,-2.9238376811769887e-05,-6.633096492179425e-05,1.7029386998335795e-05,5.990546186248934e-05
1965-05-01,-5.111393315183515e-05,3.474709580714662e-05,8.506514859618618e-05,-0.00010224707344045432,-9.132926326316237e-06,0.00011077651935112145,-2.8318267414421192e-05,-6.463385824511041e-05,1.7358000943821975e-05,6.015052251568769e-05
1965-06-01,-5.118484975942876e-05,3.807582979542778e-05,8.577243286047384e-05,-0.00010248337272110099,-1.1157105239689713e-05,0.00011390268843603768,-2.7043299007254783e-05,-6.54722379160793e-05,1.3271794921998923e-05,6.125668034290216e-05
1965-07-01,-5.014087316310893e-05,3.9710152686247364e-05,8.389471986447461e-05,-0.00010384392513134893,-9.584949633989481e-06,0.00011326203767330972,-2.6486960528559384e-05,-6.457539040907324e-05,1.0708621249161167e-05,6.325400908455868e-05
1965-08-01,-4.993142081528075e-05,4.0040664599779774e-05,8.517385471019554e-05,-0.00010445901191347009,-9.502284736839783e-06,0.00011157054460555728,-2.7148494316364146e-05,-6.583301135416135e-05,1.1480637624421631e-05,6.248460530493194e-05
1965-09-01,-5.186910355939809e-05,3.968257483708721e-05,8.438123669210736e-05,-0.00010026317955218842,-9.377355514317287e-06,0.0001090082676253385,-2.682547977302099e-05,-6.564857477449133e-05,1.1858380809105162e-05,6.164798382531744e-05
1965-10-01,-5.176293555377034e-05,3.7224284218003355e-05,8.481587924920446e-05,-0.00010069296046626741,-8.798964490353e-06,0.00010250511641734866,-2.8681234408112626e-05,-6.627792125251946e-05,1.63464428431142e-05,5.995572148675945e-05
1965-11-01,-5.302117882505158e-05,3.53671523610204e-05,8.479608037636022e-05,-0.00010198583642500259,-5.727416896306181e-06,0.00010172776657984487,-2.91352883404916e-05,-6.670745398103046e-05,1.836122715632945e-05,5.89407809163131e-05
1965-12-01,-5.307746404368017e-05,3.4104509638325354e-05,8.549013066592372e-05,-9.938316754730422e-05,-5.593789306757024e-06,0.00010328841098170313,-3.002087339491045e-05,-6.574559773100907e-05,1.9271587928653935e-05,5.756690115893604e-05
1966-01-01,-5.5323255502902986e-05,3.2304686412129346e-05,8.698622795319268e-05,-9.714253281226612e-05,-2.5847695317438024e-06,0.00010640882667050592,-3.104982595360451e-05,-6.559987431516122e-05,1.8256737553623854e-05,5.646656409781292e-05
1966-02-01,-5.607029012923538e-05,3.246153346711987e-05,8.671931936987674e-05,-9.732951487724979e-05,-3.679234661380093e-06,0.00010477938135240778,-2.9480103794621433e-05,-6.583665529686813e-05,1.742797461948209e-05,5.7394590284809116e-05
1966-03-01,-5.394804470434876e-05,3.2343336397466014e-05,8.901218031744726e-05,-9.753233901247073e-05,-4.592389468704994e-06,0.00010811342454636124,-3.045272122617006e-05,-6.533814783205209e-05,1.743906369997591e-05,5.8093648486439624e-05
1966-04-01,-5.247290458849398e-05,3.3073040463015364e-05,8.797881905179978e-05,-0.00010029392226698351,-7.531814394390324e-06,0.00010955555168308179,-2.9171408001685394e-05,-6.654291595265529e-05,1.7721260847559012e-05,5.8201213788008734e-05
1966-05-01,-5.1658004872008056e-05,3.5484172473740396e-05,8.639485630820589e-05,-0.0001034321705098916,-9.643674125925372e-06,0.00010635352939263813,-2.645040719598796e-05,-6.543563820920755e-05,1.4911548974315466e-05,6.168074522872205e-05
1966-06-01,-5.061486960110727e-05,3.688479739228695e-05,8.617985506796023e-05,-0.00010331230377227332,-9.915758569789546e-06,0.00011138019208037466,-2.6987626539088302e-05,-6.458634161986755e-05,1.3316370053442234e-05,6.102397706116344e-05
1966-07-01,-4.923075431845591e-05,3.8915520855785046e-05,8.39106558652764e-05,-0.0001039949364117962,-1.0515319370796306e-05,0.00011294614523649214,-2.64290646401512e-05,-6.350562112171157e-05,1.0669979907222406e-05,6.282582224465411e-05
1966-08-01,-5.11097744830293e-05,3.9425121663436103e-05,8.363140957292423e-05,-0.00010268011490200853,-9.593269778562785e-06,0.00011131242596699545,-2.7402691819679793e-05,-6.453036222097342e-05,1.0008014079593419e-05,6.396921285820198e-05
1966-09-01,-5.1750625346010296e-05,3.935118205254415e-05,8.457246704810214e-05,-0.0001026953183526919,-8.908122928197315e-06,0.00010761806657279117,-2.6635618671742784e-05,-6.600730483144423e-05,1.109627129184885e-05,6.151312845759094e-05
1966-10-01,-5.2258552273730145e-05,3.742995036321939e-05,8.578324592566456e-05,-0.00010172495818458115,-8.263498108007639e-06,0.00010479099054700108,-2.7423940198194616e-05,-6.638075602927901e-05,1.5906756193749484e-05,5.9229266104335214e-05
1966-11-01,-5.320925273772035e-05,3.581840177373913e-05,8.66838110430928e-05,-0.00010156705411825203,-7.487347053469762e-06,0.00010067868667344251,-2.85287305643677e-05,-6.63758134474161e-05,1.752029436284402e-05,5.897755389347592e-05
