,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6,mgv250_cluster7,mgv250_cluster8,mgv250_cluster9,mgv250_cluster10
1965-01-01,-0.5892866,0.66655314,-0.0862442,0.0520998,-0.47640377,1.2084496,-0.6937804,0.9609022,0.2992057,-0.09168968
1965-02-01,0.3149534,0.1131772,0.26785755,0.10964499,-0.10817323,0.9843029,-0.7726659,-0.89732283,0.18808897,-0.6078306
1965-03-01,-0.059458494,0.26388386,0.24563408,0.3093608,-0.32599145,1.3092641,-1.006379,-0.45800704,0.2156106,-0.7055544
1965-04-01,-0.43313447,0.06416807,-0.03752949,0.09242556,-0.23621503,1.2845386,-0.89850014,-0.08300648,0.04253342,-0.42180195
1965-05-01,0.073587224,0.100814536,0.15011792,-0.11214695,0.07461746,0.60797775,-0.38986522,-0.61357033,-0.003532219,0.0019132614
1965-06-01,-0.31657228,-0.07211542,-0.024725342,-0.0387069,-0.28596002,0.30038303,0.07917984,-0.8912886,-0.24592848,0.13760813
1965-07-01,0.07697227,-0.09198399,0.35336596,-0.04297495,0.10920348,-0.10272779,0.8568498,-0.64903945,-0.2147276,0.7396989
1965-08-01,-0.04179754,0.46271667,0.0004415512,0.4063487,0.03620491,0.07991572,0.4519728,-0.788708,-0.01780815,0.42445117
1965-09-01,-0.22561848,-0.468162,0.5988529,0.080062866,-0.29376024,0.56014615,-0.19574204,-1.184313,-0.13790265,0.18882486
1965-10-01,-0.45535788,0.2388641,0.08477249,0.16262785,-0.24843049,0.7697226,-0.9107156,0.8297696,-0.17366591,-0.16674872
1965-11-01,-0.2796315,0.13289857,0.29655653,0.38942367,-0.4341647,0.3944277,-0.35071677,-0.15041232,-0.1468801,-0.18176048
1965-12-01,-0.31171554,0.5866375,0.1666015,-0.028993368,-0.4721357,1.4713031,-0.6432996,-0.26314813,0.22046736,-0.11980002
1966-01-01,-0.14683685,0.24202771,0.46119794,0.24897155,-0.28181106,0.5791014,-0.093165495,0.25157565,0.37367448,-0.33186573
