,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10
1965-01-01,,,,,,,,,,
1965-02-01,,,,,,,,,,
1965-03-01,,,,,,,,,,
1965-04-01,,,,,,,,,,
1965-05-01,,,,,,,,,,
1965-06-01,,,,,,,,,,
1965-07-01,,,,,,,,,,
1965-08-01,,,,,,,,,,
1965-09-01,,,,,,,,,,
1965-10-01,,,,,,,,,,
1965-11-01,,,,,,,,,,
1965-12-01,,,,,,,,,,
1966-01-01,,,,,,,,,,
1966-02-01,,,,,,,,,,
1966-03-01,,,,,,,,,,
1966-04-01,,,,,,,,,,
1966-05-01,,,,,,,,,,
1966-06-01,,,,,,,,,,
1966-07-01,,,,,,,,,,
1966-08-01,,,,,,,,,,
1966-09-01,,,,,,,,,,
1966-10-01,,,,,,,,,,
1966-11-01,,,,,,,,,,
1966-12-01,,,,,,,,,,
1967-01-01,5.7754161042297865,8.744435031190552,4.172103771114596,0.0,3.5277811670636408,8.22644128361328,5.094913011706274,7.443574713874452,5.96746126382457,7.118885316060997
1967-02-01,5.090726746475155,8.455467559536608,3.9121640225720182,0.0,3.2847903331650077,8.305967068877814,6.779407972939143,7.778248467912125,4.932425384099232,6.61752067570946
1967-03-01,6.010812933632277,8.30581432042362,2.831043708199429,3.4876460876658153,3.540639055280194,8.364308868569776,7.103375433241292,7.72728186324507,5.035737482248255,6.728269177666143
1967-04-01,5.868980779991886,8.524998218816744,4.414423740028974,4.937466978924457,4.27093948355307,8.245471288328408,7.510963857121581,7.809725877200445,5.344337142569374,7.268035055483806
1967-05-01,6.1999550868158835,8.427765710796344,3.894075861217036,0.0,4.553427424665094,7.907148401592553,7.058408610518593,7.043474763066792,5.970915600135723,7.388657327966091
1967-06-01,5.6844406498714655,8.388771964881,3.053255083914012,0.0,4.620424116945797,7.392157929130642,5.093567182080142,6.47666224152519,6.824328090813493,7.7922521513411755
1967-07-01,5.8795689176723105,8.49070337874183,4.481790899712534,0.0,4.385095969640188,6.710986025524737,3.395199500307847,5.762726524772775,7.0701479586746805,7.699345250687431
1967-08-01,4.156777250328068,8.18274951902694,5.7861606622779735,0.0,3.9070902502207585,6.660124126781451,3.221142104894707,5.588171317403797,7.735852298329224,7.967415931283055
1967-09-01,5.202054207140728,8.219807069071503,5.657324484210847,0.0,3.6362199793852152,6.920676313202807,3.1123505630987998,4.8902846195079315,7.877142891568984,8.188816778032042
1967-10-01,4.8509911136825234,8.181719955398709,5.625472103727793,0.0,2.953931646934163,6.9844148432253395,3.0872480548661527,6.003409388121801,7.4401936388279735,8.384140684210518
1967-11-01,4.916083970697834,8.43631670573055,5.116759096975876,3.2345904861406245,3.0558299178228343,7.51611595046407,3.1512843934564,6.141863219745009,6.845434065466064,8.182549962610613
