,cluster,nodes_lat,nodes_lon
0,10,40.0,-180.0
1,10,40.0,-177.5
2,8,40.0,-175.0
3,8,40.0,-172.5
4,8,40.0,-170.0
5,8,40.0,-167.5
6,8,40.0,-165.0
7,8,40.0,-162.5
8,8,40.0,-160.0
9,8,40.0,-157.5
10,8,40.0,-155.0
11,8,40.0,-152.5
12,8,40.0,-150.0
13,8,40.0,-147.5
14,8,40.0,-145.0
15,8,40.0,-142.5
16,9,40.0,-140.0
17,9,40.0,-137.5
18,9,40.0,-135.0
19,9,40.0,-132.5
20,9,40.0,-130.0
21,9,40.0,-127.5
22,6,40.0,-125.0
23,6,40.0,-122.5
24,3,40.0,-120.0
25,2,40.0,-117.5
26,4,40.0,-115.0
27,8,40.0,-112.5
28,9,40.0,-110.0
29,9,40.0,-107.5
30,5,40.0,-105.0
31,7,40.0,-102.5
32,7,40.0,-100.0
33,7,40.0,-97.5
34,7,40.0,-95.0
35,5,40.0,-92.5
36,5,40.0,-90.0
37,5,40.0,-87.5
38,5,40.0,-85.0
39,5,40.0,-82.5
40,6,40.0,-80.0
41,5,40.0,-77.5
42,5,40.0,-75.0
43,5,40.0,-72.5
44,5,40.0,-70.0
45,5,40.0,-67.5
46,5,40.0,-65.0
47,10,40.0,-62.5
48,10,40.0,-60.0
49,10,40.0,-57.5
50,8,40.0,-55.0
51,8,40.0,-52.5
52,8,40.0,-50.0
53,8,40.0,-47.5
54,8,40.0,-45.0
55,9,40.0,-42.5
56,9,40.0,-40.0
57,9,40.0,-37.5
58,9,40.0,-35.0
59,9,40.0,-32.5
60,9,40.0,-30.0
61,9,40.0,-27.5
62,9,40.0,-25.0
63,9,40.0,-22.5
64,9,40.0,-20.0
65,9,40.0,-17.5
66,8,40.0,-15.0
67,8,40.0,-12.5
68,9,40.0,-10.0
69,8,40.0,-7.5
70,10,40.0,-5.0
71,1,40.0,-2.5
72,3,40.0,0.0
73,3,40.0,2.5
74,7,40.0,5.0
75,2,40.0,7.5
76,8,40.0,10.0
77,9,40.0,12.5
78,9,40.0,15.0
79,10,40.0,17.5
80,6,40.0,20.0
81,1,40.0,22.5
82,1,40.0,25.0
83,7,40.0,27.5
84,2,40.0,30.0
85,9,40.0,32.5
86,4,40.0,35.0
87,6,40.0,37.5
88,3,40.0,40.0
89,2,40.0,42.5
90,3,40.0,45.0
91,9,40.0,47.5
92,3,40.0,50.0
93,8,40.0,52.5
94,1,40.0,55.0
95,9,40.0,57.5
96,9,40.0,60.0
97,1,40.0,62.5
98,9,40.0,65.0
99,4,40.0,67.5
100,8,40.0,70.0
101,9,40.0,72.5
102,7,40.0,75.0
103,5,40.0,77.5
104,2,40.0,80.0
105,9,40.0,82.5
106,2,40.0,85.0
107,7,40.0,87.5
108,7,40.0,90.0
109,8,40.0,92.5
110,6,40.0,95.0
111,9,40.0,97.5
112,8,40.0,100.0
113,3,40.0,102.5
114,5,40.0,105.0
115,3,40.0,107.5
116,2,40.0,110.0
117,2,40.0,112.5
118,9,40.0,115.0
119,3,40.0,117.5
120,10,40.0,120.0
121,3,40.0,122.5
122,9,40.0,125.0
123,7,40.0,127.5
124,9,40.0,130.0
125,7,40.0,132.5
126,7,40.0,135.0
127,7,40.0,137.5
128,6,40.0,140.0
129,8,40.0,142.5
130,10,40.0,145.0
131,10,40.0,147.5
132,10,40.0,150.0
133,5,40.0,152.5
134,5,40.0,155.0
135,5,40.0,157.5
136,5,40.0,160.0
137,5,40.0,162.5
138,10,40.0,165.0
139,10,40.0,167.5
140,10,40.0,170.0
141,10,40.0,172.5
142,10,40.0,175.0
143,10,40.0,177.5
144,8,37.5,-180.0
145,8,37.5,-177.5
146,8,37.5,-175.0
147,8,37.5,-172.5
148,8,37.5,-170.0
149,8,37.5,-167.5
150,8,37.5,-165.0
151,8,37.5,-162.5
152,8,37.5,-160.0
153,8,37.5,-157.5
154,8,37.5,-155.0
155,8,37.5,-152.5
156,8,37.5,-150.0
157,8,37.5,-147.5
158,8,37.5,-145.0
159,8,37.5,-142.5
160,8,37.5,-140.0
161,9,37.5,-137.5
162,9,37.5,-135.0
163,9,37.5,-132.5
164,9,37.5,-130.0
165,9,37.5,-127.5
166,9,37.5,-125.0
167,6,37.5,-122.5
168,9,37.5,-120.0
169,2,37.5,-117.5
