,cluster,nodes_lat,nodes_lon
0,3,40.0,-180.0
1,3,40.0,-177.5
2,3,40.0,-175.0
3,3,40.0,-172.5
4,3,40.0,-170.0
5,3,40.0,-167.5
6,3,40.0,-165.0
7,3,40.0,-162.5
8,8,40.0,-160.0
9,8,40.0,-157.5
10,8,40.0,-155.0
11,8,40.0,-152.5
12,8,40.0,-150.0
13,8,40.0,-147.5
14,8,40.0,-145.0
15,8,40.0,-142.5
16,8,40.0,-140.0
17,8,40.0,-137.5
18,8,40.0,-135.0
19,8,40.0,-132.5
20,8,40.0,-130.0
21,1,40.0,-127.5
22,1,40.0,-125.0
23,1,40.0,-122.5
24,1,40.0,-120.0
25,1,40.0,-117.5
26,1,40.0,-115.0
27,1,40.0,-112.5
28,1,40.0,-110.0
29,1,40.0,-107.5
30,1,40.0,-105.0
31,1,40.0,-102.5
32,1,40.0,-100.0
33,9,40.0,-97.5
34,9,40.0,-95.0
35,9,40.0,-92.5
36,9,40.0,-90.0
37,9,40.0,-87.5
38,9,40.0,-85.0
39,9,40.0,-82.5
40,9,40.0,-80.0
41,9,40.0,-77.5
42,9,40.0,-75.0
43,9,40.0,-72.5
44,9,40.0,-70.0
45,9,40.0,-67.5
46,9,40.0,-65.0
47,9,40.0,-62.5
48,9,40.0,-60.0
49,9,40.0,-57.5
50,8,40.0,-55.0
51,8,40.0,-52.5
52,8,40.0,-50.0
53,8,40.0,-47.5
54,8,40.0,-45.0
55,1,40.0,-42.5
56,1,40.0,-40.0
57,1,40.0,-37.5
58,1,40.0,-35.0
59,1,40.0,-32.5
60,1,40.0,-30.0
61,1,40.0,-27.5
62,1,40.0,-25.0
63,1,40.0,-22.5
64,1,40.0,-20.0
65,1,40.0,-17.5
66,1,40.0,-15.0
67,1,40.0,-12.5
68,1,40.0,-10.0
69,1,40.0,-7.5
70,1,40.0,-5.0
71,1,40.0,-2.5
72,1,40.0,0.0
73,1,40.0,2.5
74,1,40.0,5.0
75,1,40.0,7.5
76,1,40.0,10.0
77,1,40.0,12.5
78,1,40.0,15.0
79,1,40.0,17.5
80,1,40.0,20.0
81,1,40.0,22.5
82,1,40.0,25.0
83,1,40.0,27.5
84,1,40.0,30.0
85,1,40.0,32.5
86,1,40.0,35.0
87,1,40.0,37.5
88,1,40.0,40.0
89,1,40.0,42.5
90,1,40.0,45.0
91,1,40.0,47.5
92,1,40.0,50.0
93,1,40.0,52.5
94,1,40.0,55.0
95,1,40.0,57.5
96,1,40.0,60.0
97,1,40.0,62.5
98,1,40.0,65.0
99,1,40.0,67.5
100,1,40.0,70.0
101,1,40.0,72.5
102,1,40.0,75.0
103,1,40.0,77.5
104,1,40.0,80.0
105,1,40.0,82.5
106,1,40.0,85.0
107,1,40.0,87.5
108,1,40.0,90.0
109,1,40.0,92.5
110,1,40.0,95.0
111,1,40.0,97.5
112,1,40.0,100.0
113,1,40.0,102.5
114,1,40.0,105.0
115,1,40.0,107.5
116,1,40.0,110.0
117,1,40.0,112.5
118,1,40.0,115.0
119,9,40.0,117.5
120,9,40.0,120.0
121,9,40.0,122.5
122,9,40.0,125.0
123,9,40.0,127.5
124,9,40.0,130.0
125,9,40.0,132.5
126,9,40.0,135.0
127,9,40.0,137.5
128,9,40.0,140.0
129,9,40.0,142.5
130,9,40.0,145.0
131,3,40.0,147.5
132,3,40.0,150.0
133,3,40.0,152.5
134,3,40.0,155.0
135,3,40.0,157.5
136,3,40.0,160.0
137,3,40.0,162.5
138,3,40.0,165.0
139,3,40.0,167.5
140,3,40.0,170.0
141,3,40.0,172.5
142,3,40.0,175.0
143,3,40.0,177.5
144,3,37.5,-180.0
145,3,37.5,-177.5
146,3,37.5,-175.0
147,3,37.5,-172.5
148,3,37.5,-170.0
149,3,37.5,-167.5
150,3,37.5,-165.0
151,3,37.5,-162.5
152,8,37.5,-160.0
153,8,37.5,-157.5
154,8,37.5,-155.0
155,8,37.5,-152.5
156,8,37.5,-150.0
157,8,37.5,-147.5
158,8,37.5,-145.0
159,8,37.5,-142.5
160,8,37.5,-140.0
161,8,37.5,-137.5
162,8,37.5,-135.0
163,8,37.5,-132.5
164,8,37.5,-130.0
165,1,37.5,-127.5
166,1,37.5,-125.0
167,1,37.5,-122.5
168,1,37.5,-120.0
169,1,37.5,-117.5
170,1,37.5,-115.0
171,1,37.5,-112.5
172,1,37.5,-110.0
173,1,37.5,-107.5
174,1,37.5,-105.0
175,9,37.5,-102.5
176,9,37.5,-100.0
177,8,37.5,-97.5
178,8,37.5,-95.0
179,8,37.5,-92.5
180,8,37.5,-90.0
181,8,37.5,-87.5
182,8,37.5,-85.0
183,8,37.5,-82.5
184,8,37.5,-80.0
185,8,37.5,-77.5
186,8,37.5,-75.0
187,8,37.5,-72.5
188,8,37.5,-70.0
189,8,37.5,-67.5
190,8,37.5,-65.0
191,8,37.5,-62.5
192,8,37.5,-60.0
193,8,37.5,-57.5
194,8,37.5,-55.0
195,8,37.5,-52.5
196,8,37.5,-50.0
197,8,37.5,-47.5
198,8,37.5,-45.0
199,1,37.5,-42.5
200,1,37.5,-40.0
201,1,37.5,-37.5
202,1,37.5,-35.0
203,1,37.5,-32.5
204,1,37.5,-30.0
205,1,37.5,-27.5
206,1,37.5,-25.0
207,1,37.5,-22.5
208,1,37.5,-20.0
209,1,37.5,-17.5
210,1,37.5,-15.0
211,1,37.5,-12.5
212,1,37.5,-10.0
213,1,37.5,-7.5
214,1,37.5,-5.0
215,1,37.5,-2.5
216,1,37.5,0.0
217,1,37.5,2.5
218,1,37.5,5.0
219,1,37.5,7.5
220,1,37.5,10.0
221,1,37.5,12.5
222,1,37.5,15.0
223,1,37.5,17.5
224,1,37.5,20.0
225,1,37.5,22.5
226,1,37.5,25.0
227,1,37.5,27.5
228,1,37.5,30.0
229,1,37.5,32.5
230,1,37.5,35.0
231,1,37.5,37.5
232,1,37.5,40.0
233,1,37.5,42.5
234,1,37.5,45.0
235,1,37.5,47.5
236,1,37.5,50.0
237,1,37.5,52.5
238,1,37.5,55.0
239,1,37.5,57.5
240,1,37.5,60.0
241,1,37.5,62.5
242,1,37.5,65.0
243,1,37.5,67.5
244,1,37.5,70.0
245,1,37.5,72.5
246,1,37.5,75.0
247,1,37.5,77.5
248,1,37.5,80.0
249,1,37.5,82.5
250,1,37.5,85.0
251,1,37.5,87.5
252,1,37.5,90.0
253,1,37.5,92.5
254,1,37.5,95.0
255,9,37.5,97.5
256,9,37.5,100.0
257,9,37.5,102.5
258,9,37.5,105.0
259,9,37.5,107.5
260,9,37.5,110.0
261,9,37.5,112.5
262,9,37.5,115.0
263,9,37.5,117.5
264,9,37.5,120.0
265,9,37.5,122.5
266,9,37.5,125.0
267,9,37.5,127.5
268,9,37.5,130.0
269,3,37.5,132.5
270,3,37.5,135.0
271,3,37.5,137.5
272,3,37.5,140.0
273,3,37.5,142.5
274,3,37.5,145.0
275,3,37.5,147.5
276,3,37.5,150.0
277,3,37.5,152.5
278,3,37.5,155.0
279,3,37.5,157.5
280,3,37.5,160.0
281,3,37.5,162.5
282,3,37.5,165.0
283,3,37.5,167.5
284,3,37.5,170.0
285,3,37.5,172.5
286,3,37.5,175.0
287,3,37.5,177.5
288,3,35.0,-180.0
289,3,35.0,-177.5
290,3,35.0,-175.0
291,3,35.0,-172.5
292,3,35.0,-170.0
293,3,35.0,-167.5
294,3,35.0,-165.0
295,8,35.0,-162.5
296,8,35.0,-160.0
297,8,35.0,-157.5
298,8,35.0,-155.0
299,8,35.0,-152.5
300,8,35.0,-150.0
301,8,35.0,-147.5
302,8,35.0,-145.0
303,8,35.0,-142.5
304,8,35.0,-140.0
305,8,35.0,-137.5
306,8,35.0,-135.0
307,8,35.0,-132.5
308,1,35.0,-130.0
309,1,35.0,-127.5
310,1,35.0,-125.0
311,1,35.0,-122.5
312,1,35.0,-120.0
313,1,35.0,-117.5
314,1,35.0,-115.0
315,1,35.0,-112.5
316,9,35.0,-110.0
317,9,35.0,-107.5
318,8,35.0,-105.0
319,8,35.0,-102.5
320,8,35.0,-100.0
321,8,35.0,-97.5
322,8,35.0,-95.0
323,8,35.0,-92.5
324,8,35.0,-90.0
325,8,35.0,-87.5
326,8,35.0,-85.0
327,8,35.0,-82.5
328,8,35.0,-80.0
329,8,35.0,-77.5
330,8,35.0,-75.0
331,8,35.0,-72.5
332,8,35.0,-70.0
333,8,35.0,-67.5
334,8,35.0,-65.0
335,8,35.0,-62.5
336,8,35.0,-60.0
337,8,35.0,-57.5
338,8,35.0,-55.0
339,8,35.0,-52.5
340,8,35.0,-50.0
341,8,35.0,-47.5
342,8,35.0,-45.0
343,1,35.0,-42.5
344,1,35.0,-40.0
345,1,35.0,-37.5
346,1,35.0,-35.0
347,1,35.0,-32.5
