,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8,zgv50_cluster9,zgv50_cluster10
1965-01-01,-0.039442778,0.03811822,0.04680147,-0.032819916,0.017808128,0.03488035,0.0076530455,-0.0136872055,-0.035763383,0.01192112
1965-02-01,0.012509823,-0.15261993,-0.012362647,0.051805425,0.040767334,0.0063284873,0.0426806,-0.023253571,-0.032819916,0.036204934
1965-03-01,0.03841255,0.026638603,0.04724302,0.009272004,0.09963713,0.039001226,0.006622839,-0.030317951,-0.011332417,-0.0013245702
1965-04-01,0.01618917,0.09360299,0.0905123,-0.006622863,-0.06725869,-0.0075058937,0.023547936,0.010890913,-0.019279862,-0.039884306
1965-05-01,-0.039737105,-0.02001574,0.040472984,0.015894841,0.055631973,0.052099776,0.004120874,0.03017075,-0.031495333,0.11214694
1965-06-01,-0.016336393,-0.011185264,0.0045624254,0.02266488,0.067847446,0.008388949,-0.10007866,-0.008094597,-0.030023599,0.0076530697
1965-07-01,-0.040767334,-0.0069172145,0.08300638,0.020310069,0.073292896,0.034438826,0.0014717579,-0.0039736987,0.037087966,0.018691147
1965-08-01,-0.052099776,-0.005151105,0.08388944,0.02001574,-0.07034938,0.0426806,-0.14732166,0.00058870314,0.077119425,0.008830476
1965-09-01,-0.053718686,-0.02487247,0.074028775,-0.009124803,0.008977652,0.03252556,-0.10052018,-0.0045624254,-0.012068296,-0.027374435
1965-10-01,-0.017072236,-0.041650366,0.08624425,0.101844765,-0.03517468,0.012951374,-0.03326144,0.0013245821,0.010890913,0.25858554
1965-11-01,-0.03532188,0.22458825,0.06269636,0.03223119,-0.11347153,0.013245678,-0.05813389,-0.011038089,0.0017661095,0.06755309
1965-12-01,-0.116415024,0.0025019646,0.037087988,-0.05695653,-0.036646463,0.0220762,0.0016189336,0.01471746,-0.008830476,0.030759478
1966-01-01,-0.117758825,-0.06466608,0.021700049,-0.09070611,0.0668361,-0.042242717,-0.012441349,-0.004484677,-0.0056419848,0.32738113
1966-02-01,0.01851735,-0.021121358,0.0039060116,-0.027342033,0.06524477,0.16969423,-0.0026040077,-0.0007233143,-0.010415983,0.1203628
1966-03-01,-0.033852052,-0.110670134,-0.0056420327,-0.008246017,0.052080084,0.12296686,0.032116033,-0.0039060116,-0.00549736,0.013743353
1966-04-01,-0.04991007,-0.029512024,0.062640764,-0.0004339695,0.08535347,0.032839395,0.042098045,0.02054267,0.0062206746,0.058590077
