,vo1000_cluster1,vo1000_cluster2,vo1000_cluster3,vo1000_cluster4,vo1000_cluster5,vo1000_cluster6,vo1000_cluster7,vo1000_cluster8,vo1000_cluster9,vo1000_cluster10,vo1000_cluster11,vo1000_cluster12
1965-01-01,4.146130867501687e-05,5.422858894295694e-06,-0.0007731426497533297,5.944464915459817e-06,0.0020597501134034246,-3.22839446644317e-05,0.0001398438584029434,-6.368975066704608e-05,4.2630233144370356e-05,-2.27544978026585e-06,-7.132838073061231e-06,0.0026177001927862875
1965-02-01,5.38878396640087e-05,5.568639921811775e-06,-0.0007821930921636522,5.6764422355847665e-06,0.0010953287528536748,-2.7491777847685356e-05,0.00016664516513100676,-5.964741051554613e-05,2.2876761081365488e-05,-2.5330904372502015e-06,-6.559706225207869e-06,0.003231478331144899
1965-03-01,4.1363797733153274e-05,5.7058019891560844e-06,-0.0007205998069063451,4.873667056458406e-06,0.0019536992112989537,1.983286723521351e-06,0.0001815466783873196,-5.04591623341964e-05,1.4295895838316668e-05,-2.3258593083948866e-06,-7.186727080484583e-06,0.002884164860006422
1965-04-01,3.774592449452291e-05,5.200627381393287e-06,-0.0005905046540040834,1.7703409216699475e-06,-0.0019625336790340953,2.6700492490621684e-05,0.00021517816123612705,-4.4052093731547105e-05,-1.043258045548875e-05,-9.501778039939712e-07,-6.638453641362528e-06,0.002186828169215005
1965-05-01,3.13146367327201e-05,5.136539510730318e-06,-0.0005558756432340791,-1.1305197823003945e-06,-0.0031251049222191796,6.0560570073350535e-05,0.0002474012181928922,-3.473484022314161e-05,-3.9265958346529966e-05,6.829521685517058e-07,-7.12368786722135e-06,0.0013402023796516005
1965-06-01,2.654513836049617e-05,5.292814296193869e-06,-0.00039926777996394475,-3.95205139132789e-06,-0.0029733007977483794,8.692670734507927e-05,0.00024798237943961737,-2.4582553643475482e-05,-6.949685484869406e-05,1.7270790020093699e-06,-6.949929159684686e-06,7.61775083901739e-05
1965-07-01,2.2885916706883588e-05,5.721110414133613e-06,-0.0005162480495831309,-6.394496054009792e-06,-0.0034743450669338927,0.00011140590347577909,0.0002449870085148441,-2.165332294420555e-05,-8.367137019781188e-05,2.744260095798986e-06,-6.913921890093817e-06,-0.0008527767022314947
1965-08-01,2.299847527955625e-05,5.6361088735301414e-06,-0.0005415682001815488,-5.786790814344193e-06,-0.003742043554666452,8.773182772154756e-05,0.0002341002513158826,-2.9540901128452136e-05,-6.971941157071679e-05,2.232368048294339e-06,-6.30686193368999e-06,-0.00027169842269358924
1965-09-01,3.6694723963297e-05,6.000930377567036e-06,-0.0005905273307386476,-4.664844695842917e-06,-0.0036491834180196747,7.144665812352197e-05,0.00021418004067644717,-3.864661266561597e-05,-5.793106673216378e-05,1.6406508943438774e-06,-5.569328581390491e-06,-0.0005990198587824125
1965-10-01,3.400810775011442e-05,5.60827199494292e-06,-0.0005604744122441238,-1.6615256575305743e-06,-0.0036112924135522917,3.2321961542965805e-05,0.00015282598577605019,-4.334077467709513e-05,-2.551788316783064e-05,5.35969938721598e-07,-5.610878791539626e-06,0.00123844029076281
1965-11-01,4.143932348417185e-05,5.797349749991285e-06,-0.0006479745934484527,9.098589388982378e-07,-0.0023103722924133763,-9.506279371528173e-06,0.0001384531412529008,-5.79294789661487e-05,6.99905595209e-07,-7.736862780452605e-07,-6.189852526350538e-06,0.0018771163013298064
1965-12-01,4.62610366846527e-05,5.96800397655841e-06,-0.0007017133005623085,4.126328182575311e-06,-0.0007292469945241464,-3.4463914298434175e-05,0.0001539001752990448,-6.343975655909162e-05,2.247809586858946e-05,-1.699882774958242e-06,-7.429702631316573e-06,0.0029723321858909912
1966-01-01,5.30246407006498e-05,6.517687511435096e-06,-0.0007475467403613342,6.868069979673513e-06,0.0012737179531541187,-3.453859273006445e-05,0.00014982678910582177,-6.794873895289908e-05,2.8968430275131982e-05,-2.7901301041260378e-06,-7.807213377979192e-06,0.0031251249311026186
1966-02-01,4.280142371777679e-05,5.521604706546438e-06,-0.0008280513308515463,4.793461483366242e-06,0.0015129799976421054,-1.7518396263910164e-05,0.00017607214225966845,-6.180391340291991e-05,2.859036343310166e-05,-2.587760057798088e-06,-6.587631541108105e-06,0.003065026248805225
1966-03-01,3.7669474500239835e-05,5.736921333250868e-06,-0.0007033291694824584,3.823988723786787e-06,-0.0003904821824107785,4.223453092266687e-06,0.0002031579037241998,-5.0543781071610276e-05,1.1487758523866499e-05,-1.7375795695280749e-06,-6.836937757855708e-06,0.0026666952180676162
