,mgv600_cluster1,mgv600_cluster2,mgv600_cluster3,mgv600_cluster4,mgv600_cluster5,mgv600_cluster6,mgv600_cluster7,mgv600_cluster8,mgv600_cluster9,mgv600_cluster10,mgv600_cluster11,mgv600_cluster12
1965-01-01,0.21413887,-0.20133471,0.07137962,0.14894053,-0.36572856,0.3820649,0.5920829,-0.024136638,-0.08109312,-0.85626125,-0.14570272,0.1895607
1965-02-01,0.035321902,-0.017219413,-0.08374228,0.40208068,-0.105671264,0.1726357,0.5953207,0.16836758,0.1298079,-0.8887866,-0.20324793,0.2632951
1965-03-01,0.326433,-0.3234895,-0.2946433,0.36204928,-0.014423108,0.30685872,0.2577025,0.15674081,-0.0257555,-0.64182794,-0.33084822,0.34321088
1965-04-01,0.25696665,-0.311274,-0.21340299,-0.16027303,-0.16439387,0.29464328,0.477434,0.017955255,0.14069882,-0.5476362,-0.20089316,0.53851146
1965-05-01,-0.1730772,0.08418379,-0.4063487,-0.07402875,0.18411526,0.15938994,0.5695652,0.21722953,0.28522414,-0.2630009,-0.40149194,0.4569767
1965-06-01,0.15924278,-0.06004715,-0.5026008,0.042386245,0.14717445,0.08359508,0.66199076,0.20516124,0.62563866,-0.20354228,-0.443731,0.11199975
1965-07-01,0.17145827,-0.18234916,-0.427689,0.1401101,0.099048376,-0.1643939,0.76192224,0.24548702,0.40369958,-0.4850871,-0.2566723,0.013981581
1965-08-01,0.06034155,-0.15291426,-0.44358388,-0.06637566,-0.049597837,0.005003929,0.51967305,0.025461186,0.41488487,-0.36543423,-0.30362093,-0.07402875
1965-09-01,0.10331647,-0.03752949,-0.31627795,0.015306187,0.003532219,-0.0025019646,0.5327716,0.027080107,0.48552856,-0.27845412,-0.35145265,0.13113245
1965-10-01,0.10155036,-0.1505595,0.04989215,0.18985507,-0.18367372,0.16512974,0.3886878,0.05254128,0.3568981,-0.064609624,-0.40384674,0.27330297
1965-11-01,0.19662508,-0.0519526,0.185587,-0.03296709,-0.40149194,0.27124256,0.59605664,0.06931917,-0.07093811,-0.8071049,-0.09993146,0.21031232
1965-12-01,0.1867644,0.0141287325,0.09065948,-0.044741057,-0.52482414,-0.067405894,0.43725538,0.013687229,0.2312111,-1.0052017,-0.29199415,0.38250646
1966-01-01,0.2020996,0.08578744,0.067559436,0.0039060116,-0.37844852,-0.29714578,0.43689394,0.11414216,-0.10502811,-0.9368626,-0.23247965,0.54901075
1966-02-01,0.1312128,-0.14003754,-0.029512024,-0.1618822,-0.3202924,-0.19096026,0.5837308,0.1882116,-0.06813808,-0.91096723,-0.19920626,0.5779441
1966-03-01,0.236675,-0.09793947,-0.11587815,0.07508211,-0.11935015,-0.09114013,0.59530413,0.22669296,0.036022045,-0.7945104,-0.11472082,0.32911712
1966-04-01,0.11515484,-0.07927742,-0.16795823,-0.07797547,-0.12947683,0.12267747,0.5118314,-0.062206745,0.21454096,-0.62539494,-0.15580621,0.5096613
1966-05-01,-0.031103373,-0.025895357,-0.257941,-0.1005435,0.046872042,0.1727322,0.3017751,0.2673444,0.4743626,-0.27009305,-0.34937048,-0.07855411
1966-06-01,0.10604081,0.09649281,-0.37729117,0.100254156,0.009692669,-0.002314663,0.40940723,-0.030669356,0.39031115,-0.21106891,-0.31682044,0.1452456
1966-07-01,0.09634809,-0.053526737,-0.49172267,0.1743236,0.09924145,0.059024096,0.5234047,0.121086165,0.4034759,-0.52658737,-0.09359946,-0.16390753
1966-08-01,0.19139428,-0.11327417,-0.4273459,0.021700049,-0.007956696,-0.0036167144,0.5957381,0.11819284,0.3312871,-0.3781592,-0.18965825,-0.12904282
