,r200_cluster1,r200_cluster2,r200_cluster3,r200_cluster4,r200_cluster5,r200_cluster6,r200_cluster7,r200_cluster8,r200_cluster9,r200_cluster10,r200_cluster11,r200_cluster12
1965-01-01,57.77318,34.324814,26.78497,83.496765,42.750828,47.027718,62.736404,45.268475,31.387827,77.14286,58.855915,22.63912
1965-02-01,43.91055,37.33223,14.204914,74.71039,38.42971,17.287685,38.414967,45.659966,39.456753,80.056915,38.999744,15.123848
1965-03-01,52.583908,30.672009,23.363129,82.86121,37.17662,41.43549,42.511673,33.01439,51.383232,70.61532,30.568813,12.616028
1965-04-01,62.721664,70.849556,69.34749,75.43931,36.383812,48.918003,64.87567,36.945656,52.172764,58.357956,57.344017,36.898155
1965-05-01,51.40453,73.77507,61.709362,80.10769,29.64169,53.828808,78.72356,39.512444,32.891537,67.88637,57.30962,28.326353
1965-06-01,65.10827,47.338943,62.184387,81.77848,8.817444,72.65138,86.08977,28.347649,45.910583,44.162807,67.94042,43.242233
1965-07-01,33.9366,52.89677,76.55317,73.97,15.906826,81.61632,81.069214,13.2073555,37.320763,26.41805,77.10519,60.303932
1965-08-01,46.50027,43.219303,77.196915,75.89796,24.427847,83.591774,85.962006,17.053448,43.748386,48.177612,78.957794,70.32867
1965-09-01,49.230865,62.613552,51.247276,74.117424,23.502361,68.89867,77.63263,16.814293,47.65017,50.311962,67.08373,39.70082
1965-10-01,48.642815,65.52433,53.828808,66.6218,34.373955,72.11411,78.57286,42.577194,45.710743,69.68328,65.956764,28.496708
1965-11-01,51.01304,56.80019,36.50994,67.79136,41.173405,54.94103,61.945236,53.145752,53.31283,61.0951,57.468506,21.839764
1965-12-01,65.93547,56.913216,33.731846,73.91758,51.36685,58.990234,53.848465,53.89433,39.274933,73.12805,55.05569,24.103518
1966-01-01,60.085743,23.492912,24.177458,85.00026,44.37895,44.87307,60.68657,35.612823,40.63611,70.65598,60.67015,21.72163
1966-02-01,68.81412,45.84161,23.959126,84.18931,58.805298,34.537575,45.143932,34.87082,38.370705,61.312016,31.768202,18.405605
1966-03-01,68.009735,42.660194,33.334282,84.875496,41.167984,52.455605,59.21898,39.217766,44.22135,53.63755,51.05368,25.221514
1966-04-01,65.93639,55.05097,59.051537,77.28475,49.105103,69.28197,63.224476,41.578384,49.523712,59.06467,65.74761,40.1978
1966-05-01,54.62087,61.62556,71.860916,73.90471,44.79263,56.17546,76.47216,28.969278,45.10289,40.18795,62.247726,20.669365
1966-06-01,47.90674,56.359318,70.49347,81.62514,19.91423,66.47648,80.88149,20.623402,46.626293,56.774643,56.95522,31.466148
1966-07-01,40.435833,54.514164,66.53722,87.022705,14.625008,75.82209,80.24455,15.383427,33.917053,31.781334,65.14022,70.7709
