,zgu250_cluster1,zgu250_cluster2,zgu250_cluster3,zgu250_cluster4,zgu250_cluster5,zgu250_cluster6,zgu250_cluster7,zgu250_cluster8,zgu250_cluster9,zgu250_cluster10,zgu250_cluster11,zgu250_cluster12
1965-01-01,-0.5953886,0.12383576,-1.1347252,0.80167276,0.35586435,-0.20172119,0.107867435,-0.23528786,0.34217757,0.28840676,0.32425365,0.10102387
1965-02-01,-0.9222496,0.08863983,-0.5113106,0.48198128,-0.19715957,0.71205485,0.53510016,-0.32197267,0.49012834,0.07430191,-0.30144197,-0.15740165
1965-03-01,-0.5979956,0.15446892,-0.16587448,0.47253036,0.112103656,0.0228117,0.30046424,-0.29068795,0.45069656,-0.3226242,-0.17793198,-0.044646073
1965-04-01,-0.20986862,-0.1482769,-0.7492054,0.4686199,-0.40637627,0.48132974,-0.17499924,-0.07918968,0.27928162,0.18933792,-0.0410614,0.052793123
1965-05-01,-0.16424522,0.26233596,0.20009232,0.12742043,0.21410522,-0.2998127,-0.105912015,0.13361207,-0.14892884,-0.01108017,-0.52662736,0.16359329
1965-06-01,0.08147049,0.13850021,0.006843567,0.042364884,0.38682327,0.17369576,-0.43538016,0.2932953,0.12513924,-0.1883606,-0.374765,0.39431876
1965-07-01,0.24864884,0.08896637,-0.31121865,-0.017597962,-0.13882637,0.309589,0.11601448,-0.03747635,-0.22616272,-0.010427857,-0.23235473,0.13491516
1965-08-01,-0.10004654,0.23007354,0.22909585,-0.32001764,-0.15740165,1.4534391,-0.23789482,0.11373291,0.057681274,0.044646453,-0.21182403,0.3356598
1965-09-01,-0.29133987,0.24115372,-0.1733696,0.12416153,0.47416002,-0.3571682,0.027374268,-0.15023232,-0.012057876,-0.03910599,-0.057355117,-0.16294174
1965-10-01,-0.19227104,-0.27211267,-0.14436646,0.5217388,1.3282998,-0.44678575,0.28645134,0.08864021,0.21117249,-0.042690657,-0.14338836,0.25158197
1965-11-01,-0.38617134,0.10134964,-0.33761483,0.12416153,0.5240204,-0.12579116,0.32229844,0.029003525,0.0368248,-0.25842515,-0.15968284,0.42071533
1965-12-01,-0.22616272,0.3324009,-0.20335121,0.99198836,-0.13817444,-0.12742043,0.34511033,-0.24864921,0.22681503,0.043016434,0.009776687,0.0778862
1966-01-01,-0.5080999,0.2583168,-0.5140079,1.1875359,-0.063676834,-0.7486927,0.52812195,-0.14310798,0.18348083,0.053173065,-0.15820675,-0.31772652
1966-02-01,-0.74902076,-0.015426636,-0.32658845,1.0509923,0.5097412,0.16345863,0.40536386,-0.18019828,0.5455181,0.124399185,-0.2812931,-0.10700264
1966-03-01,-0.13687173,0.10437737,-0.39420432,0.7381889,-0.024288941,-0.5960655,0.18643455,-0.15951958,0.04693718,0.06925659,-0.32987136,-0.11061325
1966-04-01,-0.5379688,0.28556022,0.13391761,0.23074532,-0.51532096,-0.10043831,0.010175323,-0.04824982,0.21334954,0.4033943,-0.22746316,-0.28982735
1966-05-01,-0.02363205,0.3216652,-0.04923439,0.12210159,0.12275772,-0.23107377,-0.12407074,0.09059143,-0.23632546,0.1756031,-0.042341612,0.25043947
1966-06-01,-0.019037629,0.12899399,-0.0065643312,0.37319756,-0.02067871,-0.10404892,0.16181755,0.4109436,0.036105346,-0.122429654,-0.30623856,0.16050415
1966-07-01,0.045951843,-0.03643341,-0.23927994,0.29212457,-0.06925659,0.7460663,0.19070129,-0.096171185,0.0899353,-0.40602034,-0.207769,0.29737625
1966-08-01,-0.06991272,0.30426866,-0.2238533,-0.543877,-0.16345826,0.5245117,-0.033151247,0.2983612,0.08337059,-0.23566894,-0.287529,0.16345826
1966-09-01,-0.25569075,0.343985,0.14606246,-0.4467209,0.30558205,-0.60985106,-0.23435593,0.06663094,0.15098572,-0.050218962,-0.09354553,0.03216629
1966-10-01,-0.16050415,0.1391697,0.086652756,0.60263026,0.7312962,-0.13358955,-0.012800979,0.13457413,0.015098572,-0.026258087,-0.043326568,-0.039387513
1966-11-01,-0.03708992,0.21695976,-0.8553673,0.35317534,-0.2425619,-0.5097408,0.26225585,-0.15229836,0.20612831,-0.45689622,0.3876396,0.26849213
1966-12-01,-0.38173142,0.18348083,-0.85700834,0.64431536,0.19759445,-0.14606246,0.38534203,-0.30459747,0.37647972,-0.33348197,-0.14277992,0.018380737
1967-01-01,-0.6181477,0.14759827,-2.0082464,0.8679539,0.42026216,0.28539962,-0.17959937,-0.15347596,0.5531658,0.2713581,-0.35821915,0.31642112
1967-02-01,-0.2720112,-0.0026123046,-1.1641296,0.96983606,0.42973214,-1.0651869,0.3170742,-0.2210701,0.35560647,0.094371036,-0.072819516,-0.6031269
1967-03-01,-0.1952732,-0.057471465,-1.0740035,0.30303305,0.46957016,-0.022204971,-0.2315197,-0.6439449,0.55839044,0.03624611,-0.22498894,-0.0035919189
1967-04-01,-0.12408676,0.07086029,-0.5675335,0.0013061523,0.55708426,1.110903,-0.35985184,-0.183844,-0.18188515,-0.45912093,0.13159752,0.071186446
