,mgu50_cluster1,mgu50_cluster2,mgu50_cluster3,mgu50_cluster4,mgu50_cluster5,mgu50_cluster6,mgu50_cluster7,mgu50_cluster8,mgu50_cluster9,mgu50_cluster10,mgu50_cluster11,mgu50_cluster12
1965-01-01,-0.66317254,-0.59832156,0.283844,-0.6445969,-1.3149385,1.8542753,0.1753252,-0.0368248,1.2539985,0.11699219,2.0393772,0.26787606
1965-02-01,-0.63090974,-0.164571,0.37411347,-0.6159195,-1.1708982,1.2002277,-0.12579098,0.25060424,1.1265786,0.2890583,1.9002247,-0.0834259
1965-03-01,-0.65046275,-0.3411995,0.40605086,-0.6139641,-1.102463,1.129837,0.3076338,-0.3584717,1.3661022,0.39790344,1.6998069,0.13524151
1965-04-01,-0.5425957,-0.55432737,-0.043016434,-0.6397087,-1.2390077,0.9786272,-0.41615295,0.048230745,0.8316536,0.21997146,1.9807183,0.2554924
1965-05-01,-0.67620754,-0.30437508,-0.32751274,-0.55269814,-1.1624253,-0.10493431,-0.48784715,0.50186,0.29590186,0.014012909,1.0108898,0.28417015
1965-06-01,0.01987896,-0.40148848,-0.233984,-1.3159164,-0.6755562,-0.26331368,-1.0148003,0.7058632,0.08049317,0.21540833,0.38193512,0.60060275
1965-07-01,0.19650745,-0.1697853,-0.3073078,-1.3149388,-0.812101,-0.6648018,-1.2295574,0.5562828,-0.07593079,0.17695388,-0.10232735,0.65991366
1965-08-01,-0.5787684,-0.079841614,-0.21997109,-1.5531594,-0.8270912,-0.5826794,-0.9297451,0.8296989,-0.2998127,0.2538635,-0.44971848,1.0089344
1965-09-01,-0.43440247,0.22322997,-0.6797924,-0.8841213,-0.6116829,-0.25190735,-0.43994218,0.6993454,-0.4526512,0.5686661,-0.21703796,0.98481905
1965-10-01,-0.5028378,0.6755562,-0.26624602,-0.9343071,-0.1202507,0.1352417,-0.10884552,0.675882,-0.4611252,0.65144044,-0.06941299,0.061592102
1965-11-01,0.18575326,0.9114952,-0.76908416,-0.80036926,0.33044586,0.22160034,0.043016814,0.31643257,-0.5175026,0.74431723,-0.07625656,-0.23691711
1965-12-01,-0.2685276,1.5544628,-0.8453407,-0.5350998,0.7377998,0.23105088,0.28873214,0.6204815,-0.6367752,0.5380333,-0.16098633,-0.30046424
1966-01-01,-0.4608345,1.8085473,-0.87900007,-0.9827202,0.94595873,0.45656815,0.42932433,0.40897483,-0.55963135,0.70832026,0.011159515,-0.11192627
1966-02-01,-0.5366558,1.538414,-0.83764267,-0.7972702,0.90328825,0.44836196,0.3987999,0.20120506,-0.35448837,0.9915825,0.122429654,-0.2277914
1966-03-01,-1.073312,1.5092014,-0.8491303,-0.6489109,0.8655426,0.16378708,0.12997894,0.45361367,-0.54880065,0.71324384,-0.07549286,0.20514373
1966-04-01,-0.35809898,1.4662033,-0.92954713,-1.2827225,0.58031005,-0.16017608,-0.40306625,0.30820808,-0.5652115,0.993552,-0.15590973,0.18282433
