,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7,ssta20_cluster8,ssta20_cluster9,ssta20_cluster10,ssta20_cluster11,ssta20_cluster12
1965-01-01,2.882965,1.3875732,0.20501709,-3.2198486,-10.696289,-0.90615845,-2.6550293,-0.47854614,1.7627869,1.0018616,-6.2196045,0.4824524
1965-02-01,2.49057,1.2845764,0.26968384,-2.205658,-12.182404,-1.398346,-0.78012085,-0.461792,1.3594055,0.67285156,-8.087921,-0.39544678
1965-03-01,1.8189392,1.666748,-0.012756348,-1.6977539,-12.532715,-1.9542236,0.34249878,-0.5656128,1.4013062,0.285614,-8.567444,-0.3116455
1965-04-01,1.4042053,2.1846008,0.5604553,-2.2042847,-11.971954,-2.0501099,0.23913574,0.22564697,1.6012878,0.38983154,-8.255707,-0.52178955
1965-05-01,1.2119446,1.5587158,0.31030273,-3.2537842,-10.665863,-1.4679871,-0.14273071,1.216919,1.7059021,0.62316895,-6.491028,-0.17019653
1965-06-01,1.0308533,1.0827332,-0.2454834,-4.0490723,-7.437042,-0.7688904,-0.39569092,1.3347168,2.1814575,1.1765442,-4.1314087,0.697052
1965-07-01,0.73483276,1.7297668,-0.5170593,-4.532715,-2.8851318,0.5033264,-1.7504883,1.7866516,2.5335999,1.8480225,-1.5179749,0.8166504
1965-08-01,0.4465332,1.7134094,-0.34829712,-5.5494995,-1.830719,0.9075928,-3.181427,1.7677917,3.0835571,2.4224243,0.11074829,1.1266174
1965-09-01,0.65634155,1.3404236,-0.3874817,-5.9499207,-2.8279114,1.489624,-3.3044128,1.5784302,2.77594,2.4181824,-0.58657837,1.3693542
1965-10-01,1.0488281,1.3995972,-0.2889099,-6.0928345,-6.4920044,1.1131897,-3.266693,2.046753,2.5147705,2.0507202,-2.205902,1.3417053
1965-11-01,1.9343872,1.6160583,-0.15725708,-6.049988,-8.474945,0.34469604,-3.4094849,1.5811462,2.4283752,1.704895,-4.386963,0.59469604
1965-12-01,2.119629,1.5852356,0.31088257,-5.183197,-10.11792,-0.80029297,-2.837555,1.5393372,1.7583923,0.6851196,-5.480072,0.2944336
1966-01-01,2.0879822,1.459137,0.26849365,-3.7557678,-11.009033,-1.6921997,-1.8505554,1.0213928,1.188324,0.44702148,-7.1935425,0.0007019043
1966-02-01,2.0247498,1.5799866,0.43774414,-3.0827332,-12.317352,-2.27536,-1.3408813,0.42514038,0.9864197,-0.22338867,-8.431763,0.20626831
1966-03-01,1.5859375,1.788147,0.5274048,-2.6995544,-13.052704,-2.0656738,-1.0227966,0.2939148,1.1083679,0.0977478,-8.6875305,-0.028320312
1966-04-01,1.222992,2.4363098,0.16546631,-2.5491333,-12.637024,-1.6878052,-1.4719543,0.48016357,1.2496948,0.044433594,-8.444824,-0.1829834
1966-05-01,1.0963135,1.6843262,-0.11853027,-3.37323,-11.220032,-0.96121216,-2.5003052,0.68530273,1.710022,0.8300476,-7.1720886,0.3111267
1966-06-01,0.9690857,1.2615662,-0.32492065,-3.6552734,-8.550446,-0.66885376,-2.6345825,1.2393799,2.0351562,1.9852295,-4.979553,1.0205383
1966-07-01,0.63513184,1.6749878,-0.4107666,-5.021515,-3.5151978,0.22009277,-2.861145,2.092041,2.3673706,2.396637,-2.6932068,1.3028259
1966-08-01,0.69641113,1.7554321,-0.77108765,-5.650116,-1.9324646,0.9984741,-3.987976,1.214325,2.9203491,3.0131226,-1.1150208,1.2511292
1966-09-01,0.9869995,1.5740051,-0.8491211,-5.904663,-2.2016296,1.2663879,-4.8859863,0.9577637,3.401062,3.130249,-0.8168335,1.4242249
1966-10-01,1.3872986,1.3303223,-1.0055542,-6.4832153,-5.2446594,1.0892639,-5.0858154,0.4175415,3.1291199,2.8048706,-1.744873,1.3167114
1966-11-01,1.7490845,1.3713684,-0.67352295,-5.838501,-8.17337,0.22561646,-4.8667297,0.04510498,2.7148132,2.044098,-4.439087,0.9845886
1966-12-01,2.1941223,1.3171692,-0.27490234,-4.5568542,-10.169128,-0.77163696,-4.2013245,0.274292,2.2758179,1.6772156,-6.3703003,0.4048767
1967-01-01,2.7033386,1.5549622,0.11657715,-3.284027,-11.192047,-1.1079407,-2.9900208,-0.6882324,2.223053,1.1242371,-7.2455444,0.4270935
1967-02-01,2.205658,1.3557434,0.25942993,-2.0473633,-11.870544,-1.4498596,-1.0642395,-0.70062256,1.9076538,0.64608765,-7.556427,-0.22235107
1967-03-01,1.7080688,1.3609924,0.18658447,-2.0911865,-11.615356,-1.4180603,-0.024780273,-0.4404602,1.6074219,0.26818848,-7.556671,-0.5967102
1967-04-01,1.5352783,2.2544556,0.24365234,-2.4838257,-11.789673,-1.7721558,-0.72042847,0.14099121,1.6079102,0.045318604,-7.377411,-0.31326294
1967-05-01,1.0987854,2.0488586,0.51782227,-3.7657166,-10.744232,-1.1278687,-1.7438965,0.95803833,1.8710632,0.9951172,-6.033966,0.15823364
1967-06-01,0.8210449,1.6313782,0.24560547,-4.412567,-7.6499023,-0.23968506,-2.865509,1.3874817,2.1627502,2.0260315,-3.6498108,0.87664795
1967-07-01,0.7322998,1.6542969,-0.13012695,-5.0577393,-3.9309082,0.780365,-3.9884949,1.8446045,2.8692932,2.9324036,-1.4618225,1.5616455
1967-08-01,1.2854309,1.6906128,-0.62872314,-5.4411316,-1.5196838,1.5198364,-5.490204,0.9298706,3.4239807,3.2626953,0.26275635,1.068573
1967-09-01,1.3563538,1.6833801,-0.3624878,-5.961212,-2.0307312,1.2977295,-6.0783997,0.6582031,3.6471252,2.7876892,-0.0234375,1.3042603
1967-10-01,1.6503601,1.3603821,-0.6043701,-5.823456,-4.091614,0.87506104,-5.687744,0.1463623,3.2590027,2.4421387,-1.2940063,1.2361755
1967-11-01,2.1931458,1.5611267,-0.67907715,-5.5570984,-6.89682,0.24743652,-5.04126,0.29553223,2.791626,1.81604,-3.316925,0.7016907
1967-12-01,2.917328,1.7138672,-0.377594,-4.717743,-8.238037,-0.1602478,-4.4853516,-0.39562988,2.436554,1.3878174,-5.242096,0.4102173
1968-01-01,2.8833008,1.8089905,-0.1303711,-3.0747986,-10.38858,-0.68533325,-3.4031982,-0.8208313,1.8342285,1.1684875,-6.383728,0.23861694
1968-02-01,2.064331,1.4559631,0.035949707,-2.273407,-11.832245,-0.8390198,-1.5136719,-0.68966675,1.4297485,0.57803345,-7.4445496,-0.28356934
1968-03-01,2.0757751,1.597992,-0.26223755,-2.1956787,-12.998474,-0.9838867,-1.0560913,-1.3375244,1.5287476,0.36590576,-7.431122,-0.14501953
1968-04-01,2.0635986,2.22583,-0.09439087,-2.535797,-12.398346,-1.1726379,-1.162262,-0.57614136,1.4601746,0.4269104,-6.9482117,-0.21459961
1968-05-01,1.7984314,1.7118835,-0.023712158,-3.2208557,-11.059937,-0.8373413,-2.6144714,0.0035095215,1.6149597,0.86016846,-5.9911804,-0.2571411
