,cluster,nodes_lat,nodes_lon
0,4,40.0,-180.0
1,4,40.0,-177.5
2,4,40.0,-175.0
3,4,40.0,-172.5
4,4,40.0,-170.0
5,4,40.0,-167.5
6,4,40.0,-165.0
7,4,40.0,-162.5
8,4,40.0,-160.0
9,4,40.0,-157.5
10,4,40.0,-155.0
11,4,40.0,-152.5
12,4,40.0,-150.0
13,4,40.0,-147.5
14,4,40.0,-145.0
15,2,40.0,-142.5
16,2,40.0,-140.0
17,2,40.0,-137.5
18,2,40.0,-135.0
19,2,40.0,-132.5
20,2,40.0,-130.0
21,2,40.0,-127.5
22,2,40.0,-125.0
23,4,40.0,-72.5
24,4,40.0,-70.0
25,4,40.0,-67.5
26,4,40.0,-65.0
27,5,40.0,-62.5
28,1,40.0,-60.0
29,1,40.0,-57.5
30,1,40.0,-55.0
31,1,40.0,-52.5
32,2,40.0,-50.0
33,5,40.0,-47.5
34,1,40.0,-45.0
35,1,40.0,-42.5
36,1,40.0,-40.0
37,1,40.0,-37.5
38,1,40.0,-35.0
39,1,40.0,-32.5
40,1,40.0,-30.0
41,1,40.0,-27.5
42,1,40.0,-25.0
43,1,40.0,-22.5
44,5,40.0,-20.0
45,5,40.0,-17.5
46,5,40.0,-15.0
47,5,40.0,-12.5
48,5,40.0,-10.0
49,5,40.0,2.5
50,5,40.0,5.0
51,5,40.0,7.5
52,5,40.0,10.0
53,5,40.0,12.5
54,5,40.0,15.0
55,1,40.0,17.5
56,1,40.0,22.5
57,1,40.0,25.0
58,1,40.0,50.0
59,1,40.0,52.5
60,4,40.0,130.0
61,4,40.0,132.5
62,4,40.0,135.0
63,4,40.0,137.5
64,4,40.0,142.5
65,4,40.0,145.0
66,4,40.0,147.5
67,4,40.0,150.0
68,4,40.0,152.5
69,4,40.0,155.0
70,4,40.0,157.5
71,4,40.0,160.0
72,4,40.0,162.5
73,4,40.0,165.0
74,4,40.0,167.5
75,4,40.0,170.0
76,4,40.0,172.5
77,4,40.0,175.0
78,4,40.0,177.5
79,4,37.5,-180.0
80,4,37.5,-177.5
81,4,37.5,-175.0
82,4,37.5,-172.5
83,4,37.5,-170.0
84,4,37.5,-167.5
85,4,37.5,-165.0
86,4,37.5,-162.5
87,4,37.5,-160.0
88,4,37.5,-157.5
89,4,37.5,-155.0
90,4,37.5,-152.5
91,4,37.5,-150.0
92,4,37.5,-147.5
93,4,37.5,-145.0
94,1,37.5,-142.5
95,1,37.5,-140.0
96,2,37.5,-137.5
97,2,37.5,-135.0
98,2,37.5,-132.5
99,2,37.5,-130.0
100,2,37.5,-127.5
101,2,37.5,-125.0
102,4,37.5,-75.0
103,4,37.5,-72.5
104,1,37.5,-70.0
105,1,37.5,-67.5
106,5,37.5,-65.0
107,1,37.5,-62.5
108,1,37.5,-60.0
109,1,37.5,-57.5
110,1,37.5,-55.0
111,1,37.5,-52.5
112,1,37.5,-50.0
113,1,37.5,-47.5
114,1,37.5,-45.0
115,1,37.5,-42.5
116,1,37.5,-40.0
117,1,37.5,-37.5
118,1,37.5,-35.0
119,1,37.5,-32.5
120,1,37.5,-30.0
121,1,37.5,-27.5
122,1,37.5,-25.0
123,1,37.5,-22.5
124,5,37.5,-20.0
125,5,37.5,-17.5
126,5,37.5,-15.0
127,5,37.5,-12.5
128,5,37.5,-10.0
129,5,37.5,0.0
130,5,37.5,2.5
131,5,37.5,5.0
132,5,37.5,7.5
133,5,37.5,10.0
134,5,37.5,12.5
135,1,37.5,17.5
136,1,37.5,20.0
137,1,37.5,25.0
138,1,37.5,50.0
139,1,37.5,52.5
140,1,37.5,120.0
141,4,37.5,122.5
142,2,37.5,125.0
143,4,37.5,130.0
144,4,37.5,132.5
145,4,37.5,135.0
146,4,37.5,137.5
147,4,37.5,142.5
148,4,37.5,145.0
149,4,37.5,147.5
150,4,37.5,150.0
151,4,37.5,152.5
152,4,37.5,155.0
153,4,37.5,157.5
154,4,37.5,160.0
155,4,37.5,162.5
156,4,37.5,165.0
157,4,37.5,167.5
158,4,37.5,170.0
159,4,37.5,172.5
