,r100_cluster1,r100_cluster2,r100_cluster3,r100_cluster4,r100_cluster5,r100_cluster6
1965-01-01,22.871721,86.61394,49.11784,33.56313,63.049267,21.548195
1965-02-01,16.860157,76.08142,61.5128,38.48704,78.96762,14.316303
1965-03-01,23.906954,82.52214,53.915623,34.054535,78.67769,11.543121
1965-04-01,19.15176,89.005455,52.06957,37.77122,84.71546,10.088551
1965-05-01,16.001831,74.71039,38.473938,39.91868,80.68919,7.290798
1965-06-01,18.550602,65.624245,26.08717,52.10069,63.085304,9.760944
1965-07-01,26.454088,71.116554,23.123978,70.9331,72.88563,9.36618
1965-08-01,25.299278,59.953396,26.539265,67.11321,60.9788,7.964031
1965-09-01,26.529436,73.881546,24.781662,49.180084,76.3304,9.544727
1965-10-01,31.725262,82.90708,26.863594,40.950634,80.62367,7.510296
1965-11-01,27.928312,86.19624,23.083027,29.45004,81.81124,10.9583435
1965-12-01,22.087105,84.97263,54.172794,32.183907,77.77678,12.542316
1966-01-01,20.800694,94.705376,31.587626,21.247208,56.497215,11.300774
1966-02-01,24.51727,79.47793,48.285946,26.017689,66.64392,15.703537
1966-03-01,13.72377,85.61749,42.207115,35.14989,73.76845,8.329483
1966-04-01,19.661427,81.3674,46.700165,21.326004,77.48995,10.373272
1966-05-01,8.710335,83.52939,27.555864,36.044563,63.99931,8.585575
1966-06-01,21.353912,76.07654,29.652184,56.19516,54.00527,7.3642235
1966-07-01,17.02502,83.95949,28.310999,57.483814,60.15305,7.347809
1966-08-01,23.000433,77.07791,24.820965,61.1298,52.703484,7.0785866
1966-09-01,27.312908,86.90123,30.27599,57.112812,68.10987,6.2758484
1966-10-01,27.926865,86.19534,39.6413,49.794575,69.5988,10.914997
1966-11-01,34.591747,94.58226,37.942245,34.972595,78.708015,10.212395
1966-12-01,25.141075,89.31766,51.88925,43.285645,83.847855,13.009678
1967-01-01,15.953758,90.57045,61.422043,37.23107,70.02283,19.40961
1967-02-01,22.056396,82.0271,53.797543,32.48814,70.60556,14.859238
1967-03-01,18.487373,82.1656,57.92396,39.30019,81.93758,15.710529
1967-04-01,19.086998,84.234726,53.89044,34.234646,76.877106,13.518108
1967-05-01,16.57027,84.091156,38.051964,35.901764,73.6915,9.271767
1967-06-01,16.254414,65.1245,27.08647,57.876667,69.00093,9.138329
1967-07-01,25.074778,74.05296,25.29098,71.64772,58.994835,8.650185
1967-08-01,29.371792,71.97202,28.630287,74.412735,52.5206,10.322372
1967-09-01,38.009735,74.49381,36.04196,64.879585,64.60426,9.592693
1967-10-01,33.192486,77.84832,37.535103,46.57167,78.07128,10.165287
1967-11-01,29.366724,90.21406,37.80198,26.475023,82.231476,10.661877
1967-12-01,24.872087,92.72403,45.25588,41.42674,75.37213,11.712482
1968-01-01,16.756672,76.33525,54.34679,37.88079,70.73231,15.459351
1968-02-01,23.986902,87.84697,59.598846,21.952394,64.760765,13.061077
1968-03-01,22.106913,77.81607,59.05964,48.30443,82.70919,12.225704
1968-04-01,17.237934,88.9608,44.069626,22.2727,78.99267,8.726479
1968-05-01,17.205746,77.014496,36.340424,25.64155,75.88135,10.735233
1968-06-01,18.540085,73.58126,33.594482,48.4171,53.284466,8.1405945
1968-07-01,32.36959,74.848,33.926056,70.016045,48.941822,6.9092636
1968-08-01,26.567059,72.8473,35.579094,70.139984,68.57869,6.175297
1968-09-01,27.693764,79.164894,38.970478,59.991585,68.126396,8.749012
1968-10-01,36.794327,83.27254,38.84332,46.329475,79.00716,6.448925
1968-11-01,41.679398,93.47244,45.07239,29.356459,77.12717,11.155334
1968-12-01,24.389297,85.25716,60.184734,29.593067,67.70147,14.456581
1969-01-01,16.258018,84.77851,46.071335,25.521204,71.581436,10.012932
1969-02-01,14.620293,92.20844,47.949707,25.35409,52.01729,6.5269127
1969-03-01,14.598568,85.689285,38.87202,19.949589,53.44612,7.4945107
1969-04-01,10.995567,86.4647,43.542885,25.422606,61.87373,8.562374
1969-05-01,14.9511795,80.67249,34.794415,29.75757,67.39521,7.0182304
1969-06-01,15.596245,71.88726,28.258549,45.036896,58.685177,6.747505
1969-07-01,27.225777,68.09709,27.566692,73.21917,56.7316,7.935692
1969-08-01,33.36057,68.422966,38.133373,67.93666,63.112053,7.6282005
1969-09-01,29.244526,83.859375,35.374306,50.459774,76.46621,11.8679085
1969-10-01,29.971476,69.44404,46.87683,38.897087,75.34153,8.538979
1969-11-01,29.110834,88.90959,36.30012,35.262337,76.43112,11.971519
1969-12-01,21.573948,92.36553,58.252346,35.315815,66.7585,11.496914
1970-01-01,28.726772,84.93689,49.170277,38.206284,70.773895,13.524471
1970-02-01,17.59232,88.44868,52.549667,36.14257,70.66136,11.167831
1970-03-01,13.5790825,75.194244,51.553394,27.828138,78.711,11.490547
1970-04-01,17.330837,84.04653,36.48018,30.3933,68.17894,10.317192
1970-05-01,16.182308,71.79002,36.22532,35.368057,66.585236,9.972965
1970-06-01,14.8285675,75.07012,31.421019,56.496704,62.201294,9.814091
1970-07-01,28.157473,73.262924,40.089607,71.209145,58.09869,10.115292
1970-08-01,32.437153,78.45448,32.458668,76.51158,55.462368,5.516205
1970-09-01,29.315931,78.128456,38.641533,64.66716,59.834724,7.8083
1970-10-01,20.77974,93.132164,45.77599,53.019672,77.80574,8.435524
1970-11-01,25.413578,93.78256,47.56829,28.801245,74.896355,8.366016
1970-12-01,18.23278,94.04404,58.80204,20.96178,68.27328,8.625843
1971-01-01,22.41587,91.604004,61.96233,30.126358,70.47751,13.429039
1971-02-01,17.520111,84.20119,73.80446,39.907738,71.04045,12.440083
1971-03-01,17.219196,95.2623,62.386654,33.764366,60.83137,12.458679
1971-04-01,16.098377,87.73101,46.820297,26.816309,83.484406,8.359154
1971-05-01,13.327606,87.87808,42.409714,29.916733,72.066605,9.517162
1971-06-01,16.16262,77.12804,24.01511,67.51909,59.26087,10.43681
1971-07-01,21.776852,62.881977,28.628553,74.304855,60.013157,9.300777
1971-08-01,28.287067,66.998405,28.850012,69.179184,59.80691,11.958282
1971-09-01,26.138409,66.14131,34.705994,55.083584,66.540276,7.4767
1971-10-01,22.811455,87.4301,32.751743,53.195267,73.62527,11.432529
1971-11-01,26.78926,94.40013,34.25124,33.32145,66.83781,10.774914
1971-12-01,16.58525,89.72921,37.970398,23.281422,75.11462,10.245781
1972-01-01,16.292671,87.76996,62.70464,26.146843,72.14599,13.765335
1972-02-01,18.308037,84.75341,52.143463,38.229298,76.729324,17.18008
1972-03-01,14.781143,82.87457,46.15587,25.434963,74.77571,10.792667
1972-04-01,16.814392,82.37398,57.50044,37.60681,74.45065,10.43185
1972-05-01,14.199287,80.41225,27.87941,39.357254,75.01138,9.562317
1972-06-01,12.253807,69.20095,28.07932,50.311752,63.42302,8.081673
1972-07-01,29.94191,72.004585,20.255142,59.901,67.435875,9.297394
1972-08-01,35.38828,84.573006,31.653347,72.11023,75.06989,7.3795433
1972-09-01,19.951214,83.513306,33.654087,50.39464,80.67717,5.894024
1972-10-01,21.644772,83.62871,37.683197,35.063217,76.129585,11.371273
1972-11-01,23.54962,92.45244,47.10179,23.899057,78.60166,8.983711
1972-12-01,19.619652,88.56798,54.8252,23.06528,80.753555,9.4209175
1973-01-01,17.300453,77.071304,56.101578,32.61759,62.764133,10.222412
1973-02-01,12.112625,79.7153,54.18509,28.474232,72.3006,8.348621
1973-03-01,14.58255,80.04375,48.76078,25.064947,61.862545,8.010319
1973-04-01,14.67123,83.30195,42.6221,26.424719,69.395485,9.176308
1973-05-01,15.269005,86.35158,32.517418,39.69892,82.34945,13.495392
1973-06-01,12.411514,72.95257,27.551294,49.424244,60.1382,10.931858
1973-07-01,27.26226,73.506004,24.7365,74.66871,60.906765,9.268272
1973-08-01,30.701103,83.16071,34.263115,74.84443,53.58239,14.485661
1973-09-01,26.810646,80.887856,38.491875,71.63385,74.89862,7.8362427
1973-10-01,24.15515,85.458206,44.174015,51.77593,81.86827,10.104172
1973-11-01,24.283243,94.13414,41.91758,41.840397,76.371704,8.939827
1973-12-01,20.570145,88.10713,63.66572,35.759193,67.45272,13.820553
1974-01-01,16.694046,76.89367,67.64757,24.818052,56.5506,21.891361
1974-02-01,21.38237,86.693375,72.19212,34.145126,69.46539,17.402996
1974-03-01,18.784538,81.54068,61.131508,22.795315,73.42659,15.608311
1974-04-01,19.913242,88.63844,64.34409,43.21936,71.2452,12.736153
1974-05-01,13.246796,68.521774,44.207592,44.08365,79.25188,8.046173
1974-06-01,20.24871,67.31871,34.146782,57.44794,71.00723,8.148632
1974-07-01,31.061441,68.13838,36.20092,76.19629,53.415684,6.076317
1974-08-01,32.320694,80.91106,32.826378,71.47491,66.80807,8.88237
1974-09-01,28.179369,81.84476,38.783875,66.75353,69.74798,5.696228
1974-10-01,21.499702,89.04663,46.469955,47.00869,77.11676,8.406433
1974-11-01,22.081406,96.16092,44.655437,29.622057,69.724846,6.598526
1974-12-01,14.380455,90.2844,53.075256,21.531101,66.80972,10.749771
