,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7
1965-01-01,3.373869,1.1428726,-3.9839234,0.15251331,4.941367,-0.77234304,-2.0944514
1965-02-01,-0.09352837,1.5459896,-3.7535233,1.6659149,5.079867,-0.28840637,-0.85381395
1965-03-01,0.15055808,1.1200607,-5.2626877,1.7943131,4.979495,-0.5637779,-1.8692659
1965-04-01,3.1050153,1.3967354,-2.166146,1.4540908,2.4480348,-0.56671065,-2.801618
1965-05-01,2.0071151,0.8971561,3.1056676,1.0594463,2.0344887,-0.5520462,-2.9029675
1965-06-01,2.1241062,0.35619012,1.7297878,0.31806183,1.5743415,-0.3864975,-3.0000808
1965-07-01,4.635362,0.3170845,1.2891941,-0.003910446,0.9932922,-0.36922607,-3.1382556
1965-08-01,3.3051078,-0.10004616,2.7299237,-0.7058628,0.08505516,0.060614012,-3.5175831
1965-09-01,3.635553,0.63286513,3.6072006,-0.023789216,0.4458084,-0.34511033,-3.194959
1965-10-01,1.5394722,1.2442223,2.8426793,1.3621918,1.285609,-0.2714607,-3.945142
1965-11-01,2.3333237,0.52434576,1.4866791,1.3237377,3.055481,-0.22257805,-2.3072534
1965-12-01,0.5784426,1.5789039,-1.4410553,2.0693583,4.8227453,-0.44450492,-2.0599077
1966-01-01,-0.8031786,1.466203,-4.569945,2.1830573,5.54446,-0.57407415,-0.60689735
1966-02-01,0.5658684,1.3920231,-0.6695892,2.5473924,4.7206025,-0.74179953,-0.86751175
1966-03-01,-0.14474945,1.2508843,-0.8130264,2.6360145,2.7712448,-0.47429198,-1.6483707
1966-04-01,2.3721175,0.75821114,-0.58031005,2.3271503,1.9969513,-0.27275926,-2.286778
1966-05-01,4.2466383,0.9886284,0.45886534,1.5610616,1.9418083,-0.36564827,-3.2159965
1966-06-01,2.8857975,0.48807755,2.4682896,1.7284588,0.98436165,-0.5622581,-3.5255177
1966-07-01,4.2804465,0.39256325,2.6918135,0.6620396,-0.31313133,-0.269149,-2.7082253
1966-08-01,4.6940165,0.30558166,1.5948693,-0.0170681,-0.34496993,-0.4434387,-3.1496944
1966-09-01,4.302766,0.23435631,3.218951,0.5002228,-0.07811852,-0.29573518,-3.584599
1966-10-01,2.4604115,0.9147766,0.9341423,0.7509903,2.1801033,-0.17133637,-3.1972873
1966-11-01,2.9297805,0.18544999,-0.3059105,1.667408,3.6991513,-0.14704704,-3.270483
1966-12-01,0.5661968,0.9594162,-2.261177,1.4803171,4.9401884,-0.6420177,-2.2040641
1967-01-01,-0.4666317,2.2361739,-1.966449,1.1135151,5.188133,-0.9966122,-1.6052908
1967-02-01,-1.3891186,1.0857589,-3.5367997,0.94632494,4.571944,-0.06204338,-0.15184288
1967-03-01,0.30793113,1.5794938,-1.8175437,0.5655743,3.3219326,-0.32164574,-0.57732964
1967-04-01,1.3855267,1.2686237,-0.5848404,-0.53716487,2.481735,-0.09502449,-1.6598237
