,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7,mgu850_cluster8
1965-01-01,-0.06191788,-0.13589326,1.5932426,-0.49306145,0.88183993,-0.31936568,0.067783736,-0.07397537
1965-02-01,-0.049534224,-0.7260677,1.7555329,-0.30470085,-0.12937565,-0.45200005,0.057029724,1.0271839
1965-03-01,0.034217834,-0.57355464,1.2966896,-0.7381256,0.5647556,-0.7602852,0.08570709,-0.07560501
1965-04-01,-0.014990616,0.3174103,0.7241127,0.058984756,0.56149673,-0.25093,0.111126326,-0.07071686
1965-05-01,0.040409468,-0.12285805,0.26657256,0.01238327,0.84794825,-0.78570443,0.12709427,0.9108437
1965-06-01,-0.16261558,-0.061917685,1.1086544,0.31773645,1.3563259,-0.9926403,0.13035354,0.6638239
1965-07-01,-0.1398037,0.14860287,0.7276974,0.33924446,1.4211769,-0.34836882,0.02867775,1.2523693
1965-08-01,-0.018249512,-0.016294098,0.63905716,0.21508293,0.64752996,-0.06745796,0.020856475,0.88379556
1965-09-01,0.1472992,-0.08375206,0.5113106,0.16228981,-0.053444672,-0.45949516,0.063547134,0.54846156
1965-10-01,0.15837899,-0.9157318,0.1375225,0.051163483,1.2034867,-0.43570596,0.057029344,1.4436626
1965-11-01,0.08896637,-0.118621446,0.4099613,-0.05963669,0.812101,-0.074301526,0.057681274,0.7068405
1965-12-01,0.10134964,-0.00032577515,0.9385437,-0.35781974,0.91638356,-0.43049163,0.03975754,0.51685065
1966-01-01,-0.026914597,-0.78250045,1.6808655,-0.27604103,0.6239651,-0.67516863,0.10010986,0.6991297
1966-02-01,0.05350151,-0.9646679,0.8120411,-0.085011676,0.58228,-0.024617005,0.06072273,1.1077759
1966-03-01,-0.0728672,-0.70306855,1.2600746,-0.43884316,0.53403014,-0.20284614,0.110285185,-0.18052635
1966-04-01,0.044311143,0.060066223,1.0089791,-0.13654366,0.7135719,-0.55175436,0.12932244,0.30394095
