,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8,vo600_cluster9,vo600_cluster10
1965-01-01,-1.13031565e-05,4.7504727e-06,-9.903291e-06,-5.192189e-06,7.12389e-07,-8.036797e-06,9.2821065e-06,-2.491157e-06,6.966933e-06,1.4841135e-06
1965-02-01,-1.3510646e-05,3.8710714e-06,-1.1814649e-05,2.105537e-05,8.828865e-07,-1.3160679e-05,1.9637555e-05,-1.2855577e-05,-2.7065253e-06,-2.4462934e-06
1965-03-01,7.526978e-08,-4.7435096e-06,-2.0411288e-05,3.5569974e-06,1.8251085e-06,-5.533184e-06,1.07806845e-05,-5.8898724e-05,-3.2628814e-06,2.9198782e-06
1965-04-01,-1.7629493e-05,-4.564041e-06,-6.6189823e-06,-1.272995e-05,2.816596e-07,-2.3924513e-06,1.3329169e-05,-7.8120014e-05,8.671908e-06,2.0404696e-06
1965-05-01,-1.2344084e-05,2.49812e-06,-8.4003113e-07,-6.0536477e-06,2.336601e-06,-1.7925617e-05,1.5375132e-05,-4.6613983e-05,1.5644335e-05,-9.095675e-06
1965-06-01,-1.414337e-06,-1.6207268e-06,-5.7306024e-06,-2.0501022e-05,5.0555755e-06,-1.5305348e-05,5.593989e-06,-2.661199e-05,-1.5260484e-05,-2.1322194e-06
1965-07-01,1.4163699e-05,-1.6476479e-06,-1.1258293e-05,-1.3690114e-05,3.835179e-06,-1.401316e-05,1.6694234e-05,-2.0895859e-05,-2.4117355e-05,1.0803051e-06
1965-08-01,1.4863639e-05,-1.2438395e-06,-7.381728e-06,-5.326794e-06,3.2429234e-06,-6.403614e-06,2.1046399e-05,-2.7904178e-05,-1.8616578e-05,9.008363e-07
1965-09-01,6.2131585e-06,-1.387416e-06,6.8233567e-06,-1.579889e-05,7.1374307e-06,-8.036797e-06,1.9000436e-05,-3.960565e-05,-6.4215637e-06,4.6112837e-07
1965-10-01,-3.5769554e-06,-7.143972e-07,-1.32145215e-05,-2.1200955e-05,3.6467318e-06,-1.1231372e-05,2.0813088e-05,-5.636819e-05,1.15972725e-05,-2.6975467e-06
1965-11-01,-1.7732746e-06,1.681532e-06,-1.2837634e-05,-1.0253258e-05,2.9063813e-07,-1.1132659e-05,1.9341423e-05,-5.664638e-05,7.303388e-07,3.3326578e-06
