,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6,abs_vo500_cluster7,abs_vo500_cluster8,abs_vo500_cluster9,abs_vo500_cluster10
1965-01-01,0.00032653972286627523,1.69376921278227e-05,3.297924801396827e-05,6.0374144976417164e-05,0.00017047485319684105,8.547135353985461e-05,0.00024334931918984336,0.00023203859503458565,0.00027147727087140083,0.0003335368091939017
1965-02-01,0.0003144751611182949,1.538024196677551e-05,3.0085649279609434e-05,6.0015922509740256e-05,0.00017071068517301077,7.359834960559108e-05,0.00031079724783811605,0.00023336041421215568,0.00034148426493629813,0.00040478365311476716
1965-03-01,0.00028636285504843626,1.844371679517027e-05,2.7688542784266927e-05,5.272079782349296e-05,0.0001795230521868992,6.907292866826003e-05,0.00027654865389746243,0.00026743647241447534,0.00024376729561481625,0.00035150348291305516
1965-04-01,0.0003331487715951408,1.4769746354500693e-05,3.3849371700651114e-05,6.841257218607204e-05,0.00014690699572383892,8.485600547454154e-05,0.00023382169522599062,0.00026261008719706704,0.000275687052635476,0.00031905149929419474
1965-05-01,0.0002924138108803028,1.5011390592895712e-05,3.636532434911439e-05,7.082417141646147e-05,0.00014905684414164475,7.790297197917586e-05,0.0002489928385440373,0.00022835679879386185,0.00028701801784336567,0.00032899591436337994
1965-06-01,0.00027413630892557123,1.690779185539206e-05,3.7100038054926e-05,7.112497304089714e-05,0.0001543431305132496,6.541036140440743e-05,0.00022397930892607704,0.000215834431097998,0.0003090580285061151,0.00035947196010965854
1965-07-01,0.0002504980161406652,1.9239517412251848e-05,3.494514561625141e-05,7.274141162904629e-05,0.000156091618919163,6.16090373488773e-05,0.00023341221315080694,0.00021174346329644322,0.0003083330811932683,0.00038669534963749663
1965-08-01,0.00025876126730711095,2.045851461043205e-05,3.7136377421010174e-05,6.998084985710638e-05,0.00015570099094475154,6.489068148178322e-05,0.00024254411321387371,0.00021590082421122742,0.00029208886553533375,0.0003648525913983273
1965-09-01,0.0003077166588304357,1.7363014426318914e-05,3.817839744369114e-05,7.302119758055914e-05,0.0001398275041234835,7.062057835248518e-05,0.00023655877819030798,0.0002217503101241568,0.00028526532696560025,0.00035351701323331025
1965-10-01,0.00032443880357917534,1.5787880232370567e-05,3.8814621141434394e-05,6.414636943169848e-05,0.00017065297773418328,7.643948800464653e-05,0.0002051940431225706,0.0002214039341197349,0.0003060526796616614,0.0004179947306208002
