,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7,abs_vo600_cluster8,abs_vo600_cluster9,abs_vo600_cluster10,abs_vo600_cluster11
1965-01-01,3.0023963e-05,8.35908e-05,4.4985295e-06,5.143608e-05,9.477181e-05,1.861793e-05,2.2154185e-05,4.1860974e-05,6.2766456e-05,6.610743e-05,1.021981e-05
1965-02-01,3.2949334e-05,0.00010983836,2.784583e-06,5.6658668e-05,9.594734e-05,1.9829355e-05,2.3975808e-05,4.11072e-05,7.6137e-05,5.4845663e-05,-1.4460966e-07
1965-03-01,3.3155724e-05,9.2339986e-05,1.4719373e-05,5.2647505e-05,9.855864e-05,2.5644198e-05,3.1854564e-05,3.209778e-05,5.7848963e-05,5.9251663e-05,-4.6187757e-05
1965-04-01,3.7193808e-05,7.605304e-05,9.604462e-06,5.961993e-05,9.5426876e-05,1.2865899e-05,3.0041912e-05,4.0353418e-05,5.9670587e-05,6.7399626e-05,-6.540905e-05
1965-05-01,2.3769418e-05,8.272934e-05,7.531578e-06,6.4106694e-05,7.282257e-05,1.0389207e-05,1.7003382e-05,6.434863e-05,6.299079e-05,6.318206e-05,-3.3903016e-05
1965-06-01,3.877315e-05,6.828197e-05,2.1923347e-06,6.951773e-05,8.445226e-05,1.5459247e-05,3.4259465e-05,5.2934298e-05,6.56649e-05,4.241733e-05,-1.3901023e-05
1965-07-01,3.156741e-05,7.5092874e-05,2.6230641e-06,6.6556466e-05,8.785322e-05,1.7056538e-05,4.140239e-05,5.2629202e-05,7.033113e-05,2.9621082e-05,-8.184892e-06
1965-08-01,3.4232544e-05,8.3456194e-05,2.8922673e-06,5.7690624e-05,8.066543e-05,2.0619022e-05,4.1536994e-05,5.2252315e-05,7.8811114e-05,3.8549744e-05,-1.5193211e-05
1965-09-01,3.7552752e-05,7.29841e-05,2.542301e-06,5.7538076e-05,7.607099e-05,1.6921933e-05,3.5434998e-05,5.390344e-05,7.125541e-05,4.1205905e-05,-2.6894682e-05
1965-10-01,3.8028345e-05,6.7582034e-05,3.2153125e-06,5.9951955e-05,8.578931e-05,1.53067e-05,2.0368454e-05,3.42604e-05,5.77682e-05,6.511138e-05,-4.3657223e-05
1965-11-01,3.2904463e-05,7.852973e-05,3.5293865e-06,6.2168416e-05,9.445774e-05,1.882432e-05,3.017651e-05,4.7675818e-05,6.794417e-05,4.8429592e-05,-4.393541e-05
1965-12-01,3.504016e-05,7.284949e-05,1.914153e-06,5.563569e-05,9.198105e-05,1.8267963e-05,2.8947143e-05,4.218402e-05,5.778615e-05,5.2692016e-05,-4.7022295e-05
1966-01-01,4.1165957e-05,9.915963e-05,5.6096483e-06,4.7563582e-05,9.753842e-05,1.5392196e-05,2.979302e-05,5.0480925e-05,6.7737245e-05,5.4505446e-05,-4.4384207e-05
1966-02-01,3.5275818e-05,9.9852106e-05,1.2461109e-05,4.696072e-05,9.620234e-05,1.7217078e-05,3.552837e-05,3.420362e-05,5.896314e-05,4.4036806e-05,-2.8473507e-05
1966-03-01,2.9116836e-05,8.758302e-05,3.7766163e-06,6.5388784e-05,9.142017e-05,2.0744645e-05,2.6330628e-05,4.32873e-05,8.183936e-05,5.5401593e-05,-4.494634e-05
1966-04-01,3.221262e-05,8.777855e-05,6.9701614e-06,4.731103e-05,9.202303e-05,1.961224e-05,2.0741922e-05,5.0155053e-05,5.9060905e-05,5.9401675e-05,-3.130859e-05
1966-05-01,3.868933e-05,7.4662195e-05,1.087248e-05,6.4101594e-05,7.9957616e-05,1.2817805e-05,2.1295906e-05,5.6835433e-05,7.210394e-05,3.8969494e-05,1.4822872e-06
1966-06-01,3.3263557e-05,7.2796574e-05,4.8530774e-07,5.7983343e-05,8.06338e-05,2.116828e-05,2.5214518e-05,4.45582e-05,7.670688e-05,3.4708715e-05,-2.713743e-05
1966-07-01,3.272587e-05,9.34976e-05,2.2205763e-06,4.710736e-05,8.866655e-05,2.2642851e-05,3.3784952e-05,4.739329e-05,9.0825284e-05,3.0659754e-05,-1.358115e-05
1966-08-01,3.3222823e-05,7.533023e-05,1.0067029e-06,5.3510747e-05,9.524102e-05,1.9913672e-05,4.39929e-05,5.1197843e-05,7.128925e-05,3.4496898e-05,-2.8392038e-05
1966-09-01,3.8624155e-05,7.70655e-05,3.0189635e-06,5.6419158e-05,9.221856e-05,1.9433011e-05,3.239185e-05,4.030557e-05,6.278399e-05,4.4541906e-05,-1.9495732e-05
1966-10-01,3.8461218e-05,9.359536e-05,3.7521763e-06,5.5457833e-05,8.77541e-05,1.9807763e-05,2.7919257e-05,5.3104195e-05,7.089821e-05,4.377611e-05,-3.2025513e-05
1966-11-01,3.2709577e-05,8.9587134e-05,8.330679e-06,6.964956e-05,8.6246946e-05,2.3058337e-05,3.1870455e-05,4.7319965e-05,8.1260936e-05,5.0106173e-05,-4.063668e-05
1966-12-01,3.3581284e-05,7.867042e-05,6.383592e-06,6.4248234e-05,8.161957e-05,1.8993082e-05,1.9992418e-05,4.4427852e-05,7.663356e-05,6.0183767e-05,-3.1781106e-05
1967-01-01,3.750107e-05,8.734233e-05,7.278891e-06,5.515799e-05,9.096757e-05,2.1934606e-05,2.7772265e-05,3.820143e-05,7.820148e-05,4.9502247e-05,-1.8934712e-05
1967-02-01,3.7717626e-05,6.801304e-05,2.4265187e-06,4.7610745e-05,0.00010022317,2.7428616e-05,2.9280109e-05,3.7247e-05,5.854335e-05,6.450049e-05,-2.917683e-05
1967-03-01,4.0260107e-05,7.588111e-05,9.636906e-06,5.6850306e-05,9.1512964e-05,1.896704e-05,2.9865601e-05,4.870822e-05,6.655578e-05,6.596021e-05,-3.871315e-05
1967-04-01,4.3628697e-05,7.9883306e-05,6.789645e-06,5.7684432e-05,8.5064516e-05,7.922876e-06,1.1843644e-05,4.820293e-05,7.281173e-05,6.6569766e-05,-4.5410226e-05
1967-05-01,3.9305676e-05,6.6753826e-05,8.907044e-06,6.2793464e-05,8.937952e-05,1.3208353e-05,2.3040197e-05,5.18763e-05,7.141617e-05,5.335206e-05,-2.9160794e-05
1967-06-01,3.142157e-05,7.9281774e-05,2.1217397e-06,6.7453344e-05,8.33321e-05,1.7475237e-05,2.5638823e-05,5.1571522e-05,7.0245194e-05,4.8459588e-05,-2.0955871e-05
1967-07-01,3.4806202e-05,7.900105e-05,3.6135439e-06,5.584775e-05,9.683854e-05,1.9400142e-05,3.267276e-05,4.3302436e-05,6.9322836e-05,4.1289302e-05,-1.3504869e-05
1967-08-01,3.68835e-05,7.661096e-05,2.6350476e-06,5.5166012e-05,9.57237e-05,1.8156972e-05,4.2008567e-05,5.3961616e-05,7.232249e-05,3.7631977e-05,-2.7540656e-05
1967-09-01,3.5792717e-05,7.64666e-05,2.4265187e-06,5.9809852e-05,8.7350345e-05,1.5020976e-05,4.0572904e-05,4.5451918e-05,6.9755944e-05,3.8265596e-05,-4.0389423e-05
1967-10-01,4.0083658e-05,8.054098e-05,2.9879498e-06,5.53184e-05,9.047832e-05,1.5726777e-05,2.0521773e-05,4.3936052e-05,6.83283e-05,5.9656137e-05,-4.0429528e-05
1967-11-01,3.762138e-05,7.22318e-05,2.6901535e-07,5.1420462e-05,0.000106374864,2.0338537e-05,1.9479121e-05,3.881098e-05,6.958751e-05,5.54454e-05,-6.0328268e-05
1967-12-01,3.089222e-05,0.00010711274,5.987598e-06,6.9354195e-05,8.173603e-05,2.0843827e-05,3.3474807e-05,3.9195966e-05,7.7944824e-05,5.244575e-05,-4.3942484e-05
1968-01-01,3.152161e-05,8.6643086e-05,-4.8701486e-07,5.27397e-05,8.857866e-05,1.6905606e-05,2.3918903e-05,4.5891906e-05,7.816977e-05,6.668069e-05,-2.7479677e-05
1968-02-01,3.408066e-05,8.6596556e-05,6.3340135e-06,5.5466255e-05,0.00010394226,2.3038016e-05,2.6087117e-05,4.2392985e-05,6.3541316e-05,5.927341e-05,-5.3730873e-05
1968-03-01,3.5625395e-05,8.051067e-05,8.009027e-06,6.471605e-05,9.721428e-05,1.7212687e-05,2.764116e-05,3.9880466e-05,6.132657e-05,5.1335704e-05,-3.208596e-05
1968-04-01,3.793319e-05,8.405612e-05,7.17152e-06,6.24827e-05,9.021645e-05,1.7082411e-05,2.1573884e-05,4.590121e-05,6.836163e-05,6.25769e-05,-4.6649286e-05
1968-05-01,3.8296108e-05,8.215777e-05,1.2764207e-05,5.1371775e-05,9.201244e-05,1.5798234e-05,2.0782907e-05,4.50544e-05,6.1010178e-05,5.5141707e-05,-2.8596347e-05
1968-06-01,3.6937483e-05,8.2697494e-05,5.682619e-06,5.361443e-05,7.963594e-05,2.019049e-05,2.5575311e-05,4.306299e-05,6.556994e-05,4.6775942e-05,-2.8354407e-05
1968-07-01,3.258245e-05,7.8268014e-05,1.764945e-06,6.41391e-05,8.838324e-05,2.1660779e-05,3.9729173e-05,5.0944862e-05,6.675176e-05,3.92756e-05,-9.901334e-06
1968-08-01,3.6593177e-05,8.130165e-05,3.8121884e-06,4.6849236e-05,7.703967e-05,2.068369e-05,4.2157946e-05,5.5048647e-05,6.0563507e-05,3.9731578e-05,-2.3487555e-05
1968-09-01,3.677929e-05,8.333028e-05,6.231648e-06,4.8812726e-05,8.320931e-05,1.8878394e-05,3.8342638e-05,4.642233e-05,6.3643674e-05,4.3174663e-05,-3.464501e-05
1968-10-01,3.345718e-05,8.239041e-05,4.2309416e-06,4.804966e-05,8.7285174e-05,1.9325065e-05,1.6037033e-05,4.244882e-05,7.281903e-05,5.357836e-05,-3.024345e-05
1968-11-01,3.7170124e-05,6.966961e-05,6.4829014e-06,5.4116936e-05,8.896949e-05,1.9380901e-05,2.8367002e-05,4.928846e-05,4.8875634e-05,5.7319226e-05,-7.568286e-05
1968-12-01,3.852875e-05,7.29545e-05,6.25026e-06,5.4740412e-05,9.351064e-05,1.7156852e-05,1.5385638e-05,4.0932002e-05,5.811613e-05,6.427984e-05,-6.553971e-05
1969-01-01,3.480138e-05,9.113686e-05,4.923831e-06,5.1892435e-05,0.00010744064,1.5702708e-05,2.7660579e-05,4.8794584e-05,7.2683964e-05,5.284796e-05,-3.7322112e-05
1969-02-01,3.0350791e-05,0.00010238521,5.4835414e-06,5.5855533e-05,0.000115511284,1.2579176e-05,2.3038461e-05,4.0462142e-05,8.254206e-05,4.763003e-05,-5.3499505e-05
1969-03-01,2.5981448e-05,9.499163e-05,7.623073e-06,5.5368044e-05,0.00011009474,1.9683865e-05,2.293013e-05,2.9954059e-05,7.744149e-05,5.331739e-05,-4.190811e-05
1969-04-01,3.642634e-05,7.0472764e-05,3.0009628e-06,6.1073464e-05,8.683071e-05,1.7029763e-05,1.782053e-05,5.4481945e-05,7.8389385e-05,7.17607e-05,-3.312429e-05
1969-05-01,3.1975753e-05,7.611499e-05,2.9016605e-06,6.133527e-05,8.117946e-05,1.6397831e-05,2.4807865e-05,5.9104063e-05,6.670772e-05,5.894156e-05,-2.1921085e-05
1969-06-01,3.0368843e-05,7.3135896e-05,2.3058396e-06,7.187043e-05,7.5266405e-05,2.1263686e-05,2.5882146e-05,5.4987493e-05,7.642138e-05,5.3931264e-05,-1.2135206e-05
1969-07-01,3.6715224e-05,7.071651e-05,-1.1065772e-06,5.735411e-05,8.644253e-05,1.7020733e-05,3.389862e-05,5.072648e-05,7.2368e-05,4.1410032e-05,-7.6214274e-06
1969-08-01,3.9901955e-05,7.97531e-05,7.440699e-07,6.149776e-05,8.614462e-05,2.0342877e-05,4.1346364e-05,4.750364e-05,7.5780416e-05,3.8060807e-05,-2.226414e-05
1969-09-01,3.8340186e-05,8.228082e-05,5.8356177e-06,5.9692247e-05,8.3968975e-05,1.6659635e-05,3.3194476e-05,4.8731392e-05,7.133886e-05,3.8295522e-05,-3.369303e-05
1969-10-01,3.5722187e-05,7.397546e-05,4.021081e-06,6.0640145e-05,7.85073e-05,1.7625583e-05,2.9267481e-05,5.010358e-05,5.958497e-05,5.7749927e-05,-3.5011057e-05
1969-11-01,4.168941e-05,9.4377756e-05,3.0461028e-06,6.516295e-05,0.0001076573,1.8004741e-05,2.820223e-05,4.8866805e-05,8.3002466e-05,4.7115453e-05,-6.212985e-05
1969-12-01,3.1091047e-05,8.139612e-05,4.3280174e-06,6.908995e-05,0.00011313704,1.9774145e-05,1.8804538e-05,3.826844e-05,7.754982e-05,6.552266e-05,-4.337961e-05
1970-01-01,3.211999e-05,9.793617e-05,1.0579994e-05,4.382999e-05,9.571595e-05,1.222647e-05,2.5767236e-05,3.8872837e-05,5.556116e-05,4.8393864e-05,-3.933783e-05
1970-02-01,3.0402156e-05,6.631826e-05,4.648596e-06,6.603221e-05,9.2709735e-05,1.897627e-05,2.5961712e-05,4.8839527e-05,7.5818665e-05,6.0507853e-05,-3.2928358e-05
1970-03-01,3.273582e-05,0.00011007447,2.7200817e-06,5.373186e-05,9.483272e-05,1.8960067e-05,1.8822964e-05,3.9642622e-05,7.675051e-05,5.1699888e-05,-4.363242e-05
1970-04-01,3.6584748e-05,8.860962e-05,4.040868e-06,5.505265e-05,9.300144e-05,1.416309e-05,2.426008e-05,3.6903806e-05,6.5649394e-05,5.5338136e-05,-3.33173e-05
1970-05-01,3.2743923e-05,9.0351765e-05,4.2353436e-06,7.011613e-05,7.5223455e-05,1.6221251e-05,2.4981247e-05,5.6918223e-05,7.32257e-05,5.4876265e-05,-2.805845e-05
1970-06-01,2.8303479e-05,7.5466545e-05,1.2534379e-06,6.4387306e-05,8.743468e-05,2.182853e-05,2.4341109e-05,5.0630293e-05,7.4279094e-05,4.153062e-05,-2.5967878e-05
1970-07-01,4.0952265e-05,8.648663e-05,2.8578302e-06,5.6616525e-05,8.410435e-05,2.0499638e-05,3.713575e-05,4.9552593e-05,7.037345e-05,2.914113e-05,-2.6373025e-05
1970-08-01,3.7192473e-05,7.062905e-05,1.083275e-06,5.2305728e-05,8.742658e-05,1.775272e-05,3.5596182e-05,5.337721e-05,6.94335e-05,4.1951975e-05,-2.0279564e-05
1970-09-01,3.5596182e-05,7.471297e-05,5.322704e-07,5.729718e-05,7.909669e-05,1.8838522e-05,3.1633812e-05,5.680478e-05,7.034103e-05,4.354827e-05,-1.9242383e-05
1970-10-01,3.3416472e-05,9.8130644e-05,1.3020558e-06,5.5741402e-05,8.267822e-05,1.8490091e-05,2.4284389e-05,5.3417723e-05,7.081101e-05,4.9495873e-05,-2.191637e-05
1970-11-01,3.5693418e-05,8.237841e-05,7.9870315e-06,6.1040766e-05,9.979176e-05,2.2638827e-05,2.8732939e-05,4.5379547e-05,6.847734e-05,6.0994033e-05,-5.9384656e-05
