,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5,mgu600_cluster6,mgu600_cluster7,mgu600_cluster8,mgu600_cluster9,mgu600_cluster10,mgu600_cluster11
1965-01-01,0.029329682,0.8215515,-0.30665627,1.1027887,-0.2466938,0.8759739,0.64166373,0.43049163,0.1525135,0.15609817,1.88556
1965-02-01,-0.18868637,1.5955242,1.129837,-0.21671239,0.19846268,1.2324903,0.89129066,-0.86945647,0.23528786,0.30502683,1.9504111
1965-03-01,-0.4187599,0.7482277,0.35456085,0.7769054,-0.24408646,1.9002249,1.373272,0.3584717,-0.82969856,0.7234608,2.4812748
1965-04-01,0.19846305,0.18868618,0.11829567,0.58528614,0.0026069642,0.83426094,0.90204465,0.3832386,0.43016607,-0.31936568,1.2908232
1965-05-01,0.10526047,1.6828606,1.0956192,0.99198854,0.41941148,0.3623821,0.7645218,0.65991324,0.85446584,-0.5210873,0.025744628
1965-06-01,0.10949669,1.3155903,1.6157287,1.7193596,0.6618687,-0.053118896,-0.22974777,0.22355576,1.0115416,0.64785576,0.586264
1965-07-01,0.08831482,0.17011109,2.086956,1.4749473,0.67425233,0.40409547,-1.3775085,-0.12579116,0.9323519,1.4889603,0.54846114
1965-08-01,0.07169418,0.17565079,1.2872387,1.004372,0.55269814,0.5380333,-1.5844444,-0.20335083,1.1158241,1.3283001,0.8143822
1965-09-01,0.19878845,1.2161961,1.6561382,0.3982292,0.6019066,0.3649891,-0.5148956,0.34250337,1.344594,0.43798676,-0.35651627
1965-10-01,0.2672245,2.0133064,1.7275069,1.7757378,0.30795938,0.100371934,0.14664765,-0.6807701,0.7710396,-0.19487838,0.9114952
1965-11-01,-0.07821198,0.95548975,0.9646145,0.95548975,0.1277462,0.22453347,0.46601295,0.67588174,0.54161817,-0.1981369,1.0252285
1965-12-01,-0.164571,0.47774467,0.03161049,1.5424051,-0.0029331208,0.64915925,0.34934694,1.1295112,0.3086113,-0.38193512,1.3120058
1966-01-01,0.0922329,0.33019906,0.3347946,0.3282299,0.43162233,1.667408,0.57177657,0.9177307,-0.33807677,1.3723294,1.2807534
1966-02-01,-0.014113998,0.8714504,0.95022583,0.45361367,0.21794471,1.416312,0.13621521,0.3892807,-0.26553804,1.9578915,1.5177351
1966-03-01,0.06794357,1.4340366,0.65842915,0.6899395,0.14803162,0.5711201,1.1990242,-0.70142746,0.08205757,-0.041028976,1.0513204
1966-04-01,-0.13227654,0.5977066,-0.1526268,0.96368295,0.19693795,1.135019,1.0546029,1.2581055,-0.325276,0.8944267,0.6535057
1966-05-01,0.24945489,1.7573429,1.5472755,1.6116089,0.5238552,-0.27604142,0.33249742,0.00853386,1.9047182,-0.82155955,0.49300155
