,cluster,nodes_lat,nodes_lon
0,7,40.0,-100.0
1,7,40.0,-97.5
2,7,40.0,-95.0
3,4,40.0,-92.5
4,4,40.0,-90.0
5,4,40.0,-87.5
6,4,40.0,-85.0
7,4,40.0,-82.5
8,4,40.0,-80.0
9,4,40.0,-77.5
10,4,40.0,-75.0
11,4,40.0,-72.5
12,4,40.0,-70.0
13,4,40.0,-67.5
14,11,40.0,-65.0
15,11,40.0,-62.5
16,11,40.0,-60.0
17,11,40.0,-57.5
18,11,40.0,-55.0
19,11,40.0,-52.5
20,5,40.0,-50.0
21,5,40.0,-47.5
22,5,40.0,-45.0
23,5,40.0,-42.5
24,5,40.0,-40.0
25,5,40.0,-37.5
26,10,40.0,-35.0
27,10,40.0,-32.5
28,10,40.0,-30.0
29,10,40.0,-27.5
30,10,40.0,-25.0
31,10,40.0,-22.5
32,10,40.0,-20.0
33,6,40.0,-17.5
34,6,40.0,-15.0
35,6,40.0,-12.5
36,6,40.0,-10.0
37,6,40.0,-7.5
38,6,40.0,-5.0
39,6,40.0,-2.5
40,6,40.0,0.0
41,7,37.5,-100.0
42,7,37.5,-97.5
43,4,37.5,-95.0
44,4,37.5,-92.5
45,4,37.5,-90.0
46,4,37.5,-87.5
47,4,37.5,-85.0
48,4,37.5,-82.5
49,4,37.5,-80.0
50,4,37.5,-77.5
51,1,37.5,-75.0
52,1,37.5,-72.5
53,11,37.5,-70.0
54,11,37.5,-67.5
55,11,37.5,-65.0
56,11,37.5,-62.5
57,11,37.5,-60.0
58,11,37.5,-57.5
59,11,37.5,-55.0
60,5,37.5,-52.5
61,5,37.5,-50.0
62,5,37.5,-47.5
63,5,37.5,-45.0
64,5,37.5,-42.5
65,5,37.5,-40.0
66,10,37.5,-37.5
67,10,37.5,-35.0
68,10,37.5,-32.5
69,10,37.5,-30.0
70,10,37.5,-27.5
71,10,37.5,-25.0
72,10,37.5,-22.5
73,6,37.5,-20.0
74,6,37.5,-17.5
75,6,37.5,-15.0
76,6,37.5,-12.5
77,6,37.5,-10.0
78,6,37.5,-7.5
79,9,37.5,-5.0
80,4,37.5,-2.5
81,8,37.5,0.0
82,4,35.0,-100.0
83,4,35.0,-97.5
84,4,35.0,-95.0
85,4,35.0,-92.5
86,4,35.0,-90.0
87,4,35.0,-87.5
88,4,35.0,-85.0
89,4,35.0,-82.5
90,1,35.0,-80.0
91,1,35.0,-77.5
92,1,35.0,-75.0
93,11,35.0,-72.5
94,11,35.0,-70.0
95,11,35.0,-67.5
96,11,35.0,-65.0
97,11,35.0,-62.5
98,11,35.0,-60.0
99,11,35.0,-57.5
100,5,35.0,-55.0
101,5,35.0,-52.5
102,5,35.0,-50.0
103,5,35.0,-47.5
104,5,35.0,-45.0
105,5,35.0,-42.5
106,10,35.0,-40.0
107,10,35.0,-37.5
108,10,35.0,-35.0
109,10,35.0,-32.5
110,10,35.0,-30.0
111,10,35.0,-27.5
112,10,35.0,-25.0
113,6,35.0,-22.5
114,6,35.0,-20.0
115,6,35.0,-17.5
116,6,35.0,-15.0
117,6,35.0,-12.5
118,6,35.0,-10.0
119,9,35.0,-7.5
120,9,35.0,-5.0
121,4,35.0,-2.5
122,4,35.0,0.0
123,4,32.5,-100.0
124,4,32.5,-97.5
125,4,32.5,-95.0
126,4,32.5,-92.5
127,4,32.5,-90.0
128,4,32.5,-87.5
129,4,32.5,-85.0
130,1,32.5,-82.5
131,1,32.5,-80.0
132,1,32.5,-77.5
133,11,32.5,-75.0
134,11,32.5,-72.5
135,11,32.5,-70.0
136,11,32.5,-67.5
137,11,32.5,-65.0
138,11,32.5,-62.5
139,11,32.5,-60.0
140,5,32.5,-57.5
141,5,32.5,-55.0
142,5,32.5,-52.5
143,5,32.5,-50.0
144,5,32.5,-47.5
145,5,32.5,-45.0
146,10,32.5,-42.5
147,10,32.5,-40.0
148,10,32.5,-37.5
149,10,32.5,-35.0
150,10,32.5,-32.5
151,10,32.5,-30.0
152,10,32.5,-27.5
153,6,32.5,-25.0
154,6,32.5,-22.5
155,6,32.5,-20.0
156,6,32.5,-17.5
157,6,32.5,-15.0
158,6,32.5,-12.5
159,9,32.5,-10.0
160,9,32.5,-7.5
161,4,32.5,-5.0
162,10,32.5,-2.5
163,3,32.5,0.0
164,4,30.0,-100.0
165,4,30.0,-97.5
166,4,30.0,-95.0
167,4,30.0,-92.5
168,4,30.0,-90.0
169,1,30.0,-87.5
170,1,30.0,-85.0
171,1,30.0,-82.5
172,11,30.0,-80.0
173,11,30.0,-77.5
174,11,30.0,-75.0
175,11,30.0,-72.5
176,11,30.0,-70.0
177,11,30.0,-67.5
178,11,30.0,-65.0
179,11,30.0,-62.5
180,5,30.0,-60.0
181,5,30.0,-57.5
182,5,30.0,-55.0
183,5,30.0,-52.5
184,2,30.0,-50.0
185,2,30.0,-47.5
186,2,30.0,-45.0
187,10,30.0,-42.5
188,10,30.0,-40.0
189,10,30.0,-37.5
190,8,30.0,-35.0
191,8,30.0,-32.5
192,8,30.0,-30.0
193,8,30.0,-27.5
194,8,30.0,-25.0
195,6,30.0,-22.5
196,6,30.0,-20.0
197,6,30.0,-17.5
198,9,30.0,-15.0
199,9,30.0,-12.5
200,9,30.0,-10.0
201,10,30.0,-7.5
202,10,30.0,-5.0
203,3,30.0,-2.5
204,3,30.0,0.0
205,4,27.5,-100.0
206,4,27.5,-97.5
207,4,27.5,-95.0
208,1,27.5,-92.5
209,1,27.5,-90.0
210,1,27.5,-87.5
211,1,27.5,-85.0
212,11,27.5,-82.5
213,11,27.5,-80.0
214,11,27.5,-77.5
215,11,27.5,-75.0
216,11,27.5,-72.5
217,11,27.5,-70.0
218,11,27.5,-67.5
219,11,27.5,-65.0
220,5,27.5,-62.5
221,5,27.5,-60.0
222,2,27.5,-57.5
223,2,27.5,-55.0
224,2,27.5,-52.5
225,2,27.5,-50.0
226,2,27.5,-47.5
227,2,27.5,-45.0
228,2,27.5,-42.5
229,8,27.5,-40.0
230,8,27.5,-37.5
231,8,27.5,-35.0
232,8,27.5,-32.5
233,8,27.5,-30.0
234,8,27.5,-27.5
235,8,27.5,-25.0
236,6,27.5,-22.5
237,9,27.5,-20.0
238,9,27.5,-17.5
239,9,27.5,-15.0
240,3,27.5,-12.5
241,3,27.5,-10.0
242,3,27.5,-7.5
243,4,27.5,-5.0
244,4,27.5,-2.5
245,4,27.5,0.0
246,1,25.0,-100.0
247,1,25.0,-97.5
248,1,25.0,-95.0
249,1,25.0,-92.5
250,1,25.0,-90.0
251,1,25.0,-87.5
252,1,25.0,-85.0
253,11,25.0,-82.5
254,11,25.0,-80.0
255,11,25.0,-77.5
256,11,25.0,-75.0
257,11,25.0,-72.5
258,11,25.0,-70.0
259,4,25.0,-67.5
260,4,25.0,-65.0
261,2,25.0,-62.5
262,2,25.0,-60.0
263,2,25.0,-57.5
264,2,25.0,-55.0
265,2,25.0,-52.5
266,2,25.0,-50.0
267,2,25.0,-47.5
268,2,25.0,-45.0
269,2,25.0,-42.5
270,8,25.0,-40.0
271,8,25.0,-37.5
272,8,25.0,-35.0
273,8,25.0,-32.5
274,8,25.0,-30.0
275,8,25.0,-27.5
276,8,25.0,-25.0
277,8,25.0,-22.5
278,4,25.0,-20.0
279,3,25.0,-17.5
280,3,25.0,-15.0
281,3,25.0,-12.5
282,3,25.0,-10.0
283,3,25.0,-7.5
284,4,25.0,-5.0
285,4,25.0,-2.5
286,4,25.0,0.0
287,1,22.5,-100.0
288,1,22.5,-97.5
289,1,22.5,-95.0
290,1,22.5,-92.5
291,4,22.5,-90.0
292,4,22.5,-87.5
293,4,22.5,-85.0
294,4,22.5,-82.5
295,1,22.5,-80.0
296,11,22.5,-77.5
297,11,22.5,-75.0
298,4,22.5,-72.5
299,4,22.5,-70.0
300,4,22.5,-67.5
301,4,22.5,-65.0
302,2,22.5,-62.5
303,2,22.5,-60.0
304,2,22.5,-57.5
305,2,22.5,-55.0
306,2,22.5,-52.5
307,2,22.5,-50.0
308,2,22.5,-47.5
309,2,22.5,-45.0
310,8,22.5,-42.5
311,8,22.5,-40.0
312,8,22.5,-37.5
313,8,22.5,-35.0
314,8,22.5,-32.5
315,8,22.5,-30.0
316,8,22.5,-27.5
317,8,22.5,-25.0
318,4,22.5,-22.5
319,3,22.5,-20.0
320,3,22.5,-17.5
321,3,22.5,-15.0
322,3,22.5,-12.5
323,3,22.5,-10.0
324,4,22.5,-7.5
325,4,22.5,-5.0
326,4,22.5,-2.5
327,4,22.5,0.0
328,4,20.0,-100.0
329,1,20.0,-97.5
330,1,20.0,-95.0
331,1,20.0,-92.5
332,4,20.0,-90.0
333,4,20.0,-87.5
334,4,20.0,-85.0
335,4,20.0,-82.5
336,4,20.0,-80.0
337,4,20.0,-77.5
338,1,20.0,-75.0
339,4,20.0,-72.5
340,4,20.0,-70.0
341,4,20.0,-67.5
342,2,20.0,-65.0
343,2,20.0,-62.5
344,2,20.0,-60.0
345,2,20.0,-57.5
346,2,20.0,-55.0
347,2,20.0,-52.5
348,2,20.0,-50.0
349,2,20.0,-47.5
350,2,20.0,-45.0
351,8,20.0,-42.5
352,8,20.0,-40.0
353,8,20.0,-37.5
354,8,20.0,-35.0
355,8,20.0,-32.5
356,8,20.0,-30.0
357,8,20.0,-27.5
358,4,20.0,-25.0
359,3,20.0,-22.5
360,3,20.0,-20.0
361,3,20.0,-17.5
362,3,20.0,-15.0
363,3,20.0,-12.5
364,4,20.0,-10.0
365,4,20.0,-7.5
366,4,20.0,-5.0
367,4,20.0,-2.5
368,4,20.0,0.0
369,4,17.5,-100.0
370,1,17.5,-97.5
371,1,17.5,-95.0
372,1,17.5,-92.5
373,1,17.5,-90.0
374,4,17.5,-87.5
375,7,17.5,-85.0
376,4,17.5,-82.5
377,4,17.5,-80.0
378,4,17.5,-77.5
379,4,17.5,-75.0
380,4,17.5,-72.5
381,4,17.5,-70.0
382,4,17.5,-67.5
383,4,17.5,-65.0
384,2,17.5,-62.5
385,2,17.5,-60.0
386,2,17.5,-57.5
387,2,17.5,-55.0
388,2,17.5,-52.5
389,2,17.5,-50.0
390,4,17.5,-47.5
391,8,17.5,-45.0
392,8,17.5,-42.5
393,8,17.5,-40.0
394,8,17.5,-37.5
395,8,17.5,-35.0
396,4,17.5,-32.5
397,4,17.5,-30.0
398,4,17.5,-27.5
399,3,17.5,-25.0
400,3,17.5,-22.5
401,3,17.5,-20.0
402,3,17.5,-17.5
403,4,17.5,-15.0
404,4,17.5,-12.5
405,4,17.5,-10.0
406,4,17.5,-7.5
407,4,17.5,-5.0
408,4,17.5,-2.5
409,4,17.5,0.0
410,4,15.0,-100.0
411,7,15.0,-97.5
412,7,15.0,-95.0
413,7,15.0,-92.5
414,1,15.0,-90.0
415,1,15.0,-87.5
416,1,15.0,-85.0
417,4,15.0,-82.5
418,4,15.0,-80.0
419,4,15.0,-77.5
420,7,15.0,-75.0
421,7,15.0,-72.5
422,7,15.0,-70.0
423,4,15.0,-67.5
424,4,15.0,-65.0
425,4,15.0,-62.5
426,4,15.0,-60.0
427,4,15.0,-57.5
428,4,15.0,-55.0
429,4,15.0,-52.5
430,4,15.0,-50.0
431,4,15.0,-47.5
432,4,15.0,-45.0
433,4,15.0,-42.5
434,4,15.0,-40.0
435,4,15.0,-37.5
436,4,15.0,-35.0
437,4,15.0,-32.5
438,4,15.0,-30.0
439,3,15.0,-27.5
440,3,15.0,-25.0
441,4,15.0,-22.5
442,4,15.0,-20.0
443,4,15.0,-17.5
444,4,15.0,-15.0
445,4,15.0,-12.5
446,4,15.0,-10.0
447,4,15.0,-7.5
448,4,15.0,-5.0
449,4,15.0,-2.5
450,4,15.0,0.0
451,4,12.5,-100.0
452,7,12.5,-97.5
453,4,12.5,-95.0
454,4,12.5,-92.5
455,4,12.5,-90.0
456,4,12.5,-87.5
457,7,12.5,-85.0
458,7,12.5,-82.5
459,1,12.5,-80.0
460,4,12.5,-77.5
461,7,12.5,-75.0
462,7,12.5,-72.5
463,7,12.5,-70.0
464,7,12.5,-67.5
465,4,12.5,-65.0
466,4,12.5,-62.5
467,4,12.5,-60.0
468,4,12.5,-57.5
469,4,12.5,-55.0
470,4,12.5,-52.5
471,4,12.5,-50.0
472,4,12.5,-47.5
473,4,12.5,-45.0
474,4,12.5,-42.5
475,4,12.5,-40.0
476,4,12.5,-37.5
477,4,12.5,-35.0
478,4,12.5,-32.5
479,4,12.5,-30.0
480,4,12.5,-27.5
481,4,12.5,-25.0
482,4,12.5,-22.5
483,4,12.5,-20.0
484,4,12.5,-17.5
485,4,12.5,-15.0
486,4,12.5,-12.5
487,4,12.5,-10.0
488,4,12.5,-7.5
489,4,12.5,-5.0
490,4,12.5,-2.5
491,4,12.5,0.0
492,1,10.0,-100.0
493,1,10.0,-97.5
494,1,10.0,-95.0
495,4,10.0,-92.5
496,7,10.0,-90.0
497,7,10.0,-87.5
498,7,10.0,-85.0
499,7,10.0,-82.5
500,4,10.0,-80.0
501,4,10.0,-77.5
502,7,10.0,-75.0
503,4,10.0,-72.5
504,4,10.0,-70.0
505,4,10.0,-67.5
506,4,10.0,-65.0
507,4,10.0,-62.5
508,4,10.0,-60.0
509,4,10.0,-57.5
510,4,10.0,-55.0
511,4,10.0,-52.5
512,4,10.0,-50.0
513,4,10.0,-47.5
514,4,10.0,-45.0
515,4,10.0,-42.5
516,4,10.0,-40.0
517,4,10.0,-37.5
518,4,10.0,-35.0
519,4,10.0,-32.5
520,4,10.0,-30.0
521,4,10.0,-27.5
522,4,10.0,-25.0
523,4,10.0,-22.5
524,4,10.0,-20.0
525,4,10.0,-17.5
526,4,10.0,-15.0
527,4,10.0,-12.5
528,4,10.0,-10.0
529,4,10.0,-7.5
530,4,10.0,-5.0
531,4,10.0,-2.5
532,4,10.0,0.0
533,4,7.5,-100.0
534,4,7.5,-97.5
535,7,7.5,-95.0
536,7,7.5,-92.5
537,7,7.5,-90.0
538,4,7.5,-87.5
539,1,7.5,-85.0
540,4,7.5,-82.5
541,7,7.5,-80.0
542,7,7.5,-77.5
543,7,7.5,-75.0
544,1,7.5,-72.5
545,1,7.5,-70.0
546,4,7.5,-67.5
547,7,7.5,-65.0
548,4,7.5,-62.5
549,4,7.5,-60.0
550,4,7.5,-57.5
551,4,7.5,-55.0
552,4,7.5,-52.5
553,4,7.5,-50.0
554,4,7.5,-47.5
555,4,7.5,-45.0
556,4,7.5,-42.5
557,4,7.5,-40.0
558,4,7.5,-37.5
559,4,7.5,-35.0
560,4,7.5,-32.5
561,4,7.5,-30.0
562,4,7.5,-27.5
563,4,7.5,-25.0
564,4,7.5,-22.5
565,4,7.5,-20.0
566,4,7.5,-17.5
567,4,7.5,-15.0
568,4,7.5,-12.5
569,4,7.5,-10.0
570,4,7.5,-7.5
571,4,7.5,-5.0
572,4,7.5,-2.5
573,4,7.5,0.0
574,4,5.0,-100.0
575,4,5.0,-97.5
576,4,5.0,-95.0
577,4,5.0,-92.5
578,4,5.0,-90.0
579,1,5.0,-87.5
580,4,5.0,-85.0
581,7,5.0,-82.5
582,7,5.0,-80.0
583,7,5.0,-77.5
584,1,5.0,-75.0
585,1,5.0,-72.5
586,7,5.0,-70.0
587,4,5.0,-67.5
588,4,5.0,-65.0
589,4,5.0,-62.5
590,4,5.0,-60.0
591,4,5.0,-57.5
592,4,5.0,-55.0
593,4,5.0,-52.5
594,4,5.0,-50.0
595,4,5.0,-47.5
596,4,5.0,-45.0
597,4,5.0,-42.5
598,4,5.0,-40.0
599,4,5.0,-37.5
600,4,5.0,-35.0
601,4,5.0,-32.5
602,4,5.0,-30.0
603,4,5.0,-27.5
604,4,5.0,-25.0
