,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8,zgv50_cluster9,zgv50_cluster10,zgv50_cluster11,zgv50_cluster12
1965-01-01,0.031495333,0.0076530934,0.023106385,-0.03620491,-0.09654641,0.13863835,0.057398032,-0.002943492,-0.1361364,0.0950747,0.02560835,0.005886984
1965-02-01,0.11538478,0.07608922,0.017072225,-0.097135164,-0.05033368,-0.06490394,-0.08639145,0.059311293,0.050186504,-0.058133937,-0.059899997,-0.011773968
1965-03-01,0.16630717,0.07579484,0.17852263,-0.051363897,-0.20148186,-0.018543983,-0.022517681,0.003532195,-0.01913271,-0.24018875,-0.1861757,-0.03443885
1965-04-01,0.039737117,-0.18470398,0.119211316,0.07388158,-0.1289248,0.17837548,0.15232556,0.04753735,-0.108761944,-0.026638603,-0.04753735,0.08786317
1965-05-01,0.03223121,-0.12186048,0.03105383,-0.067553066,0.06475677,0.17116392,-0.056515,-0.01839683,-0.10258061,-0.028993417,-0.0213403,-0.030906629
1965-06-01,0.0073587177,-0.04194472,0.024283778,-0.10155038,0.02899338,0.07049656,-0.008536125,-0.016042018,-0.012362659,-0.021193122,-0.034144472,-0.050628044
1965-07-01,-0.00058870314,0.016777897,-0.0033850074,-0.014717448,0.055337608,0.059016965,-0.012362647,0.010743737,-0.01707225,0.027080107,-0.025314022,-0.018543983
1965-08-01,-0.0016189099,0.011185264,-0.027963161,-0.015011812,0.03532188,0.044446684,-0.020015717,0.011038089,-0.030759454,0.051952578,-0.035763383,-0.02560835
1965-09-01,-0.020604443,-0.060194373,0.056367815,0.055631947,0.06446242,0.07034938,-0.006475675,-0.036793612,-0.076677896,-0.093455814,-0.016042018,0.002207613
1965-10-01,0.022664856,0.006622839,0.03752949,-0.037382316,0.087127306,0.002060437,-0.20001014,-0.003679371,-0.041208863,0.06122458,0.019868564,-0.06254914
1965-11-01,-0.010743737,0.13378158,-0.04724302,0.14452533,0.05313001,0.14158182,-0.025608372,0.0047095777,-0.30053028,0.1849983,0.010743737,0.00058870314
1965-12-01,0.003532195,-0.06313787,0.20251207,-0.11582632,-0.16056737,0.1585069,0.016336346,-0.0026491403,-0.29052243,0.023400735,-0.028993368,0.027668785
1966-01-01,-0.003327322,0.085208796,0.024738025,-0.24318504,-0.14466687,-0.084919475,-0.22640367,0.01851735,0.13106816,0.028065372,0.0049186707,-0.040072728
1966-02-01,-0.019964028,-0.0075226785,0.14698152,-0.14929621,-0.0021700144,0.07783077,-0.22495699,0.0041953563,0.0070887087,-0.1624609,-0.05092275,-0.053526737
1966-03-01,-0.004629326,0.08593211,0.18314824,-0.14264145,-0.1979043,0.11197214,0.014756012,0.008246017,-0.12383485,-0.14119487,-0.015045309,0.06784878
1966-04-01,0.013743353,-0.014756012,0.19501095,-0.15667419,-0.08853612,0.034864713,-0.005931282,-0.03920474,-0.14770488,-0.022423362,-0.029656744,0.0028933524
1966-05-01,0.029512024,0.057288073,-0.014611339,-0.08246007,0.040072728,0.0026040077,0.0026040077,-0.01417737,-0.040940713,0.040796064,-0.009837389,-0.016926002
1966-06-01,-0.022423387,-0.04614873,0.0037613392,-0.05511806,0.04759538,0.03978338,-0.014756059,0.090561435,-0.02285738,0.032839395,0.041374706,-0.017938709
1966-07-01,-0.01736002,-0.058300782,-0.0010126829,-0.059024096,0.035009384,0.09562483,-0.01822803,0.0011573315,-0.002025318,0.0030379773,-0.034864713,0.016781354
1966-08-01,-0.05338211,-0.011284018,-0.021266032,-0.026329374,0.04412339,0.04991007,-0.014322018,0.0309587,-0.002314663,0.017215395,0.091718815,0.07450342
1966-09-01,0.011139345,0.04947605,-0.028354693,-0.035009336,0.024882698,0.021555375,-0.019240666,0.00274868,-0.026184702,0.06495543,0.0052080154,-0.0037613392
1966-10-01,-0.012441349,0.021555375,-0.047595404,-0.029512024,0.062062073,-0.058445454,-0.031682037,0.004340005,0.09837346,-0.044991396,0.029801393,-0.022857357
1966-11-01,0.004484677,0.089404106,0.021410704,0.3003284,0.048318766,0.0056419848,0.1505982,0.028065348,-0.17085156,0.04137473,-0.016926026,-0.051212072
1966-12-01,0.061628103,0.049620748,0.11689081,-0.06148348,-0.1203628,0.042532064,0.07421408,0.012441349,-0.14640287,-0.06379809,0.036890052,0.06567874
1967-01-01,0.024812698,0.120566346,-0.080100015,-0.19383872,-0.056619547,-0.08509586,-0.045795225,0.111906886,0.11590357,-0.0021648884,0.04762702,-0.028642833
1967-02-01,0.033638667,0.034304786,-0.065112494,0.008826017,-0.12489607,0.064113334,0.025978386,-0.023980046,-0.13405515,0.12589523,0.0021648644,0.11923411
1967-03-01,0.0048293234,-0.15020834,0.1357204,-0.043796886,-0.090757824,0.18467967,-0.057618715,-0.005495429,-0.18368049,0.02497921,-0.11340566,0.04845967
1967-04-01,0.0134887695,-0.21915098,0.120732866,0.19250646,-0.023980046,0.14804348,0.021149063,0.03613659,-0.1060784,-0.19383875,-0.058617912,-0.04363035
1967-05-01,-0.0068276403,-0.036969233,0.0013322353,0.008826017,0.15986697,-0.033305597,-0.12806012,0.04546217,-0.022481298,0.058784414,-0.04512911,-0.10624492
1967-06-01,-0.02764367,-0.040965907,0.04596176,0.0009991645,0.009825158,0.045795225,0.0056619644,0.018817687,-0.03130727,-0.022481298,-0.009159041,0.01715238
1967-07-01,-0.010491276,0.004662788,-0.0128226755,-0.014487934,0.025145745,0.030308103,-0.000832653,-0.02181518,-0.012822652,0.07493764,-0.047793556,0.01931727
1967-08-01,-0.02697755,0.040133275,-0.03463783,0.0053288937,0.024313103,0.024646163,0.015653634,-0.015154076,-0.018318105,0.017318916,0.07094097,0.006494594
1967-09-01,0.0046627996,0.00033305882,-0.008326411,-0.020149898,0.011990023,0.035803545,0.004329729,-0.051290654,0.0044962643,-0.02098254,-0.01948378,-0.0056619407
1967-10-01,-0.0118234875,-0.015154028,-0.011323905,0.0694422,0.07626988,-0.016819347,-0.05945053,0.011157393,-0.057285674,-0.079433896,-0.0059950114,0.0029975057
1967-11-01,-0.017985022,0.011157393,-0.030474614,0.30241504,-0.089092515,0.14937574,0.01582017,0.025478791,-0.13655305,0.07027485,0.0056619407,-0.06544554
1967-12-01,0.038301468,0.14304765,0.13488777,-0.057452153,-0.24879298,-0.044463,0.24646159,-0.04113244,0.048293162,-0.10641146,-0.11157384,0.21498775
1968-01-01,0.083239935,-0.11551666,0.048556637,-0.1922446,-0.101643324,0.0014156342,-0.0035390854,0.003963828,-0.031568896,-0.056201123,-0.047282554,0.036098957
1968-02-01,0.024207532,0.1278328,-0.19040433,0.15402222,0.07064066,0.14835969,0.0594571,0.02831291,-0.36877564,0.16832022,0.12882373,-0.05167105
1968-03-01,0.067950964,-0.04077058,0.09159227,0.25849688,-0.038505554,0.114101015,0.062288404,-0.041053724,-0.2926139,0.023782825,0.0036806823,-0.08168274
1968-04-01,0.044451274,-0.025056934,0.0721979,0.11565822,0.050113846,0.052661993,-0.03199358,-0.0069366693,-0.09513136,-0.16039261,-0.034117054,-0.022791887
1968-05-01,0.019111216,-0.035249554,0.09414041,0.04898132,-0.04445126,0.01613834,0.04077059,-0.032701395,-0.055776417,0.009626389,-0.030861069,0.016421486
1968-06-01,0.036098957,-0.023499716,0.009626389,-0.0603065,0.022084069,0.023075033,-0.010758901,0.0046716454,-0.0046716332,-0.027180385,-0.034258604,-0.012740803
1968-07-01,0.036948346,-0.00254817,-0.025056934,0.0038222433,0.072197914,0.019394338,-0.012174547,-0.018686509,-0.01684618,0.05053854,0.17412437,-0.08592968
1968-08-01,0.022084069,-0.006511974,0.000566268,-0.008210743,-0.009343254,0.030719507,-0.02024374,-0.02859602,-0.017978704,0.027038837,0.059457112,0.04346031
1968-09-01,-0.009060144,-0.017837143,0.020102154,0.026189446,-0.026047874,0.028029788,0.047424126,-0.017412448,-0.037514605,0.002831292,-0.010192633,0.013448631
1968-10-01,0.011749864,-0.06044806,-0.046008468,-0.12740807,-0.042044677,-0.06044806,-0.09031816,-0.0048131943,0.080125526,0.06200527,-0.017129313,0.025764728
1968-11-01,-0.017412435,0.022367215,-0.08281527,0.12910685,-0.037797738,0.006653535,-0.06823411,-0.0036806702,-0.0009909391,-0.018828094,0.010475767,-0.086920634
