,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5
1965-01-01,0.54660594,-0.19647789,-0.0052982806,0.06019435,-0.50171775
1965-02-01,0.29861718,-0.034586,-0.078444004,-0.39118975,-0.8196146
1965-03-01,0.5521985,-0.029729271,-0.09139533,-0.60253227,-0.33629364
1965-04-01,0.63682383,-0.32231218,0.20545557,-0.04135604,-0.23062244
1965-05-01,0.28213346,0.11199977,0.045329712,0.15232559,0.24754746
1965-06-01,0.35027525,-0.21987864,0.06490393,-0.013687229,0.17616782
1965-07-01,0.03488035,-0.27477476,0.27212563,0.06284352,-0.3729402
1965-08-01,0.20574991,-0.049009096,0.2031008,-0.014570236,-0.40237504
1965-09-01,0.5689765,-0.41017532,0.2329772,0.16115606,0.30391526
1965-10-01,0.30185485,-0.86671066,0.13863833,0.056073476,-0.7052601
1965-11-01,0.16130324,-0.68333113,0.103905186,-0.039148428,0.032378387
1965-12-01,0.7567712,-0.49553642,-0.028993368,-0.18794183,-0.44534993
1966-01-01,0.20542693,0.6058649,-0.16463089,-0.0031826496,-0.59617215
1966-02-01,-0.01085,0.31537375,-0.2559157,0.21815762,-0.6102047
1966-03-01,0.6099155,0.043255378,-0.038481377,-0.16043553,-0.3169651
1966-04-01,0.015334701,0.38409057,-0.070597455,-0.06408739,-0.09750547
1966-05-01,0.2767477,-0.5145801,-0.062351417,0.004484701,-0.29121438
1966-06-01,0.023725366,-0.50011337,0.01837268,0.07710743,0.26748902
1966-07-01,-0.046872042,-0.16766886,0.047450732,0.09533544,-0.19992962
1966-08-01,-0.15971217,0.029222703,0.105606794,-0.031826735,-0.20426965
1966-09-01,0.08463013,-0.12426887,0.19848295,-0.04397869,-0.459462
1966-10-01,0.007812023,-0.13902488,0.11949482,0.06987409,-0.12701754
1966-11-01,0.110670164,-0.5255748,0.07710743,0.08347277,0.24029168
1966-12-01,0.7467703,-0.27052712,0.09938612,-0.42546526,-0.60383946
1967-01-01,0.4611163,0.09858461,0.09958382,-0.06910916,-0.50791067
1967-02-01,0.79717004,-0.16669464,0.23813525,-0.5758542,-0.8349719
1967-03-01,0.7806837,0.17552066,0.16319755,-0.00632807,-0.10990854
1967-04-01,0.87643737,-0.4466284,0.31323937,0.037302293,0.08159878
1967-05-01,0.75637066,-0.75786936,-0.0029975176,-0.042464662,-0.13005848
1967-06-01,0.2477938,-0.39633688,0.034637846,0.009658635,0.39783564
1967-07-01,-0.24979214,-0.06294765,0.22431335,0.28642833,-0.61515486
1967-08-01,-0.3608664,-0.16985865,0.05861789,0.1012491,-0.3876774
1967-09-01,-0.13955055,-0.49925128,0.105911866,0.13655303,-0.31440505
1967-10-01,-0.10024991,-0.5417159,0.056119967,0.13488775,-0.2226481
1967-11-01,0.66894335,-0.6023321,0.1885098,-0.33522105,-0.412157
1967-12-01,0.16086616,0.2611161,0.39833522,-0.5605336,-0.032139875
1968-01-01,0.4575366,0.2315996,0.0036806583,-0.4351693,-0.3533451
