,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,r700_cluster1,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster5,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,vo850_cluster1,vo850_cluster2,vo850_cluster3,vo850_cluster4,vo850_cluster5,vws850-200_cluster1,vws850-200_cluster2,vws850-200_cluster3,vws850-200_cluster4,vws850-200_cluster5,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,EA-WR,ENSO3.4,EP-NP,NAO,PDO,PNA,SOI,TNA,TSA,WP,month
1965-01-01,9.644261512602138e-05,4.581283589748335e-06,3.275944005796e-05,0.001647176516902,5.534437049798031e-05,,,,,,3178.361320495605,1758.59453924771,1208.7462163066484,1625.189501953125,1177.4063727759212,51.63745786168893,106.26341012807993,34.95549490285474,105.09490253769349,65.67680835723877,28.9644901569073,38.48181951613653,25.546294450759888,43.15631454055374,63.75297453345323,-8.564318854635137e-06,0.0007650112820556,2.5919318085760263e-06,-0.0056982004025485,0.0003845055834972,46.467187756813935,26.49919841382735,38.482881544893495,23.12989604982212,33.69779489700847,0.0339434583961722,0.0139508879731727,0.0146445234377796,-0.0516980247838156,-1.274985447525978,-0.37,-0.89,0.6,-0.65,-1.24,-0.92,-0.7,-0.36,-0.39,-1.0,1
1965-02-01,0.0001015606929201,3.406754417414788e-06,3.048315193154849e-05,0.0031167604902293,5.600194522207744e-05,,,,,,3171.3281631469727,1751.0009765625002,1208.085650561815,1624.148193359375,1176.8143670407335,44.57757884058459,98.92175527719353,39.41840090492899,95.37903616361528,70.40516436100006,28.87286615895701,37.660807654971165,24.59020018577576,42.21884753253008,65.99726793242664,-5.574249716259218e-06,0.0038321468309732,6.558319221028341e-07,-0.0066338208853267,0.0004391005131765,51.104028029709774,15.347151324583102,40.64434932981709,22.216393994983463,37.65261765470974,0.0299344423720952,0.0260632296528997,0.0160104557513617,0.0079777348409628,-1.3047639280557632,1.46,-0.56,-0.93,-2.2,-1.16,-1.03,0.7,-0.25,-0.08,-1.04,2
1965-03-01,9.995923349823326e-05,5.603169056553441e-06,3.210603800222376e-05,0.0038764900333868,5.259688298075212e-05,,,,,,3172.926521301269,1758.5859627559269,1209.0104669213772,1625.616259765625,1176.9160452605672,36.53198486478458,105.86487990159254,25.239358207052067,90.11220129850868,73.22366833686829,29.13440872024704,37.4509756905692,24.392683804035187,42.036664808118665,68.17302703857422,-9.101010493197895e-06,0.0053644009312847,2.676073249865205e-06,-0.0048739759222371,0.0004872132194577,39.30044550635493,15.847628857026372,36.79057327040595,24.828042737956544,39.83954653951696,0.0325143035606816,0.0281456692875186,0.0061771445549451,-0.0555875897407531,-1.870756099621455,-1.84,-0.34,2.23,-1.99,0.04,-0.8,1.2,-0.13,0.11,-1.17,3
1965-04-01,9.480405678068352e-05,6.163058909997313e-06,3.14898639580382e-05,0.0022455259265067,5.7904970107937056e-05,,,,,,3163.1271362304688,1761.083616059402,1208.7179845072835,1623.65849609375,1175.7068788385116,53.51155003890616,108.90486497145432,30.112129033998,104.4623865145389,64.19706344604492,29.770810263497488,37.953360421316965,25.16728937625885,42.92082915434966,68.37900208263864,-7.0731258701678685e-06,0.0014318911780719,2.240098353276856e-06,-0.0039320031646639,0.0003294606722192,50.644310777329615,12.057419557427918,40.559473715483776,15.199455942369696,30.475185773746077,0.0319745930794038,0.0061487608082309,0.0122846827770654,-0.1137739171584447,-2.345542361338933,0.67,-0.44,1.02,0.64,0.62,-1.07,-0.9,-0.18,0.1,0.49,4
1965-05-01,9.297917469751177e-05,2.806657910258579e-06,3.23348314467646e-05,0.0067095180080893,5.790881283731017e-05,,,,,,3157.1252822875977,1759.411778943292,1208.7586421890564,1623.425390625,1176.58913673004,66.76238111674493,113.80983205942007,38.597489881885146,112.9877143931166,62.911009788513184,30.17685125162313,40.34987495059059,27.50718295574188,44.2558546324034,67.53365586443645,-7.915205582337991e-06,0.0095830058853607,2.9267528198963855e-07,-0.0007133578947104,0.000492932886118,37.067949321397485,8.905981129899914,39.64045111588285,13.72065900240418,21.793713961653623,0.0137208789508782,-0.0443369338784036,0.0067338668024883,-0.1159246159451348,-3.982230524222056,2.95,0.06,0.07,-0.52,-0.66,-0.42,0.3,-0.21,0.15,1.18,5
1965-06-01,9.3818397185397e-05,2.2631271226293082e-07,3.4810163924703375e-05,0.0094460371959333,5.7015400195620656e-05,,,,,,3160.773468017578,1763.4860860890358,1211.1961091182147,1625.591455078125,1177.764363371568,72.78377739666719,105.63206599308894,46.12882155780644,127.396186044283,64.3653392791748,30.4117915394542,43.67118290492466,30.59916198253632,46.441396077473954,64.23800863870761,-9.160465807049024e-06,0.0150032807141542,3.605235231563985e-07,0.0006339083938655,0.0006547015800606,22.27851961306082,15.143071121238584,29.41411133550372,10.368663922408524,11.287248335307169,0.0289780740071887,-0.1169070695774464,-0.0092379052008394,-0.0226823879139763,-3.416262070337932,1.33,0.36,-1.56,0.6,-0.8,1.89,-0.9,-0.28,-0.17,1.19,6
1965-07-01,9.540110409563018e-05,-2.2659347601269047e-06,3.6423613269825615e-05,0.0091715938954924,5.699798725685807e-05,,,,,,3154.6804428100586,1765.123669854526,1210.977695662662,1624.955078125,1177.57617751987,77.74972398880081,99.76303980900693,50.8556839107543,133.00075352748976,68.08246970176697,30.325430566137964,47.43257431756882,33.8145524263382,48.04650555859814,61.76085123201696,-1.1254488331813708e-05,0.014823670790065,1.7531176833461937e-06,-0.000386408646591,0.0008237562724389,11.962105312873035,14.217043807941344,25.922770808726085,11.820585260076,9.19357131996878,0.0307945753278037,-0.0965856109993367,-0.011505473879739,0.0178684010392143,-4.117841025193533,0.37,0.61,0.75,0.35,-0.47,-1.26,-3.0,-0.2,-0.39,2.64,7
1965-08-01,9.594377631803455e-05,-1.992086247338377e-06,3.750925316126086e-05,0.0084309751400724,5.683345372388467e-05,,,,,,3156.0625076293945,1759.3603199925917,1210.4521367654384,1622.893212890625,1176.0319175058708,80.45772496115399,93.83817232572116,60.24997918180717,135.66110200971085,70.24708390235901,30.477428436279297,49.584279741559705,36.10571622848511,49.11868808505771,60.64815986447218,-1.0104775334030651e-05,0.0132186585688032,1.7856852602642963e-06,-0.0005717815383832,0.0006727382424287,10.476587865651114,15.671029567869123,18.70095868235948,9.76468024118798,8.089466078104474,0.0231406843734656,-0.1012452701224556,-0.0141913178735054,0.0301800313450041,-3.836509088675181,1.29,1.12,2.32,0.45,0.2,0.32,-1.1,-0.2,-0.21,1.62,8
1965-09-01,9.559321898810002e-05,-2.1782346820166418e-07,3.651779766905269e-05,0.0065114751729803,5.665844866196302e-05,,,,,,3163.612174987793,1757.5808294888202,1210.0341796875,1621.636181640625,1175.9957550578035,80.98511531435211,89.03616391695462,69.92789571599442,135.70804774204146,72.97112941741943,30.838504204383263,49.67917669387091,35.165417194366455,49.92384867625193,60.95111660841035,-8.60988024588438e-06,0.0099234894150868,5.286672756131917e-07,-0.0005117114596941,0.0004911244104732,21.87488196397422,12.757025331648544,18.86927096177764,8.466854278384078,9.96971648580069,0.0185103649612863,-0.0928556994546817,-0.0177457681498848,0.036709201300428,-3.1976545850435896,0.66,1.29,2.26,0.51,0.59,0.36,-2.2,-0.12,-0.03,-1.29,9
1965-10-01,9.587589417161896e-05,3.3153533412334403e-06,3.416673088826141e-05,0.0026320631150156,5.767246304330271e-05,,,,,,3166.6826248168945,1756.047899969693,1209.3747811488422,1622.681494140625,1175.2222314735368,76.38845020914313,87.05638592059795,63.41278312742248,120.59486959582176,65.04190564155579,30.897732619400863,48.17989531017485,32.59747624397278,49.34464875642244,62.87363098888863,-6.934382590798315e-06,0.0041826770029729,1.2259409649056414e-06,-0.0029562223062384,0.0002417982796032,29.370126206014948,9.733465906068966,19.872009731564177,12.128322214132522,22.150969567456556,0.014628278212207,-0.0670581490178651,-0.0083538526310943,0.0270827976055443,-3.166927645603816,3.08,1.45,0.85,0.92,-0.36,1.42,-1.5,-0.1,-0.17,1.57,10
