,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1965-01-01,1015.4921,1011.9994,1020.1744,1019.5418,1020.8441
1965-02-01,1015.6193,1012.68835,1010.85205,1018.14703,1019.8879
1965-03-01,1013.8195,1013.863,1016.88196,1020.95953,1017.3917
1965-04-01,1014.95197,1012.3144,1027.7695,1017.3055,1017.0568
1965-05-01,1018.1266,1012.3219,1021.32666,1016.8732,1018.03046
1965-06-01,1022.62836,1014.397,1024.3834,1017.7179,1016.8007
1965-07-01,1024.9534,1013.7141,1026.8182,1017.0692,1016.1067
1965-08-01,1020.4739,1012.7715,1023.38617,1016.4763,1016.3585
1965-09-01,1017.3402,1012.0539,1022.0249,1017.0072,1016.9787
1965-10-01,1018.0683,1011.2241,1019.512,1015.28314,1018.193
1965-11-01,1017.55475,1010.91095,1021.8501,1020.1788,1020.0175
1965-12-01,1015.9467,1011.6744,1022.6817,1023.7583,1022.1632
1966-01-01,1011.7455,1012.618,1006.7903,1020.50037,1021.7422
1966-02-01,1016.6149,1013.2326,1009.1499,1019.0027,1021.1601
1966-03-01,1018.46436,1012.0703,1021.45044,1020.1743,1020.5705
1966-04-01,1016.6555,1012.31445,1015.2905,1017.29083,1017.0868
1966-05-01,1025.4856,1012.60046,1026.1903,1016.6506,1016.20807
1966-06-01,1024.061,1012.7701,1024.9749,1017.23517,1018.02124
1966-07-01,1022.1058,1013.16565,1027.7181,1015.56213,1015.39435
1966-08-01,1021.7628,1013.3616,1021.90485,1015.6861,1016.4628
1966-09-01,1018.34546,1012.68677,1020.77454,1016.4059,1014.3867
1966-10-01,1016.8045,1011.08453,1013.45166,1015.7969,1018.07196
1966-11-01,1016.6775,1009.6099,1022.73987,1019.2724,1021.93866
1966-12-01,1015.7737,1010.3097,1024.061,1022.4288,1021.09875
1967-01-01,1019.8753,1012.68396,1016.10803,1023.8066,1022.0209
1967-02-01,1018.9241,1012.914,1022.34155,1019.34344,1021.14655
1967-03-01,1017.03394,1012.2537,1025.2991,1022.0898,1020.9085
1967-04-01,1012.4518,1012.277,1022.25305,1013.79193,1018.90814
1967-05-01,1021.08417,1013.07654,1023.79205,1016.49335,1016.17914
1967-06-01,1024.5524,1013.2964,1025.8274,1017.13763,1015.4238
1967-07-01,1026.7844,1013.6853,1024.6693,1017.2908,1017.69055
1967-08-01,1025.1249,1013.7187,1023.8653,1015.9165,1017.27844
