,zgu50_cluster1,zgu50_cluster2,zgu50_cluster3,zgu50_cluster4,zgu50_cluster5,zgu50_cluster6
1970-01-01,-0.017585509,0.23151918,-0.004161819,-0.011306791,0.02058907,-0.059969995
1970-02-01,0.059348203,0.2475674,-0.101439886,0.03786497,-0.20644097,0.22942019
1970-03-01,-0.072598726,0.062116764,-0.050623994,0.120449804,-0.10198918,0.09210653
1970-04-01,-0.04678798,0.02019507,0.010107834,-0.004292092,-0.03189449,0.111187756
1970-05-01,-0.031203335,-0.0035085566,0.0131466165,0.016850144,-0.021530956,0.052080028
1970-06-01,-0.017886233,0.03030792,0.016673584,-0.0036430669,-0.0027344131,-0.024520818
1970-07-01,-0.018580774,0.035081923,0.01389988,-0.02542778,-0.0135250045,0.006977138
1970-08-01,-0.006763302,0.016709933,0.0095717115,-0.0143995965,-0.0056580706,0.0013331906
1970-09-01,-0.0017374738,-0.012930988,0.01438834,-0.016513053,-0.021867048,0.015063112
1970-10-01,0.0009213723,-0.08285139,0.004801764,-0.008057252,0.022384252,0.11331463
1970-11-01,-0.045371953,0.0871052,-0.036608525,0.05955934,-0.072774835,0.1113869
1970-12-01,-0.034833122,0.11233161,0.0109339645,-0.0074569574,-0.14895162,0.21021903
1971-01-01,-0.001025982,0.2672746,-0.0044362815,-0.06533176,-0.18559438,0.107502766
1971-02-01,-0.028324427,0.106542535,0.02359383,0.025310943,-0.09811716,0.17861956
1971-03-01,-0.020641161,0.046220705,-0.048793226,0.10451158,-0.09271351,0.24053521
1971-04-01,-0.033983964,0.029626705,-0.0059939832,0.070210196,-0.061088275,-0.06746805
1971-05-01,-0.022381602,-0.010335055,-0.015844878,0.02200793,0.010895967,-0.028473087
1971-06-01,-0.011727566,0.001427871,-0.0012068066,0.006044839,-0.011706717,0.01405783
1971-07-01,-0.035557386,-0.008513426,0.005558648,-0.013210774,-0.019570218,-0.006351754
1971-08-01,-0.013168733,0.03578846,0.017758174,-0.020883126,-0.009236866,-0.012120908
