,zgv500_cluster1,zgv500_cluster2,zgv500_cluster3,zgv500_cluster4,zgv500_cluster5,zgv500_cluster6
1965-01-01,-0.13716659,-0.10552411,0.12627569,0.09404449,0.5788372,-0.5293865
1965-02-01,0.17675653,-0.12289069,0.20398383,0.060930204,-0.4415234,0.45447475
1965-03-01,0.019132698,-0.12230196,0.12141893,-0.100372985,-0.48611727,-0.25402316
1965-04-01,-0.0008830309,-0.10449386,0.039442766,-0.022517776,0.55514205,-0.86406136
1965-05-01,0.1452612,-0.10640713,0.056809355,0.024136614,-0.108467594,-0.29905853
1965-06-01,0.020751607,-0.00706439,0.03488035,0.29317153,-0.50525,-0.05165825
1965-07-01,0.01707225,-0.114354566,0.073440075,0.12333222,-0.42901358,0.12701158
1965-08-01,0.024578143,-0.058281086,0.0697607,0.15821259,-0.2889035,0.047537327
1965-09-01,-0.019721365,-0.1539445,0.10258059,0.36675876,0.079032704,-0.3683777
1965-10-01,0.038559698,-0.08418379,0.037087966,1.3668094,-0.008683396,-0.7879723
1965-11-01,-0.013687218,-0.06416807,-0.005592632,0.20825188,-0.26579708,-0.4593315
1965-12-01,0.10258059,0.038706876,-0.04680147,-0.37279296,-0.016925048,-0.19485898
1966-01-01,0.18358226,-0.22510163,0.04079609,-0.3126251,-0.28644043,0.45902795
1966-02-01,0.18112287,-0.15349157,-0.0878128,0.06553407,-0.13222551,-0.004484701
1966-03-01,-0.020398045,-0.1265835,0.022423362,-0.15537219,-0.114720866,-0.060326077
1966-04-01,0.19110492,-0.19587894,0.13237019,-0.2862957,0.04513607,-0.3024984
1966-05-01,-0.009548021,-0.11862683,0.110670134,-0.40405455,0.026184702,0.14582424
1966-06-01,-0.017504692,-0.12860885,0.043689393,0.0008679867,-0.41504917,-0.38249916
1966-07-01,0.00014467239,-0.09432278,0.09620352,0.28181106,-0.2887551,-0.070163414
1966-08-01,0.038047362,0.027776051,0.07016344,0.012296677,-0.14640288,0.011284018
1966-09-01,0.0056420327,-0.05670941,0.022134017,0.33273378,-0.20846495,-0.23291364
1966-10-01,0.019530034,-0.1161675,0.0031826496,-0.19992962,0.47219262,0.51631606
1966-11-01,0.074069455,-0.083762124,-0.10850017,0.0619174,0.40058255,-0.23566231
1966-12-01,0.06336407,-0.17663825,-0.17605956,0.27110568,-0.17837425,-0.5225367
1967-01-01,0.19850154,-0.14437985,-0.19200692,-0.604497,-0.4792679,0.40549588
1967-02-01,-0.10990858,0.23597035,-0.022814345,0.08709421,1.223482,-0.50990903
1967-03-01,-0.09991686,0.112573005,0.15237322,0.44413042,-0.29075807,-0.3840138
1967-04-01,0.10624492,-0.065945104,-0.027144074,0.61798584,0.4766035,-1.2959217
1967-05-01,-0.18134908,-0.07360542,0.13055804,0.54871005,-0.20066643,0.3212327
1967-06-01,-0.0947545,-0.052955925,0.046960913,0.16403016,0.20466308,-0.13755222
1967-07-01,-0.02298088,-0.06561206,0.18218175,0.29658657,-0.5705253,0.35587054
1967-08-01,-0.013488782,-0.09641977,0.18834329,0.0031640052,-0.2571194,0.10840984
1967-09-01,0.098751165,-0.056786083,0.013322246,0.37552088,-0.26644498,-0.019650316
1967-10-01,0.0069941757,-0.10241479,0.033805203,0.5532064,-0.18318091,-0.25012523
1967-11-01,0.07510414,-0.039467145,-0.10224825,1.1535401,-0.32506284,-0.4193178
1967-12-01,-0.2884267,0.11024161,-0.041298985,-0.5277276,0.80616254,-1.0484608
1968-01-01,0.1533144,-0.16817865,0.03624053,0.0048131943,-0.095556065,-0.32248396
1968-02-01,0.071773216,-0.19139525,-0.04940603,0.44677767,0.06271305,-0.63095313
1968-03-01,-0.13604352,-0.14213078,0.030577946,0.94692516,0.42469367,-0.6628052
1968-04-01,-0.011325156,-0.16336547,0.07078226,0.09994459,0.62401646,-0.31965274
1968-05-01,-0.018544948,-0.06710158,0.023924422,-0.20852451,0.32998693,-0.35801673
1968-06-01,0.056484245,-0.14878432,0.08196585,0.18856396,-0.121887065,0.17115149
1968-07-01,-0.001274085,-0.020526862,-0.011466742,0.37231475,-0.70499146,0.1370345
1968-08-01,-0.025198508,-0.098104216,0.112260655,0.73868376,-0.18120265,-0.5641347
1968-09-01,0.022650313,-0.026755702,0.03241825,0.17808817,-0.070216015,-0.2494367
1968-10-01,-0.052520443,-0.0052378895,-0.013873339,-0.03369236,-0.06044805,0.36594433
1968-11-01,0.18021166,-0.03255985,-0.080125526,0.71306056,-0.27746648,-0.50510234
1968-12-01,0.32687253,-0.06186373,0.07701111,0.3339507,0.10178492,-0.055917956
1969-01-01,0.066622436,0.0754045,-0.106595896,-0.14702359,-0.56144553,0.4996683
1969-02-01,0.13915005,-0.15898535,-0.023317838,0.17215843,-0.21288896,-0.01287024
1969-03-01,-0.047695614,-0.002271223,-0.05238948,0.054206442,-0.41502753,0.18154618
1969-04-01,0.079492666,-0.1499005,0.07449601,-0.23514691,0.4821042,-0.22666772
1969-05-01,0.22969599,-0.047089957,0.074495986,0.47771326,-0.049361132,-0.16413355
1969-06-01,-0.09115162,-0.06707668,0.01953249,0.15474577,0.65501976,-0.21924837
1969-07-01,0.057991814,-0.108867146,0.14293544,-0.30873448,-0.21652296,0.101296425
1969-08-01,-0.0466357,-0.026497554,0.090697385,0.23575261,-0.44743028,0.12749115
1969-09-01,0.0569319,-0.022712206,0.0071165087,0.3429542,-0.15580559,-0.33841172
1969-10-01,-0.01832118,-0.013324499,0.07903843,0.51874655,-0.03391688,-0.407154
1969-11-01,-0.09523983,0.013475919,0.059657384,0.04572723,0.17912354,-0.17821504
1969-12-01,0.2307559,-0.074193195,0.08282381,0.033916853,0.07237621,-0.4589378
1970-01-01,-0.14393012,0.26402467,-0.047147263,-0.03784877,-0.07674523,0.15427631
1970-02-01,0.3661771,-0.09167524,-0.037324928,0.20705509,-0.45994776,-0.118392035
1970-03-01,0.2581312,-0.111450866,0.06653003,0.029990911,-0.01584673,0.2683465
1970-04-01,-0.08709147,0.0005238533,0.039158415,-0.20050678,0.12729761,-0.69555306
1970-05-01,0.078971624,0.023966527,0.104509756,0.13738188,0.18898194,-0.13266717
1970-06-01,-0.023573637,-0.12821437,0.0711138,0.2501424,-0.013358402,-0.3504614
1970-07-01,-0.030645728,-0.14026311,0.08473412,-0.052254867,-0.7141501,-0.32151812
1970-08-01,0.009691382,-0.030907642,0.13895348,0.48273554,-0.4168604,-0.07779298
1970-09-01,0.042825438,-0.085126996,0.22748554,0.14589456,-0.32400647,-0.059326984
1970-10-01,0.020299505,-0.058148287,0.10372398,-0.053040672,0.056314778,-0.266644
1970-11-01,-0.12258287,-0.06928029,-0.028812218,1.1062582,-0.012179757,-0.1640987
1970-12-01,0.049504615,0.046361517,0.030514741,0.43310004,0.49373665,-0.34142476
1971-01-01,-0.17937198,0.18297091,0.07284286,-0.31570044,0.0729868,-0.07457037
1971-02-01,-0.25221473,-0.091557406,0.19060068,0.8215696,-0.13978346,-0.79680884
1971-03-01,0.090117835,0.08435955,0.030231237,0.63715917,0.05412836,-0.7658578
1971-04-01,-0.06722848,-0.060174562,-0.060318492,0.73433095,0.25322255,-0.16166496
1971-05-01,0.054848097,-0.02720809,-0.026344359,0.35917577,0.5578381,-0.647956
1971-06-01,-0.0021593808,-0.060750388,0.12452386,0.2237111,-0.286189,-0.37889802
1971-07-01,0.033542264,-0.11358304,0.08738265,0.23796293,-0.44828588,0.15734634
1971-08-01,0.08709474,-0.043331433,0.07385059,0.3467953,-0.6751641,-0.37011662
1971-09-01,0.063485585,-0.085511185,0.065501,0.22284737,-0.2848933,0.8682121
1971-10-01,-0.0892541,-0.11545452,0.042611647,-0.51824963,-0.6622079,0.8218576
1971-11-01,-0.20038986,-0.05139308,0.107104935,0.59785855,0.47808522,-0.93745595
