,cluster,nodes_lat,nodes_lon
0,3,40.0,-72.5
1,3,40.0,-70.0
2,3,40.0,-67.5
3,3,40.0,-65.0
4,3,40.0,-62.5
5,3,40.0,-60.0
6,3,40.0,-57.5
7,5,40.0,-55.0
8,5,40.0,-52.5
9,5,40.0,-50.0
10,5,40.0,-47.5
11,5,40.0,-45.0
12,5,40.0,-42.5
13,5,40.0,-40.0
14,5,40.0,-37.5
15,5,40.0,-35.0
16,5,40.0,-32.5
17,5,40.0,-30.0
18,5,40.0,-27.5
19,5,40.0,-25.0
20,4,40.0,-22.5
21,4,40.0,-20.0
22,4,40.0,-17.5
23,2,40.0,-15.0
24,2,40.0,-12.5
25,2,40.0,-10.0
26,3,37.5,-75.0
27,3,37.5,-72.5
28,3,37.5,-70.0
29,3,37.5,-67.5
30,3,37.5,-65.0
31,3,37.5,-62.5
32,5,37.5,-60.0
33,5,37.5,-57.5
34,5,37.5,-55.0
35,5,37.5,-52.5
36,5,37.5,-50.0
37,5,37.5,-47.5
38,5,37.5,-45.0
39,5,37.5,-42.5
40,5,37.5,-40.0
41,5,37.5,-37.5
42,5,37.5,-35.0
43,5,37.5,-32.5
44,5,37.5,-30.0
45,5,37.5,-27.5
46,5,37.5,-25.0
47,4,37.5,-22.5
48,4,37.5,-20.0
49,2,37.5,-17.5
50,2,37.5,-15.0
51,2,37.5,-12.5
52,2,37.5,-10.0
53,2,37.5,0.0
54,3,35.0,-75.0
55,3,35.0,-72.5
56,3,35.0,-70.0
57,3,35.0,-67.5
58,3,35.0,-65.0
59,3,35.0,-62.5
60,5,35.0,-60.0
61,5,35.0,-57.5
62,5,35.0,-55.0
63,5,35.0,-52.5
64,5,35.0,-50.0
65,5,35.0,-47.5
66,5,35.0,-45.0
67,5,35.0,-42.5
68,5,35.0,-40.0
69,5,35.0,-37.5
70,5,35.0,-35.0
71,5,35.0,-32.5
72,5,35.0,-30.0
73,5,35.0,-27.5
74,5,35.0,-25.0
75,4,35.0,-22.5
76,4,35.0,-20.0
77,2,35.0,-17.5
78,2,35.0,-15.0
79,2,35.0,-12.5
80,2,35.0,-10.0
81,2,35.0,-7.5
82,3,32.5,-80.0
83,3,32.5,-77.5
84,3,32.5,-75.0
85,3,32.5,-72.5
86,3,32.5,-70.0
87,3,32.5,-67.5
88,3,32.5,-65.0
89,3,32.5,-62.5
90,3,32.5,-60.0
91,5,32.5,-57.5
92,5,32.5,-55.0
93,5,32.5,-52.5
94,5,32.5,-50.0
95,5,32.5,-47.5
96,5,32.5,-45.0
97,5,32.5,-42.5
98,5,32.5,-40.0
99,5,32.5,-37.5
100,5,32.5,-35.0
101,5,32.5,-32.5
102,5,32.5,-30.0
103,4,32.5,-27.5
104,4,32.5,-25.0
105,4,32.5,-22.5
106,2,32.5,-20.0
107,2,32.5,-17.5
108,2,32.5,-15.0
109,2,32.5,-12.5
110,2,32.5,-10.0
