,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6,abs_vo500_cluster7
1965-01-01,0.00014748184762466404,4.8766552936285734e-05,5.638348096434367e-06,8.020829320267528e-05,3.05330193477144e-05,0.00012516637688572956,5.860151558191376e-05
1965-02-01,0.00015536349983738055,4.2383868276374415e-05,4.619322377748078e-06,9.114462175473039e-05,3.8089388445037984e-05,0.00011960959763766951,5.3169292066064956e-05
1965-03-01,0.00015960175669678148,3.900389856426045e-05,5.494372403617214e-06,8.439107047279879e-05,4.12767161940471e-05,0.00010168794276223535,5.7606406039063846e-05
1965-04-01,0.0001448936740099083,5.026430153520778e-05,2.7203468957652705e-06,7.774908634910018e-05,3.6219645670487304e-05,0.00013594069729014387,5.8335650159021336e-05
1965-05-01,0.00013497605871793533,4.9997663154499605e-05,8.277448495905645e-06,7.810857062636665e-05,3.223280342068642e-05,0.0001290030854332419,5.055606910965068e-05
1965-06-01,0.0001332825738086646,4.786578210769221e-05,4.8468393248660275e-06,7.730575779700006e-05,4.0296978184807245e-05,0.0001080483137761717,5.6735573715604515e-05
1965-07-01,0.00013789791005870534,4.7182322305161506e-05,6.2231896188914905e-06,7.613895405131411e-05,3.7306911811659425e-05,0.00010557855860514672,6.055284370833069e-05
1965-08-01,0.00013457685117683712,4.792168329004198e-05,8.710272674722113e-06,7.83119856128089e-05,3.67017732702045e-05,0.00010848214961302836,6.851287011625823e-05
1965-09-01,0.00013352325786688616,4.9443802708992735e-05,5.60265008338636e-06,7.680838669849826e-05,3.7012791033382254e-05,0.00011439718740425547,6.048572138961471e-05
1965-10-01,0.00014829047214579843,4.918733611702919e-05,6.143885042072963e-06,8.015474066974558e-05,3.5101874898685436e-05,0.0001101046023596043,5.914646870996474e-05
1965-11-01,0.00014275323741862344,4.729583451990038e-05,9.282492140735723e-06,7.727474588378123e-05,3.552140518806089e-05,0.00011719352324638199,5.4015416718413645e-05
1965-12-01,0.00013830174880457067,4.826762233278714e-05,4.678952237831571e-06,7.371743368840187e-05,3.3621534955683255e-05,0.00012630419251025778,5.6166645341379724e-05
1966-01-01,0.000151773634743655,4.023323708679527e-05,4.233949628384004e-06,8.604323256247658e-05,3.372879826415823e-05,0.0001073362583619595,5.405230678935264e-05
1966-02-01,0.00015478700146241676,3.981890040449798e-05,8.790440678358605e-06,8.394208449243131e-05,3.681732100541886e-05,9.707898397947538e-05,5.0937004124156444e-05
1966-03-01,0.00015123991437980699,4.848696698900312e-05,4.3768035410444694e-06,8.70949573867137e-05,2.374691647156735e-05,0.00013185356538259548,4.452891532945719e-05
1966-04-01,0.0001523807267880156,4.6229914005380124e-05,3.2752494343699454e-06,7.728324687507535e-05,3.095512386376047e-05,0.0001106785896139764,5.952629301412674e-05
1966-05-01,0.00012828627765725648,5.170631629880518e-05,6.987995576586717e-06,7.911963175687634e-05,3.545988411311626e-05,0.00012011125089077912,4.648476356405568e-05
1966-06-01,0.00013851465718332854,4.5672037231270224e-05,4.893123312523012e-06,7.985662686762078e-05,3.933078718831644e-05,9.595616300533227e-05,5.997572183316426e-05
1966-07-01,0.00014230413759674227,4.612325574271381e-05,7.339526350931366e-06,8.311932217519806e-05,4.0336785519577784e-05,0.0001054618069418829,5.7977660166602425e-05
1966-08-01,0.00013279407987341522,4.692558286478743e-05,3.7215086788068143e-06,7.63465935478405e-05,3.768738465356257e-05,0.00010780512518908406,6.90942513241342e-05
1966-09-01,0.00014577056549208622,4.6546701923944056e-05,5.317628086271251e-06,7.975424374976405e-05,3.665987944758872e-05,0.00011079442835048297,6.08074120802195e-05
1966-10-01,0.0001423932161063902,4.92090912302956e-05,4.8969791746260504e-06,7.870669888893181e-05,3.518038747464672e-05,0.00011429072504331585,5.9653641589076585e-05
1966-11-01,0.00014913523392308327,4.915075987810269e-05,6.564677158972581e-06,8.771892272325574e-05,3.6523309901502784e-05,0.00011925027858935964,5.866985163338219e-05
1966-12-01,0.00014118497982429015,5.022156983613968e-05,3.0768021884875414e-06,8.352226916253947e-05,2.8328567364666262e-05,0.00014337682893350367,5.3666217434961784e-05
1967-01-01,0.00014359354122822719,4.529658690444194e-05,4.671827236566258e-06,8.064189572980133e-05,2.4868972568405225e-05,0.00011383414154274845,5.5544040682498964e-05
1967-02-01,0.00015116768606406237,4.577497747959569e-05,1.109402428087576e-06,7.76019189696835e-05,2.7437670046221647e-05,0.00013278911624956032,6.192825081453255e-05
1967-03-01,0.00014045485480141545,5.343270458979532e-05,5.483260516168388e-07,7.478391831237062e-05,2.9124943217075446e-05,0.0001352042125050365,5.908805178478361e-05
1967-04-01,0.00015665233756105104,5.156409679329954e-05,3.5464248689411604e-06,8.629826230130026e-05,3.2121715776156634e-05,0.00012582209167720854,5.267629442649968e-05
1967-05-01,0.0001481002347270352,4.726116094388999e-05,4.790988836960068e-06,8.214247289436813e-05,4.0017991576699866e-05,0.00010264413744290271,5.016306920525149e-05
1967-06-01,0.0001432077075901722,4.856409577769227e-05,7.156583666548377e-06,8.256871779496801e-05,3.340728386212825e-05,0.00010725414643463906,5.4396108664423893e-05
1967-07-01,0.00013945383317251172,4.6499480959028006e-05,9.258218715726601e-06,7.583040147734692e-05,4.609545630599171e-05,0.00010962555262387537,6.286390033031328e-05
1967-08-01,0.0001382058332045932,4.825045107281767e-05,6.50432352615652e-06,7.632770575582981e-05,3.8991598272582e-05,0.00011065982656667606,6.640775850871001e-05
1967-09-01,0.00014531303479868387,4.6625671529909596e-05,5.509826065542217e-06,8.096836349328182e-05,3.265758024616505e-05,0.0001063006218931339,6.340321942038868e-05
1967-10-01,0.00013897546783222685,5.024603888159618e-05,4.485054788623846e-06,7.847385339638484e-05,3.801609387201275e-05,0.00012881796722484856,5.674661643003666e-05
1967-11-01,0.00015889928031284067,4.5793411118211225e-05,5.647280866706633e-06,8.32710110425607e-05,3.8570147344395154e-05,0.0001162166401352909,5.3218350049306074e-05
1967-12-01,0.0001495928108130419,4.578374864649959e-05,3.47690225364362e-06,8.430240030771084e-05,2.9882299071794158e-05,0.00013129898640195365,6.202108044366855e-05
1968-01-01,0.00013705609331188338,4.78091933473479e-05,2.541264522100708e-06,8.39030393280507e-05,2.478779570796463e-05,0.00014069988057324837,5.455165318485383e-05
1968-02-01,0.00016267803157605823,4.305082984501496e-05,2.9959467254862515e-07,8.727591342235706e-05,3.120874002799574e-05,0.0001221589009905726,5.3506651821142416e-05
1968-03-01,0.0001576627139926016,4.490635183174163e-05,6.846205154864077e-06,9.00627833753064e-05,3.504899402340765e-05,0.0001253852047430316,4.1121973932217977e-05
1968-04-01,0.00014713976212540672,4.92945546284318e-05,4.551413252082295e-06,8.199486747260529e-05,3.675711780613032e-05,0.0001242567929505142,4.997959917316428e-05
1968-05-01,0.00015230546104869555,4.7922156227286905e-05,4.129375037851076e-06,7.999685981396434e-05,3.775463019515954e-05,0.0001189796163981675,5.575951526973776e-05
1968-06-01,0.00013318466020762802,4.739375435747206e-05,3.217666111911809e-06,7.9250821727328e-05,4.077551684709832e-05,0.00010965085373686204,5.803853675179118e-05
1968-07-01,0.00013408562009562813,4.6921348257455975e-05,-1.494264799238527e-06,7.674024512810747e-05,3.9241695048986e-05,0.0001081705155435352,6.25527887533015e-05
1968-08-01,0.00013310176048738262,4.7352808905998245e-05,4.066544227538069e-06,7.579705828791294e-05,3.7047915362100136e-05,0.00010339334485766847,6.557856655506567e-05
1968-09-01,0.00013732504966254864,4.58632166555617e-05,5.344925482305648e-06,7.90837419822774e-05,3.8231057403084145e-05,0.000112662461826815,6.26802789840633e-05
1968-10-01,0.00013878704362829761,4.885896487394348e-05,4.801775790126514e-06,7.736290376205758e-05,3.6947216465384426e-05,0.00012315076159177138,6.128623126078793e-05
1968-11-01,0.00015095292982305326,4.716627154266462e-05,6.59271346075516e-06,7.714812194795481e-05,3.6505999185679044e-05,0.00010720481063713724,6.057748538071076e-05
1968-12-01,0.00015350438872470507,4.630989860743284e-05,5.529710684324686e-06,7.952911968162398e-05,3.096872080955198e-05,0.00012309283192735165,5.528052384857979e-05
1969-01-01,0.00014704172148384035,4.714898022939451e-05,-8.667727698870611e-07,8.310217170367892e-05,2.464502153552352e-05,0.00011217275555882568,5.653241352565521e-05
1969-02-01,0.00016865904197200306,4.109532164875418e-05,4.36330211691118e-06,9.863583634759546e-05,2.5890945014943294e-05,0.00010999174264725298,4.326945994424313e-05
1969-03-01,0.0001664369067709361,3.5020151699427515e-05,7.889817701968992e-06,9.542539429480249e-05,2.9766529312873184e-05,0.0001046279135581879,4.2370890446967425e-05
1969-04-01,0.00014279727428589785,5.232655894360505e-05,4.18576669981912e-06,7.984776950289249e-05,3.1843652037673115e-05,0.00013466215366277984,4.8849892463077655e-05
1969-05-01,0.00013940443750470877,4.9964302888838574e-05,4.002304880169954e-06,8.004436884740633e-05,3.6859600025790685e-05,0.00011521812477851954,4.967053033734994e-05
1969-06-01,0.00013624140549273718,4.789398008142598e-05,4.270474045884128e-06,8.151840361557445e-05,3.463568753110902e-05,0.00011185802577529103,5.3309317226459864e-05
1969-07-01,0.00013084077398248372,4.687720138463192e-05,4.598945966079001e-06,7.681007947231053e-05,3.618193284851526e-05,0.00011463870114826966,6.390783927543502e-05
1969-08-01,0.00013705704034128714,4.673966395785101e-05,2.9481649384568143e-06,7.821518567875408e-05,3.061621938803571e-05,0.00010512086998271527,6.412315610961049e-05
1969-09-01,0.00014897777296100107,4.9675767513690516e-05,8.739420793616498e-06,8.03675401566208e-05,3.967806704025077e-05,0.00010147198410331324,5.938441506010044e-05
1969-10-01,0.0001421789218309439,4.9089747335528955e-05,3.1913878442339967e-06,7.88574597004763e-05,3.741389959673945e-05,0.00011454195836844484,5.760485748348313e-05
1969-11-01,0.00015984919700135907,4.4517753849504516e-05,6.053326160326834e-06,9.070476784361336e-05,3.699183698878258e-05,0.00011953759997784387,5.248343969687029e-05
1969-12-01,0.00015369393319512406,4.7385205107275397e-05,2.668259936478495e-06,8.416352603508501e-05,3.25051747923306e-05,0.00013021185537273028,4.8450117225581535e-05
