,zgu250_cluster1,zgu250_cluster2,zgu250_cluster3,zgu250_cluster4,zgu250_cluster5,zgu250_cluster6,zgu250_cluster7,zgu250_cluster8
1965-01-01,-0.45395526,0.22225246,-0.2046547,0.9753685,-0.27113494,0.71857244,0.36759567,-0.8723892
1965-02-01,-0.67034185,-0.37476557,0.29883498,0.33631134,-0.7156395,0.0703907,0.8453415,-0.4187599
1965-03-01,-0.7250902,0.03161087,-0.3920372,0.39040834,-0.28286666,0.46145076,0.17891006,-0.53933716
1965-04-01,-0.50740016,0.9532083,0.04627533,1.1927325,0.05865898,0.22322997,0.17239189,-0.47578964
1965-05-01,-0.20758744,0.9287672,0.070064925,0.25027847,-0.2502783,-0.045949556,-1.0662897,-0.32751256
1965-06-01,-0.14566955,0.46731645,0.29622784,-0.16196366,-0.49566802,-0.14208527,0.18542747,0.0016296387
1965-07-01,-0.08896637,0.14110717,0.8929199,-0.21540909,-0.23659134,-0.12644234,0.3483692,0.6661053
1965-08-01,-0.070064545,-0.0671318,-0.107541464,-0.12057686,-0.16391906,-0.016619872,-0.018575286,0.4168045
1965-09-01,-0.21377945,0.55269814,0.38486785,0.5553047,-0.13133088,-0.30046463,-0.5243462,-0.34543648
1965-10-01,-0.26070672,0.24115372,0.64394534,0.76354444,-0.2815632,-0.38845292,0.8365421,-0.27993354
1965-11-01,-0.5562824,0.385194,0.59929925,0.7677811,-0.22681484,-0.05572605,-0.1642456,-0.26755008
1965-12-01,-0.19878864,0.30176792,-0.08375206,0.6126604,-0.7087959,0.5161991,-0.11373367,-0.65535104
1966-01-01,-0.4920166,0.18741933,-0.55667764,0.35153446,0.30131492,0.7966139,0.8556961,-0.6111641
1966-02-01,-0.59901965,-0.33184052,-0.6873131,0.053829573,0.41291332,0.52812177,0.41750947,-0.35251847
1966-03-01,-0.14474945,-0.05054741,-0.011816407,0.6282318,-0.113895796,0.17691593,0.28720132,-0.33807677
1966-04-01,-0.51532096,0.30722332,-0.23435631,0.600989,0.083042525,0.36860237,0.22647858,-0.37680817
1966-05-01,-0.043982696,0.3669611,0.6922369,-0.097156145,-0.40142518,-0.27735442,-0.1414669,0.06860008
1966-06-01,-0.24026413,-0.3039406,1.3001187,0.007549286,-0.31805497,-0.20580025,-0.0968277,0.096171185
1966-07-01,-0.110285185,-0.12210159,0.29179612,-0.4660864,-0.42013437,0.12341461,0.505146,0.7004425
1966-08-01,-0.35612947,0.17822877,0.18807583,-0.34496957,-0.09190445,-0.22647858,-0.05054741,-0.04135704
1966-09-01,-0.31969604,0.028884506,-0.12341461,0.077790834,0.10930061,-0.18906021,0.43293533,0.13260499
1966-10-01,-0.009846878,0.13884124,0.82516974,0.29442197,-0.16313057,-0.66105497,-0.019693756,-0.06630249
1966-11-01,-0.059081268,0.08796577,0.05415802,0.92101324,0.017724419,0.02067833,-0.47133788,-0.052516747
1966-12-01,-0.33249703,-0.14704704,-0.39190635,0.96368295,-0.24223366,0.35974008,0.30262756,-0.18643455
1967-01-01,-0.6024742,-0.38042372,0.0976368,0.8362793,-0.45912093,0.1391077,0.12343369,-0.23315278
1967-02-01,-0.351688,0.087840654,-0.5045107,1.289849,-0.30270654,0.21355991,0.28605348,-0.45128402
1967-03-01,-0.23739758,0.46957034,-0.09665718,0.22041722,0.3448307,0.25241852,-0.014694596,-0.69325316
1967-04-01,-0.11918869,0.5107147,-0.052573584,0.92999727,0.03755226,-0.066941835,-0.22302933,-0.4052412
1967-05-01,0.0346138,0.7628071,1.3071558,-0.2961754,-0.5156132,0.06073723,-0.19657937,-0.028409386
1967-06-01,-0.09633026,-0.059757613,0.6550476,-0.03428688,-0.42058906,-0.11755562,-0.8699137,-0.23707084
1967-07-01,-0.066941835,0.04832878,0.6903145,-0.30891076,-0.1106987,-0.50353086,0.3696478,0.983551
1967-08-01,-0.08718719,0.19919205,0.67953837,-0.26711312,0.041797638,-0.05681839,-0.2099678,0.49634704
1967-09-01,-0.03820572,-0.14139366,0.41830292,-0.545982,0.077063754,-0.18482438,0.5201845,0.14237289
1967-10-01,-0.175354,-0.03624611,-0.20604935,1.0348183,-0.23968315,-0.4708763,-0.044736482,-0.05159378
