,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv850_cluster7,mgv850_cluster8,mgv850_cluster9
1965-01-01,-0.6455072,0.2864015,-0.25196272,0.20707448,0.15821257,-0.069024846,0.21090102,0.07638355,-0.010596561
1965-02-01,-0.5555836,0.42018312,-0.4162094,0.19588922,0.08315353,-0.12553987,-0.06990786,0.044299506,-0.2242939
1965-03-01,-0.749118,0.38589144,-0.12936637,0.16409953,-0.024725307,-0.011626815,0.24180762,-0.42871922,-0.17484327
1965-04-01,-0.5564667,0.5598517,-0.28007302,0.103316486,0.03767667,-0.05151105,0.018691158,0.010890913,0.028993368
1965-05-01,-0.3302595,0.5265902,-0.120535895,0.24504551,-0.008830452,-0.044741035,0.09522188,-0.30980223,0.29125828
1965-06-01,-0.0030906678,0.09198403,0.13613638,0.19441748,0.19220988,-0.02928772,0.06961353,-0.11876981,0.50628024
1965-07-01,-0.19147399,0.17866984,0.059016943,0.23489046,0.2650612,-0.20162901,0.15777105,0.22532415,0.41944724
1965-08-01,-0.1677789,0.17248848,-0.11288283,0.12951353,0.2053084,-0.114354566,-0.006769991,0.041944694,0.3948691
1965-09-01,0.20766315,0.13069096,-0.07108526,0.2197315,-0.125687,-0.0057397843,0.14364228,-0.17057523,0.2681519
1965-10-01,-0.43166274,-0.0007358551,-0.003532219,0.20663297,-0.2784541,-0.044005156,0.30170768,-0.002796316,0.02914052
1965-11-01,-0.19117963,0.12333219,-0.091100976,0.21487474,0.44211215,-0.16954498,-0.18779461,0.20442533,0.14261207
1965-12-01,-0.53056395,0.3552792,-0.44181776,0.20442533,0.02752161,-0.12392087,0.07049656,-0.16660151,0.043416478
1966-01-01,-0.13888016,0.034575414,-0.18097825,0.1161675,-0.12079682,-0.037179373,0.027197361,-0.27501172,-0.1685369
1966-02-01,-0.22669296,0.2138176,0.17866354,0.15059821,-0.108644865,-0.06307478,0.010416031,-0.28904438,-0.15435955
1966-03-01,-0.4043439,0.45266262,-0.3000391,0.18300357,-0.0076673506,0.0039059639,-0.07768607,0.007233334,0.044702053
1966-04-01,-0.7926297,0.51241004,0.04311073,0.11414216,0.02372532,-0.15595083,0.044268083,-0.16477557,-0.033128716
1966-05-01,-0.21700032,0.21425161,-0.027631378,0.08897011,0.36976847,-0.04716139,0.16086955,-0.011284065,0.07030807
1966-06-01,-0.04716139,-0.14003754,0.05396073,0.115299486,0.02068739,-0.13916953,0.20224428,0.026329327,0.38018453
1966-07-01,0.09548016,0.37092584,0.03761337,0.2347943,0.35197446,-0.16694558,-0.052514076,-0.37309584,0.35848448
1966-08-01,-0.19153893,0.052948095,0.14915153,0.19732563,0.25374568,-0.0881021,-0.07927742,-0.14119482,0.37266183
1966-09-01,0.051356696,0.1825696,0.025316691,0.13685486,0.29946038,-0.03327336,-0.0059313774,-0.011139345,0.25490302
1966-10-01,0.059458088,-0.17360024,-0.09186344,-0.023580695,-0.18546292,-0.033418037,0.20354626,0.16231623,0.060036756
1966-11-01,-0.38409048,0.20817561,-0.49707532,0.25475836,0.1021348,-0.14220753,-0.12513682,0.5574015,0.21989362
1966-12-01,-0.6583789,0.3016304,-0.46539336,0.20426962,0.31002107,-0.44253582,-0.037902735,0.31768844,-0.020976687
1967-01-01,-0.60099995,-0.048959255,-0.2577855,0.08376362,0.20982543,-0.23930088,0.09025822,0.014654445,-0.06927569
1967-02-01,-0.4664452,0.1505414,-0.08209838,0.21332249,0.16486283,-0.19500446,0.2975857,-0.024146557,-0.06727736
