,r600_cluster1,r600_cluster2,r600_cluster3,r600_cluster4,r600_cluster5,r600_cluster6,r600_cluster7,r600_cluster8,r600_cluster9
1965-01-01,32.164253,63.889576,42.013714,30.47217,19.823353,61.34408,18.005138,15.941227,29.69902
1965-02-01,22.709557,63.29006,26.997913,27.345175,31.918549,53.52086,32.66713,9.69051,47.12436
1965-03-01,14.037838,57.827236,47.49128,18.62923,15.942863,61.33425,14.227848,9.15979,23.015867
1965-04-01,16.837227,43.956413,66.12876,65.35561,12.1475525,83.3428,26.439346,16.924042,15.282738
1965-05-01,51.201412,77.79315,78.083084,70.117355,9.426788,79.59335,27.525358,47.396275,16.337627
1965-06-01,48.69687,77.99791,76.55644,67.74877,11.045158,64.751175,49.894264,30.909523,17.461315
1965-07-01,62.05171,73.69645,67.64885,69.64561,13.805237,49.343887,42.056305,37.514053,8.817444
1965-08-01,65.737274,74.72513,65.68649,74.54003,25.233757,57.959915,39.971092,32.776875,16.686527
1965-09-01,57.512733,74.877464,62.303967,66.9789,23.184584,53.48482,45.768074,35.40591,23.997046
1965-10-01,50.062984,75.819336,61.673325,61.080357,20.150955,47.279972,42.44943,37.756477,32.775238
1965-11-01,24.894686,69.593185,69.13126,22.04943,22.72266,54.084343,19.073135,37.402664,25.564638
1965-12-01,26.51961,70.58747,50.947517,14.036198,17.58908,48.605137,25.495842,25.066679,21.85778
1966-01-01,16.156616,68.9241,31.750143,12.934162,17.849102,50.2493,35.10721,19.119698,25.865019
1966-02-01,8.762867,58.41624,31.326612,12.911179,17.494518,58.90872,30.663406,9.829903,27.115917
1966-03-01,23.47978,59.049896,49.177334,30.144663,16.279736,65.18947,30.384335,19.024487,25.594156
1966-04-01,18.51231,62.533363,53.42086,51.853138,14.467415,70.42944,33.75946,24.16925,15.004215
1966-05-01,49.15107,76.83824,68.9044,62.822285,20.546246,70.816864,31.620459,40.40464,21.348988
1966-06-01,63.060318,77.215805,78.99858,61.50408,12.750305,71.09757,44.393723,34.649204,19.953629
1966-07-01,58.432655,73.12659,83.6837,63.713673,15.458939,60.806404,43.328323,44.085102,10.576832
1966-08-01,64.43433,71.48827,70.375275,71.693474,27.93015,53.680233,44.367455,33.465614,19.631878
1966-09-01,59.14839,66.990295,54.392685,71.79361,20.44611,53.18283,49.745327,36.225136,18.036243
1966-10-01,32.21636,77.31923,52.954647,59.873978,28.01551,47.553795,40.90861,44.97977,34.383263
1966-11-01,43.21998,70.91864,68.56459,25.907701,34.969315,46.76747,12.576294,24.440113,34.457138
1966-12-01,45.32451,71.08116,64.78235,22.074574,21.032158,54.80965,24.750376,17.786724,25.63848
1967-01-01,17.957005,67.495964,38.886368,28.80595,20.318336,48.09522,25.165987,17.043213,30.56428
1967-02-01,14.651478,53.050972,46.657814,35.651783,15.629456,59.984634,22.350296,15.680126,20.411236
1967-03-01,23.82317,41.487545,71.95513,29.307606,18.007675,62.48616,15.259548,9.15522,22.297935
1967-04-01,22.657707,68.73913,65.67683,66.03829,13.639721,70.929855,31.567593,15.308529,23.461708
1967-05-01,41.42843,61.970993,83.90535,74.69481,14.514664,75.693054,19.081928,20.867287,26.343275
1967-06-01,60.23293,58.976257,86.0944,70.42483,10.74633,68.12937,31.363214,35.133236,15.207188
1967-07-01,60.825798,72.06154,80.29579,70.181595,31.851358,47.96178,36.51659,29.731565,16.430077
1967-08-01,65.01809,71.29132,69.26105,78.63374,39.08399,53.361763,46.657814,30.226465,17.026321
1967-09-01,62.606083,61.88147,64.163414,70.52448,33.271873,56.229816,49.79612,33.565773,23.394146
1967-10-01,60.717697,67.49428,60.9339,57.42906,17.700264,57.90707,35.847717,38.4945,24.242062
1967-11-01,43.89617,69.37422,68.117546,41.121017,20.235569,46.713554,17.61243,23.257332,28.268824
1967-12-01,23.958298,51.861862,50.40081,34.900143,21.816547,55.076176,20.661217,9.319061,27.316183
1968-01-01,35.299026,60.715897,54.91819,30.508919,21.455034,58.85844,19.17265,9.938492,20.040215
1968-02-01,7.9007645,65.145454,43.12319,31.72415,18.086185,63.477932,24.983232,11.52071,32.75911
1968-03-01,8.462509,68.80725,55.328632,42.091454,20.054699,76.34008,14.794594,6.4280014,27.651915
1968-04-01,19.954906,74.30396,80.25458,57.419476,18.683338,82.24885,16.60859,11.28249,25.87011
1968-05-01,24.957478,57.545025,77.62292,80.391396,12.529915,85.018936,42.416588,35.983097,13.403915
1968-06-01,46.754402,71.08481,87.37697,72.44812,11.416088,81.07546,47.853745,37.38665,15.412674
1968-07-01,61.565754,78.41483,81.31368,75.84916,14.673874,65.995316,43.62377,35.271664,13.772511
1968-08-01,67.12363,71.05905,66.92726,69.755295,17.439133,59.806484,43.189186,36.371006,15.000622
1968-09-01,63.896423,72.59781,63.14958,68.903824,23.15314,55.772877,39.479103,34.36386,16.95626
1968-10-01,35.600018,63.014374,56.52133,75.01218,18.063648,64.94265,30.970867,32.282677,22.0039
1968-11-01,22.88595,69.34646,67.250786,51.005302,23.60704,57.94259,14.485554,37.954834,34.161053
1968-12-01,24.815836,63.56968,53.438988,46.44858,18.456387,71.83326,18.71231,25.010595,25.532099
1969-01-01,6.3581276,47.142544,59.338596,28.557684,16.63403,56.7316,24.563635,15.826862,28.53763
1969-02-01,14.394688,57.781082,58.25569,33.19011,33.495934,52.553726,32.849197,16.949875,41.19659
1969-03-01,18.925175,64.248436,50.633575,52.914696,24.546925,66.70837,43.444286,16.166107,29.269594
1969-04-01,46.462383,63.770485,83.84935,60.488346,16.236294,78.70054,32.145645,26.73613,18.798168
1969-05-01,52.4685,72.94009,81.673515,68.9945,10.647968,75.55042,34.8763,46.363785,17.760384
1969-06-01,53.563103,78.25434,81.760414,69.48749,10.823441,68.553314,33.40736,43.50946,14.97625
1969-07-01,59.70625,67.313324,72.958466,73.55173,29.714119,60.486675,42.668873,33.388977,20.927212
1969-08-01,69.16997,75.284706,73.60687,81.5699,27.265884,49.226467,62.502083,35.085197,16.817856
1969-09-01,57.540436,76.43112,69.90026,75.13765,21.116055,48.00987,61.801872,37.76238,17.935856
1969-10-01,42.25944,60.85934,72.595825,72.2616,24.897865,56.937153,40.447914,45.367783,26.4019
1969-11-01,44.416897,72.57243,66.30562,34.266335,29.344795,50.96279,27.655262,45.27754,27.235804
1969-12-01,27.62184,73.546715,69.678,32.34618,36.836563,66.93899,16.334892,28.634556,16.904755
1970-01-01,5.8902206,66.29893,52.02174,7.146324,23.176096,59.915817,28.000252,20.840973,34.04741
1970-02-01,23.707333,66.88974,54.484295,34.565407,23.209194,66.67791,23.64279,17.023018,27.376339
1970-03-01,27.909231,62.576965,50.289017,35.91915,20.63245,59.768528,21.699886,10.5373,31.92412
1970-04-01,18.131832,73.509514,71.01386,58.154957,11.083431,73.65184,11.593155,13.327534,16.84925
1970-05-01,61.53104,80.54798,81.46979,67.14792,18.2725,75.793335,24.046595,44.111115,21.459919
1970-06-01,56.7797,76.79623,79.14294,57.3821,10.82526,58.869892,39.442524,46.08877,17.96799
1970-07-01,57.916645,74.01262,82.20624,65.75611,21.071007,36.395775,51.07677,38.166565,15.093357
1970-08-01,61.061035,73.41187,79.66259,75.92242,27.088379,39.546783,51.44582,43.518646,17.512882
