,mgu200_cluster1,mgu200_cluster2,mgu200_cluster3,mgu200_cluster4,mgu200_cluster5,mgu200_cluster6,mgu200_cluster7,mgu200_cluster8,mgu200_cluster9,mgu200_cluster10
1965-01-01,0.3571682,1.2451996,1.0060012,0.9287674,-0.6168972,0.9587482,-2.4939842,0.49240953,0.026722336,2.3176816
1965-02-01,1.1431984,0.9310486,0.8000431,-0.27048302,1.2836539,-1.1040924,0.29883498,-0.99752885,-0.61624527,0.87271535
1965-03-01,1.2429187,2.3626533,0.5087036,-0.9401733,1.2549763,-1.7695456,-2.762186,-1.895662,-1.7574879,1.8497136
1965-04-01,2.2081847,0.98318976,0.80819017,-1.3687096,0.80395395,-0.59082603,-0.6755558,-0.091573335,-0.53640366,-0.59799576
1965-05-01,2.252179,2.5532951,0.26168403,0.043668173,0.9519051,-0.071694374,0.8081905,-0.5790947,-1.4609344,-2.4578109
1965-06-01,2.485511,1.2331421,0.04399414,1.6890526,0.51065904,-1.3765304,3.2777336,1.0793251,0.7123806,-0.45069656
1965-07-01,3.4351344,-1.280069,0.022485733,-2.8270366,0.9072586,0.6462263,2.165168,3.0082278,-1.5782524,-3.9614365
1965-08-01,0.83426094,0.05214119,-0.19422646,-1.2054417,0.60483897,0.019879151,1.8546013,1.7255518,2.1938455,-0.8440374
1965-09-01,2.9169803,0.918013,-0.4611248,1.0519508,0.5536755,-1.6463621,0.7019526,2.4089284,0.059962463,-1.0027425
1965-10-01,1.2406372,1.5107946,0.51685065,1.305488,0.30567855,1.2976669,2.3287616,-0.43049163,-1.0509733,-0.7912445
1965-11-01,2.2410989,1.4785322,0.7498573,-1.0493438,1.1754608,-1.3507859,0.5650814,0.5833313,0.34250298,0.26005477
1965-12-01,3.0320175,2.2893295,-0.25744742,-0.42397422,0.6872875,0.055400085,1.0640084,-0.0055404664,-2.0546937,-1.603997
1966-01-01,1.1770325,2.2050483,0.6600704,1.560405,1.4996824,-0.62626266,-1.1333786,-2.0599709,-0.61969835,2.6041763
1966-02-01,2.7351398,0.8734207,0.30000228,-3.308229,1.9953096,-0.7844696,-0.3669609,-1.5098579,-1.7527481,0.41422653
1966-03-01,2.0150037,1.0572288,0.07614937,-0.10601807,1.8718954,0.66138303,-0.5970505,-1.6296616,-0.7815151,0.8284523
1966-04-01,1.8961842,0.7043816,0.9502255,0.57308924,1.5712368,0.05350151,-0.10634651,-0.18577881,-1.0874256,-2.2523136
1966-05-01,1.931633,1.4094193,0.42998123,-1.8607355,0.7867672,0.16772537,1.7448704,0.22089843,-1.6536224,-2.0507805
1966-06-01,1.7547171,2.549362,0.2911396,2.6373277,0.37943345,1.3664211,3.977819,0.9541643,0.10831585,-2.1771493
1966-07-01,2.39575,-0.820903,-0.33807677,-1.9736465,0.28555983,1.0421301,1.7701439,2.025507,-0.09912548,-2.7269344
1966-08-01,1.5151093,-0.09124794,-0.5881878,-3.526174,0.42538604,1.0536181,2.7124925,0.96433944,0.8074455,0.15393981
1966-09-01,1.784586,1.7708004,-0.60624087,0.7020836,0.31083375,-0.3170702,2.9199333,0.6659786,1.2183895,-0.99322355
1966-10-01,0.07056923,1.483271,-0.5924549,0.62790394,0.39518815,0.9288908,1.7560298,1.3267052,-0.14245185,-0.382716
1966-11-01,0.16378708,1.6450886,0.36006814,0.20744133,0.08008804,-0.0022975921,-0.091576,0.8849083,0.35711402,0.007549286
1966-12-01,-1.2187176,1.7658768,1.4054806,2.0737567,1.2016499,1.1051502,0.10765991,-0.81630784,-0.49858093,2.072772
1967-01-01,-1.3767097,0.38401565,0.29258347,2.5581462,-0.21617222,1.0782486,-0.10645294,-0.6227196,0.6253319,2.410222
1967-02-01,-1.3362186,1.995184,0.8950577,1.6963962,0.53455275,0.94469225,-0.81799316,-1.2552353,-1.203315,2.5094912
1967-03-01,1.0560433,0.60378,-0.48165244,-1.7623589,-0.7605213,-0.5518597,-1.7894617,0.6870491,-0.5874527,0.39250642
1967-04-01,1.7130501,1.7754204,0.36050472,-1.7012947,0.7242748,-3.1648653,0.40458813,2.5503094,-0.6547211,-1.2741749
1967-05-01,0.4460594,2.2737265,-0.71709096,-0.0173069,0.5910446,-0.5525125,0.42385444,0.23968315,-1.6183525,-1.1278832
1967-06-01,0.9133436,1.7430923,-0.5691662,2.1431088,0.42581367,-0.7014168,1.2960536,1.5239811,0.77619535,-0.15576133
1967-07-01,0.8597906,-1.6062706,-0.31740075,-1.2934412,0.5476147,1.7208872,-0.19494668,2.0085726,-0.12245407,-0.026450157
1967-08-01,2.0422068,0.49993896,-0.97506064,-0.8457489,0.45781478,0.8388918,2.1947026,0.80493104,0.9943268,-1.5194095
1967-09-01,1.5817797,1.1771915,-0.4457329,1.4687954,0.60051423,-0.69325334,4.1771517,-0.3128292,-0.28213406,-1.6715794
1967-10-01,1.4269975,1.4012007,-0.24164276,2.5065522,0.6968449,2.5633712,3.5005524,0.04310379,0.54990005,-1.0462471
1967-11-01,-0.6099846,0.4829586,0.66386414,0.8976696,0.15151635,1.0318792,2.3511174,0.07053375,-0.97604024,0.11853542
1967-12-01,0.39871025,1.130822,1.3074827,-1.193845,-0.40262908,1.3349121,0.16914979,0.5120209,-1.6562316,0.48850974
1968-01-01,0.719508,0.37780532,1.1385219,-0.89747083,-0.47189218,-0.2658493,-2.3372154,0.23193435,-0.08059349,2.7292442
