,r300_cluster1,r300_cluster2,r300_cluster3,r300_cluster4,r300_cluster5,r300_cluster6,r300_cluster7,r300_cluster8,r300_cluster9,r300_cluster10
1965-01-01,33.386223,42.716427,52.31527,31.582752,41.573086,41.607483,15.06488,60.118835,17.995312,26.839024
1965-02-01,61.755226,67.67997,54.81654,22.743956,20.968334,65.98134,8.691315,34.58853,20.820911,17.312256
1965-03-01,57.073742,54.180984,35.52221,37.01609,23.39589,44.437996,12.606201,41.279877,16.28685,22.17556
1965-04-01,39.828583,52.924618,44.734478,46.914692,17.063274,50.095745,40.354393,45.881096,51.628937,21.716911
1965-05-01,47.68948,46.24474,37.859676,44.46093,31.427141,62.500526,44.257812,40.134895,57.04098,20.311481
1965-06-01,25.399199,46.786926,28.27885,38.393673,71.77668,60.749477,45.46995,24.396725,59.994347,35.966118
1965-07-01,25.03228,50.57077,23.633404,31.513956,65.70615,64.76264,71.34588,34.362488,62.338364,25.486013
1965-08-01,17.828232,51.320988,18.123077,35.38298,66.36136,56.482414,51.050713,58.343212,32.817825,54.995087
1965-09-01,32.44108,50.52163,25.371351,47.163673,69.771736,60.574207,62.40552,46.757442,14.996082,33.970997
1965-10-01,46.149734,43.199646,40.93753,34.662247,66.72664,53.09661,58.228554,31.848114,26.611338,21.395859
1965-11-01,43.62062,49.234142,65.39984,45.232437,32.17408,65.15741,44.50024,49.112926,40.69674,15.038673
1965-12-01,37.38956,60.258068,43.44371,34.231445,24.154297,67.211494,62.73149,58.025436,44.387215,13.0746765
1966-01-01,28.55888,65.3487,41.841038,18.704376,31.451374,44.740097,21.148712,43.192074,34.07136,23.857347
1966-02-01,47.484848,59.63923,51.780907,39.245674,31.008142,55.197067,42.363068,34.365208,48.338478,20.349255
1966-03-01,31.976685,47.236965,50.607166,30.876814,49.517143,66.85733,38.112972,37.60572,49.743683,18.00998
1966-04-01,25.590874,48.509205,44.740097,27.656002,39.273582,63.98782,37.508865,45.92697,59.36508,27.626453
1966-05-01,38.46099,49.45969,36.131565,35.53074,43.89139,55.078873,66.71123,50.475838,35.417473,21.43435
1966-06-01,26.86147,45.784153,29.532347,25.070486,69.01275,63.707108,43.86841,28.829742,19.948704,39.165237
1966-07-01,21.641193,39.473854,25.840395,36.450035,58.609947,60.744026,53.39788,39.534595,47.944496,20.495358
