,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6,abs_vo500_cluster7,abs_vo500_cluster8,abs_vo500_cluster9,abs_vo500_cluster10,abs_vo500_cluster11,abs_vo500_cluster12
1965-01-01,9.309886e-05,1.1377393e-05,3.5651294e-05,9.634226e-05,3.065896e-05,-4.5550696e-06,5.6156154e-05,8.443572e-05,5.8557867e-05,1.911422e-05,0.000102408354,3.7585414e-07
1965-02-01,5.846106e-05,1.307339e-05,4.136743e-05,9.977014e-05,2.7724618e-05,-5.667789e-06,7.570946e-05,8.1196275e-05,6.563798e-05,1.9814153e-05,7.952587e-05,-7.3503543e-06
1965-03-01,8.347027e-05,9.627554e-06,2.7072605e-05,8.753025e-05,2.2367425e-05,2.3679604e-07,6.3675965e-05,9.780627e-05,6.894024e-05,2.0235912e-05,0.00011981699,-4.871829e-05
1965-04-01,8.602773e-05,1.0704382e-05,4.4104356e-05,8.534071e-05,3.1385815e-05,-1.5938058e-06,6.0642917e-05,6.850771e-05,6.5781554e-05,2.0352567e-05,7.721967e-05,-5.555612e-05
1965-05-01,8.356898e-05,1.2741366e-05,6.291286e-05,9.536414e-05,4.056573e-05,-2.7513888e-06,5.830083e-05,7.916826e-05,6.4498345e-05,2.9738872e-05,8.718926e-05,-6.865747e-05
1965-06-01,5.9654536e-05,9.0532485e-06,6.241932e-05,8.6785454e-05,3.8914604e-05,-9.984047e-06,7.168933e-05,7.644928e-05,7.230531e-05,2.0837138e-05,8.6516244e-05,-5.3438365e-05
1965-07-01,7.716189e-05,9.12504e-06,5.699931e-05,7.231116e-05,3.3629196e-05,3.0455049e-06,5.980838e-05,7.07152e-05,7.978923e-05,2.8087747e-05,8.242432e-05,-4.2472726e-05
1965-08-01,6.754227e-05,4.7728827e-06,5.347271e-05,8.5627864e-05,3.552261e-05,-2.0245352e-06,7.756698e-05,7.5740376e-05,5.8970654e-05,3.2870634e-05,7.4168674e-05,-5.0450188e-05
1965-09-01,7.885788e-05,7.9854e-06,5.2898406e-05,9.5166724e-05,5.0149454e-05,-4.990361e-07,6.327216e-05,7.1540766e-05,7.8613695e-05,4.6609097e-05,9.740113e-05,-5.7350822e-05
1965-10-01,6.3432395e-05,9.1788825e-06,3.9429146e-05,7.9481004e-05,3.1825515e-05,-3.801295e-06,6.2617095e-05,7.951823e-05,6.255109e-05,3.381285e-05,9.7607524e-05,-5.2621785e-05
