,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7,vo500_cluster8,vo500_cluster9,vo500_cluster10,vo500_cluster11,vo500_cluster12
1965-01-01,-1.0246223121989383e-05,-8.70151071403809e-06,-1.6824283530122891e-07,-4.075558248778658e-06,1.999344173479282e-05,7.429017235457044e-05,-1.925052013730903e-06,1.876057530321775e-05,9.768095878825989e-06,-4.9405180106987245e-05,-3.5296068290335825e-05,-6.698118681924825e-05
1965-02-01,8.031940424410916e-07,-4.920778781863276e-06,-4.466816150212522e-06,-4.787033515783964e-06,-6.18626108916942e-05,-3.516820470395032e-05,1.5063316335194609e-05,-4.794780799219835e-05,9.762784003441993e-07,-6.693435807392234e-05,2.2268001487191214e-05,-3.755775992431154e-05
1965-03-01,-3.4468396223950906e-06,-1.6509964256709833e-05,-4.883142918498817e-06,-4.9676516841588496e-06,3.5022915956991106e-05,4.1759866083642315e-05,2.7558700999290478e-05,-7.620825460341213e-06,2.602361519166152e-05,4.468909082788741e-05,6.102615657255228e-06,-6.816496807005024e-05
1965-04-01,-6.986319598714856e-07,-1.1959491530433297e-05,-4.440853002860321e-06,-6.3081559251019685e-06,-8.066668669926003e-05,1.925388725491454e-05,1.7448117920671728e-05,9.367285797609306e-06,-1.937363094839384e-05,4.361436367616989e-05,-1.9493172942475212e-05,-2.9532216672123468e-05
1965-05-01,6.090912359845456e-07,-1.2138903108533731e-05,-2.922354185472984e-06,-5.009756502036716e-06,-1.8631065662096567e-05,-1.1497568645305972e-05,3.3051177214053124e-05,-3.5129622429410343e-07,-2.39899327425519e-05,-2.8506669877970126e-05,-1.6484705156472046e-05,-0.00010190204875470954
1965-06-01,-8.180551997323098e-07,-9.407811080035211e-06,-1.3346307578440581e-06,-8.204672571752636e-06,-0.0001131313547375612,-3.3963753291269924e-05,1.831851987822674e-05,-5.6736694361837905e-05,-1.8904283933807164e-05,1.8520748881201143e-05,-2.0267253830752452e-05,-0.00010417957128083799
1965-07-01,1.3954838888777176e-06,-1.2611595530172562e-06,-1.7131835058400476e-06,-1.2347657885632208e-05,-5.984221691808974e-05,-7.139153694879496e-05,-2.9157694725876266e-05,-1.4548284109972383e-06,-1.8106502466253005e-05,2.8101603675168008e-05,1.1261286658736935e-05,-5.136521394888405e-05
1965-08-01,-6.351635375921898e-06,-3.978995696237435e-06,-1.4360963447230728e-06,-2.5467335562050144e-06,-8.681123290443793e-05,-5.195979989972936e-05,-2.4789291850671674e-05,-1.6004448831342323e-05,-1.8871979818868567e-05,2.339343836865737e-05,3.422407601760824e-06,1.3563609968514356e-05
1965-09-01,-3.192097643122685e-07,-4.8735374061940345e-06,-1.377562949966415e-06,-1.1357605887353298e-05,-4.9109618582103095e-05,5.159586938437618e-05,1.5302843133590282e-06,-2.4641104605036855e-05,-3.959093191951979e-05,2.0141214918112382e-05,3.920757762898575e-06,-7.282760634552687e-05
1965-10-01,-2.3833896504096097e-06,-2.5233972802769045e-06,-2.990496391753873e-06,-5.233217555206992e-06,1.1152273297435993e-05,-8.097361690791635e-05,-1.92441492378371e-05,-3.853291328313985e-05,1.92346718108638e-06,-7.470560831279727e-05,-9.92114053133264e-06,-5.085384486847033e-05
1965-11-01,-1.6177858835762004e-06,-1.4445588952417724e-05,-1.6672677921397498e-06,-9.656107642130288e-06,-5.822959792567417e-05,-4.5111736805362554e-05,-7.98888721896574e-06,7.215792971566834e-06,-8.339814172586557e-07,4.110397185286274e-05,-1.146148775887923e-05,5.4810777783131925e-05
1965-12-01,2.5799017859709438e-06,-1.0841665434147514e-05,-3.7462934627725455e-06,-6.535439847778578e-06,-7.838943929527886e-05,-3.0293074360088212e-05,8.845027855941004e-06,-9.935364812855401e-06,-7.95595212821354e-06,-5.095197934679163e-06,-1.7542583918839227e-05,-2.883437844047876e-05
1966-01-01,-9.015056781297572e-06,-4.771395334649052e-06,-5.464513395525971e-06,-2.4160405138517443e-06,-1.8854461814044043e-06,5.002040476635254e-05,1.6305132637016205e-05,-5.078512097905583e-05,1.889712734737259e-05,-5.089181740913773e-05,-2.0767654973496974e-05,-5.845890882483218e-05
1966-02-01,3.0449483325000762e-06,-5.05784544995634e-06,-6.886084604586897e-06,-1.696532523821684e-05,1.514210453024134e-05,-3.345150692742512e-05,2.4908198300669562e-05,3.3606468228942413e-06,1.4911563539499184e-05,-1.2534119377960451e-05,1.9338474999130995e-05,1.0224726310070764e-05
1966-03-01,-7.1038157773550555e-06,-5.230139174463422e-06,-4.6896286847257855e-06,-7.718666127306948e-06,5.714796013004768e-05,1.7594760493011563e-05,-4.35623782899844e-06,-3.1330969720548984e-05,1.1154451158290613e-05,-4.842177077080123e-05,-1.217286325072564e-05,-1.704018615100722e-05
1966-04-01,-3.7972196834034106e-06,-4.482733349378091e-06,-6.5745935326386065e-06,6.268382958894921e-07,6.674681571894325e-06,1.6468855316513025e-05,7.739467724693496e-06,-4.666508175432682e-05,4.0323851635548635e-06,-5.259960744297132e-05,2.8271333007978683e-05,7.001677317930444e-05
1966-05-01,2.488694718056472e-06,-8.693029147168069e-06,-2.6228665909137042e-06,-1.0480576556322998e-05,-2.6151546990149654e-05,-5.079247481868758e-05,-4.252999920803321e-06,5.029464930352145e-06,-1.6903877622098662e-05,3.6797555367229506e-05,-5.042340234240328e-06,-6.177374984872586e-05
1966-06-01,-1.1323466218882682e-06,-5.663733370669814e-06,-1.412446661359152e-06,-4.3334535492153675e-06,-9.522889134435294e-05,-1.950692573397343e-05,-7.646212907275185e-06,-7.352082947959546e-05,-1.4965678474254673e-05,-3.663017196231522e-05,-6.372611665028671e-05,-9.181237601296743e-05
1966-07-01,-8.619961330091096e-08,-2.4650177671668815e-06,-2.016095871647815e-06,-1.1056366881683444e-05,-0.00012219821655889973,-4.226088397748148e-05,-3.05027885876437e-05,4.635215736141555e-08,-1.7795345002014074e-05,4.619024366547819e-05,6.1058905487243464e-06,-4.688821206855209e-05
1966-08-01,-4.227575939184157e-06,-6.223065738172303e-06,-1.1696203340829083e-06,-5.319611174950535e-06,-8.12062292728418e-05,-7.123471732484177e-05,-2.2179190681327318e-05,9.504925275968131e-06,-7.636839995939226e-06,-5.280717800815182e-06,-4.4038742430529965e-06,-7.348833150899736e-05
1966-09-01,-3.2581297313210998e-06,-7.21847437637544e-06,-1.641717843809871e-06,-5.931449203145396e-06,-6.635946798875618e-05,-4.090110223842203e-05,-8.986524712449089e-06,-2.0894754799945955e-05,6.373721816999023e-06,6.922936108821887e-06,-1.5737116143554886e-05,-0.00010095918696606532
1966-10-01,-2.0139802151189963e-06,-7.618358045705421e-06,-1.0728463924654836e-06,-4.71074964767276e-06,-2.913418635822988e-05,-2.2999004537875106e-05,-1.8545345205311385e-08,-2.4671124202572612e-05,-1.2363600490061799e-05,-7.349981387960725e-05,-1.747316673572641e-05,-0.00010685142797228764
1966-11-01,-6.277888388001706e-07,-1.3006926967009772e-05,-2.317465864970708e-06,-2.9324691073079042e-06,-5.767855327576399e-05,-5.214193758244316e-06,-9.574681071837138e-06,1.6960403031432714e-05,6.336931051009742e-06,1.1858206505621638e-06,-3.8450883721452556e-05,2.8216368264111225e-05
1966-12-01,-1.4081141915351222e-05,-8.079949344222727e-06,-3.3629020503280182e-06,2.6359561831524937e-06,1.7036754798027687e-05,1.7466993540438125e-05,7.023242310757136e-06,-4.818614264689226e-05,7.654218734387541e-06,-5.772261829406489e-05,-4.308238885641913e-05,7.165910176354373e-06
1967-01-01,-1.2144782220541569e-05,-5.1141823014193e-06,-3.750223758861129e-06,1.4831487616998186e-06,-2.1161342071233474e-05,-4.893811459775558e-06,-8.738010276319096e-06,-6.5273443710637e-05,5.908322009418043e-06,-6.43806197331287e-05,-3.046782524052105e-05,-2.183555949386573e-05
1967-02-01,-6.110631480490755e-06,-1.3471069609675946e-05,-3.459546515269149e-06,4.594812408916034e-06,-6.942491988108183e-05,1.9074747115155333e-05,4.1443033806877444e-06,-3.2632428413088406e-05,2.0700520053651417e-05,-7.278617431438761e-05,-2.573455049059703e-05,-0.00012565759561766754
1967-03-01,5.573403202367068e-08,-1.2592463886099976e-05,-1.4436715618844404e-06,-7.571835986278816e-06,-3.5955351146791756e-05,6.290861165325623e-05,-3.633254425771955e-06,9.159962560104383e-06,-2.0624561329896096e-05,3.339746854180703e-05,-5.047263229585042e-06,2.1516941117738497e-06
1967-04-01,4.785330774455627e-06,-1.89068867807374e-05,-2.2748624751835046e-06,-5.869886583815586e-06,-9.294789682220048e-05,-3.625082172220573e-05,2.7581884241066648e-05,-2.189474422454529e-05,-3.711118779392564e-05,0.00015082157915458083,5.052299911767477e-06,-7.931488426038413e-05
1967-05-01,-1.6194673396346002e-06,-1.4962617654440015e-05,-4.838888664245907e-08,-3.867226520302019e-06,-3.827767007654378e-05,2.7618451288920674e-05,1.462836713116991e-05,-1.456507467584492e-05,-7.142712092900183e-06,-3.2306724051522906e-06,-2.1986414822094957e-05,-6.854530170130602e-05
1967-06-01,-4.7946713959568225e-06,-5.824758878842722e-06,-2.195470840517912e-06,-4.442128293272904e-06,-1.3385894514309864e-05,1.7366916911972417e-05,9.913356934259533e-06,-4.678445450202883e-05,-1.564172293910815e-05,1.9707954379555304e-05,-1.4224094968540157e-05,-9.03673310403974e-05
1967-07-01,-5.747044336358824e-06,-6.02478214501008e-06,2.7421106307412153e-07,-5.850754285730593e-06,-5.6848421081667766e-05,1.3715715378263364e-06,-3.27039609745531e-05,1.433616740416318e-05,1.9045836552322726e-06,-3.194376176907099e-05,-2.300949297762145e-06,1.7046625089278677e-05
1967-08-01,-6.562060284855628e-06,-4.689101398642294e-06,6.269663201776522e-07,-3.904233381035738e-06,-9.875207979348488e-05,-7.882423081658393e-05,-2.333138071684871e-05,-7.3872123376249565e-06,-4.104289814677031e-06,-1.2048394637531601e-05,3.460854713921435e-06,1.3290177491853683e-05
1967-09-01,-2.054438865099389e-06,-5.53174136574705e-06,-2.1042348268767655e-06,-3.0612807820848263e-06,-0.00012306633531504002,-8.911238182918169e-05,1.6768760039068607e-06,-3.645368294734187e-05,5.346691978047602e-06,-1.4837351045571268e-05,-3.220881694687705e-05,-0.00011980818044321495
1967-10-01,-3.485473459987566e-06,-2.6992398848368645e-06,-2.394688012659403e-06,-1.9967458049569884e-06,-7.3156497819582e-05,-5.5655410354423417e-05,-1.8914850043962007e-05,-5.7552824728190906e-05,-3.7378589468062273e-06,-9.084284101845697e-05,-3.7598886137857335e-05,-0.0001159148155238654
1967-11-01,2.1551796834966987e-06,-1.3100774129608993e-05,-2.9935493675684144e-06,2.914075175316324e-06,-0.0001567136011241625,-5.9540995304511554e-05,-1.2981200132166922e-05,-4.318169509321612e-05,1.1732013263099361e-05,4.976906211595633e-06,-2.8488284442573786e-05,-3.846255367534468e-05
1967-12-01,-6.592896591805251e-07,-1.074136403182164e-05,-7.394871941128426e-07,-1.5885370586195342e-06,-3.156896430785613e-05,4.12331966496519e-05,3.130532227592861e-05,2.2451651351855555e-05,-1.2588367326316074e-05,-7.361256393778604e-05,-2.017072517901397e-05,-0.0001623057983124454
1968-01-01,-7.710005642055454e-06,-9.068146535482387e-06,-2.72103881747575e-06,-3.551549884593298e-06,5.559629547254493e-05,7.909863294723134e-05,3.1899184605430406e-06,3.827430316897366e-05,-2.6030625122075435e-06,-2.7118646812596126e-05,1.0582968279493343e-06,-3.955736644911667e-05
1968-02-01,-1.7343449499316105e-05,-3.7160311664994753e-06,-4.053904629270416e-06,-1.0629094647715407e-05,0.00020436894070977968,0.00012936178184948707,-6.3076646345108185e-06,3.056334991987538e-05,3.117925189144444e-05,-3.749470920411113e-06,-7.049789019220043e-06,8.102122706077353e-05
1968-03-01,-4.2289060751855e-06,-9.176810001304677e-06,-2.7322663821973103e-06,-1.3018807533769991e-05,4.2086218551654994e-05,-1.619358348155705e-05,1.958869910506509e-05,-4.0953991315448016e-05,1.7457620060667978e-05,2.078207614886196e-06,-3.48016101270332e-05,4.4426124645724485e-05
1968-04-01,5.5978966329570455e-06,-1.4038506526768012e-05,-2.916529125861365e-06,1.601991746275943e-06,-0.00013389376060028252,-3.507268881245788e-05,3.077369156682569e-05,-2.1535788619075902e-05,-3.4675727533794998e-06,-5.701087047782494e-05,-2.7874594366039673e-05,-0.000131906301703566
1968-05-01,-4.891871423929044e-06,-1.1935706128877977e-05,-7.4986587605963e-07,-4.0497600127166246e-06,8.381148290936835e-05,1.7186812328873202e-05,6.273309026721286e-06,-4.838804733449722e-05,-9.948925594471802e-07,-2.253609864055761e-05,-3.38345415684671e-05,1.6353679654912412e-05
1968-06-01,1.2166820829961359e-06,-2.129855221387833e-06,-1.9138366059013167e-06,-1.3938015279946787e-06,-6.125919753685594e-05,1.797024159107726e-05,-1.4994940079859368e-05,-6.363467225034176e-05,-2.1297068997228052e-05,-4.44048873760039e-05,-7.957739285302523e-05,-0.0001300020130656776
1968-07-01,-3.090679972113477e-07,-4.323566753195929e-06,-1.3240232363984803e-06,-6.262580068562927e-06,-5.6148255680454895e-05,-8.379937905071226e-05,-1.717711955546004e-05,-1.991631099121276e-05,-1.6082691445262753e-05,-2.8202975954627618e-05,-2.360962554348589e-05,-4.4376048435879056e-05
1968-08-01,-3.908463640538862e-06,-5.0021537052004514e-06,1.3507835732256084e-06,-7.214265750869679e-06,-0.0001341646202490665,-5.195355470277718e-05,-1.3824378251362161e-05,-1.0712753841101497e-05,-3.108369810433942e-05,1.9863668967445847e-05,7.19703621143708e-06,-2.6911149575425952e-05
