,mgv200_cluster1,mgv200_cluster2,mgv200_cluster3,mgv200_cluster4,mgv200_cluster5
1965-01-01,0.54101354,-0.31877995,-1.0424368,0.820792,0.30435684
1965-02-01,-0.121271804,-0.093455695,-0.44770473,1.9079698,0.4512369
1965-03-01,0.03340864,0.14658575,-0.9040928,2.1616988,0.3747062
1965-04-01,0.60032463,-0.60135496,-0.65242445,0.24489832,-0.21075387
1965-05-01,0.7976856,-0.27433324,-0.05666218,0.4134131,0.1122941
1965-06-01,0.7252759,0.14791045,0.22046737,1.134421,-0.104346655
1965-07-01,0.8905527,-0.27536345,0.37647223,0.2922886,-0.48729473
1965-08-01,0.8415438,0.6403561,-0.3218706,0.0061813355,-0.490238
1965-09-01,0.5742748,-0.12347932,-0.6060645,1.7855208,-0.1889719
1965-10-01,0.14217052,0.03576336,-0.8062218,-1.0097643,-0.08374228
1965-11-01,0.27300864,-0.29317158,-0.86170655,-0.45153132,-0.07344006
1965-12-01,-0.021928977,-0.47051683,-0.18146613,0.31200987,-0.14864616
1966-01-01,0.4085392,0.008535385,-0.8915819,1.7491671,-0.2125156
1966-02-01,0.18748827,-0.38061866,-0.051356744,-0.016636658,-0.021266032
1966-03-01,0.13034482,-0.7710744,0.0098373415,0.046438027,0.4326985
1966-04-01,0.12470283,-0.34517518,-0.0947568,1.1194322,0.1873436
1966-05-01,0.67110956,-0.19920626,-0.22394434,-0.15074272,0.004629326
1966-06-01,0.42633325,0.261413,-0.5264427,0.7836604,0.1953003
1966-07-01,0.5900961,-0.069729425,-0.15768695,0.36412644,-0.6443462
1966-08-01,0.82792854,-0.124268815,-0.5994995,-0.2705269,-0.24492092
1966-09-01,0.33692914,-0.08868079,-0.48014933,-0.17663822,-0.7797542
1966-10-01,-0.17316623,0.28586167,-0.35674843,-0.019674683,-0.17591496
1966-11-01,0.493748,-0.24593368,-0.748651,-0.68586564,0.15378089
1966-12-01,0.1694049,-0.20441417,-0.9520527,1.1393961,0.45902792
1967-01-01,0.3407165,0.100083545,-0.3555375,1.0947558,-0.24895954
1967-02-01,0.11407175,0.3187348,-0.72289836,1.4364715,0.48759428
1967-03-01,0.61731946,-0.06944223,-0.6328068,0.77652055,0.06544552
1967-04-01,0.84962636,-0.020482827,-0.5685269,1.0792687,-0.36669493
1967-05-01,0.6792681,-0.08492937,-0.5901756,0.6218159,-0.06944223
1967-06-01,0.8459627,-0.3210662,-0.15437159,0.61332303,0.1367197
1967-07-01,0.70957625,-0.29192376,0.142548,0.4924236,-0.07044144
1967-08-01,0.6056627,-0.3187348,-0.5100756,-0.4797674,-0.2706082
1967-09-01,0.30058327,-0.2642801,-0.32905954,-0.20649481,-0.13838491
1967-10-01,0.09725237,-0.21632004,-0.53472173,0.21065807,0.39300638
1967-11-01,0.14471288,-0.24329753,-1.0777699,1.8801022,0.41365576
1967-12-01,0.18834324,-0.5375527,-0.602332,1.1040813,0.2109911
1968-01-01,0.6775278,-0.2534005,-0.7788881,1.2510058,0.23004238
1968-02-01,0.88633555,-0.21716003,-1.3356614,1.1963619,0.31229132
1968-03-01,0.5944295,-0.6381729,-0.8604293,-0.9167719,0.32800502
1968-04-01,0.7839844,-0.3757123,-0.78440905,1.0846674,0.19535904
1968-05-01,0.6594076,-0.19550066,-0.5172769,-0.17794666,-0.03043642
1968-06-01,0.55663174,0.1775219,-0.36042327,1.326035,-0.17610626
1968-07-01,0.87189597,0.06540279,-0.30167407,-0.98981917,-0.64510953
1968-08-01,0.7590691,-0.41775694,-0.33635733,0.6385976,-0.30818596
1968-09-01,0.32220086,0.4193142,-0.43969947,0.9405548,-0.24745484
1968-10-01,0.22961771,-0.12599243,-0.36424556,-1.1536095,0.0056625367
1968-11-01,-0.1511909,-0.6838983,-0.5974024,0.54884565,0.6442602
1968-12-01,0.25056925,-0.5588967,-0.22211476,0.08394776,0.067243196
1969-01-01,0.78675044,-0.44652176,-0.29616705,0.17700377,-0.34719378
1969-02-01,0.8762366,-0.53933895,-0.36596918,0.01953249,0.08433797
1969-03-01,0.6079298,0.028465938,-0.22151963,1.3435022,-0.039670635
1969-04-01,0.94179904,-0.07540445,-0.20047304,-0.14550953,0.24332333
1969-05-01,0.8612466,-0.18124333,-0.13824157,-0.01347599,0.111289784
1969-06-01,0.54251873,-0.09826813,-0.3199392,0.39080122,0.2642185
1969-07-01,0.983741,0.003936863,-0.26300725,0.3667263,-0.2159172
1969-08-01,0.79977214,0.36309227,-0.32584432,0.11295529,0.14520665
1969-09-01,0.6151978,-0.020743847,-0.45439538,-0.046938516,-0.0725276
1969-10-01,0.216523,-0.31721368,-0.45469815,0.32660133,0.32599574
