,zgv850_cluster1,zgv850_cluster2,zgv850_cluster3,zgv850_cluster4,zgv850_cluster5
1965-01-01,-0.030170774,-1.2032986,0.58384115,-0.0036793232,-0.65345466
1965-02-01,0.14246488,-1.2053589,0.67420626,0.06593416,-0.7578013
1965-03-01,0.08403663,-0.9347051,0.6335861,0.06549263,-0.25534767
1965-04-01,-0.046507142,-0.30406246,0.4818492,0.030759478,-0.2067801
1965-05-01,-0.0013245583,0.006328511,0.60621166,0.031201005,-0.5848713
1965-06-01,-0.19706662,0.16571848,0.7505897,0.005151105,-0.46816197
1965-07-01,-0.1885305,0.31819123,0.6898068,0.002943492,-0.22797322
1965-08-01,-0.19147399,0.114354566,0.5585271,0.0693192,0.18499832
1965-09-01,-0.090365134,0.019574214,0.2687406,0.004120874,-0.16807327
1965-10-01,-0.01560049,-0.3408561,0.24033591,0.050480843,-0.056662153
1965-11-01,-0.14467251,-0.5987057,0.3262858,-0.077413775,0.48744184
1965-12-01,-0.07947423,-0.67891586,0.6237254,0.04650713,0.0047095297
1966-01-01,0.055696726,-0.58546674,0.91053313,0.011284018,-0.06654675
1966-02-01,0.11399746,-0.967532,0.6858656,0.031392694,-0.33070844
1966-03-01,-0.0082459925,-0.4118666,0.7800437,-0.0015913487,-0.15537219
1966-04-01,0.0666914,-0.30683842,0.5439474,0.071465395,-0.45960665
1966-05-01,-0.22235298,0.12904282,0.42069125,0.010560679,-0.3690451
1966-06-01,-0.24897166,0.07537146,0.26633173,-0.03298402,-0.43342185
1966-07-01,-0.2734204,0.33201045,0.483766,0.010271335,0.01707077
1966-08-01,-0.1452455,0.1492962,0.5135673,0.048752736,-0.29063582
1966-09-01,-0.17794022,-0.038915396,0.42546526,0.08361743,-0.23190098
1966-10-01,0.016636658,-0.3111784,0.15233421,-0.052224733,-0.35211915
1966-11-01,-0.13280416,-0.49447137,0.24217233,0.029078031,0.19255161
1966-12-01,-0.08506413,-1.054332,0.37859315,0.030235386,-0.5543634
1967-01-01,-0.08159877,-1.1238981,0.68109995,0.093255736,-0.32789382
1967-02-01,0.080100015,-1.2509592,0.6857627,0.03963369,-0.3833477
1967-03-01,-0.18567882,-1.1565378,0.5307251,-0.014987528,0.25678632
1967-04-01,-0.16502938,-0.089758635,0.49392232,0.0076602935,-0.06394682
1967-05-01,-0.0041631935,-0.056453027,0.6103255,-0.026811004,-0.29175726
1967-06-01,-0.15920085,0.05711913,0.46577913,0.01615324,-0.4388016
1967-07-01,-0.05378858,0.03363868,0.46261507,0.060616206,-0.03613658
1967-08-01,-0.023813516,-0.056952614,0.61365604,0.068776086,-0.4129897
1967-09-01,-0.043463837,0.005495429,0.28143248,0.1263948,-0.28975886
1967-10-01,-0.020316428,-0.1801834,0.42281485,-0.0134887695,-0.15703602
1967-11-01,-0.059617054,-0.76336485,0.35820192,0.03880105,0.16852646
1967-12-01,0.11240647,-0.85745317,0.50990903,0.07726903,-0.65745294
1968-01-01,-0.0478488,-1.0017107,0.6802176,0.031427335,-0.35532695
1968-02-01,0.030294824,-1.1097244,0.6267061,-0.032701444,-0.20937395
1968-03-01,0.05053854,-0.48953015,0.7212713,0.0038222552,-0.25481614
1968-04-01,0.12500149,0.046857856,0.39638072,-0.016421486,-0.5453065
1968-05-01,-0.044026576,0.40034452,0.3994951,-0.008069182,-0.33111945
1968-06-01,-0.20017226,0.3591492,0.36580276,-0.0070782183,-0.241226
1968-07-01,-0.17341655,0.25170174,0.60688716,0.052945137,-0.6659195
1968-08-01,-0.14496209,-0.06214683,0.5247797,-0.036948346,-0.30747813
1968-09-01,-0.062288392,-0.03185203,0.31342387,0.045017503,-0.036098957
1968-10-01,-0.07786049,-0.33281824,0.32588157,0.004671621,-0.07531233
1968-11-01,0.01939435,-0.78313506,0.35108006,0.013590192,-0.42030516
1968-12-01,-0.07191477,-1.3076317,0.6132575,0.03977964,-0.19734092
1969-01-01,-0.14535806,-1.0026678,0.6654674,0.039519213,-0.21364602
1969-02-01,-0.12627982,-0.73102987,0.7691864,0.017261267,0.06177721
1969-03-01,0.1901768,-0.42729217,0.55054367,0.015747119,-0.41245347
1969-04-01,0.08706342,-0.09160586,0.5263173,0.00030281543,-0.2675497
1969-05-01,-0.13324489,0.14217836,0.50345373,0.053752195,-0.4824071
1969-06-01,-0.09720819,0.33568627,0.36839184,0.06949933,-0.94437313
1969-07-01,-0.13793875,0.27633172,0.67652065,0.050269675,-0.20895223
1969-08-01,-0.10296197,0.27875435,0.256345,-0.02346927,-0.18835983
1969-09-01,-0.21092062,-0.042244673,0.21364608,0.015898537,0.08327808
1969-10-01,0.04860411,-0.08206673,-0.011204672,-0.055569183,-0.39806908
1969-11-01,-0.05556915,-0.37762815,0.38065642,-0.031039989,0.056629084
1969-12-01,0.0051481007,-0.7366323,0.6504773,-0.02604332,-0.3379575
1970-01-01,-0.07386404,-1.0009626,0.73156834,0.011131978,-0.2638937
1970-02-01,-0.028157389,-0.90614414,0.877463,0.04557569,0.133322
1970-03-01,0.15532406,-0.39760858,0.5907814,0.01741829,-0.52831125
1970-04-01,0.049766563,-0.104640745,0.5991632,-0.05998181,-0.4175152
1970-05-01,-0.13030978,-0.030121874,0.3919771,-0.03968229,-0.6431672
1970-06-01,-0.15270475,-0.018335033,0.6264037,0.01885891,-0.42419443
1970-07-01,-0.10870063,0.322042,0.37914258,0.06639905,-0.2710968
1970-08-01,-0.075042725,0.28890795,0.3771781,0.0069411276,-0.115248874
1970-09-01,-0.04937365,-0.052254893,0.29021758,0.020168543,0.16750374
1970-10-01,0.0019644499,-0.29375362,0.17994538,0.03968229,0.16305096
1970-11-01,-0.12559506,-0.87576044,0.03483659,-0.016108608,0.01951375
1970-12-01,-0.13410775,-0.70354193,0.7644404,0.0085127,0.07124472
1971-01-01,0.055999756,-1.3169299,0.6849532,0.1003389,-0.55596673
1971-02-01,0.101922415,-1.003245,0.6604804,-0.066796616,-0.3521219
1971-03-01,0.003311038,-0.7671534,0.61628515,-0.03167081,-0.35644057
1971-04-01,-0.12178864,-0.3263533,0.50961214,0.011516666,-0.25250283
1971-05-01,-0.13460092,0.14942864,0.49996692,0.010221029,-0.50687695
1971-06-01,-0.28575712,-0.31656414,0.60376084,0.039444566,-0.40005994
1971-07-01,-0.1364724,0.0538404,0.6473802,0.058734942,-0.24775214
1971-08-01,-0.024328947,0.2430015,0.41906238,-0.017131042,0.1078248
1971-09-01,-0.05110519,-0.04664247,0.27049753,0.028503705,-0.06550102
1971-10-01,-0.013963938,-0.36119118,0.22889356,0.09083764,-0.2919473
1971-11-01,0.012812281,-0.7334672,0.24386525,0.0024472952,-0.3800498
1971-12-01,0.03598956,-0.9037698,0.5133551,0.013963938,-0.11012802
1972-01-01,0.015388345,-1.0879695,0.56989515,-0.017624283,-0.40917236
1972-02-01,-0.039720368,-1.1204563,0.8137413,0.056555487,-0.1770318
1972-03-01,-0.010653472,-0.528728,0.67906034,-0.03130281,-0.649862
1972-04-01,-0.05274129,-0.2141217,0.6167178,0.00605011,-0.22753716
1972-05-01,-0.12218616,0.00013151168,0.61093074,0.010127401,-0.42061496
1972-06-01,-0.20609868,0.14033651,0.4787488,-0.020123195,-0.028935337
1972-07-01,-0.21122813,-0.053530432,0.7061544,0.021438455,-0.20465192
1972-08-01,-0.15467265,-0.12455358,0.7332484,0.101273775,-0.28290892
1972-09-01,-0.18097758,0.04327152,0.5742354,0.008549118,0.013678551
1972-10-01,-0.032749556,-0.17242846,0.37734348,0.08233428,-0.17768946
1972-11-01,0.015519857,-0.60593283,0.4463938,-0.037089873,-0.28540793
