,cluster,nodes_lat,nodes_lon
0,3,40.0,180.0
1,3,40.0,182.5
2,3,40.0,185.0
3,3,40.0,187.5
4,3,40.0,190.0
5,3,40.0,192.5
6,3,40.0,195.0
7,3,40.0,197.5
8,3,40.0,200.0
9,3,40.0,202.5
10,3,40.0,205.0
11,3,40.0,207.5
12,3,40.0,210.0
13,3,40.0,212.5
14,3,40.0,215.0
15,3,40.0,217.5
16,3,40.0,220.0
17,3,40.0,222.5
18,3,40.0,225.0
19,3,40.0,227.5
20,3,40.0,230.0
21,3,40.0,232.5
22,3,40.0,235.0
23,3,37.5,180.0
24,3,37.5,182.5
25,3,37.5,185.0
26,3,37.5,187.5
27,3,37.5,190.0
28,3,37.5,192.5
29,3,37.5,195.0
30,3,37.5,197.5
31,3,37.5,200.0
32,3,37.5,202.5
33,3,37.5,205.0
34,3,37.5,207.5
35,3,37.5,210.0
36,3,37.5,212.5
37,3,37.5,215.0
38,3,37.5,217.5
39,3,37.5,220.0
40,3,37.5,222.5
41,3,37.5,225.0
42,3,37.5,227.5
43,3,37.5,230.0
44,3,37.5,232.5
45,3,37.5,235.0
46,3,37.5,285.0
47,5,35.0,180.0
48,5,35.0,182.5
49,5,35.0,185.0
50,5,35.0,187.5
51,5,35.0,190.0
52,5,35.0,192.5
53,5,35.0,195.0
54,5,35.0,197.5
55,5,35.0,200.0
56,5,35.0,202.5
57,5,35.0,205.0
58,5,35.0,207.5
59,5,35.0,210.0
60,5,35.0,212.5
61,5,35.0,215.0
62,5,35.0,217.5
63,5,35.0,220.0
64,5,35.0,222.5
65,5,35.0,225.0
66,5,35.0,227.5
67,3,35.0,230.0
68,3,35.0,232.5
69,3,35.0,235.0
70,3,35.0,237.5
71,4,35.0,285.0
72,5,32.5,180.0
73,5,32.5,182.5
74,5,32.5,185.0
75,5,32.5,187.5
76,5,32.5,190.0
77,5,32.5,192.5
78,5,32.5,195.0
79,5,32.5,197.5
80,5,32.5,200.0
81,5,32.5,202.5
82,5,32.5,205.0
83,5,32.5,207.5
84,5,32.5,210.0
85,5,32.5,212.5
86,5,32.5,215.0
87,5,32.5,217.5
88,5,32.5,220.0
89,5,32.5,222.5
90,5,32.5,225.0
91,5,32.5,227.5
92,5,32.5,230.0
93,5,32.5,232.5
94,3,32.5,235.0
95,3,32.5,237.5
96,3,32.5,240.0
97,5,32.5,242.5
98,2,32.5,280.0
99,4,32.5,282.5
100,2,32.5,285.0
101,2,30.0,180.0
102,2,30.0,182.5
103,2,30.0,185.0
104,2,30.0,187.5
105,2,30.0,190.0
106,2,30.0,192.5
107,2,30.0,195.0
108,2,30.0,197.5
109,2,30.0,200.0
110,2,30.0,202.5
111,2,30.0,205.0
112,2,30.0,207.5
113,2,30.0,210.0
114,2,30.0,212.5
115,2,30.0,215.0
116,2,30.0,217.5
117,5,30.0,220.0
118,5,30.0,222.5
119,5,30.0,225.0
120,5,30.0,227.5
121,5,30.0,230.0
122,5,30.0,232.5
123,5,30.0,235.0
124,5,30.0,237.5
125,5,30.0,240.0
126,5,30.0,242.5
127,2,30.0,272.5
128,4,30.0,280.0
129,4,30.0,282.5
130,4,30.0,285.0
131,2,27.5,180.0
132,2,27.5,182.5
133,2,27.5,185.0
134,2,27.5,187.5
135,2,27.5,190.0
136,2,27.5,192.5
137,2,27.5,195.0
138,2,27.5,197.5
139,2,27.5,200.0
140,2,27.5,202.5
141,2,27.5,205.0
142,2,27.5,207.5
143,2,27.5,210.0
144,2,27.5,212.5
145,2,27.5,215.0
146,2,27.5,217.5
147,2,27.5,220.0
148,2,27.5,222.5
149,5,27.5,225.0
150,5,27.5,227.5
151,5,27.5,230.0
152,5,27.5,232.5
153,5,27.5,235.0
154,5,27.5,237.5
155,5,27.5,240.0
156,5,27.5,242.5
157,5,27.5,245.0
158,4,27.5,265.0
159,4,27.5,267.5
160,4,27.5,270.0
161,4,27.5,272.5
162,4,27.5,275.0
163,4,27.5,280.0
164,4,27.5,282.5
165,4,27.5,285.0
166,4,25.0,180.0
167,4,25.0,182.5
168,4,25.0,185.0
169,4,25.0,187.5
170,4,25.0,190.0
171,4,25.0,192.5
172,4,25.0,195.0
173,4,25.0,197.5
174,4,25.0,200.0
175,4,25.0,202.5
176,4,25.0,205.0
177,2,25.0,207.5
178,2,25.0,210.0
179,2,25.0,212.5
180,2,25.0,215.0
181,2,25.0,217.5
182,2,25.0,220.0
183,2,25.0,222.5
184,2,25.0,225.0
185,2,25.0,227.5
186,5,25.0,230.0
187,5,25.0,232.5
188,5,25.0,235.0
189,5,25.0,237.5
190,5,25.0,240.0
191,5,25.0,242.5
192,5,25.0,245.0
193,2,25.0,247.5
194,4,25.0,250.0
195,2,25.0,262.5
196,4,25.0,265.0
197,4,25.0,267.5
198,4,25.0,270.0
199,1,25.0,272.5
200,1,25.0,275.0
201,4,25.0,277.5
202,1,25.0,280.0
203,4,25.0,282.5
204,4,25.0,285.0
205,4,22.5,180.0
206,4,22.5,182.5
207,4,22.5,185.0
208,4,22.5,187.5
209,4,22.5,190.0
210,4,22.5,192.5
211,4,22.5,195.0
212,4,22.5,197.5
213,4,22.5,200.0
214,4,22.5,202.5
215,4,22.5,205.0
216,4,22.5,207.5
217,4,22.5,210.0
218,2,22.5,212.5
219,2,22.5,215.0
220,2,22.5,217.5
221,2,22.5,220.0
222,2,22.5,222.5
223,2,22.5,225.0
224,2,22.5,227.5
225,2,22.5,230.0
226,2,22.5,232.5
227,2,22.5,235.0
228,2,22.5,237.5
229,2,22.5,240.0
230,2,22.5,242.5
231,2,22.5,245.0
232,2,22.5,247.5
233,4,22.5,250.0
234,4,22.5,252.5
235,4,22.5,262.5
236,4,22.5,265.0
237,4,22.5,267.5
238,4,22.5,270.0
239,1,22.5,272.5
240,1,22.5,275.0
241,1,22.5,277.5
242,1,22.5,282.5
243,1,22.5,285.0
244,1,20.0,180.0
245,1,20.0,182.5
246,4,20.0,185.0
247,4,20.0,187.5
248,4,20.0,190.0
249,4,20.0,192.5
250,4,20.0,195.0
251,4,20.0,197.5
252,4,20.0,200.0
253,4,20.0,202.5
254,4,20.0,205.0
255,4,20.0,207.5
256,4,20.0,210.0
257,4,20.0,212.5
258,4,20.0,215.0
259,4,20.0,217.5
260,2,20.0,220.0
261,2,20.0,222.5
262,2,20.0,225.0
263,2,20.0,227.5
264,2,20.0,230.0
265,2,20.0,232.5
266,2,20.0,235.0
267,2,20.0,237.5
268,2,20.0,240.0
269,2,20.0,242.5
270,4,20.0,245.0
271,4,20.0,247.5
272,4,20.0,250.0
273,4,20.0,252.5
274,4,20.0,265.0
275,1,20.0,267.5
276,1,20.0,272.5
277,1,20.0,275.0
278,1,20.0,277.5
279,1,20.0,280.0
280,1,17.5,180.0
281,1,17.5,182.5
282,1,17.5,185.0
283,1,17.5,187.5
284,1,17.5,190.0
285,4,17.5,192.5
286,4,17.5,195.0
287,4,17.5,197.5
288,4,17.5,200.0
289,4,17.5,202.5
290,4,17.5,205.0
291,4,17.5,207.5
292,4,17.5,210.0
293,4,17.5,212.5
294,4,17.5,215.0
295,4,17.5,217.5
296,4,17.5,220.0
297,4,17.5,222.5
298,4,17.5,225.0
299,4,17.5,227.5
300,4,17.5,230.0
301,4,17.5,232.5
302,4,17.5,235.0
303,4,17.5,237.5
304,4,17.5,240.0
305,4,17.5,242.5
306,4,17.5,245.0
307,4,17.5,247.5
308,1,17.5,250.0
309,1,17.5,252.5
310,1,17.5,255.0
311,1,17.5,257.5
312,1,17.5,272.5
313,1,17.5,275.0
314,1,17.5,277.5
315,1,17.5,280.0
316,1,17.5,282.5
317,1,17.5,285.0
318,1,15.0,180.0
319,1,15.0,182.5
320,1,15.0,185.0
321,1,15.0,187.5
322,1,15.0,190.0
323,1,15.0,192.5
324,1,15.0,195.0
325,4,15.0,197.5
326,4,15.0,200.0
327,4,15.0,202.5
328,4,15.0,205.0
329,4,15.0,207.5
330,4,15.0,210.0
331,4,15.0,212.5
332,4,15.0,215.0
333,4,15.0,217.5
334,4,15.0,220.0
335,4,15.0,222.5
336,4,15.0,225.0
337,4,15.0,227.5
338,4,15.0,230.0
339,4,15.0,232.5
340,4,15.0,235.0
341,4,15.0,237.5
342,4,15.0,240.0
343,1,15.0,242.5
344,1,15.0,245.0
345,1,15.0,247.5
346,1,15.0,250.0
347,1,15.0,252.5
348,1,15.0,255.0
349,1,15.0,257.5
350,1,15.0,260.0
351,1,15.0,262.5
352,1,15.0,265.0
353,1,15.0,277.5
354,1,15.0,280.0
355,1,15.0,282.5
356,1,15.0,285.0
357,1,12.5,180.0
358,1,12.5,182.5
359,1,12.5,185.0
360,1,12.5,187.5
361,1,12.5,190.0
362,1,12.5,192.5
363,1,12.5,195.0
364,1,12.5,197.5
365,1,12.5,200.0
366,1,12.5,202.5
367,1,12.5,205.0
368,1,12.5,207.5
369,4,12.5,210.0
370,4,12.5,212.5
371,4,12.5,215.0
372,4,12.5,217.5
373,4,12.5,220.0
374,4,12.5,222.5
375,4,12.5,225.0
376,4,12.5,227.5
377,1,12.5,230.0
378,1,12.5,232.5
379,1,12.5,235.0
380,1,12.5,237.5
381,1,12.5,240.0
382,1,12.5,242.5
383,1,12.5,245.0
384,1,12.5,247.5
385,1,12.5,250.0
386,1,12.5,252.5
387,1,12.5,255.0
388,1,12.5,257.5
389,1,12.5,260.0
390,1,12.5,262.5
391,1,12.5,265.0
392,1,12.5,267.5
393,1,12.5,270.0
394,1,12.5,272.5
395,1,12.5,277.5
396,1,12.5,280.0
397,1,12.5,282.5
398,1,12.5,285.0
399,1,10.0,180.0
400,1,10.0,182.5
401,1,10.0,185.0
402,1,10.0,187.5
403,1,10.0,190.0
404,1,10.0,192.5
405,1,10.0,195.0
406,1,10.0,197.5
407,1,10.0,200.0
408,1,10.0,202.5
409,1,10.0,205.0
410,1,10.0,207.5
411,1,10.0,210.0
412,1,10.0,212.5
413,1,10.0,215.0
414,1,10.0,217.5
415,1,10.0,220.0
416,1,10.0,222.5
417,1,10.0,225.0
418,1,10.0,227.5
419,1,10.0,230.0
420,1,10.0,232.5
421,1,10.0,235.0
422,1,10.0,237.5
423,1,10.0,240.0
424,1,10.0,242.5
425,1,10.0,245.0
426,1,10.0,247.5
427,1,10.0,250.0
428,1,10.0,252.5
429,1,10.0,255.0
430,1,10.0,257.5
431,1,10.0,260.0
432,1,10.0,262.5
433,1,10.0,265.0
434,1,10.0,267.5
435,1,10.0,270.0
436,1,10.0,272.5
437,1,10.0,275.0
438,1,10.0,277.5
439,1,10.0,280.0
440,1,10.0,282.5
441,1,7.5,180.0
442,1,7.5,182.5
443,1,7.5,185.0
444,1,7.5,187.5
445,1,7.5,190.0
446,1,7.5,192.5
447,1,7.5,195.0
448,1,7.5,197.5
449,1,7.5,200.0
450,1,7.5,202.5
451,1,7.5,205.0
452,1,7.5,207.5
453,1,7.5,210.0
454,1,7.5,212.5
455,1,7.5,215.0
456,1,7.5,217.5
457,1,7.5,220.0
458,1,7.5,222.5
459,1,7.5,225.0
460,1,7.5,227.5
461,1,7.5,230.0
462,1,7.5,232.5
463,1,7.5,235.0
464,1,7.5,237.5
465,1,7.5,240.0
466,1,7.5,242.5
467,1,7.5,245.0
468,1,7.5,247.5
469,1,7.5,250.0
470,1,7.5,252.5
471,1,7.5,255.0
472,1,7.5,257.5
473,1,7.5,260.0
474,1,7.5,262.5
475,1,7.5,265.0
476,1,7.5,267.5
477,1,7.5,270.0
478,1,7.5,272.5
479,1,7.5,275.0
480,1,7.5,277.5
481,1,7.5,280.0
482,1,5.0,180.0
483,1,5.0,182.5
484,1,5.0,185.0
485,1,5.0,187.5
486,1,5.0,190.0
487,1,5.0,192.5
488,1,5.0,195.0
489,1,5.0,197.5
490,1,5.0,200.0
491,1,5.0,202.5
492,1,5.0,205.0
493,1,5.0,207.5
494,1,5.0,210.0
495,1,5.0,212.5
496,1,5.0,215.0
497,1,5.0,217.5
498,1,5.0,220.0
499,1,5.0,222.5
500,1,5.0,225.0
501,1,5.0,227.5
502,1,5.0,230.0
503,1,5.0,232.5
504,1,5.0,235.0
505,1,5.0,237.5
506,1,5.0,240.0
507,1,5.0,242.5
508,1,5.0,245.0
509,1,5.0,247.5
510,1,5.0,250.0
511,1,5.0,252.5
512,1,5.0,255.0
513,1,5.0,257.5
514,1,5.0,260.0
515,1,5.0,262.5
516,1,5.0,265.0
517,1,5.0,267.5
518,1,5.0,270.0
519,1,5.0,272.5
520,1,5.0,275.0
521,1,5.0,277.5
522,1,5.0,280.0
523,1,2.5,180.0
524,1,2.5,182.5
525,1,2.5,185.0
526,1,2.5,187.5
527,1,2.5,190.0
528,1,2.5,192.5
529,1,2.5,195.0
530,1,2.5,197.5
531,1,2.5,200.0
532,1,2.5,202.5
533,1,2.5,205.0
534,1,2.5,207.5
535,1,2.5,210.0
536,1,2.5,212.5
537,1,2.5,215.0
538,1,2.5,217.5
539,1,2.5,220.0
540,1,2.5,222.5
541,1,2.5,225.0
542,1,2.5,227.5
543,1,2.5,230.0
544,1,2.5,232.5
545,1,2.5,235.0
546,1,2.5,237.5
547,1,2.5,240.0
548,1,2.5,242.5
549,1,2.5,245.0
550,1,2.5,247.5
551,1,2.5,250.0
552,1,2.5,252.5
553,1,2.5,255.0
554,1,2.5,257.5
555,1,2.5,260.0
556,1,2.5,262.5
557,1,2.5,265.0
558,1,2.5,267.5
559,1,2.5,270.0
560,1,2.5,272.5
561,1,2.5,275.0
562,1,2.5,277.5
563,1,2.5,280.0
564,1,0.0,180.0
565,1,0.0,182.5
566,1,0.0,185.0
567,1,0.0,187.5
568,1,0.0,190.0
569,1,0.0,192.5
570,1,0.0,195.0
571,1,0.0,197.5
572,1,0.0,200.0
573,1,0.0,202.5
574,1,0.0,205.0
575,1,0.0,207.5
576,1,0.0,210.0
577,1,0.0,212.5
578,1,0.0,215.0
579,4,0.0,217.5
580,4,0.0,220.0
581,4,0.0,222.5
582,4,0.0,225.0
583,4,0.0,227.5
584,4,0.0,230.0
585,4,0.0,232.5
586,4,0.0,235.0
587,4,0.0,237.5
588,4,0.0,240.0
589,4,0.0,242.5
590,4,0.0,245.0
591,4,0.0,247.5
592,4,0.0,250.0
593,4,0.0,252.5
594,4,0.0,255.0
595,4,0.0,257.5
596,4,0.0,260.0
597,4,0.0,262.5
598,4,0.0,265.0
599,4,0.0,267.5
600,4,0.0,270.0
601,4,0.0,272.5
602,4,0.0,275.0
603,4,0.0,277.5
