,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5
1965-01-01,0.66871226,0.12220631,0.75018346,-0.33598557,0.94082487
1965-02-01,-0.2831928,1.5078615,0.66936415,-0.20009232,-0.7234604
1965-03-01,0.19520417,-0.22909585,1.5433826,-0.3688999,0.42723313
1965-04-01,-0.106889725,0.8645681,1.1275558,-0.028025817,-0.028351974
1965-05-01,0.14795074,0.22029705,1.1229935,0.15446892,0.5165249
1965-06-01,-0.041387178,1.651902,0.7772312,-0.24799652,0.07332344
1965-07-01,0.7902668,1.2054421,0.5438992,-0.44483033,-0.28612557
1965-08-01,0.48589173,1.2373787,0.2088913,-0.21931954,-0.31349984
1965-09-01,0.5686661,0.21312752,0.43961638,-0.13296051,-0.329142
1965-10-01,0.43146935,1.0855169,0.47057533,0.2512558,0.75148696
1965-11-01,0.39790344,0.6638241,1.2367268,0.13165665,0.55823785
1965-12-01,0.18314628,1.0992041,0.8577248,-0.093854144,0.4200634
1966-01-01,0.57210463,0.40766144,0.60919493,-0.06597404,1.1284546
1966-02-01,0.5737461,0.52024424,0.32265013,-0.13358955,-0.114552304
1966-03-01,0.75952375,-0.13096352,0.952195,-0.1473755,0.83862746
1966-04-01,-0.05973778,-0.13884124,0.6587578,-0.13227654,-0.1526268
1966-05-01,0.50251997,0.8021938,1.0910362,0.18249588,-0.066959
1966-06-01,-0.35777092,1.1248436,0.8159798,0.034792326,1.1271416
1966-07-01,0.7135719,1.5922432,0.345298,-0.36794585,-0.58851624
1966-08-01,0.450988,1.5689392,0.43753052,-0.29278105,-0.31247482
1966-09-01,0.39584503,1.3355675,0.8681679,-0.21827316,0.42637062
1966-10-01,0.46936876,0.7772484,0.46477357,0.100766756,0.34267196
1966-11-01,0.03643341,0.08271408,0.87637407,0.013785553,0.81401026
1966-12-01,0.38665503,-0.18807563,1.1081041,-0.09551468,1.7389619
1967-01-01,-0.023511123,0.4620598,0.4865505,-0.2099678,0.9012615
1967-02-01,0.3422184,1.067799,1.2529497,-0.09894295,0.8362793
1967-03-01,0.6592926,-0.46173325,0.9192219,-0.16686401,0.0055511473
1967-04-01,0.045716096,0.90518,1.0060822,0.016327286,-1.0420021
1967-05-01,-0.06073723,0.8130949,0.7183968,0.00065307616,0.75137824
1967-06-01,-0.2037632,0.53259337,0.84411657,-0.15837403,0.50940895
1967-07-01,0.48132592,0.599535,0.680518,-0.5296543,-0.091106035
1967-08-01,0.58255464,1.6513336,0.56100273,-0.5789627,0.18613014
1967-09-01,-0.25437775,2.4752042,0.24523468,-0.35038146,0.88526076
1967-10-01,0.12963791,1.7241528,0.5747177,-0.17796668,0.94763106
1967-11-01,-0.56883967,2.29038,1.3714851,-0.21258011,0.78272593
1967-12-01,0.45716172,0.6609251,1.0808609,-0.19984475,-0.27593002
1968-01-01,0.9897339,-0.77348024,1.252301,-0.18160935,0.15863457
1968-02-01,1.4295342,-1.8769928,0.6666298,-0.17468032,1.4776719
1968-03-01,0.98718107,0.10320358,0.66954726,-0.397863,1.6844432
1968-04-01,-0.52440566,2.0841298,1.363163,-0.019327546,0.075488284
1968-05-01,0.5718136,-0.7016388,1.0010388,-0.12654343,1.1735309
1968-06-01,-0.7949959,0.5546738,0.45475197,-0.13857727,1.8985096
1968-07-01,0.03610306,1.3332596,0.37962952,-0.55977935,0.46496314
1968-08-01,0.5958824,1.7555561,0.4642334,-0.36832428,-0.36175996
1968-09-01,-0.037561797,1.2760051,0.93612635,-0.1476944,0.2180771
1968-10-01,0.013492584,0.82781714,0.93649065,-0.09700394,1.1144531
