,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5
1965-01-01,0.02411127,0.68401146,0.015548646,0.018753052,0.023533404
1965-02-01,0.06072569,0.071074426,0.077745914,0.022798002,0.021694839
1965-03-01,0.041078925,0.49684185,0.05132258,0.026475191,0.03619349
1965-04-01,0.028891623,0.47530395,0.031308115,0.03220111,-0.015917718
1965-05-01,0.017649889,0.34250444,0.038662493,0.031203032,-0.026266396
1965-06-01,0.020486593,0.00089240074,0.048433363,0.02815622,-0.051166296
1965-07-01,0.031938434,-0.081424415,0.029049218,0.02815622,-0.11357367
1965-08-01,0.020801783,-0.06818652,0.032411218,0.032884,-0.00956136
1965-09-01,0.031938434,0.16169119,0.0051473975,0.027053058,0.007563889
1965-10-01,0.020486593,0.06681937,0.024321377,0.022430241,-0.016915798
1965-11-01,0.01901573,0.7423739,-0.007827878,0.025266945,0.002941072
1965-12-01,-0.006146848,0.6157731,0.010348022,0.024846733,-0.0046759844
1966-01-01,0.048176825,0.3912999,0.05341983,0.026019216,-0.010864437
1966-02-01,0.0497725,0.045532465,0.023967624,0.027751744,-0.00625968
1966-03-01,0.025152981,0.46132874,0.037918687,0.035730243,-0.0049375296
1966-04-01,0.04562366,0.17291567,0.04275137,0.030715168,-0.03293085
1966-05-01,0.0029042363,0.16211045,0.009378254,0.02478826,0.00053346157
1966-06-01,0.03180939,0.042158723,0.049726903,0.020092309,0.0069162846
1966-07-01,0.0324021,-0.07200289,0.018587768,0.03518319,-0.05039245
1966-08-01,0.026566327,-0.081896305,0.006642759,0.021277726,0.007645786
1966-09-01,0.028481185,0.008831143,0.01097399,0.014210999,0.015122831
1966-10-01,0.021505654,0.40146685,-0.016928136,0.028891504,0.03390658
1966-11-01,0.029028296,0.48608506,-0.055179596,0.023192525,0.024514735
1966-12-01,0.014119804,0.4791551,0.030988753,0.02989453,0.009241462
1967-01-01,0.07362163,0.55810195,0.05285299,0.028997779,0.009118438
1967-02-01,0.038309634,0.36569095,-0.021537662,0.042913318,0.025963545
1967-03-01,0.0236094,1.0282482,-0.017300129,0.0246557,0.027219057
1967-04-01,0.0032069683,0.95417154,0.03459537,0.026120484,0.030096352
1967-05-01,0.033287525,0.06624538,0.011786461,0.027899146,0.013251245
1967-06-01,0.0236094,-8.881092e-05,0.030985713,0.031404197,0.0099031925
1967-07-01,0.027219057,-0.08002472,0.0023698807,0.03129959,0.009641528
1967-08-01,0.02884084,-0.05407691,0.008699894,0.023190916,0.023818672
1967-09-01,0.026957512,0.04155314,0.019476593,0.026120484,0.031718075
1967-10-01,0.052434444,0.07445866,0.017436385,0.034281492,0.014454484
1967-11-01,0.033287525,0.33676124,0.048040092,0.0246557,0.02083677
1967-12-01,0.03250277,0.58870566,-0.01123178,0.022458494,0.01680857
1968-01-01,-0.03437516,0.57310313,-0.011388272,0.0144254565,0.023910344
1968-02-01,0.025509745,0.06977248,0.019521266,0.024840206,0.028262228
1968-03-01,0.06951213,0.3423789,-0.035193443,0.032279342,0.02941528
1968-04-01,0.013458371,0.26211083,0.027109146,0.026848793,0.024951816
1968-05-01,0.02227372,0.26051143,0.021195054,0.028262228,0.027667075
1968-06-01,0.028262228,0.010073572,0.03778428,0.029601246,0.029006124
1968-07-01,0.03157261,-0.09697533,0.004866183,0.03406474,0.024468273
1968-08-01,0.027592689,0.044851452,-0.005176604,0.024579853,0.022682875
1968-09-01,0.016991943,0.05024481,-0.0030936599,0.027183533,0.02149263
1968-10-01,0.02952686,0.07687685,-0.023588419,0.022608489,0.031051874
1968-11-01,0.029675633,0.2929088,-0.00097352266,0.025137782,0.010371149
1968-12-01,0.03439948,0.6855826,0.0019649267,0.016434014,0.014165074
1969-01-01,0.024628758,0.7670951,0.094602644,0.02676773,-0.033224404
1969-02-01,0.0806995,0.54021484,-0.08425337,0.023610234,-0.023242712
1969-03-01,0.0742318,0.120066166,0.063638926,0.029161274,0.007924676
1969-04-01,0.0023227334,0.21336466,0.04245329,0.03506887,-0.0036357641
1969-05-01,0.027939022,-0.028233528,0.046934843,0.03272617,0.008535802
1969-06-01,0.037055016,0.27727818,0.021776855,0.031453013,-0.011784077
1969-07-01,0.02167499,-0.07585043,0.027276993,0.038379073,0.026411235
1969-08-01,0.017855465,-0.05512309,0.008383036,0.03741151,0.027480721
1969-09-01,0.020860195,-0.034701288,0.02213335,0.0357818,0.013628542
1969-10-01,0.040314317,0.41345724,0.020350933,0.024170458,0.024628758
1969-11-01,-0.03892827,0.23342991,-0.0756467,0.028702974,0.022540748
1969-12-01,0.03277713,0.16870159,0.040008783,0.020554602,0.020554602
1970-01-01,0.071054876,0.4607928,0.012183249,0.028214633,0.027451277
1970-02-01,-0.004072666,0.16059715,0.033019602,0.027226746,0.025655031
1970-03-01,0.02583462,0.14595783,0.02920258,0.02309537,0.021388948
1970-04-01,0.019368231,0.47480345,0.05188006,0.026867509,0.027047098
1970-05-01,0.022601426,0.095124364,0.02017653,0.025520325,0.03108865
