,r300_cluster1,r300_cluster2,r300_cluster3,r300_cluster4,r300_cluster5,r300_cluster6
1965-01-01,41.573086,58.434944,43.519062,46.382336,22.668606,28.167465
1965-02-01,20.968334,57.19004,66.389206,55.296482,15.816734,24.223093
1965-03-01,23.39589,51.774723,59.04593,48.600224,19.602219,30.719513
1965-04-01,17.063274,62.878914,39.805653,44.570675,42.054665,35.49436
1965-05-01,31.427141,52.41028,44.09401,49.686237,43.622257,25.449976
1965-06-01,71.77668,52.655983,39.171738,30.911161,30.097061,34.973473
1965-07-01,65.70615,45.609184,28.821037,42.028458,42.909714,25.07487
1965-08-01,66.36136,48.66902,15.852772,47.60758,21.266453,47.60103
1965-09-01,69.771736,49.61744,26.365635,35.337112,56.251453,33.86289
1965-10-01,66.72664,46.56088,51.091663,35.627045,57.42592,26.581854
1965-11-01,32.17408,59.77649,44.688614,43.80244,55.837032,21.730015
1965-12-01,24.154297,52.536404,34.23472,51.977837,59.090157,23.390976
1966-01-01,31.451374,55.852066,35.545517,49.55326,23.584843,36.070824
1966-02-01,31.008142,59.18779,57.002827,56.17382,40.100945,22.783743
1966-03-01,49.517143,54.166145,52.726467,53.900208,30.617441,31.55972
1966-04-01,39.273582,63.02256,39.193142,52.046844,30.714296,39.41804
1966-05-01,43.89139,52.872566,41.04815,36.482864,43.84543,21.915337
1966-06-01,69.01275,52.055054,24.996614,33.80214,34.544144,28.242052
1966-07-01,58.609947,48.624115,27.96298,43.83394,44.43476,24.392508
1966-08-01,68.3085,48.1776,24.34326,45.782513,35.38628,32.577507
1966-09-01,68.51862,50.378983,24.596066,43.60904,39.606827,31.874905
1966-10-01,56.75987,51.124268,34.972595,35.66371,48.753803,20.761295
1966-11-01,35.171234,63.117775,41.712994,19.681126,38.09984,23.693188
1966-12-01,24.866928,61.064137,42.96225,35.235252,16.62283,28.463667
1967-01-01,35.974396,54.290756,67.7071,40.164997,26.31456,31.880072
1967-02-01,23.9735,48.248924,63.465824,38.82049,35.359573,37.86954
1967-03-01,15.004498,63.69047,54.82788,36.525036,45.340332,27.251999
1967-04-01,23.77081,57.283802,50.54269,31.999996,47.75909,40.958862
1967-05-01,22.769188,59.30056,38.675232,36.96251,48.38574,31.932434
1967-06-01,68.02802,43.946842,33.739746,23.272533,52.89051,23.149231
1967-07-01,58.85464,47.534443,29.875137,49.750515,39.80522,25.0714
1967-08-01,60.01335,47.81652,29.454556,51.7166,67.58887,22.939785
1967-09-01,66.69365,50.50722,29.072824,50.623768,51.247036,30.393682
1967-10-01,54.03908,57.02706,26.561167,48.91104,38.665096,15.926731
1967-11-01,32.219574,51.24366,38.09588,40.49099,35.516655,22.129025
1967-12-01,30.163969,66.1295,31.763525,48.30804,27.137142,30.78555
1968-01-01,35.574265,60.24751,40.15352,39.37126,26.771475,31.358776
1968-02-01,24.519672,54.792645,32.712433,45.28164,6.6533394,8.995277
1968-03-01,28.307013,60.03826,51.983925,46.796253,44.76335,24.167175
1968-04-01,35.01574,52.97382,41.991657,42.64354,36.3871,37.520245
1968-05-01,57.335777,58.655632,40.37886,35.63221,53.93313,24.865732
1968-06-01,67.134895,44.798763,26.969452,34.534477,54.2985,16.787254
1968-07-01,62.11784,47.736248,24.292723,62.204758,51.146946,29.612383
1968-08-01,62.661877,44.4688,45.822456,41.887035,46.776936,28.017288
1968-09-01,66.66651,53.888058,23.636013,34.73728,54.163296,17.59687
1968-10-01,61.628525,49.917225,42.583984,28.904167,41.164333,20.983425
1968-11-01,37.28203,60.770622,33.921227,32.86051,32.197365,20.075623
1968-12-01,26.55579,49.883427,43.760586,44.146885,31.22679,24.872171
1969-01-01,23.494099,58.436172,42.045536,54.933445,26.338396,27.92933
1969-02-01,25.15188,56.743298,34.97824,58.63671,30.578104,29.799349
1969-03-01,24.597057,48.33073,32.530006,58.975956,21.665863,35.999313
1969-04-01,25.74848,56.051445,37.77909,47.10912,43.775177,47.63386
1969-05-01,39.390076,45.966053,27.312677,37.927822,44.045902,22.18893
1969-06-01,61.952274,52.7058,31.729527,15.698185,33.965523,17.227287
1969-07-01,74.06644,40.942577,34.545414,29.685709,33.37227,19.438217
1969-08-01,79.053154,35.2239,17.33257,50.473145,28.845121,33.044724
1969-09-01,63.59167,53.41771,32.88262,41.25007,53.2155,11.404999
1969-10-01,56.597908,51.96715,42.511787,41.305214,57.12599,22.342678
1969-11-01,23.256798,52.261276,42.080627,37.835907,37.83925,20.843655
1969-12-01,49.03763,48.058334,42.941273,41.85335,14.65873,30.654978
1970-01-01,32.377575,53.33742,69.29106,46.588566,14.226166,19.346558
1970-02-01,27.396198,54.004364,26.317177,46.696136,13.951447,16.801258
