,r800_cluster1,r800_cluster2,r800_cluster3,r800_cluster4,r800_cluster5,r800_cluster6
1965-01-01,40.4625,81.816154,48.47737,94.720535,64.78066,57.737144
1965-02-01,21.187828,81.8571,60.436615,95.783615,53.193253,31.713795
1965-03-01,29.091312,71.28854,73.12805,94.101364,56.698635,46.79184
1965-04-01,40.028423,71.32786,74.46796,88.91864,51.804207,52.636326
1965-05-01,18.84217,79.54912,72.78898,92.702484,60.1172,47.622322
1965-06-01,24.2018,78.23706,81.290344,95.1366,58.955837,52.97376
1965-07-01,19.477726,83.293655,80.959465,95.164444,58.1876,61.72738
1965-08-01,32.046314,80.6335,56.439827,95.783615,62.22534,59.209732
1965-09-01,16.548935,77.71453,58.218723,96.5584,60.320312,61.0951
1965-10-01,20.4458,79.423,64.436676,93.75902,60.584038,42.313473
1965-11-01,50.3824,82.50085,57.797752,91.229904,71.71116,56.63639
1965-12-01,42.48383,84.76132,66.11238,94.355255,64.94774,45.859802
1966-01-01,24.701128,85.65197,60.17275,96.96422,48.438614,42.395897
1966-02-01,38.73842,83.9168,76.23085,94.56256,58.366993,38.66947
1966-03-01,27.275152,78.044815,74.27734,93.36091,43.564716,54.481335
1966-04-01,21.849674,74.13617,71.77391,94.053665,54.711155,44.799194
1966-05-01,25.142717,72.916466,52.1634,95.0222,50.359283,54.773537
1966-06-01,23.96405,82.94662,50.185276,95.84956,62.886307,49.558186
1966-07-01,22.072933,79.10364,68.30029,97.35983,59.81652,61.29724
1966-08-01,25.651611,77.17148,55.664925,95.780624,57.529778,59.944565
1966-09-01,24.965425,78.274635,49.44984,95.68377,64.30957,55.206917
1966-10-01,19.741863,74.97502,45.134083,96.30593,71.660645,52.160114
1966-11-01,45.498516,82.140594,42.12668,91.5847,66.15308,68.97171
1966-12-01,22.292904,77.17641,56.022793,95.125626,58.296402,39.922012
1967-01-01,25.333206,76.3518,67.67838,96.98895,58.04051,37.19898
1967-02-01,17.15976,80.06101,62.851,94.00773,57.81417,54.927536
1967-03-01,38.11108,71.21194,74.007355,88.81044,67.757774,55.25353
1967-04-01,35.351128,75.6559,56.586212,92.95712,56.97132,44.779556
1967-05-01,25.064644,76.902435,54.743427,96.512634,57.204414,52.77903
1967-06-01,22.627304,77.28417,69.67149,94.3675,58.837753,63.519875
1967-07-01,16.389542,77.719955,54.515404,96.62242,58.74992,65.03498
1967-08-01,15.166649,82.69429,65.686966,96.67985,63.78168,57.299004
1967-09-01,31.265247,78.0054,62.53683,96.79471,69.36915,52.974964
1967-10-01,26.674334,79.804276,44.309994,96.60553,64.5215,53.16752
1967-11-01,41.142975,85.35965,48.378983,90.71909,67.53481,45.342022
1967-12-01,28.981615,78.38714,42.756042,96.28629,59.68229,57.91045
1968-01-01,32.79291,82.34542,49.78041,96.282776,45.69691,53.702957
1968-02-01,45.836945,65.91644,47.467445,93.799194,48.462166,67.41979
1968-03-01,27.600409,85.50986,64.59981,94.53799,69.27403,30.908094
1968-04-01,14.406685,76.53967,70.67597,93.562584,59.70186,43.227814
1968-05-01,33.726467,78.770546,64.511284,94.66193,57.74944,53.74159
1968-06-01,25.598091,80.1065,53.748024,96.73828,59.92398,60.665997
1968-07-01,22.182564,78.641785,62.893654,96.70287,61.791092,50.643147
1968-08-01,26.452778,83.900276,72.148735,97.48352,64.05416,63.41838
1968-09-01,18.807274,74.4617,51.77629,96.90568,67.511536,70.32669
1968-10-01,24.642,78.08487,50.266506,95.45384,57.949028,58.275772
1968-11-01,29.668718,79.43208,55.751953,93.437035,60.865585,51.338486
1968-12-01,29.346802,77.901375,65.17121,94.59271,70.04501,46.108963
1969-01-01,45.620125,81.79885,66.98411,94.925735,50.4063,49.7111
1969-02-01,44.428596,81.830605,64.87344,95.645996,68.01186,45.35107
1969-03-01,21.410175,82.8851,84.561264,96.27435,50.64527,39.04415
1969-04-01,29.0607,80.567215,81.52144,92.848495,60.540154,30.168673
1969-05-01,19.90781,85.26983,77.11796,94.471176,56.16174,52.0223
1969-06-01,20.450935,83.08229,66.186966,94.942444,62.249737,44.966705
1969-07-01,14.202507,82.34197,64.73307,94.766975,58.417793,54.968536
1969-08-01,10.893627,77.15138,50.122204,96.207504,59.380375,62.373405
1969-09-01,19.76075,78.34792,49.010887,94.19377,65.92627,54.659374
1969-10-01,22.262463,80.48199,39.849644,89.08339,58.569866,52.89464
1969-11-01,35.28072,78.20254,49.64091,91.695404,56.46589,50.80069
1969-12-01,28.48081,80.63406,63.686928,95.56912,49.0276,42.381435
1970-01-01,34.216217,68.38747,72.67377,94.10196,49.729645,56.92368
1970-02-01,33.238144,78.67955,75.14129,93.4946,59.51532,49.24309
1970-03-01,23.627895,84.331184,73.81237,93.54921,45.579052,45.85377
1970-04-01,24.17237,71.25879,76.61253,94.50742,54.49588,43.217445
1970-05-01,21.559216,84.663826,62.03414,93.68492,54.14338,59.54511
1970-06-01,20.473576,84.53805,64.092896,96.324554,48.688686,48.480164
1970-07-01,19.017223,78.423035,43.611324,96.974945,58.27577,41.445004
1970-08-01,16.951859,84.09784,62.2046,96.41226,56.12269,57.41189
1970-09-01,19.141346,79.08667,57.501255,94.0788,68.06806,58.666336
1970-10-01,35.270416,80.683685,62.265835,93.22981,66.76066,56.04987
1970-11-01,36.054855,85.5095,49.425137,88.637344,66.05896,41.49962
1970-12-01,38.255928,80.61087,61.15868,96.33945,64.281555,52.989883
1971-01-01,17.408535,75.79252,58.31925,94.616516,62.166885,61.722275
1971-02-01,17.16172,75.873665,62.881977,91.80348,48.040855,52.481865
1971-03-01,16.512558,78.1508,76.09343,91.245605,65.47694,29.098518
1971-04-01,20.351742,76.475494,72.77662,90.863556,54.371872,39.637253
