,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7
1970-01-01,-0.056897897,-1.0061096,0.6464753,-0.7732567,0.79423374,0.48955926,0.2292474
1970-02-01,-0.15489875,-0.12354997,1.0238018,-0.9342218,0.7211024,0.49397078,0.11196127
1970-03-01,-0.14512646,0.45401427,1.1262723,-0.8277635,0.5724043,0.2184435,0.11384126
1970-04-01,-0.08129086,1.1049447,0.9457472,-1.274737,0.48654974,0.07202607,0.11426949
1970-05-01,0.038245738,0.93803036,0.69869125,-0.98140115,0.3362466,0.14662051,0.39033362
1970-06-01,0.010650316,0.64384705,1.0070539,-1.3990431,0.35249504,-0.16660105,0.54481846
1970-07-01,0.15944967,1.6332754,0.600056,-1.3827618,0.19583799,-0.27139607,0.6952303
1970-08-01,0.2064411,0.8867957,0.65828645,-1.1506207,0.14857148,-0.21763694,0.678031
1970-09-01,0.21688986,0.75535554,0.5813637,-0.9837497,0.08667233,-0.14865619,0.75336426
1970-10-01,0.13804726,0.91348493,0.3800351,-0.91114223,0.28390723,-0.016197026,0.51739943
1970-11-01,0.015423203,-0.04466795,0.5246726,-0.90443635,0.50912327,0.16512735,0.48282835
1970-12-01,-0.03821059,0.9185337,1.1449263,-1.5708417,0.6971703,-0.014541846,0.5404655
1971-01-01,0.018078228,-0.095034406,0.5886479,-1.2166721,0.55703413,0.3951371,0.30763263
1971-02-01,-0.08883609,-0.2640034,1.102968,-1.0631621,0.7947025,0.2516903,0.21054685
1971-03-01,-0.0003300386,0.6936674,1.0823178,-1.1205344,0.6118594,0.28248182,0.0364167
1971-04-01,-0.07103451,1.2035877,1.0113971,-0.7195282,0.4675833,0.17578988,0.0972749
1971-05-01,-0.029251618,0.65015996,0.9549713,-1.1179438,0.40522462,0.0023810167,0.30999577
1971-06-01,0.13762847,0.84797055,1.058965,-1.6558133,0.33414257,-0.2213352,0.53605694
1971-07-01,0.17171982,0.74590313,0.7722313,-1.6930804,0.3992802,-0.3765627,0.6405933
1971-08-01,0.2616911,1.1368779,0.5373373,-1.2470763,0.19334969,-0.3252303,0.6401094
1971-09-01,0.28500015,0.8776468,0.4499328,-0.9036255,0.010384886,-0.17104404,0.6477787
1971-10-01,0.23152243,0.9118946,0.55965537,-1.0025624,0.15270808,-0.20170473,0.63285565
1971-11-01,0.023202235,0.8326593,0.9550809,-1.045714,0.44247627,-0.106297284,0.597851
1971-12-01,-0.09832418,1.0432562,0.65310884,-1.3042773,0.623404,0.07740756,0.51463956
1972-01-01,0.014552897,0.71209556,0.70489836,-1.4382554,0.50837475,0.27613497,0.4027743
1972-02-01,-0.0376614,-0.024310457,0.8518325,-0.8863676,0.59036386,0.4597406,0.23668982
1972-03-01,-0.11380751,-0.59829044,0.51533794,-0.59041613,0.7090819,0.42379442,0.04907572
1972-04-01,-0.18895033,0.6767682,0.5225398,-1.1056616,0.42353636,0.20885397,0.004810515
1972-05-01,0.0032978412,0.53913945,0.80969524,-0.95993,0.31036508,0.053085387,0.2371656
1972-06-01,0.14221905,1.0322953,0.51007545,-0.9001674,0.13997775,-0.04937973,0.52734286
1972-07-01,0.05980119,0.8294587,0.7637954,-1.7043502,0.41733342,-0.21581085,0.40481004
1972-08-01,0.18783592,0.8466238,0.6880928,-1.3963559,0.2847829,-0.36404088,0.5507534
1972-09-01,0.07771924,0.31908417,0.535429,-1.1962684,0.2863757,-0.18002732,0.5461014
1972-10-01,-0.01660512,0.42581412,0.54608685,-0.8800382,0.30042306,-0.120181695,0.30893233
1972-11-01,-0.16004315,0.8494189,1.1963661,-1.2717813,0.5507041,-0.2064906,0.1670644
1972-12-01,-0.22969298,-0.37831706,0.79687864,-1.1653905,0.69793177,0.27157095,0.13124126
1973-01-01,-0.24060887,0.031128079,1.11213,-1.0497692,0.81206673,0.24754438,-0.048938736
1973-02-01,-0.25474402,0.099203356,0.9253428,-0.73167104,0.6383788,0.40310562,-0.03779872
1973-03-01,-0.24154003,1.3070222,1.1294808,-0.79530275,0.5283554,0.16576527,-0.021939754
1973-04-01,-0.09236771,0.673922,0.8862736,-0.82407045,0.4587924,0.043379318,0.15129454
1973-05-01,-0.030935321,1.0390234,0.9721458,-1.2312586,0.39835924,0.0016262962,0.26014984
1973-06-01,0.14777045,0.660046,1.0571743,-1.2707591,0.22263868,-0.12224652,0.61468416
1973-07-01,0.21075326,1.2357271,0.70861155,-1.5863473,0.20729156,-0.29063317,0.56180906
1973-08-01,0.23915525,0.9416796,0.42828283,-1.1544086,0.13993841,-0.14699735,0.6964323
1973-09-01,0.2796336,1.0573701,0.68396133,-0.7906787,0.054597672,-0.16888176,0.7067914
1973-10-01,0.2738947,0.6191847,0.4658692,-0.879031,0.18754001,-0.15816557,0.6414474
1973-11-01,-0.044701193,0.5482753,0.6468311,-1.6767297,0.599008,0.11344505,0.6424661
1973-12-01,-0.10664733,0.34545857,1.1102651,-1.0338042,0.7285086,0.17598629,0.44949913
1974-01-01,-0.14565814,-0.6309528,0.46745256,-1.5628864,0.86387616,0.38647413,0.34050858
1974-02-01,-0.0973527,0.5720778,1.0448598,-0.9447346,0.6945861,0.23671405,0.11499107
1974-03-01,-0.050496824,-0.1027706,0.8485414,-0.89936167,0.7222706,0.41866183,0.15819263
1974-04-01,-0.056654017,1.0194118,1.0474666,-1.0700771,0.5769378,0.18824415,0.14976372
