,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7
1965-01-01,-24.613633155822754,-3.32376839859145,-24.06130366855197,-11.632075905799866,-4.757239507592242,-5.515679267987813,0.16570368738368502
1965-02-01,-27.121682167053223,-4.02865069253104,-26.138247383965385,-12.771031260490417,-3.2776176929473877,-6.482871591228329,0.07851514705391818
1965-03-01,-28.1119966506958,-4.510812674249921,-26.366286807590058,-13.598567247390747,-1.1101134445356287,-7.150582744650645,-0.007945644820845406
1965-04-01,-28.240573406219482,-4.336928682667868,-26.628566671300817,-13.174377381801605,-0.31956894242245215,-7.074408988430076,0.2338811616564906
1965-05-01,-26.000418663024902,-3.221954831055232,-24.761102817676683,-11.91706508398056,0.20607509042905725,-6.090411747971626,0.9436302268227866
1965-06-01,-21.591050624847412,-1.1992446546043667,-21.02463510301378,-8.82786437869072,0.5691975355148315,-4.163629388156003,1.6271376609802246
1965-07-01,-14.745053052902222,0.8892902572240148,-14.391743695294414,-5.615505576133728,0.2225181168836096,-2.213001251220703,2.3988027905308926
1965-08-01,-10.3486168384552,2.170981413551739,-11.13511014867712,-3.402968868613243,-1.620888450871343,-0.7876859135823707,2.6326165088387423
1965-09-01,-11.779727935791016,2.5364351059709276,-12.199693255954317,-3.879411518573761,-2.14572769144307,-0.4113315719447724,2.579817439234534
1965-10-01,-15.043052434921265,1.5563000525747026,-16.367053985595703,-5.655509606003761,-1.2814682462941045,-1.259991077527608,2.4845291847406434
1965-11-01,-19.184688329696655,-0.1928743640226977,-20.20152409871419,-8.082099258899689,-2.2889238336811895,-2.9979944229125977,1.998276765956435
1965-12-01,-23.325088024139404,-2.0197442599705284,-23.580835483692308,-10.296676307916641,-2.6554260564887002,-4.657702576624204,1.6039115329121436
1966-01-01,-26.818642616271973,-3.796113495315824,-26.077775601987483,-12.268335372209549,-1.8491840880850086,-6.33842455197687,1.2378507783246595
1966-02-01,-29.27933931350708,-4.902905225753783,-27.75224756311487,-13.737615942955017,-1.1893195950466653,-7.341036731249666,0.7766524442406588
1966-03-01,-30.19066333770752,-4.7508991190365375,-28.23784969471119,-14.385335147380829,-1.4626401921977168,-7.458085883153628,0.5657636703446854
1966-04-01,-28.936054706573486,-4.323351276772362,-27.549620027895326,-13.917811214923859,-2.363546257433684,-7.26343768916718,0.5921300067458042
1966-05-01,-26.857621669769287,-2.3690068296023776,-25.611483609234842,-12.241163849830627,-3.601100911264834,-5.698514311280969,1.227137571157411
1966-06-01,-22.672150135040283,-0.5384462353374276,-22.309992048475475,-9.293433278799057,-2.5612113268479058,-3.9052793424423426,1.71990106272143
