,zgu500_cluster1,zgu500_cluster2,zgu500_cluster3,zgu500_cluster4,zgu500_cluster5,zgu500_cluster6,zgu500_cluster7
1970-01-01,0.24818109,-0.2450404,-0.40731072,-0.09006234,0.015568357,-0.22508436,0.21188816
1970-02-01,0.20361443,-0.53925014,-0.401132,-0.35135156,-0.1125156,-0.077272065,0.31559247
1970-03-01,0.33863938,-0.669065,-0.6039102,-0.06256927,-0.29944652,0.054047972,0.48944694
1970-04-01,-0.09305495,-0.12475381,-0.4096476,0.060589954,-0.13149096,0.20777869,0.42368823
1970-05-01,-0.07815693,-0.20856835,0.08477376,-0.20261762,-0.05824338,0.12157136,0.06735943
1970-06-01,-0.022080945,-0.12209932,-0.19635616,-0.17577389,0.05460592,-0.018487105,-0.09118466
1970-07-01,0.04442715,0.21690647,-0.088340215,-0.06552426,0.034200743,-0.12822442,-0.025220975
1970-08-01,0.058459148,0.14285482,0.006974555,-0.035810184,0.04053171,-0.15258884,-0.0013253157
1970-09-01,-0.05153113,-0.14381789,-0.17810905,0.19353332,0.08915188,-0.0821507,-0.009468584
1970-10-01,-0.059856087,0.16753544,-0.121934205,0.07143316,-0.0011218416,0.04160461,0.1510181
1970-11-01,-7.7834964e-05,0.3654562,-0.08562824,-0.03412572,-0.036116477,0.0058702305,0.09115086
1970-12-01,0.15738872,-0.0719824,-0.32575232,0.11696583,-0.23451364,0.19259168,0.2529479
1971-01-01,0.24916294,-0.33359504,-0.26245442,-0.062041767,-0.1778654,-0.06869235,0.6304284
1971-02-01,0.25513133,-0.76551926,-0.090152405,-0.24660806,-0.25341344,-0.020235581,0.667607
1971-03-01,0.10145364,-0.0992009,-0.23119144,-0.15282775,-0.14040549,0.09312593,0.37192902
1971-04-01,-0.042010725,0.17391084,-0.10435194,-0.27494347,-0.011212613,0.10325181,0.2303906
1971-05-01,-0.03139131,-0.3072785,-0.24895139,-0.1328356,-0.08336925,0.22143582,0.26208383
1971-06-01,-0.034589022,0.030255383,-0.13596773,-0.17757559,0.048904233,-0.041570842,-0.050126188
1971-07-01,0.035754588,0.07052417,-0.042944748,-0.05301946,0.055460162,-0.1682,0.03922324
1971-08-01,0.019548126,0.24909025,-0.08896191,-0.24910663,0.015186379,-0.11567985,0.069112964
1971-09-01,-0.012585163,-0.059853874,-0.17934766,0.29144675,0.009066119,-0.04144292,-0.107109815
1971-10-01,-0.074521974,-0.29076755,-0.15407266,0.049603008,0.00813541,0.05863093,0.2218343
1971-11-01,0.0690032,-0.24253221,-0.20470631,-0.2023919,-0.12192549,0.100575306,0.42082262
1971-12-01,0.05058847,-0.08690282,-0.4807977,0.25966373,-0.23212326,0.12091548,0.41505998
1972-01-01,0.12965143,-0.26087713,-0.42934486,0.18694313,-0.24299373,0.03996914,0.52243966
1972-02-01,0.094956234,-0.13408364,-0.12342254,-0.21182199,-0.10727865,-0.028524926,0.30609778
1972-03-01,0.15789406,-0.3000351,-0.09447414,-0.27914545,-0.068471454,-0.10232717,0.36136284
1972-04-01,-0.044633683,0.10578518,0.113164045,0.061501864,-0.12096227,0.16996753,0.23076479
1972-05-01,-0.07107914,-0.09644678,-0.0069061853,-0.3199306,-0.043025937,0.13767648,0.20452788
1972-06-01,-0.05502472,0.12616687,-0.16810615,-0.09311965,0.15170585,-0.064951666,-0.0706471
1972-07-01,-0.018522363,0.0072835544,-0.14034523,0.11277722,0.07082201,-0.13217591,-0.064118266
1972-08-01,0.017711904,0.07353389,-0.07736685,-0.051425625,0.040620875,-0.1039392,0.0008177351
1972-09-01,-0.081739075,-0.16257367,-0.23696357,0.3411967,0.014344937,0.06562305,-0.2002123
1972-10-01,-0.08271463,-0.41879928,-0.21737987,0.18019722,0.035940494,0.124682404,0.056561954
1972-11-01,0.07206878,-0.18313046,-0.2958842,-0.28565463,-0.09633136,0.040368006,0.48332304
1972-12-01,0.09531383,-0.24897537,-0.36059514,0.021443952,-0.09103166,-0.06595791,0.35963732
1973-01-01,0.13293701,-0.21297956,-0.14498307,-0.42781478,-0.095539026,-0.11551628,0.37208202
1973-02-01,0.123949826,-0.19186397,-0.2451527,-0.24774958,-0.14413595,0.059523556,0.27252564
1973-03-01,0.07814199,-0.17583337,-0.6134282,-0.12414722,-0.30666795,0.26969397,0.45121256
1973-04-01,0.0347437,-0.32806143,-0.26874584,-0.056516815,-0.12940067,0.10626866,0.50705796
1973-05-01,-0.05641082,-0.007958903,0.028402472,-0.36553007,-0.036708444,0.058273215,0.43166253
1973-06-01,-0.03745521,-0.054717213,-0.19197364,-0.29289976,0.034535054,0.0063109826,-0.008426039
1973-07-01,0.0074465494,0.19179885,-0.06282509,0.014540574,0.063175626,-0.14604567,0.021588061
1973-08-01,0.0116065685,0.115867026,-0.13151546,0.15996741,0.054781906,-0.11584749,-0.07788742
1973-09-01,0.006079904,-0.04320715,-0.06839519,-0.12373802,0.06443561,-0.084019385,0.0035709208
1973-10-01,-0.009375568,-0.042793773,0.070753716,-0.0726225,0.057189416,-0.008998206,0.034688752
1973-11-01,0.028662233,0.14064333,-0.3045922,0.11048715,-0.10333045,0.032427464,0.21469423
1973-12-01,0.23186816,-0.25020772,-0.2315489,-0.33599782,-0.044308532,-0.08928809,0.26631644
1974-01-01,0.11697933,-0.44758722,-0.39546362,0.14572665,-0.17436463,-0.10211306,0.3780889
1974-02-01,0.19736391,-0.28244674,-0.14423746,-0.21324736,-0.21671611,0.03584546,0.50786006
1974-03-01,0.106938876,-0.18768558,-0.36479482,-0.22283176,-0.1532657,0.013625807,0.29182512
1974-04-01,-0.004715114,-0.19175358,-0.14811806,-0.11872041,-0.11189885,0.1001263,0.33137643
1974-05-01,-0.045185972,-0.112342596,-0.193468,-0.043868255,-0.045546878,0.16081747,0.14567313
1974-06-01,-0.011467059,-0.061307885,-0.2106825,-0.040006362,0.08803308,-0.11429018,0.0030537578
1974-07-01,0.060555506,0.30126962,-0.1723948,-0.17623444,0.05613472,-0.1683152,-0.037251275
1974-08-01,0.014574604,-0.06382213,-0.038440928,0.055372685,0.022495085,-0.088647805,-0.0060962625
1974-09-01,0.012928257,-0.16239747,0.08407725,-0.08672258,0.015549564,-0.05959956,0.23651135
1974-10-01,-0.015006718,-0.37046194,-0.32058552,-0.26525822,0.027291317,0.115321495,0.17130771
1974-11-01,0.06883885,-0.037558943,-0.16802827,-0.20644219,-0.02718116,-0.049659066,0.36518306
1974-12-01,0.2558002,-0.51737475,-0.44250047,-0.4280097,-0.23707913,-0.013404111,0.60209364
1975-01-01,0.30618596,-0.5028001,-0.4772118,-0.007644087,-0.23433922,-0.096000955,0.58313173
1975-02-01,0.16075468,-0.17708343,-0.42436633,-0.20632504,-0.16608518,-0.01855099,0.45460254
1975-03-01,0.054858394,-0.036475655,-0.4060606,0.026012078,-0.21565957,0.13864656,0.4347369
1975-04-01,-0.051053412,-0.048091274,-0.34056962,0.19595769,-0.11641873,0.19914772,0.44833124
1975-05-01,-0.0317044,-0.24419694,-0.051736448,-0.20659235,-0.07541432,0.1163701,0.31375247
1975-06-01,-0.046057362,-0.21181284,-0.3511586,0.23610492,0.036056817,-0.0042863507,-0.03512365
1975-07-01,0.03662335,0.020548146,-0.22337076,-0.038090713,0.027301323,-0.08898257,0.029454488
1975-08-01,0.017280132,0.030572893,-0.19105701,0.13237126,-0.00046339497,-0.061756067,-0.11394522
1975-09-01,0.010474789,-0.25337142,0.040466793,0.08702313,0.02792629,-0.025966657,0.042043477
1975-10-01,-0.0013458654,0.08124884,-0.18313326,-0.14846456,-0.06713219,0.08850364,-0.0015697108
1975-11-01,0.0337661,-0.12215243,0.020279385,-0.18131247,-0.088177666,0.012966384,0.2608592
1975-12-01,0.21512972,-0.53780264,-0.41116148,-0.2744705,-0.09867983,-0.03000244,0.4727264
1976-01-01,0.2679432,-0.7257575,-0.3681353,-0.2699029,-0.21007471,-0.053338725,0.6186222
1976-02-01,0.09762434,-0.18353134,-0.18617587,-0.178541,-0.1927993,0.09469982,0.34436947
1976-03-01,0.00912339,-0.03918829,-0.3995122,-0.025378611,-0.17741862,0.11677588,0.49314854
1976-04-01,0.016619787,0.06247842,-0.19772282,-0.25646016,-0.13081142,0.18184075,0.17639738
1976-05-01,-0.00038484938,-0.083180085,-0.06322017,-0.2998487,-0.06590637,0.06285166,0.29144993
