,r50_cluster1,r50_cluster2,r50_cluster3,r50_cluster4,r50_cluster5,r50_cluster6,r50_cluster7
1965-01-01,2.3718033,4.604435,5.330082,5.379223,3.8984451,5.7068253,3.2301292
1965-02-01,2.628971,5.4643974,4.6863365,4.52417,3.4365196,6.0049477,2.8517456
1965-03-01,2.2292938,5.0041122,4.877987,4.088455,3.9426727,5.7084656,3.5986862
1965-04-01,2.0753212,5.027046,4.2375145,3.6232567,2.7043228,5.9132195,2.271881
1965-05-01,1.6445198,4.486496,2.9958916,2.9729576,2.0966148,5.895199,1.7690086
1965-06-01,1.2333717,4.137596,2.8288116,3.0024414,2.0900612,5.546299,1.6723633
1965-07-01,1.1187096,4.2571716,2.7534637,2.8779526,2.01799,5.485695,1.641243
1965-08-01,1.2153549,3.9262924,2.6584587,2.8091545,2.0081596,5.05653,1.6936607
1965-09-01,1.7526283,4.253895,2.8517456,3.0155487,2.1064415,5.7657967,1.6264992
1965-10-01,1.724781,4.8845367,3.0286522,3.2563362,2.2767982,6.7404213,2.226017
1965-11-01,2.5503464,6.550411,4.0868187,4.1163025,4.0491447,8.561909,4.0819054
1965-12-01,3.259613,9.140133,5.790367,6.1261635,5.4381905,11.788826,4.4963264
1966-01-01,2.0815659,8.93195,5.4534073,6.751911,4.942871,11.59626,3.8134499
1966-02-01,2.6380692,9.009106,5.3089447,6.14616,3.286499,12.595993,3.018917
1966-03-01,2.313034,7.63509,4.603058,5.681587,3.6312332,10.187771,3.0353355
1966-04-01,2.3064651,5.272831,3.9907455,4.281307,3.769127,5.642189,3.032051
1966-05-01,1.5710297,3.8889656,3.330822,3.3866348,2.9729538,3.6328773,2.6200104
1966-06-01,1.178688,3.1765137,2.8646088,2.9975777,2.0963402,2.8416252,1.6875839
1966-07-01,1.1015358,2.477192,2.452568,2.4722672,1.8550262,2.2916908,1.5185013
1966-08-01,1.1688385,2.3360138,2.3901863,2.3852615,1.8845749,2.2128944,1.5152168
1966-09-01,1.2870331,2.3606377,2.4312286,2.4263039,1.9896393,2.2391586,1.7368317
1966-10-01,2.0487366,3.2191925,3.1765137,3.1436806,2.6594086,2.968029,2.331089
1966-11-01,2.6774673,4.898548,3.9825363,4.660515,4.7475204,4.386368,4.1795273
1966-12-01,2.8038712,5.3467026,5.266266,4.604702,4.5045624,5.1809006,3.764202
