,r600_cluster1,r600_cluster2,r600_cluster3,r600_cluster4,r600_cluster5,r600_cluster6,r600_cluster7
1965-01-01,25.04047,33.84323,14.747105,27.020845,30.806328,50.10557,30.932455
1965-02-01,7.6200447,48.01381,22.403244,28.51145,32.71299,59.679844,19.320477
1965-03-01,16.401512,23.11415,20.037933,45.4634,68.87573,24.416382,23.825052
1965-04-01,33.633564,41.39454,9.466103,66.59396,39.876087,54.20228,28.835781
1965-05-01,39.54193,59.18352,30.550795,72.73329,44.198845,62.03205,16.3278
1965-06-01,18.74553,80.85463,17.38269,69.594826,58.539776,78.33207,18.837257
1965-07-01,23.64487,65.799515,32.229774,79.98647,44.709908,80.55324,12.6225815
1965-08-01,21.823383,68.639854,50.094105,61.352272,57.60774,77.46227,17.213974
1965-09-01,34.40999,75.195244,26.904545,52.64943,46.151375,78.91848,10.789627
1965-10-01,23.517103,71.91755,10.971447,63.42765,39.555035,76.150215,15.533356
1965-11-01,33.086464,52.66417,55.478302,55.3145,33.292854,68.14026,36.973503
1965-12-01,23.843071,37.40594,28.894749,57.622482,39.433823,83.19701,22.087105
1966-01-01,10.737705,41.117096,33.787365,68.001526,30.287481,49.01974,18.858685
1966-02-01,29.73098,32.18845,18.279202,53.5604,52.76422,71.83958,28.010586
1966-03-01,12.576294,44.809044,13.648258,67.08059,44.03093,67.76514,25.888002
1966-04-01,10.637569,57.004467,18.975239,66.755554,52.086243,72.23685,18.046093
1966-05-01,26.88445,62.730354,19.516964,52.26518,57.15057,66.38127,20.122715
1966-06-01,17.850746,73.19553,24.783207,52.765865,42.019974,69.070206,23.330395
1966-07-01,26.00948,67.99168,39.977825,61.38753,53.302666,77.66396,17.89507
1966-08-01,21.62806,63.037334,46.765827,57.516644,43.265945,71.72302,22.711514
1966-09-01,19.70411,77.645905,46.393185,51.84657,24.594423,72.64396,19.667992
1966-10-01,52.053413,74.28883,17.791649,35.287785,43.594265,63.554436,13.4020195
1966-11-01,46.455566,35.06617,43.485916,37.39067,21.693722,63.42639,22.680323
1966-12-01,20.01601,34.895443,24.72411,46.844624,20.081676,47.722878,22.064724
1967-01-01,20.335224,40.779823,23.226925,35.37477,34.484627,43.71375,28.520496
1967-02-01,24.823105,33.157013,36.193977,36.817245,48.628967,42.950287,25.012281
1967-03-01,54.253593,36.31221,20.230503,32.837776,38.166817,53.452972,25.512249
1967-04-01,22.247261,43.41985,49.88902,34.491386,35.587597,69.04654,23.966743
1967-05-01,39.273163,56.51865,29.305918,50.14069,30.594685,79.46646,20.512577
1967-06-01,21.252396,74.037766,19.754185,59.88836,66.14639,72.6088,17.521221
1967-07-01,30.496717,64.4911,46.243988,50.258926,42.757732,70.2272,18.575207
1967-08-01,30.388617,65.30523,45.264324,38.05027,43.32695,77.87197,14.453857
1967-09-01,33.23471,75.21505,34.488007,50.589985,32.079384,72.629074,22.449951
1967-10-01,28.98837,73.44151,17.10233,47.818207,50.98692,76.448074,13.656612
1967-11-01,23.318138,53.669174,38.499565,38.234383,23.024239,69.41138,24.780878
1967-12-01,35.038647,46.630787,27.932697,41.485855,17.696888,48.287773,19.342049
1968-01-01,25.314806,34.961014,25.065321,35.7481,20.418465,58.533306,22.473898
1968-02-01,11.202011,29.8168,24.440804,21.393871,33.732906,29.0442,36.491722
1968-03-01,39.316536,20.59552,12.758476,33.75544,46.062283,65.02313,23.063004
1968-04-01,26.148567,41.553852,33.63955,37.58946,40.386906,58.391663,16.964306
1968-05-01,27.679277,65.06498,31.605042,43.462814,38.14798,64.60625,22.57852
1968-06-01,15.784485,72.16805,20.693703,44.422123,42.202515,71.352,22.329035
1968-07-01,27.727564,61.644623,34.10472,55.005108,52.34447,71.48559,16.183662
1968-08-01,27.463594,65.22433,37.030933,64.02197,45.555267,76.60083,21.36007
1968-09-01,32.90719,78.32308,37.0422,42.062477,54.99545,71.7045,13.506931
1968-10-01,42.152615,78.46795,37.760075,48.814667,46.310158,71.04939,19.653915
1968-11-01,19.36258,49.624283,26.415758,44.904995,27.445889,59.825798,26.373909
1968-12-01,29.164919,44.673218,17.83992,54.478775,27.602018,68.93602,26.087402
1969-01-01,18.116337,24.257814,33.412376,61.432545,26.121147,77.4572,31.834808
1969-02-01,60.678856,28.375528,36.998665,69.67967,30.294008,74.59953,28.557684
1969-03-01,7.558014,35.929127,37.217583,60.795837,68.18733,59.35531,21.756104
1969-04-01,17.616665,43.68995,32.04036,61.534485,55.531715,82.74806,22.310925
1969-05-01,10.556057,65.61042,22.757122,61.77179,65.553604,80.614006,17.723618
1969-06-01,17.17715,68.41461,10.942093,66.96906,61.447586,71.41934,20.718319
1969-07-01,13.821484,67.7261,34.458515,64.041214,50.621876,76.6467,13.986927
1969-08-01,16.341576,82.27179,42.383106,46.594406,46.52923,73.275986,16.406754
1969-09-01,39.23132,81.01007,29.964792,33.36057,60.428185,75.45517,15.342228
1969-10-01,18.764744,69.83342,11.324783,52.389954,50.327755,77.585884,22.586666
1969-11-01,23.955338,44.091022,30.364197,41.176537,40.72867,65.31129,24.063961
1969-12-01,16.06918,33.048065,24.675602,51.868553,45.997803,50.167324,26.353437
1970-01-01,19.897655,27.252218,24.822763,29.545969,47.773506,31.551758,34.23442
1970-02-01,4.8773956,28.010181,23.330006,31.116508,47.391212,47.897625,29.19181
1970-03-01,8.356087,29.752836,32.855854,46.79709,37.27455,30.24601,21.915028
