,r850_cluster1,r850_cluster2,r850_cluster3,r850_cluster4,r850_cluster5,r850_cluster6,r850_cluster7,r850_cluster8,r850_cluster9,r850_cluster10
1965-01-01,57.794476,77.86031,68.10422,48.590397,77.19036,75.37379,50.159626,32.95378,72.27464,55.69616
1965-02-01,47.497833,75.59656,68.4089,33.109394,78.91684,66.88553,36.329758,35.61885,55.443905,32.395214
1965-03-01,37.19955,73.593254,66.466194,26.968428,81.27724,65.75529,22.960175,41.17668,48.171062,31.913635
1965-04-01,46.680454,76.31238,76.58593,32.468925,79.46067,54.63472,35.070114,40.436295,59.42595,45.684536
1965-05-01,36.30355,83.03484,80.625305,23.857813,76.30091,44.880264,11.379318,58.79531,78.2387,41.311
1965-06-01,80.82515,87.29044,73.72102,32.837482,70.87249,44.534637,9.66758,66.005905,63.779827,59.84037
1965-07-01,90.65987,91.28723,74.228806,64.61522,70.1665,39.779446,11.593899,64.72497,69.86674,50.218597
1965-08-01,89.72619,91.81795,80.86774,58.990234,76.78085,36.183975,15.92976,67.66523,67.07554,56.649494
1965-09-01,82.9038,89.9981,81.898056,40.740967,73.3754,45.383137,15.105831,70.53178,71.498215,60.600418
1965-10-01,62.58407,78.27965,82.99881,28.27066,83.55083,59.014805,21.125584,63.5718,66.882256,36.640984
1965-11-01,54.587215,66.6087,82.766205,30.87185,85.82441,56.611816,42.41012,48.46099,78.30422,57.326
1965-12-01,63.503002,71.989624,81.865295,21.862698,78.90374,54.59377,43.50923,47.99088,75.260765,70.81024
1966-01-01,61.517216,74.236305,69.4133,28.819893,80.8027,56.602276,32.452747,37.819126,73.197174,62.024467
1966-02-01,37.09354,74.92578,66.42395,35.606255,69.83519,59.90024,49.352985,42.497677,62.67454,45.26541
1966-03-01,36.7603,72.59964,63.09643,20.277023,79.68805,64.53775,23.102213,28.685284,71.3668,23.371435
1966-04-01,46.206043,76.5329,73.40402,22.184559,81.34606,62.78945,25.51536,40.921745,65.498085,32.346043
1966-05-01,39.217766,86.68454,81.21474,18.74049,74.649994,51.922085,13.477531,51.355732,77.93154,37.08205
1966-06-01,78.00542,90.16472,69.59715,45.977863,67.91288,39.922012,11.589695,52.250404,73.45326,63.20642
1966-07-01,87.39206,93.70564,76.92688,60.755516,71.09921,35.02841,13.761528,51.010998,69.275406,58.88902
1966-08-01,89.365265,95.31277,81.04401,62.533363,77.53099,29.872158,14.134171,67.633804,66.07593,57.954952
1966-09-01,86.54828,89.166626,78.25658,53.197605,81.15892,37.86181,15.841431,74.95369,72.63411,64.55417
1966-10-01,68.1427,78.22375,82.83663,25.255987,82.777534,54.295834,26.20483,88.17511,75.99938,58.7659
1966-11-01,76.94823,79.25795,82.53786,27.211128,78.12361,38.73678,41.21723,74.35122,66.6275,63.552795
1966-12-01,57.363976,71.834656,82.95975,17.791649,80.13128,47.937927,34.164932,51.459152,83.79204,55.046043
1967-01-01,58.23982,68.83878,76.95311,15.009563,77.64563,49.80963,39.725838,44.01272,75.86197,50.623768
1967-02-01,27.675957,72.7321,64.3813,28.914051,63.87458,72.30815,41.11257,36.383156,53.834705,27.679335
1967-03-01,43.80665,74.74718,57.148674,39.34073,79.30093,62.168613,30.295717,44.33702,63.801952,29.066069
1967-04-01,44.945087,75.32484,68.87087,26.079779,78.405716,62.08078,33.616444,53.098267,66.14133,30.214642
1967-05-01,39.02487,80.692726,77.96487,18.20023,73.95669,49.132313,25.42104,67.86081,58.54892,29.46638
1967-06-01,68.845535,89.896515,72.0987,40.921703,68.044914,38.535038,11.930374,65.431915,76.030876,59.69918
1967-07-01,90.43364,90.084,78.58983,73.514145,70.57515,41.54835,20.149426,60.445755,62.87127,55.60148
1967-08-01,90.5316,88.77496,77.20478,77.77907,70.387665,28.140453,16.42332,65.362656,63.656693,54.125225
1967-09-01,85.52856,89.86104,77.814545,60.88829,76.91088,47.091904,16.83039,59.44244,68.60231,74.387405
1967-10-01,65.75621,74.98027,83.861435,38.64145,83.119934,53.081375,24.307936,64.33232,70.625824,51.556137
1967-11-01,55.942673,76.04776,78.63712,48.321556,87.504776,61.729454,47.326687,67.254425,75.6711,48.5614
1967-12-01,69.52117,83.33444,69.00769,43.49248,81.0694,53.952938,33.317474,60.310627,77.32471,47.328377
1968-01-01,55.866234,76.54128,69.628136,38.062675,76.08416,60.93802,33.17599,49.41665,81.84485,49.080246
1968-02-01,52.441048,81.04649,58.35303,44.261166,73.528145,66.647194,59.09022,47.428818,65.57522,38.717773
1968-03-01,40.497967,77.03703,58.63632,32.56757,82.440384,67.10593,23.061394,39.174892,59.906277,27.151335
1968-04-01,43.12802,75.35985,66.09672,22.332254,80.779305,63.69362,38.360447,43.618942,69.880844,22.2389
1968-05-01,36.057137,81.63238,77.56336,24.865732,77.399185,45.378212,22.863415,57.639988,58.116425,18.844296
1968-06-01,70.255875,83.86165,72.41432,38.246166,69.59273,48.80018,14.743088,61.203598,75.74132,54.092476
1968-07-01,89.58692,91.23674,77.32515,60.899387,69.40923,34.450775,17.397285,58.93087,71.512955,59.085392
