,zgu500_cluster1,zgu500_cluster2,zgu500_cluster3,zgu500_cluster4,zgu500_cluster5,zgu500_cluster6,zgu500_cluster7,zgu500_cluster8,zgu500_cluster9,zgu500_cluster10
1965-01-01,-0.2708088,-0.36564103,0.40344334,0.090595625,-0.16848144,-0.8401268,-0.26983127,0.07853794,0.05214157,0.11536274
1965-02-01,0.27732658,-0.029981231,0.4298399,-0.010428238,0.14534417,-1.2044642,-0.80395395,-0.11959915,0.085055545,-0.007821083
1965-03-01,0.060614396,0.01596794,0.3226244,-0.2261631,0.12285805,-0.5526978,-0.33794078,-0.23463592,0.006843567,-0.14045563
1965-04-01,0.06582832,-0.37932816,0.25093022,0.21899375,-0.30079022,-0.5129402,-0.3933409,-0.26266193,0.30241966,0.1991146
1965-05-01,0.16880722,-0.57876855,0.28449592,-0.45721436,0.35358316,-0.13296051,-0.49012834,-0.3441326,0.8085163,0.3236023
1965-06-01,-0.6475298,-0.5432472,0.14697304,-0.21182403,0.37444,-0.51163673,-0.292317,0.13067932,0.7664776,-0.010428238
1965-07-01,-0.37052917,-0.2558182,0.164571,-0.14143296,0.3073078,-0.09352837,-0.15218735,-0.03975773,0.7687588,-0.23235473
1965-08-01,-0.40898362,-0.12285805,0.36140442,-0.20302506,-0.057029724,-0.26461715,0.075279236,-0.43146935,0.5947369,0.029329682
1965-09-01,-0.003584671,-0.125465,0.13850021,-0.19520417,0.45754012,-0.40083656,-0.1267685,0.17174053,0.16685219,-0.21475716
1965-10-01,0.16359329,-0.4037693,0.41941166,-0.43538016,0.0485569,-0.7306301,-0.7879856,0.09972038,0.16294137,0.12057686
1965-11-01,0.080818936,-0.08081913,0.20498046,-0.09743919,0.09189911,-0.64915925,-0.2714607,-0.2489748,0.099394225,0.38389015
1965-12-01,-0.16489677,-0.018249322,0.6331911,-0.37411386,-0.0671318,-0.8463186,-0.17369576,-0.013361168,-0.012057495,0.2466938
1966-01-01,-0.029541016,-0.17100772,0.57046336,-0.038731,0.30623856,-0.36367875,-0.06597404,-0.18413696,-0.09518699,-0.2225401
1966-02-01,0.07188225,-0.24420281,0.24912663,-0.06564598,-0.11652164,-0.7444256,-0.023960877,-0.07746239,0.070897676,0.2977047
1966-03-01,-0.08730926,-0.06433334,0.33216858,0.15722199,-0.2202423,-0.66105497,-0.3052538,0.033151247,0.2753849,0.030197144
1966-04-01,0.024288941,-0.05415783,0.075492665,-0.29540673,-0.0026258468,-0.2665226,-0.12636872,0.11356773,0.20744133,0.20645675
1966-05-01,-0.10011025,-0.24978295,0.1838089,0.17363358,0.46346053,-0.83403206,-0.3095209,-0.17067948,0.4175083,0.020350266
1966-06-01,-0.39256287,-0.35941163,0.37549514,-0.09059143,0.47888756,-0.31838304,-0.3505493,-0.028227806,0.9042736,0.033151247
1966-07-01,-0.43556136,-0.56389886,0.16838188,-0.10634651,0.19628143,-0.118162915,0.021662902,0.40831795,0.6019737,-0.021006774
1966-08-01,-0.5031765,-0.45984992,0.24945489,-0.27144623,0.11225434,-0.003282547,0.0029541017,-0.08435516,0.6626965,-0.148032
