,r700_cluster1,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster5,r700_cluster6,r700_cluster7,r700_cluster8,r700_cluster9,r700_cluster10,r700_cluster11,r700_cluster12
1965-01-01,220.45235633850098,154.0256404876709,83.19883346557617,61.937436603364496,69.40843794080946,168.01846822102866,93.35905376233552,312.79592514038086,164.56404655210434,192.80761192584862,69.41132545471191,118.93334680674027
1965-02-01,227.02815532684326,153.01158905029297,150.11312821332146,43.441740671793625,51.3666311899821,210.44181187947592,82.72606197156404,238.04559707641602,119.29302830849925,210.63531020592,128.67910861968994,88.35909317950814
1965-03-01,246.55311107635498,145.66017150878906,134.73739624023438,49.057442801339285,63.40158780415853,176.2166182200114,89.34125398334704,264.17049407958984,117.91508582330519,219.82020674080687,140.43983221054077,89.200716602559
1965-04-01,270.5068349838257,153.7799835205078,161.01428761201745,95.24168287004744,108.25856526692709,150.4834810892741,115.20816401431435,271.1769676208496,159.27819282777847,220.06950378417972,160.0214958190918,89.50181299326371
1965-05-01,316.2585496902466,159.29909706115723,194.38153435202204,55.467215038481214,127.95931498209636,182.49893188476562,96.8568902266653,223.18662643432617,177.83438159573464,240.01420119713094,185.76889038085938,58.51132918377312
1965-06-01,371.29602432250977,127.25024223327637,190.48365424661074,56.58043906802223,131.06014463636612,174.0026315053304,101.40166031686883,235.4381561279297,145.97266412550402,274.84699117726296,234.5154047012329,50.727606792839204
1965-07-01,407.9418659210205,123.89445304870605,189.79765948127297,76.86104547409785,141.28981696234808,197.79233932495117,167.30144902279503,235.01567840576172,164.5934074155746,288.2454707704742,243.9081907272339,59.38069479806083
1965-08-01,445.89853286743164,169.6318244934082,212.05085305606616,84.86877623058501,162.44630813598633,144.71456209818524,139.9652782239412,162.6077651977539,170.2547627110635,288.5333357186153,234.9921464920044,59.93824394381776
1965-09-01,400.85225105285645,163.48512649536133,207.05537235035615,75.30564807710194,144.19755935668945,148.90661239624023,118.68878414756374,217.66218185424805,176.6943162487399,274.59359004579744,224.04470443725586,60.26392956169284
1965-10-01,395.763635635376,180.81375122070312,204.9864376292509,54.113487970261346,117.98348956637913,172.6685365041097,99.85330481278268,303.1826400756836,211.95818993353075,243.5283266264817,190.8962368965149,88.42063436702806
1965-11-01,369.0176248550415,182.19573974609375,192.03924291274126,60.37599018641881,129.00723351372613,195.4991340637207,63.87371264005962,217.3529052734375,195.29119922268777,206.0235122154499,123.000967502594,89.79393316774953
1965-12-01,317.45526790618896,173.81277084350586,189.08933751723345,53.45963069370815,112.1132426791721,179.30021286010742,46.840552279823704,204.12519454956055,175.57342283187373,201.20622042951913,138.54010105133057,70.93900563765546
1966-01-01,306.97412490844727,167.00702667236328,164.65996012968174,53.98557299659366,63.54990005493164,173.38116963704428,55.75912375199167,225.87032318115234,175.64303490423387,198.11984095080146,115.82435369491577,80.25799186862245
1966-02-01,320.48511505126953,143.72186660766602,140.5136893777286,81.8407240368071,62.721972995334205,205.38474718729657,83.71402840865285,246.60322189331055,147.64443674395162,214.29338126346985,88.24458718299866,99.55841375856984
1966-03-01,238.2556438446045,149.01662826538086,133.76888948328354,50.120244707380024,78.47510443793404,185.52494049072266,70.89839734529194,278.2260513305664,123.3733146421371,205.69910509832977,124.01385307312012,83.24303918955277
1966-04-01,277.8653860092163,163.89192581176758,159.50857050278606,76.29933130173457,102.55872938368056,172.55291938781738,97.15676558645148,262.58737564086914,173.05281854444934,220.07185837318158,156.40501976013184,94.46097393425144
1966-05-01,264.9409294128418,156.03446006774902,182.90299808277803,65.60674394880023,138.30115000406903,164.91026878356934,79.11881396644993,252.47552871704102,170.65066675986014,229.6915514715787,172.80220985412598,67.06553867885044
1966-06-01,322.7282762527466,132.47873306274414,182.70758460549746,66.69302440824963,156.49459626939563,148.12140464782715,133.00851520739104,200.49095153808594,178.0720741518082,273.0210665998788,234.43889617919922,47.99083787567761
1966-07-01,398.746132850647,147.31463432312012,206.53738134047563,83.09321630568732,166.63968827989368,190.3919537862142,160.7040204499897,202.08232879638672,189.71937856366557,291.72452729323817,248.1539011001587,59.85887877795161
1966-08-01,463.00501823425293,159.28791999816895,212.90990044088923,86.01264953613281,164.6757443745931,205.9373696645101,152.717419674522,197.92993545532227,172.57696582425027,296.8253300107759,247.1410036087036,61.19647512630541
1966-09-01,414.90421295166016,160.1361083984375,201.5184065874885,87.83048902239119,153.43481699625653,222.4997679392497,127.29186007851048,231.40840530395508,173.40007905037172,268.6334544214709,222.83966541290283,64.91719849255621
1966-10-01,426.2906551361084,180.360107421875,204.13822847254136,98.59028770810082,159.1560893588596,219.41782633463544,106.90974185341283,256.2178039550781,201.76433440177672,237.7598992709456,173.30620288848877,95.00633551149953
1966-11-01,369.01073455810547,171.76496505737305,179.6422846177045,62.75866826375326,102.12244457668729,189.46949640909833,75.93386298731754,153.62199783325195,176.12452353200604,226.22830621127426,172.42796421051025,51.86154501778739
1966-12-01,292.5816297531128,172.16205596923828,183.2469491397633,35.24178777422224,93.22728051079645,206.17542266845703,36.68451560171027,250.545654296875,171.7219445013231,191.25467497726967,105.60650825500488,77.32585984833386
1967-01-01,297.135591506958,162.99997329711914,164.75952372831455,28.591510227748326,48.746183183458115,223.75370661417645,39.31169509887695,203.9025115966797,136.8864490139869,208.15225798508217,121.75060510635376,76.75453497439015
1967-02-01,250.972318649292,137.08629608154297,104.18289408964269,61.445313408261256,63.9414840274387,220.79723676045737,68.8311777616802,313.41285705566406,127.14002055506552,207.71322579219424,75.57878494262695,102.02730918417171
1967-03-01,297.67653942108154,139.3636703491211,109.22776390524471,84.4555900210426,88.83463541666667,197.1222718556722,111.65904998779297,289.17837142944336,147.0874294157951,236.17430062129583,142.7873134613037,92.43421749192841
1967-04-01,313.5094881057739,141.28893852233887,135.9211192411535,104.21213422502791,130.63263363308377,162.7078374226888,100.82208733809621,305.85256576538086,165.69076045866936,225.85359770676186,164.26481008529663,101.91009677186304
1967-05-01,336.3877773284912,148.24950218200684,179.48841768152573,75.39692833310082,130.27769724527997,210.02806027730307,84.70219059994346,264.81271743774414,185.71098081527217,234.45844979121767,175.7400393486023,81.99269041723134
1967-06-01,351.75483226776123,143.07564735412598,196.00751540240117,70.66808428083148,162.048700120714,189.04482523600262,136.27563275788958,199.8407745361328,196.21778918850808,269.2234433930496,224.40786361694336,47.9459996126136
1967-07-01,396.69504165649414,137.76695251464844,204.50859069824216,105.21680741083054,169.95563507080078,189.53771591186523,182.78097855417352,248.23509216308594,171.0707756780809,283.7598077182112,247.48146533966064,61.27489051040338
1967-08-01,461.7570400238037,145.30014038085938,206.57952252556294,92.47787112281436,162.22462124294705,204.62102890014648,177.61511551706414,169.63708877563477,175.1765589560232,286.7850468076509,253.50944995880127,55.356691321548155
1967-09-01,383.1083059310913,153.23528289794922,196.73273423138787,93.04661523728144,146.49493959214954,184.61551666259766,140.75070431357935,230.12697219848633,165.9227801907447,275.2497705919989,236.7356538772583,60.94438202527105
1967-10-01,357.63585567474365,179.04808044433594,204.34518701889934,75.3321783883231,129.3682310316298,211.10299428304037,105.53868946276212,258.34461212158203,194.60475060247606,228.31473514951512,174.09722805023193,83.54091255032286
1967-11-01,400.0457763671875,185.17833709716797,173.69338764863855,68.1871459597633,109.89767710367839,237.6817544301351,111.23910201223273,291.13733291625977,216.98711764427924,225.31375227303343,122.51458168029785,103.11419428611289
1967-12-01,407.9551696777344,170.3297233581543,132.89461696849148,43.235188438778835,85.16973389519586,231.2740166982015,99.46471766421669,254.95769500732422,143.55378920032132,227.52598729626888,136.63437366485596,83.434466926419
1968-01-01,370.6441879272461,147.921142578125,94.04772590188418,42.672388894217356,50.695647133721245,218.63606770833334,61.27656133551346,248.44459533691406,115.39433387018019,222.73969979121767,70.96221446990967,81.0530915552256
1968-02-01,312.5490427017212,105.69141387939453,82.81566956463982,98.33729153587704,64.20726776123047,235.5048656463623,84.02277795892013,262.7204132080078,106.98105596726941,217.6029205322266,119.01030540466309,100.26316740074937
1968-03-01,301.59099102020264,154.79598999023438,140.0047414443072,49.86908322288877,73.33410580952963,190.8706823984782,84.40057854903371,290.8640670776367,165.10840385190903,226.7411593733163,144.32330131530762,92.02109356315769
1968-04-01,301.1303424835205,152.47709274291992,153.59106624827663,96.9159898303804,122.86041047837999,170.59903144836426,94.93955311022307,291.6056442260742,172.07794189453125,228.60609909583783,166.64928197860718,103.82730912189095
