,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7
1970-01-01,9.4236515e-05,8.180732e-06,7.0821145e-05,0.0001561386,4.1038522e-05,0.00027275062,1.820479e-05
1970-02-01,9.186734e-05,9.552597e-06,6.690196e-05,0.00016577572,3.910592e-05,0.00028813782,2.0066358e-05
1970-03-01,9.3318115e-05,1.2585595e-05,6.8782734e-05,0.00017075887,3.7539685e-05,0.00030161778,2.0660533e-05
1970-04-01,8.912441e-05,9.360418e-06,6.342128e-05,0.00015654473,4.2565818e-05,0.00022699629,2.5004876e-05
1970-05-01,8.774556e-05,6.120641e-06,6.3471176e-05,0.00015356304,4.3911066e-05,0.00021527515,3.2438988e-05
1970-06-01,8.303156e-05,6.325702e-06,6.0502814e-05,0.00014767573,5.496234e-05,0.000121405494,3.007882e-05
1970-07-01,8.6072265e-05,4.4659837e-06,6.255575e-05,0.00013285955,5.4967182e-05,0.00012388002,2.784339e-05
1970-08-01,7.892686e-05,3.8882295e-06,6.186095e-05,0.00012292953,5.7790887e-05,4.1070212e-05,2.957605e-05
1970-09-01,8.24251e-05,6.597895e-06,6.169789e-05,0.00013789578,5.3191285e-05,0.00010674179,2.8442317e-05
1970-10-01,8.364666e-05,4.6988202e-06,5.969556e-05,0.00015781807,4.6131518e-05,0.000110503875,3.20337e-05
1970-11-01,8.628315e-05,8.972571e-06,5.9426533e-05,0.00015973774,3.8795366e-05,0.00017109007,3.068915e-05
1970-12-01,9.33843e-05,1.34605025e-05,6.355292e-05,0.0001755439,3.1508585e-05,0.00028501972,2.6180018e-05
1971-01-01,9.5816875e-05,1.0942267e-05,6.980777e-05,0.00014287785,3.831458e-05,0.000271372,2.2171564e-05
1971-02-01,9.230459e-05,1.4020452e-05,6.8135654e-05,0.0001732074,3.3464024e-05,0.0002738899,2.065307e-05
1971-03-01,8.768588e-05,9.866892e-06,6.5515036e-05,0.0001612389,3.94377e-05,0.00019519082,2.5065328e-05
1971-04-01,8.771819e-05,1.2291164e-05,6.601424e-05,0.0001635376,3.8570528e-05,0.00014828259,2.415635e-05
1971-05-01,8.4744635e-05,5.228359e-06,6.4217566e-05,0.00015725465,4.3782347e-05,0.0001781943,3.206312e-05
1971-06-01,8.261145e-05,1.7814481e-06,6.2742685e-05,0.00014116823,5.5546298e-05,0.00010702966,2.960957e-05
1971-07-01,8.4065585e-05,7.3062442e-06,6.535999e-05,0.0001211209,5.671622e-05,4.2422354e-05,2.8642511e-05
1971-08-01,8.3537554e-05,5.5403366e-06,6.209647e-05,0.0001299344,5.553157e-05,4.102873e-05,2.8939223e-05
1971-09-01,8.702905e-05,7.721353e-06,6.2326966e-05,0.00014084771,5.1213177e-05,9.556576e-05,2.9976882e-05
1971-10-01,8.462812e-05,4.899431e-06,5.9464266e-05,0.0001401205,4.7857568e-05,0.00013416969,3.1727173e-05
1971-11-01,8.794034e-05,8.079121e-06,6.3546555e-05,0.00015633692,4.1592786e-05,0.00016251701,2.7080077e-05
1971-12-01,8.673314e-05,1.5537173e-05,6.615771e-05,0.00016797395,3.5718625e-05,0.00021492007,2.4212693e-05
1972-01-01,9.18284e-05,8.905693e-06,6.563773e-05,0.00016747009,3.369222e-05,0.00026413472,2.0562919e-05
1972-02-01,9.7077245e-05,9.663812e-06,6.982023e-05,0.0001595153,3.731456e-05,0.00032013026,1.8970608e-05
1972-03-01,8.948246e-05,1.0025127e-05,6.647012e-05,0.00017150928,3.4885903e-05,0.0002434053,2.2838089e-05
1972-04-01,9.044944e-05,8.7696735e-06,6.924131e-05,0.00014709105,3.9227252e-05,0.00025460904,2.4054207e-05
1972-05-01,9.251063e-05,6.793596e-06,6.622788e-05,0.00013929784,3.952814e-05,0.00021092693,3.0745916e-05
1972-06-01,8.716973e-05,4.8846796e-06,6.0059025e-05,0.00013846732,5.0360235e-05,0.00016738394,3.039278e-05
1972-07-01,8.709577e-05,2.5106924e-06,6.0359358e-05,0.00013422669,5.7277164e-05,0.00014202052,2.8281966e-05
1972-08-01,8.584208e-05,2.7450385e-06,6.585553e-05,0.00011893562,5.5630877e-05,-8.8323195e-06,2.9561772e-05
1972-09-01,8.6093765e-05,2.8999325e-06,5.9610793e-05,0.00013761905,4.89533e-05,0.00014097537,3.204322e-05
1972-10-01,8.632223e-05,4.4145554e-06,6.172308e-05,0.00013931838,4.3047374e-05,0.00019883884,2.787201e-05
1972-11-01,8.6602784e-05,5.2000596e-06,6.38621e-05,0.00015889265,4.023047e-05,0.00018836894,2.6560478e-05
1972-12-01,9.590511e-05,9.3696e-06,6.789809e-05,0.00016080578,3.327491e-05,0.00029930647,2.2632452e-05
1973-01-01,9.490877e-05,1.2700648e-05,7.183485e-05,0.00015869613,3.2995886e-05,0.00030812883,1.711717e-05
1973-02-01,9.221257e-05,9.791402e-06,6.532193e-05,0.0001774454,3.5689583e-05,0.0002684307,2.1389715e-05
1973-03-01,9.3681156e-05,1.2811535e-05,6.516107e-05,0.00017353873,3.5710513e-05,0.00025324107,2.2651046e-05
1973-04-01,9.0118214e-05,1.4224035e-05,6.488813e-05,0.00016470155,3.575189e-05,0.0002316717,2.3863273e-05
1973-05-01,8.8120425e-05,5.9944946e-06,6.3846644e-05,0.00015876288,3.8891078e-05,0.00019129441,3.2453947e-05
1973-06-01,8.371951e-05,5.0695935e-06,6.07833e-05,0.000149158,5.205182e-05,0.00014110793,3.1020652e-05
1973-07-01,8.1867016e-05,5.663625e-06,6.149881e-05,0.000114625815,6.107638e-05,3.5791774e-05,2.6057864e-05
1973-08-01,7.799237e-05,4.8919824e-06,6.65882e-05,0.00012019616,5.8311758e-05,2.2755255e-05,2.9361287e-05
1973-09-01,8.287791e-05,8.145871e-06,6.0137958e-05,0.00014773085,5.3559244e-05,5.776953e-05,2.9528363e-05
1973-10-01,8.359823e-05,6.8480385e-06,5.8867256e-05,0.00015321292,4.6374298e-05,0.00012457237,3.1329833e-05
1973-11-01,8.657896e-05,1.133776e-05,6.192279e-05,0.00014956298,3.8650847e-05,0.00015631583,3.126131e-05
1973-12-01,9.279385e-05,1.4518626e-05,6.935964e-05,0.00014129262,3.358547e-05,0.00024591826,2.5948497e-05
1974-01-01,9.37172e-05,1.3418408e-05,6.809649e-05,0.00017161325,3.0414816e-05,0.00027399245,2.0148742e-05
1974-02-01,9.831718e-05,1.4031142e-05,6.8183996e-05,0.00015411185,3.165938e-05,0.00029004965,2.0826248e-05
1974-03-01,9.02471e-05,9.60618e-06,6.568225e-05,0.0001712725,3.6330024e-05,0.0002467587,2.3917179e-05
1974-04-01,8.8311244e-05,8.04453e-06,6.454277e-05,0.00015807385,3.856893e-05,0.00021217336,2.8624721e-05
1974-05-01,8.8997e-05,5.995846e-06,6.322618e-05,0.00013420047,4.3475888e-05,0.00018757246,3.061342e-05
1974-06-01,8.691428e-05,2.188361e-06,6.192267e-05,0.00013091962,5.176128e-05,0.00016562597,2.9865907e-05
