,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7
1970-01-01,1.4173661,-16.06962,0.26840538,-5.636884,-2.0978868,-0.4885289,-0.37041894
1970-02-01,1.5847741,-17.519339,0.54644376,-6.15968,-2.5910752,-0.34156847,-0.54995644
1970-03-01,1.9082828,-17.276512,1.0580642,-6.1276016,-2.1323388,0.7706176,0.26104107
1970-04-01,2.34435,-15.466757,2.2348466,-3.6569278,-0.039648496,1.7526503,1.949002
1970-05-01,2.2470245,-10.322789,2.592611,-0.44558138,1.286406,2.3860774,2.0731213
1970-06-01,2.1021693,-5.6157537,1.7677087,2.364346,2.4533038,2.7799554,0.62651235
1970-07-01,2.2873318,-1.4188315,0.77479756,5.1577854,2.3478029,2.549279,-0.8470427
1970-08-01,2.2844875,0.4681548,0.60585105,7.1453347,1.9017799,2.5822456,-1.0704849
1970-09-01,2.1464264,-2.6094465,0.7301643,6.9086666,1.8090422,2.757512,-0.5397142
1970-10-01,1.8037276,-6.144905,1.1695646,3.6131263,1.5629716,2.7079043,0.4520251
1970-11-01,1.678303,-8.32788,1.1625315,0.8386616,0.5278859,1.6885371,0.9092969
1970-12-01,1.7144442,-10.492823,0.61940163,-1.9226103,-0.7090328,0.5754948,0.0869849
1971-01-01,1.6882219,-13.912157,0.12906489,-4.898152,-2.3549294,-0.09926437,-0.51469404
1971-02-01,1.5657607,-16.727396,0.27610612,-6.0822196,-2.3280318,0.14993486,-0.7527737
1971-03-01,1.86892,-16.725124,0.94653934,-5.3603687,-1.6596252,0.6223602,0.1267522
1971-04-01,2.408489,-14.801543,2.0498447,-3.3444226,0.005498115,1.6785794,1.47218
1971-05-01,2.3416274,-9.046204,2.799742,0.51745236,1.9600109,2.4513412,2.0819361
1971-06-01,2.2065773,-4.40286,1.738952,3.0278993,2.8797522,2.7385283,0.63671756
1971-07-01,2.199494,-1.5953453,0.88484466,5.0522485,2.222284,2.2528117,-0.6721457
1971-08-01,2.135567,0.32622707,0.6817957,7.0838823,1.9653206,2.2574565,-0.8541787
1971-09-01,2.1053035,-1.6211271,0.9437786,5.721021,1.4126078,2.6489327,-0.26001024
1971-10-01,1.7675992,-5.816569,1.2836552,3.5341058,1.4593605,2.436965,0.4359009
1971-11-01,1.6150389,-9.014723,1.3111868,0.43690813,0.4883475,1.3906964,0.5587618
1971-12-01,1.646437,-12.619407,0.9233198,-2.5993524,-1.0012003,0.5008375,0.17557287
1972-01-01,1.667891,-16.703136,0.47812206,-6.094673,-2.4130657,-0.17044389,-0.41985732
1972-02-01,1.5444585,-18.371967,0.12930514,-7.89826,-3.4118333,-0.33970606,-0.5725762
1972-03-01,1.6728398,-18.368605,0.6295061,-7.1740394,-2.2312188,0.25692797,-0.053815447
1972-04-01,2.1068933,-15.752489,1.7122574,-4.6351566,-0.56575894,1.4162211,1.5126159
1972-05-01,2.225377,-10.251883,2.4764256,-1.7653018,0.9265382,2.3315978,2.2203405
1972-06-01,2.1561604,-5.270703,1.8371409,1.8115032,2.252563,2.6113095,1.1197715
1972-07-01,1.876011,-2.9290576,0.70685416,4.45048,2.1734986,2.2197356,-0.534325
1972-08-01,1.8663561,-0.6103533,0.43755654,5.897952,0.8865497,2.014991,-1.0912554
1972-09-01,1.8988016,-4.207957,1.0297184,5.3501854,1.114036,2.4123318,-0.064553924
1972-10-01,1.6978668,-7.431315,1.8121022,3.2408793,1.473571,2.2969956,1.2611796
1972-11-01,1.8387129,-11.305004,1.6205081,0.061791554,0.03835432,1.6425399,1.065786
1972-12-01,1.5359275,-15.467654,0.6937579,-4.080807,-1.5202485,0.039978076,-0.032012306
1973-01-01,1.3912588,-18.202202,-0.25880945,-7.3245077,-3.186387,-0.6866277,-1.1800042
1973-02-01,1.4090642,-18.175568,-0.093152024,-7.759727,-3.3787787,-0.50319624,-1.0760008
1973-03-01,1.8557173,-18.193657,0.5499505,-6.5769005,-2.460281,0.40292126,-0.15867019
1973-04-01,2.4417667,-16.281876,1.8085039,-4.3341,-0.5532982,1.7113714,1.5549716
1973-05-01,2.1950088,-10.590502,2.2791436,-0.5339392,1.2009583,2.4361882,1.7296826
1973-06-01,1.9660475,-5.6836147,1.4948419,1.6792386,2.3130674,2.7342834,0.6138609
1973-07-01,1.9269787,-1.869843,0.40566853,5.115756,1.9273608,2.2794948,-0.852693
1973-08-01,1.9568782,-0.5361887,0.14983131,7.1470146,1.2572439,2.4829292,-1.5921662
1973-09-01,2.1052516,-2.772258,0.5973026,6.1327024,0.8270135,2.9182804,-1.0452853
1973-10-01,1.8856221,-5.7166924,1.3434588,4.5776997,1.7397331,2.827814,0.63724136
1973-11-01,1.7564516,-9.817322,1.3663595,0.31916496,0.19999005,1.736548,0.80299395
