,cluster,nodes_lat,nodes_lon
0,8,40.0,45.0
1,1,40.0,47.5
2,1,40.0,50.0
3,7,40.0,52.5
4,7,40.0,55.0
5,7,40.0,57.5
6,1,40.0,60.0
7,2,40.0,62.5
8,2,40.0,65.0
9,2,40.0,67.5
10,5,40.0,70.0
11,5,40.0,72.5
12,5,40.0,75.0
13,4,40.0,77.5
14,8,40.0,80.0
15,1,40.0,82.5
16,1,40.0,85.0
17,1,40.0,87.5
18,8,40.0,90.0
19,1,40.0,92.5
20,4,40.0,95.0
21,5,40.0,97.5
22,5,40.0,100.0
23,4,37.5,45.0
24,1,37.5,47.5
25,7,37.5,50.0
26,7,37.5,52.5
27,7,37.5,55.0
28,7,37.5,57.5
29,1,37.5,60.0
30,2,37.5,62.5
31,2,37.5,65.0
32,2,37.5,67.5
33,5,37.5,70.0
34,5,37.5,72.5
35,2,37.5,75.0
36,8,37.5,77.5
37,5,37.5,80.0
38,1,37.5,82.5
39,1,37.5,85.0
40,8,37.5,87.5
41,5,37.5,90.0
42,5,37.5,92.5
43,2,37.5,95.0
44,2,37.5,97.5
45,8,37.5,100.0
46,4,35.0,45.0
47,1,35.0,47.5
48,7,35.0,50.0
49,7,35.0,52.5
50,7,35.0,55.0
51,3,35.0,57.5
52,8,35.0,60.0
53,4,35.0,62.5
54,4,35.0,65.0
55,5,35.0,67.5
56,4,35.0,70.0
57,2,35.0,72.5
58,5,35.0,75.0
59,1,35.0,77.5
60,2,35.0,80.0
61,1,35.0,82.5
62,8,35.0,85.0
63,8,35.0,87.5
64,8,35.0,90.0
65,1,35.0,92.5
66,8,35.0,95.0
67,1,35.0,97.5
68,4,35.0,100.0
69,6,32.5,45.0
70,4,32.5,47.5
71,7,32.5,50.0
72,7,32.5,52.5
73,7,32.5,55.0
74,3,32.5,57.5
75,6,32.5,60.0
76,6,32.5,62.5
77,4,32.5,65.0
78,1,32.5,67.5
79,1,32.5,70.0
80,2,32.5,72.5
81,6,32.5,75.0
82,6,32.5,77.5
83,1,32.5,80.0
84,1,32.5,82.5
85,8,32.5,85.0
86,8,32.5,87.5
87,8,32.5,90.0
88,2,32.5,92.5
89,1,32.5,95.0
90,8,32.5,97.5
91,2,32.5,100.0
92,3,30.0,45.0
93,6,30.0,47.5
94,4,30.0,50.0
95,7,30.0,52.5
96,7,30.0,55.0
97,3,30.0,57.5
98,3,30.0,60.0
99,6,30.0,62.5
100,6,30.0,65.0
101,7,30.0,67.5
102,1,30.0,70.0
103,8,30.0,72.5
104,6,30.0,75.0
105,6,30.0,77.5
106,2,30.0,80.0
107,2,30.0,82.5
108,1,30.0,85.0
109,1,30.0,87.5
110,8,30.0,90.0
111,4,30.0,92.5
112,1,30.0,95.0
113,1,30.0,97.5
114,1,30.0,100.0
115,3,27.5,45.0
116,6,27.5,47.5
117,6,27.5,50.0
118,1,27.5,52.5
119,7,27.5,55.0
120,7,27.5,57.5
121,8,27.5,60.0
122,6,27.5,62.5
123,8,27.5,65.0
124,1,27.5,67.5
125,4,27.5,70.0
126,4,27.5,72.5
127,8,27.5,75.0
128,6,27.5,77.5
129,6,27.5,80.0
130,4,27.5,82.5
131,2,27.5,85.0
132,2,27.5,87.5
133,8,27.5,90.0
134,2,27.5,92.5
135,1,27.5,95.0
136,8,27.5,97.5
137,2,27.5,100.0
138,3,25.0,45.0
139,5,25.0,47.5
140,6,25.0,50.0
141,6,25.0,52.5
142,1,25.0,55.0
143,7,25.0,57.5
144,3,25.0,60.0
145,8,25.0,62.5
146,8,25.0,65.0
147,4,25.0,67.5
148,4,25.0,70.0
149,4,25.0,72.5
150,8,25.0,75.0
151,8,25.0,77.5
152,6,25.0,80.0
153,6,25.0,82.5
154,4,25.0,85.0
155,2,25.0,87.5
156,2,25.0,90.0
157,2,25.0,92.5
158,1,25.0,95.0
159,1,25.0,97.5
160,1,25.0,100.0
161,3,22.5,45.0
162,5,22.5,47.5
163,6,22.5,50.0
164,6,22.5,52.5
165,1,22.5,55.0
166,7,22.5,57.5
167,7,22.5,60.0
168,1,22.5,62.5
169,4,22.5,65.0
170,4,22.5,67.5
171,4,22.5,70.0
172,4,22.5,72.5
173,8,22.5,75.0
174,8,22.5,77.5
175,8,22.5,80.0
176,6,22.5,82.5
177,6,22.5,85.0
178,4,22.5,87.5
179,2,22.5,90.0
180,2,22.5,92.5
181,1,22.5,95.0
182,1,22.5,97.5
183,1,22.5,100.0
184,3,20.0,45.0
185,5,20.0,47.5
186,6,20.0,50.0
187,6,20.0,52.5
188,1,20.0,55.0
189,1,20.0,57.5
190,1,20.0,60.0
191,4,20.0,62.5
192,4,20.0,65.0
193,4,20.0,67.5
194,4,20.0,70.0
195,1,20.0,72.5
196,8,20.0,75.0
197,8,20.0,77.5
198,8,20.0,80.0
199,6,20.0,82.5
200,6,20.0,85.0
201,4,20.0,87.5
202,2,20.0,90.0
203,2,20.0,92.5
204,1,20.0,95.0
205,1,20.0,97.5
206,1,20.0,100.0
207,8,17.5,45.0
208,6,17.5,47.5
209,6,17.5,50.0
210,4,17.5,52.5
211,4,17.5,55.0
212,4,17.5,57.5
213,4,17.5,60.0
214,4,17.5,62.5
215,4,17.5,65.0
216,4,17.5,67.5
217,4,17.5,70.0
218,8,17.5,72.5
219,8,17.5,75.0
220,8,17.5,77.5
221,8,17.5,80.0
222,6,17.5,82.5
223,4,17.5,85.0
224,4,17.5,87.5
225,2,17.5,90.0
226,1,17.5,92.5
227,1,17.5,95.0
228,1,17.5,97.5
229,1,17.5,100.0
230,3,15.0,45.0
231,8,15.0,47.5
232,4,15.0,50.0
233,4,15.0,52.5
234,4,15.0,55.0
235,4,15.0,57.5
236,4,15.0,60.0
237,4,15.0,62.5
238,4,15.0,65.0
239,1,15.0,67.5
240,1,15.0,70.0
241,8,15.0,72.5
242,8,15.0,75.0
243,8,15.0,77.5
244,8,15.0,80.0
245,4,15.0,82.5
246,4,15.0,85.0
247,4,15.0,87.5
248,4,15.0,90.0
249,1,15.0,92.5
250,1,15.0,95.0
251,1,15.0,97.5
252,1,15.0,100.0
253,3,12.5,45.0
254,1,12.5,47.5
255,4,12.5,50.0
256,4,12.5,52.5
257,4,12.5,55.0
258,4,12.5,57.5
259,4,12.5,60.0
260,4,12.5,62.5
261,1,12.5,65.0
262,1,12.5,67.5
263,1,12.5,70.0
264,8,12.5,72.5
265,8,12.5,75.0
266,8,12.5,77.5
267,8,12.5,80.0
268,4,12.5,82.5
269,4,12.5,85.0
270,4,12.5,87.5
271,4,12.5,90.0
272,1,12.5,92.5
273,1,12.5,95.0
274,1,12.5,97.5
275,1,12.5,100.0
276,8,10.0,45.0
277,4,10.0,47.5
278,4,10.0,50.0
279,4,10.0,52.5
280,4,10.0,55.0
281,4,10.0,57.5
282,4,10.0,60.0
283,1,10.0,62.5
284,1,10.0,65.0
285,1,10.0,67.5
286,1,10.0,70.0
287,8,10.0,72.5
288,8,10.0,75.0
289,8,10.0,77.5
290,8,10.0,80.0
291,4,10.0,82.5
292,4,10.0,85.0
293,4,10.0,87.5
294,1,10.0,90.0
295,1,10.0,92.5
296,1,10.0,95.0
297,1,10.0,97.5
298,1,10.0,100.0
299,4,7.5,45.0
300,4,7.5,47.5
301,4,7.5,50.0
302,4,7.5,52.5
303,4,7.5,55.0
304,4,7.5,57.5
305,1,7.5,60.0
306,1,7.5,62.5
307,1,7.5,65.0
308,1,7.5,67.5
309,1,7.5,70.0
310,8,7.5,72.5
311,8,7.5,75.0
312,8,7.5,77.5
313,4,7.5,80.0
314,4,7.5,82.5
315,4,7.5,85.0
316,4,7.5,87.5
317,1,7.5,90.0
318,1,7.5,92.5
319,1,7.5,95.0
320,1,7.5,97.5
321,8,7.5,100.0
322,4,5.0,45.0
323,4,5.0,47.5
324,4,5.0,50.0
325,4,5.0,52.5
326,4,5.0,55.0
327,4,5.0,57.5
328,1,5.0,60.0
329,1,5.0,62.5
330,1,5.0,65.0
331,1,5.0,67.5
332,1,5.0,70.0
333,8,5.0,72.5
334,8,5.0,75.0
335,4,5.0,77.5
336,4,5.0,80.0
337,4,5.0,82.5
338,4,5.0,85.0
339,1,5.0,87.5
340,1,5.0,90.0
341,1,5.0,92.5
342,1,5.0,95.0
343,8,5.0,97.5
344,8,5.0,100.0
345,4,2.5,45.0
346,4,2.5,47.5
347,4,2.5,50.0
348,4,2.5,52.5
349,4,2.5,55.0
350,1,2.5,57.5
351,1,2.5,60.0
352,1,2.5,62.5
353,1,2.5,65.0
354,1,2.5,67.5
355,1,2.5,70.0
356,8,2.5,72.5
357,8,2.5,75.0
358,4,2.5,77.5
359,4,2.5,80.0
360,4,2.5,82.5
361,1,2.5,85.0
362,1,2.5,87.5
363,1,2.5,90.0
364,1,2.5,92.5
365,8,2.5,95.0
366,8,2.5,97.5
367,4,2.5,100.0
368,4,0.0,45.0
369,4,0.0,47.5
370,4,0.0,50.0
371,4,0.0,52.5
372,1,0.0,55.0
373,1,0.0,57.5
374,1,0.0,60.0
375,1,0.0,62.5
376,1,0.0,65.0
377,1,0.0,67.5
